round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_f1_best_threshold,fed_ece,fed_brier,fed_auprc_lift,fed_auroc,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6878866298108947,0.1132764555897613,0.08724,3.65056,0.9971592150692714,0.17853236024627656,0.2539994391261684,0.5066103448433547,0.39320557216046714,0.25526901343375663,1.5480030720149467,0.5692613428927237,0.11353766756875829,0.1599468744284982,0.39112261321349845,0.09152036837601203,0.8035431724538148,0.2045002711006687,0.20450951154489178,0.5204111933708191,0.4074950469200765,0.2670048923323154,0.11389601892395189,1.0062316385794878,8.668943628668785,0.6497448344220171,1.3316269248645847
2.0,0.6883128558296753,0.07498941956599885,0.13276,5.632,0.5412350858791136,0.2106258893163707,0.2769124353592869,0.49940789308952516,0.38512815110138304,0.24801341345790828,1.8354686143728762,0.6429181425597328,0.11353766756875829,0.18994766460836127,0.4099452472440275,0.09946764953719497,0.8733198093921904,0.2045002711006687,0.20453928926666065,0.5217298865318298,0.40928205965485515,0.26847980863858434,0.11389601892395189,0.1526299701210252,0.7770758551323524,,0.1526299701210252
3.0,0.6829396442172994,0.10100490683319077,0.17828,7.61344,0.5412350858791136,0.22154451511179582,0.29414953656701,0.5007489244144419,0.38139324422802157,0.2446341688539422,1.9565854417208202,0.667060590394758,0.11353766756875829,0.21829657779945122,0.43710995362776794,0.11759354678678657,1.0324640658889361,0.2045002711006687,0.20450951154489178,0.5228099226951599,0.41113501051314744,0.2699923446971658,0.11389601892395189,0.2035106526631639,0.9330724166211439,,0.2035106526631639
4.0,0.6776028208969401,0.11147927504803037,0.2238,9.59488,0.5412350858791136,0.23188332322445548,0.3006435857748473,0.49790942212567324,0.3762519885598019,0.24041832153637294,2.056432272484101,0.6789695844352838,0.11353766756875829,0.23408367507316824,0.37668402975344495,0.08597918773987782,0.7548919492724845,0.2045002711006687,0.20459894984609817,0.5225874781608582,0.41127753354647634,0.27018235725272427,0.11389601892395189,0.1700421114026787,0.8553194714431811,,0.1700421114026787
5.0,0.6840035012506416,0.10284528838957081,0.26552,11.264,0.4559241291901578,0.21565225637160867,0.28734395347549585,0.45189806941067406,0.3309290891113362,0.2080277013649476,1.8966267862713528,0.6543013928869877,0.11353766756875829,0.2506447335842157,0.3825745541593928,0.08793290516946399,0.7720454674379496,0.2045002711006687,0.20470225127087874,0.5225969552993774,0.4117795684340136,0.27061925686205857,0.11389601892395189,0.08834097637069536,0.3660720643347304,0.08834097637069536,
6.0,0.6796617030526764,0.1070966758493517,0.31104,13.24544,0.5412350858791136,0.22249225359595343,0.2924048699077901,0.4919858284027794,0.3697204809445733,0.23548427123127622,1.9559795628960188,0.6664584702525139,0.11353766756875829,0.21309416848294194,0.3425527964219405,0.08143244556066567,0.7149718342222122,0.2045002711006687,0.20450951154489178,0.5174046158790588,0.40781583170555064,0.2674231069769377,0.11389601892395189,0.13019177584761912,0.7105106112041994,,0.13019177584761912
7.0,0.6708850431381255,0.15049213678817053,0.35656,15.22688,0.5412350858791136,0.2315808618207782,0.30283589457539734,0.49647018984893293,0.37092096356052434,0.2357252957420946,2.04055655776362,0.6763676061354363,0.11353766756875829,0.24299840167950493,0.3441006959976134,0.08151784392148555,0.7157216265470597,0.2045002711006687,0.20451875282422052,0.518903374671936,0.4084574763395326,0.2678830169280015,0.11389601892395189,0.12905820709686316,0.7316250091703296,,0.12905820709686316
8.0,0.6621346132413991,0.1555093534604374,0.40208,17.20832,0.5412350858791136,0.23662624312633693,0.3096906851840989,0.494124942368607,0.36462790575784637,0.2309079478385422,2.08528528166192,0.6827797791440998,0.11353766756875829,0.2521190727092574,0.3433621984109483,0.08144007044198767,0.7150387802085078,0.2045002711006687,0.20454648167397296,0.5194951891899109,0.41034984989407214,0.2695381813364392,0.11389601892395189,0.1093690482343644,0.6704926528122996,,0.1093690482343644
9.0,0.6564983154353203,0.261545891170737,0.4476,19.18976,0.5412350858791136,0.2365304197468557,0.31096707786125627,0.4936094687399011,0.3616089274013866,0.22806829859275282,2.0857325734817547,0.6859721987503836,0.11353766756875829,0.25942025928491214,0.3435824663879249,0.08144298318306283,0.7150643538949515,0.2045002711006687,0.20453723788864786,0.5195496678352356,0.4113638829954545,0.2703997149965901,0.11389601892395189,0.0908809565777319,0.6188275995591539,,0.0908809565777319
10.0,0.6759664013459032,0.15236139587560907,0.53484,22.84032,0.9971592150692714,0.2148516679241882,0.28619738754044866,0.48149563164218534,0.3628029247363825,0.2304501938081489,1.891206260311321,0.6546136234030535,0.11353766756875829,0.19784525539270023,0.34170515625347464,0.08121526198165199,0.7130649758344867,0.2045002711006687,0.2045002711006687,0.5119718909263611,0.4107907780781865,0.2699933800029543,0.11389601892395189,0.08863303737460561,1.058352177427878,0.09279283846183728,0.08585073080529129
11.0,0.6711011059143704,0.14441833339680726,0.58036,24.82176,0.5412350858791136,0.22509862875662615,0.2963552283019919,0.5006630030022866,0.3674152960515591,0.23262800325064312,1.9810298945144234,0.6687796292077539,0.11353766756875829,0.26852893236666053,0.34154715865604207,0.08114846323009317,0.7124784869282904,0.2045002711006687,0.2045002711006687,0.509779155254364,0.41127737639168616,0.27045991355158333,0.11389601892395189,0.06517663455957705,0.49104162538242235,,0.06517663455957705
12.0,0.6592706933815768,0.20375186666994768,0.62588,26.8032,0.5412350858791136,0.231077413483431,0.30245078870305103,0.49923108469075184,0.3600508558779414,0.2264218685634089,2.040229392505856,0.6786348020927356,0.11353766756875829,0.2769572114757811,0.3421296163597464,0.08122983042082212,0.7131928858291271,0.2045002711006687,0.2045002711006687,0.5165903568267822,0.4113409617651666,0.2704308736722215,0.11389601892395189,0.06257851870610386,0.5093805654714743,,0.06257851870610386
13.0,0.6513528812846384,0.2881490158303307,0.6714,28.78464,0.5412350858791136,0.23512157437102604,0.30968015762412704,0.5024421200052114,0.3599216479345508,0.2257061725016489,2.0736503261529373,0.6856744855286552,0.11353766756875829,0.2871504163415616,0.3440283233094169,0.08146808490643821,0.7152847454732748,0.2045002711006687,0.20454648167397296,0.520258367061615,0.411415963895524,0.2704122351172511,0.11389601892395189,0.05870132047317862,0.525949018801839,,0.05870132047317862
