round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_prevalence,fed_auprc_lift,fed_ece,fed_auroc,fed_f1,fed_f1_best,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6900304455338244,0.08630199550447305,3.65056,3.65056,0.9971592150692714,0.49773966534204506,0.1100409191060749,1.6279238877416695,0.38550975668494114,0.5996889726562897,0.20298082309237964,0.25543203004836607,0.18142166455993147,0.2452807356596703,0.43451097472143857,0.11737069146982695,1.0305074099929261,0.18265754491351022,0.2046019619366213,0.49151134490966797,0.3902028151052613,0.2532857829658074,0.11389601892395189,0.02749288018097495,2.957383365370333,0.023185169225080723,0.0303382554674912
2.0,0.6838697718897605,0.11292421813431044,7.30112,7.30112,0.9971592150692714,0.5385158561819711,0.1100409191060749,1.9194184576701385,0.3824822535145609,0.6521328554558158,0.25600473694685805,0.2900017271476032,0.20994130473174757,0.24116489985221268,0.49830866019091535,0.143701392703625,1.2616893378826006,0.18840212712079007,0.2049740366220279,0.4902171790599823,0.3917589454836512,0.2541975680556212,0.11389601892395189,0.02053975565627263,2.342393306782469,0.01665770748974457,0.02312615581196851
3.0,0.6749755363275106,0.16250793105266656,10.95168,10.95168,0.9971592150692714,0.5621796937175692,0.1100409191060749,1.9888669484378634,0.3750932709400407,0.6627768911063907,0.26572874602052643,0.2963208230935265,0.2171099515503771,0.23620958356398883,0.5128649449588576,0.15979938579802844,1.4030287213526411,0.1886745948610512,0.20474293989862422,0.480069100856781,0.3915766298521914,0.2539907549073629,0.11389601892395189,0.014258918277076309,1.7484808147419244,0.012524088791190166,0.01544465172604169
4.0,0.667178928573531,0.24129501964977013,14.60224,14.60224,0.9971592150692714,0.5548132410486952,0.1100409191060749,2.0212926078051194,0.3699878624185736,0.67199324719337,0.27378492264695486,0.2972630159967066,0.2203613601300309,0.23152930145995113,0.5438434548259142,0.18097838199118133,1.5889789976945565,0.19337462967950445,0.22944362383062533,0.5131677389144897,0.3895758192029475,0.25204026211678576,0.11389601892395189,0.012171024350720013,1.5927150778006762,0.010751240628753796,0.013175391038721432
5.0,0.6585463693612497,0.21631798373341676,18.2528,18.2528,0.9971592150692714,0.554785191941494,0.1100409191060749,2.057944304150624,0.3653524736216281,0.6770404241791299,0.2735739154946249,0.30168149939687366,0.2238218282582065,0.22886539798462038,0.5467097496038013,0.1787981254109957,1.5698364798016233,0.19733848953594177,0.2238924050632911,0.5115455985069275,0.39122515017009896,0.25351162780236186,0.11389601892395189,0.01007435674951511,1.4026700829854235,0.009297869382798161,0.010643448977366429
6.0,0.656653813667057,0.2879806417710677,21.90336,21.90336,0.9971592150692714,0.5474760329550754,0.1100409191060749,2.058981921076142,0.35210323530640064,0.678747388731667,0.2759040248007554,0.30222527754495776,0.224345910352632,0.21973051606909444,0.555019645162746,0.18485379639342825,1.6230048963946202,0.1991268493815183,0.2397109014254166,0.5097641944885254,0.39037335503202747,0.25264116115749924,0.11389601892395189,0.009526364250465052,1.4015627432381734,0.009037276209345293,0.009897794059554056
7.0,0.651020469028728,0.2602774321692817,25.55392,25.55392,0.9971592150692714,0.5471745487575753,0.1100409191060749,2.082111410957977,0.3511076421521165,0.6793437690058464,0.2780099161532256,0.3026828377835879,0.22674357814806614,0.2179336308687896,0.498802456018062,0.15041863364660407,1.320666297801315,0.1923164355535349,0.2046536943801878,0.4917057156562805,0.39319787919146343,0.25532046603465663,0.11389601892395189,0.008562449898793494,1.3391412291675806,0.008258826141342894,0.008802325029077898
8.0,0.6500096914531792,0.2719705774548916,29.20448,29.20448,0.9971592150692714,0.5482788039559572,0.1100409191060749,2.0973056682176936,0.34194903978488717,0.6811426724694287,0.28140848956574,0.3039756123470847,0.22847271965864613,0.2134077033166581,0.5473520681923152,0.18000358162926616,1.5804203108227526,0.19628084564802376,0.23191401405539477,0.5098084807395935,0.38909892337606267,0.25159834420408167,0.11389601892395189,0.008225712275606414,1.3560873916139826,0.007472696129044863,0.008846270949425668
9.0,0.6470943988670277,0.31414560160253246,32.85504,32.85504,0.9971592150692714,0.5536015572734023,0.1100409191060749,2.124134936623915,0.3456679637486694,0.6831490904408684,0.27816537330847146,0.3066604474472249,0.2314062910402165,0.21560204829396476,0.4879661801311157,0.1360624220984371,1.1946196485522964,0.17978145831901587,0.20471014492753623,0.4717712104320526,0.3890789703904871,0.2522783004080118,0.11389601892395189,0.008124318018114958,1.4172192913247272,0.007263051215465204,0.008857945770841263
10.0,0.6457012447049638,0.35511595960056175,36.5056,36.5056,0.9971592150692714,0.575797733035071,0.1100409191060749,2.122515488099374,0.35429911649814366,0.6836268742109161,0.27872874755972327,0.30594191231874646,0.2313069795285736,0.2213907983395649,0.47738498440027854,0.1172805935055563,1.0297163554405204,0.18214082007731797,0.20466591166477918,0.4810558557510376,0.3929564893992667,0.2555312808059461,0.11389601892395189,0.008088164278903489,1.4949030308052897,0.006407576613701209,0.009562911958126087
