round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1_best,fed_auprc_lift,fed_auroc,fed_prevalence,fed_f1,fed_f1_best_threshold,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6878009070096991,0.10705058600199749,0.526995,3.65056,0.9971592150692714,0.17425670873641827,0.26409654230072016,1.523031387725524,0.572147751176556,0.11500692433589324,0.17999202746578802,0.5256039893223449,0.4116957969668079,0.2715038715818592,0.6540670338502386,0.20988391078528104,1.8427677522725359,0.21435302286366117,0.2757793764988009,0.5021632313728333,0.3877746177878219,0.25110258107561473,0.11389601892395189,0.49274401825225933,10.417243033647537,0.30869664897152693,0.6424630636482961
2.0,0.6878318470130108,0.06467904896173246,1.05399,7.30112,0.9971592150692714,0.18065777819655732,0.26389577514853035,1.5913544684599532,0.5828156822035331,0.11500692433589324,0.19033750356602566,0.514837509607182,0.3980097052591147,0.2595713675259185,0.6587948139039291,0.21669563649086096,1.9025742825616068,0.25062315884885566,0.28063851699279097,0.5024118423461914,0.3865528774193077,0.2500266536261042,0.11389601892395189,0.06786419846807701,1.3868268969818018,0.05848734977943939,0.07521858245757501
3.0,0.6820815988510355,0.08432477881895857,1.580985,10.95168,0.9971592150692714,0.21117773320896413,0.2879651879786898,1.8575201247004163,0.646847292718203,0.11500692433589324,0.22581419165853947,0.5175319623638727,0.38635323295984375,0.24945100301435882,0.6608405502302097,0.21775836055577802,1.9119049341063867,0.2594657568444703,0.28044563964656166,0.5025888085365295,0.38559769364504637,0.2492335274948225,0.11389601892395189,0.04247922422730362,0.9898542776354589,0.03295459889382957,0.05078490174922459
4.0,0.6752725445476044,0.10888656549940559,2.10798,14.60224,0.9971592150692714,0.21734380090097763,0.2954711325062248,1.9125204380819887,0.6598587644269419,0.11500692433589324,0.24449010224204473,0.5171065209352532,0.3839930710580327,0.2468573277424031,0.6531644396325942,0.20752876324706715,1.8220897025877052,0.2559438327748524,0.2753574242935945,0.5020241737365723,0.3858205800423883,0.24948589915644262,0.11389601892395189,0.03045000440605374,0.8227266281610355,0.022221239895941283,0.038367181089107326
5.0,0.669352245536009,0.11773632315046718,2.634975,18.2528,0.9971592150692714,0.22632738185810963,0.2997179910491389,2.0085734429543503,0.667036457914044,0.11500692433589324,0.2625902742302068,0.5135777503379598,0.3752821559935572,0.23950238872090077,0.6588938918254327,0.2180325560192442,1.9143123533125774,0.25439615771942053,0.27654320987654324,0.5033067464828491,0.38614410178471387,0.24964053049708132,0.11389601892395189,0.022711153501798295,0.699050261406228,0.016689049500610318,0.02891262114866767
6.0,0.66270082321859,0.13185033155975798,2.634975,18.2528,0.0,0.24289920651334432,0.3176601878981519,2.1651072824877176,0.681091306338973,0.11500692433589324,0.28558071148539094,0.534145562390709,0.3343678790994807,0.2127974644151013,0.6588938918254327,0.2180325560192442,1.9143123533125774,0.25439615771942053,0.27654320987654324,0.5033067464828491,0.38614410178471387,0.24964053049708132,0.11389601892395189,0.0,0.0,,
7.0,0.6449046833286525,0.3011959520785076,2.634975,18.2528,0.0,0.2527628048155686,0.3281061193134869,2.260707731677204,0.6907394792661763,0.11500692433589324,0.30333804739541087,0.5444266953640766,0.330442019229037,0.20867704597823133,0.6588938918254327,0.2180325560192442,1.9143123533125774,0.25439615771942053,0.27654320987654324,0.5033067464828491,0.38614410178471387,0.24964053049708132,0.11389601892395189,0.0,0.0,,
8.0,0.6265295043545442,0.40171912616258565,2.634975,18.2528,0.0,0.2609548323609119,0.3357598857303765,2.3340221753539367,0.6990384474152641,0.11500692433589324,0.30408628603546667,0.5486339979323035,0.3288544159327239,0.20786074877956034,0.6588938918254327,0.2180325560192442,1.9143123533125774,0.25439615771942053,0.27654320987654324,0.5033067464828491,0.38614410178471387,0.24964053049708132,0.11389601892395189,0.0,0.0,,
9.0,0.6654024365334432,0.12514460557600532,3.16197,21.90336,0.9971592150692714,0.22968024855938657,0.3020906211815751,2.0474529282932163,0.6682390055947023,0.11500692433589324,0.2720406310216925,0.5097311780571442,0.3672657688153596,0.23294817412163418,0.6618007715302536,0.2231635292925283,1.9593619812254728,0.2702548497527577,0.27995316768570316,0.5024396777153015,0.38382770724148735,0.24749039599828437,0.11389601892395189,0.020228800456879196,0.6944045414420543,0.013675629655937514,0.02742477993409436
10.0,0.6595153045028449,0.1504819097209498,3.16197,21.90336,0.0,0.24399113002776582,0.31613423192596796,2.1794059800225867,0.6808895648711336,0.11500692433589324,0.28728085744181353,0.5611225792653431,0.3614264699736785,0.22961621770007978,0.6618007715302536,0.2231635292925283,1.9593619812254728,0.2702548497527577,0.27995316768570316,0.5024396777153015,0.38382770724148735,0.24749039599828437,0.11389601892395189,0.0,0.0,,
11.0,0.6398303267654473,0.23714181419523905,3.16197,21.90336,0.0,0.25167797454278906,0.3240982418506183,2.2533527146099637,0.6907153038152523,0.11500692433589324,0.2969928436801883,0.556450466286186,0.3417875543189832,0.2156231660267551,0.6618007715302536,0.2231635292925283,1.9593619812254728,0.2702548497527577,0.27995316768570316,0.5024396777153015,0.38382770724148735,0.24749039599828437,0.11389601892395189,0.0,0.0,,
12.0,0.6220439123715964,0.3936500385680245,3.16197,21.90336,0.0,0.26074449227344054,0.33405301355843453,2.3348832801597443,0.6984335241013762,0.11500692433589324,0.3036751915810161,0.5616719844107001,0.3385348826096664,0.21432681867805417,0.6618007715302536,0.2231635292925283,1.9593619812254728,0.2702548497527577,0.27995316768570316,0.5024396777153015,0.38382770724148735,0.24749039599828437,0.11389601892395189,0.0,0.0,,
13.0,0.6585733355913035,0.14783274674912272,3.688965,25.55392,0.9971592150692714,0.2295064456477272,0.30403394130327727,2.043359978803004,0.6690819415837463,0.11500692433589324,0.2846369622105376,0.512041949231919,0.35767271629617087,0.22558105858270372,0.6624370287335761,0.2239668276497251,1.9664148911057833,0.26549792156153984,0.2815572158867479,0.5030540227890015,0.38444896651847865,0.24778852171495805,0.11389601892395189,0.01831961787522356,0.7027236141075264,0.011718009309842828,0.02589155475890614
