round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_brier,fed_auroc,fed_auprc_lift,fed_auprc,fed_f1_best_threshold,fed_f1_best,fed_f1,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.17542081504636758,0.03477377993470362,3.65056,3.65056,0.9971592150692714,0.11010387157695939,0.24880893140935775,0.603395439514352,1.6412906292789824,0.18196666268485595,0.5000535555763144,0.2552777297484375,0.18483899043730265,0.38895072734202085,0.3606530714607446,0.08517785687225349,0.7478563138289017,0.1556573682073885,0.2045002711006687,0.4900057315826416,0.3906140057254289,0.25405556850986094,0.11389601892395189,0.022892869622216077,2.4604896688833833,0.019036226545515823,0.025440091763303866
2.0,0.17269036632891346,0.02231410926826288,7.30112,7.30112,0.9971592150692714,0.11010387157695939,0.2506320743729321,0.6476965850026557,1.8980054974078444,0.2076537392029411,0.5180614191104227,0.2876194598539374,0.22773436257485916,0.3928896424227779,0.4135121528137703,0.09747951277485585,0.8558640916144988,0.15813440044156202,0.20464106391640657,0.49058088660240173,0.3900667800010676,0.25347093006113186,0.11389601892395189,0.017167512840522946,1.9300659368745983,0.014553112203905033,0.018901512810963726
3.0,0.17126619361222156,0.030049206468467815,10.95168,10.95168,0.9971592150692714,0.11010387157695939,0.2435740388440919,0.6651448531278851,1.9766892307652344,0.2156160289302618,0.5210831491216235,0.294330960955214,0.2552381480721929,0.3856272614411224,0.4100010170075692,0.09309051645333583,0.8173289754358504,0.1696244855967078,0.2046019619366213,0.4902764856815338,0.3944830685633467,0.2574218907987033,0.11389601892395189,0.011888168669325114,1.4155416353605688,0.010447146663070216,0.01286036532923233
4.0,0.16832204575584983,0.03165293313539979,14.60224,14.60224,0.9971592150692714,0.11010387157695939,0.24289382729564443,0.6697984269290573,1.996754829210209,0.2175967162470164,0.5231973021256312,0.2921562090936638,0.2670200297085644,0.3848083488683037,0.3831628222592537,0.08573913230383651,0.7527842773950187,0.15824175824175823,0.2045002711006687,0.4875207245349884,0.3931018853890733,0.25644944358238414,0.11389601892395189,0.010454439725325575,1.312080581788905,0.010012743585114144,0.010760183342353883
5.0,0.16716619662869145,0.02933057887957476,18.2528,18.2528,0.9971592150692714,0.11010387157695939,0.24174662605723987,0.6721222421350056,2.0307463656758142,0.22106507843235026,0.5286896958435936,0.2955782767981178,0.2684415079682888,0.38407932338866185,0.3957407989051256,0.08864484721483948,0.7782962745522075,0.18230680634015248,0.20450951154489178,0.4916914999485016,0.4006690263262188,0.2627984237866606,0.11389601892395189,0.00919898681041114,1.2132501458982006,0.008776033318671092,0.00950333934025629
6.0,0.1641879421713503,0.03192422637703205,18.2528,18.2528,0.0,0.11010387157695939,0.236744002743853,0.6879034831987636,2.1370103779934535,0.23102534082769807,0.5156310652482048,0.30696873026345994,0.2821416420108879,0.37835145948028504,0.3957407989051256,0.08864484721483948,0.7782962745522075,0.18230680634015248,0.20450951154489178,0.4916914999485016,0.4006690263262188,0.2627984237866606,0.11389601892395189,0.0,0.0,,
7.0,0.16200206164944575,0.05028888359195808,18.2528,18.2528,0.0,0.11010387157695939,0.23376841060813403,0.700943809451682,2.2732680455298073,0.2449605379307796,0.5221360633367256,0.3175566129313701,0.2877736376250708,0.37472582958125084,0.3957407989051256,0.08864484721483948,0.7782962745522075,0.18230680634015248,0.20450951154489178,0.4916914999485016,0.4006690263262188,0.2627984237866606,0.11389601892395189,0.0,0.0,,
8.0,0.156525003041517,0.054011998166849526,18.2528,18.2528,0.0,0.11010387157695939,0.23361977226192857,0.7085242975957178,2.3623994123879286,0.25453488275522795,0.5215024822081715,0.329178745184098,0.3018406193180162,0.3757991081969634,0.3957407989051256,0.08864484721483948,0.7782962745522075,0.18230680634015248,0.20450951154489178,0.4916914999485016,0.4006690263262188,0.2627984237866606,0.11389601892395189,0.0,0.0,,
9.0,0.16450531965090692,0.03498047791118717,21.90336,21.90336,0.9971592150692714,0.11010387157695939,0.23806650965667844,0.6795620680251784,2.070469311191638,0.22487442738625907,0.5201994360281231,0.2992621351667514,0.2713712475500247,0.3794428995036839,0.42601195892474086,0.0957231056256129,0.8404429455038898,0.1913577037075555,0.20450951154489178,0.4933438003063202,0.40091464064898696,0.26263536211012034,0.11389601892395189,0.009704932964717396,1.3476235836278647,0.007890470811898127,0.01105563942621452
10.0,0.16467436353998535,0.05296679618114839,21.90336,21.90336,0.0,0.11010387157695939,0.23589256001562545,0.6925025897714456,2.1660011305163716,0.2344997622359589,0.5178711420472104,0.31198419097018704,0.284432505841155,0.37737900127038515,0.42601195892474086,0.0957231056256129,0.8404429455038898,0.1913577037075555,0.20450951154489178,0.4933438003063202,0.40091464064898696,0.26263536211012034,0.11389601892395189,0.0,0.0,,
11.0,0.15960571240242033,0.05140102248970292,21.90336,21.90336,0.0,0.11010387157695939,0.23279010473931538,0.7033957459859602,2.2848795724786632,0.2470398882573331,0.5167366129461984,0.32275330712128736,0.29931716664280844,0.3741688609367127,0.42601195892474086,0.0957231056256129,0.8404429455038898,0.1913577037075555,0.20450951154489178,0.4933438003063202,0.40091464064898696,0.26263536211012034,0.11389601892395189,0.0,0.0,,
