round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best_threshold,fed_auprc_lift,fed_f1_best,fed_prevalence,fed_brier,fed_auroc,fed_ece,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6877084169134557,0.09516433437016067,3.65056,3.65056,0.9971592150692714,0.18905310547531728,0.506127772713845,1.589269679625951,0.26177555061971824,0.11411846163529928,0.24828138379338158,0.5987907116483333,0.3853569609737533,0.18043899826133192,0.5301508609752159,0.14472155266917208,1.2706462792681308,0.2045002711006687,0.20517360086554537,0.5307745933532715,0.4199032537458023,0.2771525810302255,0.11389601892395189,0.027207562851968854,2.9052762924693525,0.022766170813893063,0.030180856987047693
2.0,0.6819572005218906,0.10396450865886868,7.30112,7.30112,0.9971592150692714,0.23093364990268464,0.5156714116929721,1.8704443616510134,0.28851674939468486,0.11411846163529928,0.2328750994259514,0.6466170417433316,0.36586999895627137,0.21111003993141367,0.6560514410058556,0.21055367841679756,1.848648270642223,0.2141557227878609,0.2749806351665376,0.5316509008407593,0.4085138713961321,0.2664169931947476,0.11389601892395189,0.01979573801181048,2.2377470906358212,0.01558688321560554,0.022630339320760168
3.0,0.6687938679038454,0.1724941935766425,10.95168,10.95168,0.9971592150692714,0.25961179748138247,0.5323719160480407,1.980158770984167,0.29573523453372547,0.11411846163529928,0.2306838684096344,0.6559786215885184,0.3635961005385995,0.22263756251233693,0.6562371101443794,0.2107990311669532,1.8508024526098952,0.21094346829640948,0.2690790368657326,0.5342071652412415,0.4115919562733415,0.268951690525873,0.11389601892395189,0.01428900460998421,1.7357568766456097,0.012978748161088842,0.01518831360583258
4.0,0.660164364023392,0.21887634880833512,14.60224,14.60224,0.9971592150692714,0.2729490502685483,0.5512128313252405,2.006639552101723,0.29878289639472205,0.11411846163529928,0.2179646967434425,0.6568939045575786,0.3428520638958324,0.22633531793125788,0.6552810929106692,0.20988094855521378,1.8427417440758032,0.2144640846104882,0.2674467195988299,0.534737229347229,0.4103289352064974,0.26789323313343727,0.11389601892395189,0.011129105512452048,1.4373825062066317,0.010395026107368454,0.011655035858314757
5.0,0.6519489539110219,0.2686390970004161,18.2528,18.2528,0.9971592150692714,0.2768194462778538,0.5279772655005841,2.030911229564848,0.30391932728783994,0.11411846163529928,0.21825346751731134,0.6608528005275452,0.3453077902705417,0.22909854597577559,0.6508846560313244,0.20487434642560245,1.7987840871101612,0.20869565217391303,0.26161220043572986,0.531424880027771,0.41208613966562363,0.26958161215796,0.11389601892395189,0.009570726137519046,1.3133207061327994,0.009347604054886948,0.009736336080242552
6.0,0.6496282969879776,0.27274687265493774,21.90336,21.90336,0.9971592150692714,0.27787769562583087,0.5406214066758179,2.0702331893861747,0.304148033481404,0.11411846163529928,0.21077846524501734,0.6638260566388221,0.33076051793429273,0.2334943405730101,0.6176583260165845,0.17652777809508952,1.5499029708225072,0.20520047277025183,0.24386415525114155,0.5296332240104675,0.41419281311079303,0.2718445393235857,0.11389601892395189,0.008401818219242978,1.2157671550521627,0.008337950868024038,0.00845121593540271
7.0,0.6423472770671043,0.3257378407752697,25.55392,25.55392,0.9971592150692714,0.27246073845730917,0.5575921711432007,2.090050821200027,0.30490588913447525,0.11411846163529928,0.23490699167214477,0.6660708898984815,0.368358408579549,0.23560809897682944,0.6141549206726566,0.16947881231988632,1.4880134873989488,0.20552747803123436,0.2423325539815706,0.529167652130127,0.41443479732800176,0.27207192069366704,0.11389601892395189,0.009026355691912187,1.37647154845763,0.008335706513700292,0.00957930344148387
8.0,0.6434550815347233,0.30641496578899574,29.20448,29.20448,0.9971592150692714,0.2819837639913638,0.5635208998672941,2.1437255813682263,0.30538125220052165,0.11411846163529928,0.20810104499959575,0.6680297126450424,0.3273339917171726,0.24112129930145385,0.6316299067289608,0.1837424322654277,1.613247188105074,0.2059964404691279,0.2544980867866157,0.5306574702262878,0.41367197538623335,0.2712905372323021,0.11389601892395189,0.008140836044219127,1.3178959293290973,0.007271781292098028,0.008860059987726474
9.0,0.6424359531503063,0.3929830223155829,31.18592,31.18592,0.5412350858791136,0.2966797120018573,0.5388273077066031,2.284051501299935,0.323350591211837,0.11411846163529928,0.22484490122289585,0.6826732280321877,0.35764701294240164,0.2562732886108633,0.6209870304428114,0.16333395209751791,1.4340619947969877,0.20912458386083368,0.2518844221105528,0.5287353992462158,0.41065693887672367,0.2688062419935662,0.11389601892395189,0.009456111610564907,0.8788677074480802,,0.009456111610564907
10.0,0.6404229388068553,0.30985930042716125,34.83648,34.83648,0.9971592150692714,0.27994638725684234,0.5498300500173298,2.20093815981744,0.31197045802553813,0.11411846163529928,0.22465912919283113,0.6716741999651523,0.35538439594465715,0.24699744452818695,0.6433158683450069,0.19503238333366707,1.7123722600338624,0.21075125842910059,0.2581814712336609,0.5288234949111938,0.4091436078881538,0.26743675500484726,0.11389601892395189,0.008049956368402875,1.4234194670571014,0.00736379192041097,0.008606038321983863
