round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_ece,fed_f1_best_threshold,fed_brier,fed_f1_best,fed_auprc,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6881051029210845,0.09050913587393457,3.66096,3.66096,1.0,0.6643928821175028,1.959147661378064,0.3696932855513923,0.5014464645874287,0.23043407110488406,0.28724228016388226,0.21128014581726182,0.10953729933899904,0.26762105252527996,0.6616142866773664,0.21137285968761205,1.8558406315215041,0.27132001125809174,0.274538928085159,0.49315929412841797,0.3657716768689938,0.23103369492270465,0.11389601892395189,0.024879219637384768,2.697759330464578,0.02198072576517909,0.02695693702803189,0.009212346405589497
2.0,0.6639010622889001,0.17601498704588597,7.32192,7.32192,1.0,0.6720271732127485,2.015607168270943,0.37473259683784016,0.5597086392842564,0.23422050941255174,0.297210676368318,0.2175495874732514,0.10953729933899904,0.26903924505683763,0.6655031860799072,0.21635081198110606,1.8995467446984518,0.27371829465731246,0.28305544784800307,0.5278664231300354,0.3711726574225432,0.23530290435867662,0.11389601892395189,0.017544620706537697,2.0373998790259975,0.01684766464106735,0.018126313572813153,0.005636465054244155
3.0,0.6505834655323908,0.28130854481612977,10.98288,10.98288,1.0,0.6734094124477035,2.030563816091849,0.34657790938994404,0.5582398450605367,0.2167406016457075,0.2984593884776678,0.2189886079601466,0.10953729933899904,0.270525042895189,0.6687467550255157,0.22078360873931352,1.9384664260015114,0.2761372705506784,0.283231746855142,0.5280267000198364,0.34362418277555584,0.2183315852369818,0.11389601892395189,0.012107461726404239,1.5031385720612889,0.012227604015396071,0.012099353368351872,0.004522005468562295
4.0,0.6506814506129083,0.38960959837973247,14.64384,14.64384,1.0,0.6755191301962744,2.0560117366254493,0.3528999731699776,0.5493402742986827,0.21986780616790969,0.2952313104266641,0.2211958942024814,0.10953729933899904,0.27529457589531586,0.6693266777399682,0.2221843456256662,1.9507648092074068,0.2807625649913345,0.2828257298117023,0.5184597373008728,0.34962735665622086,0.22115835417902233,0.11389601892395189,0.010349376514818834,1.3592109309311127,0.010822110176097032,0.010072386387946204,0.004465808923610183
5.0,0.6454114399804982,0.30534121094292443,18.3048,18.3048,1.0,0.675575459317571,2.0578696481198833,0.35247476458418164,0.5537270071148537,0.2196255147219257,0.29508332484533584,0.2214655646335887,0.10953729933899904,0.27589786258681415,0.6692289551592528,0.2222870412582919,1.9516664705086177,0.27849264705882354,0.28217759252242014,0.5187910795211792,0.3492542233145035,0.22097343174371886,0.11389601892395189,0.00903941828579322,1.2522574046415684,0.00898182096058364,0.009121522618882095,0.004184754849734173
6.0,0.6469489341750156,0.3914926426239892,21.29488,21.29488,0.8167475197762336,0.676141367705686,2.069510562275564,0.3486246720908534,0.5410787983832962,0.21791875884451026,0.29740585883404724,0.22285628111231498,0.10953729933899904,0.27693965025691514,0.6696462244296764,0.2227415957556837,1.955657430874803,0.27633977397010573,0.2801484230055659,0.5446750521659851,0.34365468412282224,0.21693623531840084,0.11389601892395189,0.008898690662182815,1.016388977644965,0.008511150204077913,0.00929975578673062,
7.0,0.6458291700343306,0.3264411495723631,22.61584,22.61584,0.36082339058607577,0.687872491882371,2.172533108530718,0.3426480441999429,0.5439320436299203,0.2118623302197735,0.3092635422863998,0.23281313979210658,0.10953729933899904,0.28475490866612707,0.6699364681495668,0.2232828088034356,1.9604092479520379,0.27700626766621606,0.28105292020839046,0.5178378224372864,0.3437200372034533,0.21650344038454739,0.11389601892395189,0.008423663332995587,0.49255040660500526,0.011191270015293395,0.008409804570576966,
8.0,0.6458122237213118,0.32300242014583874,26.2768,26.2768,1.0,0.6789328717637586,2.0925806914919387,0.3433299807724353,0.5401502420364177,0.2137136118706661,0.29935030569021814,0.22546584111015278,0.10953729933899904,0.2784257781058886,0.6705618198793254,0.2222831034095199,1.9516318964400137,0.2809255784865541,0.28152969894222946,0.4867607653141022,0.3398719695939278,0.2151656799269719,0.11389601892395189,0.00777073808027068,1.1681314815614314,0.007953412251800893,0.007668556469020053,0.0039960576804765995
9.0,0.6430905461208786,0.3317200642162784,27.59776,27.59776,0.36082339058607577,0.6901825842858809,2.210700563399925,0.3370528923483026,0.5592523579594472,0.20960529658968538,0.3146855442604067,0.23711328525794842,0.10953729933899904,0.2874123243878405,0.6706136742139237,0.22298975458394327,1.9578362500346305,0.2791671799926081,0.28131074701471814,0.5214994549751282,0.3405163648304723,0.21526516093599893,0.11389601892395189,0.009491639696231142,0.6045726952143013,0.011291346381706556,0.00948267769114633,
10.0,0.6410634917377159,0.3903064522982541,30.58784,30.58784,0.8167475197762336,0.6815484427338041,2.110049037255128,0.34493473354922854,0.5439418960994695,0.21510503801165548,0.30326050051006276,0.22760966972340008,0.10953729933899904,0.28000462818024496,0.6694068561871482,0.22219174940037545,1.9508298138913212,0.2756381549484998,0.2797706360848113,0.5315941572189331,0.35245432290440987,0.2233956417956522,0.11389601892395189,0.00784713553975522,1.0556572393979877,0.00760497407700417,0.00808861637097614,
11.0,0.6423792786852618,0.36757580337411955,30.59824,30.59824,0.0028407849307285522,0.6924049834001674,2.2439041369489674,0.34591121727147495,0.553156185994405,0.21695784565073067,0.3135814057584748,0.24018639821701773,0.10953729933899904,0.28952210439925413,0.6693784944262113,0.22214978866441917,1.9504614012255168,0.2761797752808989,0.2805314256515074,0.5233893394470215,0.35158922775662643,0.22275722062365846,0.11389601892395189,0.009376740228895012,0.0033581368434170145,0.0094182196684347,,0.004299431337381449
12.0,0.6447095822808386,0.38282610612915724,34.24384,34.24384,0.9958043791792317,0.6819612808199679,2.138600424508313,0.352147447415632,0.5580259278261853,0.2197209370960558,0.30641805682879353,0.23012746673522316,0.10953729933899904,0.2778741503526545,0.6701633622370632,0.2222092177213157,1.9509831846685026,0.2774961428256557,0.28069226608977826,0.5345231294631958,0.3518652580567842,0.22282142943357558,0.11389601892395189,0.007451971974338117,1.2398811835719243,0.006584856970522066,0.008117806605645284,0.006734032966691856
13.0,0.6408380697831223,0.40264586446224104,34.25424,34.25424,0.0028407849307285522,0.6937183633622759,2.2717734466967143,0.3541965675808496,0.5791663983613394,0.2213708163053725,0.3175252932669782,0.24341387402511258,0.10953729933899904,0.2866531231656735,0.6701186234416029,0.22219942706628337,1.9508972233230155,0.2779003087781209,0.2804977008385177,0.5345450639724731,0.3518027810930059,0.22278517490503563,0.11389601892395189,0.009402011362868739,0.0036371819778651115,0.00946729411430049,,0.0031127452823066643
14.0,0.6409136232039752,0.4246585372885182,35.93376,35.93376,0.4587649141208863,0.6880518213669942,2.197302120617369,0.31924836228797754,0.5266750259316114,0.1991567859306084,0.30809212617558646,0.23680448175971525,0.10953729933899904,0.2883208266438973,0.6709145222205362,0.22348934643929008,1.9622226356174346,0.27926829268292686,0.28159875421749286,0.5108583569526672,0.33997071168747167,0.21429301028006506,0.11389601892395189,0.007137867195802352,0.5580905211627396,0.007132365487777307,0.008218067092740693,0.0019178424637559361
