round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_auroc,fed_f1_best,fed_brier,fed_ece,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6297225066789998,0.11319661738129101,3.66096,3.66096,1.0,0.0,1.8489036911555143,0.11373363544813696,0.2761777513702695,0.6423051070064312,0.2777986226906927,0.11566123873925895,0.13429693829442663,0.20821112520684215,0.6562141822960468,0.20822785750257253,1.8282277069017292,0.0,0.2739018087855297,0.27026674151420593,0.13307866136174515,0.11516364035809237,0.11389601892395189,0.0195396542103461,2.124244320264552,0.019969088139526282,0.019389855869688583,0.00690651742886554
2.0,0.6246359762659512,0.3694999442220438,7.32192,7.32192,1.0,0.0,1.926454426626706,0.11373363544813696,0.23116266826113302,0.6534520918572191,0.28541671084580594,0.10338886969529562,0.0809543418211718,0.2168739786941001,0.6629895183465204,0.2188961166514265,1.9218943622391484,0.0,0.2827586206896552,0.22532600164413452,0.07883806021743371,0.10297622459009294,0.11389601892395189,0.013012925746696026,1.4854488447890617,0.013618800171481085,0.01268430010569297,0.004425130637288017
3.0,0.6338641225286462,0.5786625293195702,10.98288,10.98288,1.0,0.0,1.9527545191390363,0.11373363544813696,0.2151119099209631,0.6571488031372107,0.2904877640235866,0.10124272212389479,0.0678560572154895,0.2197510319632589,0.6653070381491788,0.22235289949021095,1.9522447017105617,0.0,0.2824873425937946,0.20310468971729279,0.06649410596919941,0.10086506538099656,0.11389601892395189,0.010600992539716124,1.2689199651940726,0.011227157126144383,0.010206930085386222,0.00532722771384799
4.0,0.6408423900644445,0.5809302174487925,14.64384,14.64384,1.0,0.0,1.985066419026563,0.11373363544813696,0.2138164932591032,0.6603174069773952,0.29192244194217454,0.10089145556200228,0.06663517442213938,0.2233985497111413,0.6669593742622492,0.22460790147151827,1.9720434796012356,0.0008833922261484099,0.28255722178374115,0.2047591209411621,0.06478832901177363,0.10053134489166866,0.11389601892395189,0.011009471208349678,1.386933388072066,0.010099772157870468,0.011736736430263158,0.00623649706771043
5.0,0.6429598025985792,0.5875018244047017,18.3048,18.3048,1.0,0.014141935726959464,2.029868857182728,0.11373363544813696,0.21399553858722892,0.6636706929983115,0.2929472465838795,0.09924947435469408,0.05533319937247193,0.22816283607705387,0.6684889139900234,0.22634750435358802,1.9873170852856563,0.012248468941382326,0.2848548260528381,0.19209174811840057,0.05257405349858676,0.0989512564839656,0.11389601892395189,0.009462686620179751,1.2683066071476787,0.008638159019034152,0.010133500422874914,0.006293299466437046
6.0,0.646169054870354,0.6296012574628412,21.96576,21.96576,1.0,0.014141935726959464,2.058349607786718,0.11373363544813696,0.22117639404664347,0.6659930683560599,0.29601313158874215,0.10120995893736312,0.07303989849504447,0.23164810959304274,0.668480267417773,0.2268584414410657,1.9918030813046992,0.012243113248797552,0.28522961347388825,0.2055838257074356,0.06968779299992987,0.10108436770800877,0.11389601892395189,0.009280836565900057,1.314452277845703,0.008157572431773862,0.010220553849917432,0.005876540680908231
7.0,0.6356420730721707,0.5649621736244818,25.62672,25.62672,1.0,0.019639512731754495,2.075448630066181,0.11373363544813696,0.20820332206373007,0.6673874635319117,0.29546169726505767,0.10057586872452397,0.06947728064805006,0.23416106940583412,0.6662859706817701,0.22596959525859373,1.9839990668108698,0.0156794425087108,0.2830940988835726,0.20426206290721893,0.06601686751910296,0.10067665023912253,0.11389601892395189,0.008942898713590641,1.3457527382997796,0.007819774018076793,0.009914056776355188,0.00573976302216068
8.0,0.6430642846311845,0.612931281584833,29.28768,29.28768,1.0,0.040751017562456825,2.099762011590241,0.11373363544813696,0.20973974778828064,0.6706680398208211,0.2978404361433372,0.0997319194895221,0.062030958505192614,0.2367431494151341,0.6669734296482002,0.22734475669963614,1.9960728991891605,0.04334891627709307,0.28406633020908434,0.20109941065311432,0.05897556740513679,0.09989916347451518,0.11389601892395189,0.008758242858459697,1.3997110872878693,0.007546039788409627,0.009855762005827716,0.004916155202502293
9.0,0.6415988014074648,0.7963906589030876,32.94864,32.94864,1.0,0.04798721374390546,2.087051636931803,0.11373363544813696,0.20038875192263114,0.6719071209735926,0.29886959519624495,0.0996597514239875,0.06190843197323891,0.2360188613162035,0.667347779793666,0.22560801167106126,1.9808243852816243,0.04804045512010114,0.28498035660320337,0.2014712393283844,0.059195540764397335,0.099877209193839,0.11389601892395189,0.008895620399812348,1.5140020197140984,0.007512447267386167,0.010189026393088359,0.004857815056973969
10.0,0.6444646859954444,0.7960167809265604,36.6096,36.6096,1.0,0.07617678604012201,2.123960851540473,0.11373363544813696,0.1974807774905052,0.672545845358175,0.3007980492496045,0.0986690663683237,0.05422726841767722,0.2399053993070576,0.6672480242017682,0.2259100030188192,1.9834758506323105,0.07745617611088464,0.2850692354003612,0.19120357930660248,0.05079705159192662,0.09916076872312188,0.11389601892395189,0.007579118270825109,1.3734724574605934,0.006427138876229208,0.008686521622182603,0.005111902051565734
