round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_brier,fed_auprc,fed_f1,fed_ece,fed_auroc,fed_f1_best,fed_prevalence,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6888621260713552,0.08964452954983544,3.66096,3.66096,1.0,1.9639697491905987,0.23028294195876223,0.21169938097551508,0.2663739672183513,0.36910413120353525,0.6645232200532033,0.28744667059999296,0.10985206169342146,0.5020935125121314,0.6616325837780064,0.2113942238943164,1.8560282079346762,0.2712871287128713,0.2742913726946404,0.4928445816040039,0.36543242639417506,0.2307847692763958,0.11389601892395189,0.024793867895575233,2.688986126403961,0.021938926068399693,0.026841779921659644,0.009189308426856871
2.0,0.6661253353304886,0.1685959394167733,7.32192,7.32192,1.0,2.0151719224663354,0.23288152903668158,0.21755692102038976,0.2707088749095795,0.372471905236804,0.6722194370959929,0.29638411007487486,0.10985206169342146,0.5608866894868023,0.6656111741121477,0.21627292011386268,1.898862858922818,0.2756269247690277,0.28321092642700685,0.5245018601417542,0.36906295493706354,0.23376085497072488,0.11389601892395189,0.017589161039710595,2.042391292891807,0.016863208957445343,0.018188719432467033,0.005776706907441623
3.0,0.6520418780888859,0.3782135203655087,10.98288,10.98288,1.0,2.030836657056793,0.22167698392158267,0.21918151718428083,0.2706762684602479,0.3532565420468273,0.6737735833674099,0.2967961585176472,0.10985206169342146,0.5665421506932293,0.6685874899334574,0.22069693577053484,1.9377054426976388,0.27551467367498905,0.28236279849183077,0.5512950420379639,0.35028184344075664,0.22289413116627355,0.11389601892395189,0.011741957906859894,1.4587775345289629,0.012163570878071912,0.011528208397196685,0.0045043519743365994
4.0,0.6460930489850585,0.3672400484728779,14.64384,14.64384,1.0,2.041256959715294,0.22301040441347644,0.22065385835889936,0.27133996133423793,0.35674286343820966,0.6749973821236607,0.29465858875728707,0.10985206169342146,0.5462134437756903,0.669742428526731,0.22230290280500858,1.951805733907519,0.2786181982388801,0.28467419002548233,0.5141405463218689,0.3536398771982847,0.22396073657256857,0.11389601892395189,0.01052685178458769,1.3810809443457401,0.010588915102369695,0.01053389511299375,0.004873451874182628
5.0,0.6449127774617038,0.31799437148664983,18.3048,18.3048,1.0,2.0470397143586068,0.21891966496321544,0.2215908052405302,0.270766166611034,0.3497501248856704,0.6762566412110605,0.2979051916204955,0.10985206169342146,0.5607716100167883,0.6693519272368732,0.22235496333664667,1.952262822154588,0.27734375,0.27950405632940456,0.560767412185669,0.3468412303397782,0.22025326010588803,0.11389601892395189,0.008920909877324957,1.2351425834276597,0.008663763273109843,0.009150027764066121,0.003833802785724014
6.0,0.64463966429727,0.4031868360975676,21.96576,21.96576,1.0,2.0540203655006297,0.21982173707251507,0.22239576261958405,0.27869275322124043,0.3507374158211762,0.6765421374123453,0.297241366267885,0.10985206169342146,0.54613755958839,0.6698908634419362,0.22304772360172345,1.9583452144245,0.27943342776203967,0.28078007518796994,0.5077943801879883,0.34761814786507195,0.220973174667583,0.11389601892395189,0.009069697224499575,1.3228045884434323,0.008565409980217485,0.009486305494446198,0.0044220562079406315
7.0,0.6456937670201118,0.37386777601311383,25.62672,25.62672,1.0,2.0842527858820024,0.2114835950173415,0.22550090306770662,0.2805132798148696,0.3412413090176654,0.6793103777753282,0.29959681983402114,0.10985206169342146,0.53207360960644,0.6703833917744568,0.22401084265904145,1.966801340164602,0.2790132458378904,0.2818375020434854,0.5464606881141663,0.33766004965373003,0.21261105791188842,0.11389601892395189,0.007956857702115721,1.2273992587615794,0.007900554302042524,0.008026120472595847,0.004478599757584094
8.0,0.6412535906891932,0.3284481662274509,29.28768,29.28768,1.0,2.098222455447233,0.21067785014349422,0.22708100365439557,0.2826916996672548,0.33823919259680124,0.6803338436856309,0.29998390697919564,0.10985206169342146,0.5587776955471572,0.6704053407655538,0.22301216995040174,1.958033055565414,0.2788379725294761,0.2818033030798988,0.54047030210495,0.3347425592997706,0.21201248872162448,0.11389601892395189,0.008122629058628643,1.322774542019033,0.0073223162925577494,0.00879969435941649,0.004635480344596411
9.0,0.6446120551853832,0.4136199942456701,32.94864,32.94864,1.0,2.1095324204487165,0.21122525019256452,0.22865005321460477,0.28201204274797664,0.3380341662572997,0.6817443416886763,0.3035801922718706,0.10985206169342146,0.5667422985520272,0.6708215684314827,0.22334179466130694,1.960927140135001,0.2806030603060306,0.28196896736222576,0.5338921546936035,0.33475843118848203,0.21284040963180115,0.11389601892395189,0.008665193723847286,1.4983189293543546,0.007211649525770522,0.009916251115676891,0.004217490013280071
10.0,0.6452217724478615,0.47637102331245346,36.6096,36.6096,1.0,2.119671707253508,0.21887418894108987,0.22976535305187676,0.2778599896237383,0.3507562811377666,0.6833186741388899,0.3029070069555252,0.10985206169342146,0.559405789099139,0.6699243579286356,0.22235761564316953,1.9522861092417743,0.27751615376190997,0.2809716599190284,0.539249837398529,0.34757958457186633,0.22062782026098862,0.11389601892395189,0.008234974877869287,1.5187748900352744,0.006541853145809131,0.009713650743552406,0.0038955935508599906
11.0,0.6415938379994264,0.40974392863566556,40.27056,40.27056,1.0,2.1552705353514297,0.21596310555735074,0.2334209275599849,0.283640790741078,0.3457901614320927,0.6851022015405369,0.30476226837808285,0.10985206169342146,0.542899438291366,0.6712891610033919,0.2229615724491215,1.9575888126343768,0.27908533184606804,0.2813065219704224,0.4900214374065399,0.34273091638443404,0.21798181097093208,0.11389601892395189,0.007524016520196992,1.4748118995667028,0.005966744872625845,0.00889648217536201,0.006309764671261825
12.0,0.6432029131865988,0.4761321693926345,43.93152,43.93152,1.0,2.1646048975025076,0.21573545333716815,0.2346880628675777,0.28567627349220703,0.34580468656902685,0.6861699429711686,0.3083333679220179,0.10985206169342146,0.5707285989351456,0.6705806817052937,0.22194636519320204,1.948675355732979,0.2774770794211863,0.2808456117873158,0.5307609438896179,0.3426583621491002,0.2179819859367931,0.11389601892395189,0.007438499194045419,1.5442964784251672,0.0059405796519432395,0.008793902722194456,0.004532163138361436
13.0,0.6418156814615371,0.47959095014828457,47.59248,47.59248,1.0,2.2026197581534617,0.217350179449741,0.23917882138575203,0.286183272513096,0.34808884537985463,0.6901296922903253,0.310600886577405,0.10985206169342146,0.551672501801544,0.6713326950514852,0.2233509394383627,1.961007430711811,0.27958679541881876,0.28656716417910444,0.5696685314178467,0.34481957547542486,0.21983912546036935,0.11389601892395189,0.0066946530912262,1.4780316815722472,0.0052992142189245955,0.007979508966104413,0.0038117193169930437
