round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc,fed_prevalence,fed_auroc,fed_ece,fed_f1,fed_auprc_lift,fed_f1_best_threshold,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885364157970164,0.11175580445751573,3.65056,3.65056,0.9971592150692714,0.27314299303035117,0.1936882858288628,0.1135448136958711,0.6204402849135787,0.3819112931486042,0.2428000431837698,1.702278336650009,0.5130466539412737,0.2451482636828896,0.37106241499942605,0.08526064148286802,0.7485831575886455,0.1441095890410959,0.2045002711006687,0.46918970346450806,0.386832400662195,0.25100525608674096,0.11389601892395189,0.0278347372829693,2.986414746614173,0.02349515845448399,0.03070134849291505
2.0,0.6826652898089628,0.13898526792949947,7.30112,7.30112,0.9971592150692714,0.2870485502539104,0.21363310102975666,0.1135448136958711,0.6488972874870101,0.37163442351798126,0.25278328165708835,1.9040808249643957,0.5383996270964633,0.23676363486366997,0.3320991533186096,0.07966887545503469,0.699487797797651,0.1390065696567815,0.2045002711006687,0.42171013355255127,0.39149833355350006,0.2554886495114833,0.11389601892395189,0.018821609568520286,2.14212655602023,0.016217253754312436,0.020556426875554555
3.0,0.6749881543334786,0.18890427344845576,10.95168,10.95168,0.9971592150692714,0.29608857496150887,0.22249547651224763,0.1135448136958711,0.6634141725309571,0.37488589205658146,0.26233250142742043,1.989955419738048,0.5624152659499513,0.23846703547754058,0.32805676157181185,0.0790761998814163,0.6942841429270262,0.13612695264071412,0.2045002711006687,0.3661766052246094,0.39187742514353263,0.25681813189298225,0.11389601892395189,0.013124269346167087,1.6013944507576525,0.012224560149109158,0.01374156326027954
4.0,0.6671855239065472,0.2077021166219871,14.60224,14.60224,0.9971592150692714,0.29954991251716884,0.22896564870871816,0.1135448136958711,0.6681009339492794,0.3592271104685714,0.27339835627229997,2.081230183347508,0.537597956829906,0.22630013222193343,0.3357681486782742,0.08025738739743105,0.7046548962437285,0.1321405750798722,0.2045002711006687,0.3168271481990814,0.3849271197396788,0.25095602545778756,0.11389601892395189,0.010465968894015593,1.3627650199923664,0.010083609973550236,0.010739432219819432
5.0,0.6584938842373362,0.20433219192628763,18.2528,18.2528,0.9971592150692714,0.3003930864458441,0.23173085990669737,0.1135448136958711,0.6714214222955059,0.34007697981901375,0.2789289996527679,2.0826973040444012,0.5465487274514794,0.21383535459562736,0.3322574395534323,0.07986248297359473,0.7011876598331214,0.13960419647114927,0.2045002711006687,0.3654704689979553,0.3872777955333121,0.25262346385410417,0.11389601892395189,0.009995828821397169,1.3793264424894005,0.0096268461196401,0.010271745808769517
6.0,0.6535345126383283,0.2728921158441656,18.2528,18.2528,0.0,0.3150029031096169,0.24819016479992917,0.1135448136958711,0.6876618874717056,0.3439365040509955,0.2887790191985775,2.24492357786702,0.5739622861334506,0.21668302227828962,0.3322574395534323,0.07986248297359473,0.7011876598331214,0.13960419647114927,0.2045002711006687,0.3654704689979553,0.3872777955333121,0.25262346385410417,0.11389601892395189,0.0,0.0,,
7.0,0.6548405623618595,0.29968860724251206,21.90336,21.90336,0.9971592150692714,0.3054109269265675,0.23744553834527352,0.1135448136958711,0.6753800072427516,0.35061116004315807,0.2818284318032554,2.133118848119896,0.5488925088208247,0.22028989670476148,0.34845961001624953,0.08367062410887346,0.7346229034110503,0.09389819791337338,0.2045002711006687,0.3363533914089203,0.3796678652634492,0.24655924026576784,0.11389601892395189,0.00838714586765555,1.2308524730615318,0.008184408728458752,0.008545163989263608
8.0,0.6483184607803933,0.2638487288769996,21.90336,21.90336,0.0,0.31892705017078343,0.2517021742623979,0.1135448136958711,0.6901497873420834,0.3241341345538343,0.2991488999497764,2.2717505346853426,0.540234096980422,0.20288615574904248,0.34845961001624953,0.08367062410887346,0.7346229034110503,0.09389819791337338,0.2045002711006687,0.3363533914089203,0.3796678652634492,0.24655924026576784,0.11389601892395189,0.0,0.0,,
9.0,0.647078290931599,0.30637675222487043,25.55392,25.55392,0.9971592150692714,0.3089241993283241,0.24057730004539882,0.1135448136958711,0.6775817906911038,0.33719758842607506,0.28324079616867764,2.160148215715719,0.5668927984948067,0.21283799909865764,0.3271195685157146,0.07931103404469342,0.6963459723526352,0.11158664695354448,0.2045002711006687,0.3206677734851837,0.3817172161321694,0.24875461165902127,0.11389601892395189,0.008352499501668552,1.2934317076578736,0.007611305166237288,0.008951320092550858
10.0,0.6447194592473393,0.333377535430337,25.55392,25.55392,0.0,0.32264047454855554,0.2591413356656373,0.1135448136958711,0.6917424967235031,0.32705240124088136,0.2940112579964966,2.3406177947247486,0.5436659528567171,0.2050657937920275,0.3271195685157146,0.07931103404469342,0.6963459723526352,0.11158664695354448,0.2045002711006687,0.3206677734851837,0.3817172161321694,0.24875461165902127,0.11389601892395189,0.0,0.0,,
