round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auroc,fed_auprc_lift,fed_f1,fed_auprc,fed_brier,fed_f1_best,fed_prevalence,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6895075316617578,0.09692278127393213,0.91652,3.66096,1.0,0.5103456047396404,0.6498058434636376,1.927400969669896,0.2611724301010028,0.2129797518655328,0.23363855602606426,0.28560812625934456,0.11360775427995973,0.3694892632742182,0.6587718609566928,0.21521395102540844,1.889565175839081,0.27588652482269505,0.27882660470519893,0.5119473338127136,0.36782139691512633,0.23257216308170844,0.11389601892395189,0.02537354272280793,2.747929097042288,0.022284802260106325,0.027618479776828228,0.010128929558040135
2.0,0.6640844830072671,0.18552599888857552,1.83304,7.32192,1.0,0.5029729715429343,0.6566603942645924,1.953542907971667,0.2683831803657397,0.21736604933968254,0.20390957504847793,0.29141749561000807,0.11360775427995973,0.32620619868809003,0.6631750368916233,0.22119322676214187,1.9420628469010148,0.28002926115581567,0.2805020920502092,0.5207681655883789,0.3239268715803166,0.2024686418496036,0.11389601892395189,0.016011678851618645,1.8612016112256242,0.01591548645073581,0.01618398923002014,0.005828713715605497
3.0,0.6537052091696961,0.291644174693409,2.74956,10.98288,1.0,0.537688721697271,0.6601226875085688,1.991431878774079,0.2709516650606566,0.22234774939839375,0.22101717953493927,0.29640978642724464,0.11360775427995973,0.35082875570415517,0.6656078359579843,0.2237091966484373,1.9641529068527621,0.27849297271760953,0.28204442065828206,0.5210322737693787,0.3486363729370625,0.21958578450369015,0.11389601892395189,0.011801111306043896,1.468169151510665,0.012196163517402539,0.011603400112008515,0.004129952002499025
4.0,0.6515457115121174,0.3227297062397311,3.66608,14.64384,1.0,0.5332127836498189,0.6617292095802982,1.9979057019633224,0.2725144911957377,0.2243881791260217,0.21633568397952066,0.29620536686101895,0.11360775427995973,0.34346105851615655,0.6659387022531638,0.22371168777533923,1.964174778792848,0.2783036263060848,0.28083273510409185,0.52972811460495,0.34111214087716085,0.21510313495044892,0.11389601892395189,0.009910834336717255,1.3124482902294403,0.010192105275309254,0.0097670077915477,0.003735288630859644
5.0,0.6459901342381593,0.36420167661561614,4.5826,18.3048,1.0,0.5318076317250158,0.6643302381594192,2.007077323352293,0.27697309481376525,0.22604702261636722,0.21025667159853298,0.298258980156081,0.11360775427995973,0.3342560911260372,0.6676175804566685,0.22520277108014075,1.9772663979634628,0.2814853284861075,0.2844324809331539,0.5302114486694336,0.3319278602936025,0.20902731129604188,0.11389601892395189,0.008591588326588606,1.2072972207679413,0.008572133534603224,0.008638973096468086,0.0049412961885677825
6.0,0.6483460599809947,0.32134730981669224,5.49912,21.96576,1.0,0.5523031422566371,0.6674522218664295,2.0235958874710573,0.2764159344239979,0.22831699232303082,0.21622875063529015,0.2991498709278457,0.11360775427995973,0.3432982731948176,0.6676385129421742,0.22453146029678311,1.9713723308160775,0.2798373594833772,0.28402366863905326,0.5182871222496033,0.3412815012662854,0.21538728227387802,0.11389601892395189,0.007975928774527555,1.1826418733289756,0.007949455195022303,0.008034956705888642,0.0034949968165326733
7.0,0.6434135550162831,0.30605441119847465,6.41564,25.62672,1.0,0.5459687434013066,0.6682028101222156,2.0308796070279986,0.279531486080129,0.22949974610645524,0.22030850950006403,0.29758419274264303,0.11360775427995973,0.3501251078457435,0.666858426472436,0.22429940154796965,1.969334869357759,0.2818215293973242,0.2827116637063351,0.5343719720840454,0.3482100234178851,0.21963602750874653,0.11389601892395189,0.008057593842280969,1.2653783424739231,0.007555281040616625,0.008498680199350347,0.004083649636208755
8.0,0.6450035965030161,0.3135426496853486,7.33216,29.28768,1.0,0.548047643860151,0.6691464904859489,2.0471944505294513,0.27760325549608483,0.2314851150700313,0.21020201367552824,0.30149518631242184,0.11360775427995973,0.33177431353320036,0.6669468624588623,0.22384668931067161,1.965360083921226,0.2794044665012407,0.2818736141906874,0.5264968276023865,0.32947340691864807,0.20960242818061936,0.11389601892395189,0.008089725951103187,1.3545419117253914,0.007046557071586804,0.009004478637072067,0.0036132818434340226
9.0,0.6477723141521686,0.4240643707536316,8.24868,32.94864,1.0,0.5385143552463191,0.6722671704326023,2.066354512118733,0.2786693451746072,0.23342063465740415,0.21433982830760173,0.30427541733164687,0.11360775427995973,0.340288828788297,0.6666533935298742,0.22417424341113418,1.9682359886592244,0.2791152389099352,0.28189550425273396,0.5193667411804199,0.33824100165867743,0.2141773008537232,0.11389601892395189,0.008026962234464705,1.4250255875367657,0.006892626462821385,0.009044080210371992,0.0034600906586045193
10.0,0.648714790908964,0.38529520509663745,9.1652,36.6096,1.0,0.559230396929239,0.6747484127312097,2.101442781125317,0.27802289405864405,0.23765551471530208,0.2204364585496812,0.3048653191499708,0.11360775427995973,0.34946838665701085,0.6684314124021412,0.22357433909706673,1.9629688658946614,0.28058877644894203,0.2853455692572412,0.5455886721611023,0.34765438911128144,0.2205675233530644,0.11389601892395189,0.007494391552488925,1.4112704444560222,0.0067068805736641415,0.008230619109684227,0.0027506767012119965
