round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_ece,fed_prevalence,fed_auprc,fed_auroc,fed_f1_best_threshold,fed_f1,fed_brier,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6887027421394591,0.08897419782790526,0.9136,3.65056,0.9971592150692714,0.2639083576059566,0.3848712451565127,0.11462201800214007,0.18148977283337328,0.6014642529233439,0.5058131785733273,0.1888567133805614,0.24832524895474964,1.589696206051977,0.5296509284661673,0.14406496630296234,1.2648814915923812,0.2045002711006687,0.20503721228251764,0.5307548642158508,0.41983947982377223,0.27710126280784325,0.11389601892395189,0.027234178488570102,2.908193175215274,0.02277952534229602,0.03021642181913042
2.0,0.6818493075038264,0.10702104424184963,1.8272,7.30112,0.9971592150692714,0.2913247668082989,0.36453499234502296,0.11462201800214007,0.2131010843520521,0.648053249051632,0.5152351062184665,0.2300920446334172,0.23234335846359716,1.8857354871179826,0.6553846384369929,0.21044946819372803,1.8477333113306151,0.21015861027190333,0.27367883584375796,0.532536506652832,0.4107082897316402,0.2682424387160401,0.11389601892395189,0.019494724433576843,2.204592443536967,0.015557693971233915,0.02214464409097496
3.0,0.6676443460010327,0.17431522014802642,2.7408,10.95168,0.9971592150692714,0.29413175305081696,0.36780009940740266,0.11462201800214007,0.22435690970200442,0.6562550883475452,0.5390299624952365,0.25927811335682793,0.23412961648404768,1.9858294389475812,0.6559011613212445,0.21197151666264552,1.8610968027265151,0.20787299229412312,0.2703186996032254,0.5353963971138,0.4143907059432336,0.2712227329507427,0.11389601892395189,0.014216160490195518,1.7298386609181762,0.012939358204322527,0.015089498586910052
4.0,0.65992836062587,0.22427830593381937,3.6544,14.60224,0.9971592150692714,0.30046184783651064,0.34530408554191344,0.11462201800214007,0.22757140492493003,0.6580069607550085,0.5436789397870856,0.2694229904621713,0.2199243337459397,2.0084157552990907,0.6570132058884637,0.21108083064149472,1.8532766345629068,0.20539900760231256,0.2720098643649815,0.5346558690071106,0.4144601372127187,0.27145554589358634,0.11389601892395189,0.011618297019873259,1.5038404834922403,0.010335174361243907,0.012532794355441771
5.0,0.65092427551809,0.26444578367482807,4.568,18.2528,0.9971592150692714,0.30354137349983085,0.34045978016457745,0.11462201800214007,0.22994990813379915,0.6603401624667462,0.5300940478876793,0.27652889142043907,0.21523139282180026,2.02588705244427,0.6556571623310236,0.20947047851960027,1.8391378425567555,0.20640080582390916,0.271326362135388,0.5341324806213379,0.4130374541882749,0.2703056121244524,0.11389601892395189,0.009970097410158096,1.3762971148826182,0.009691364483699066,0.010175253116008302
6.0,0.6460036731771891,0.27915869945288796,4.568,18.2528,0.0,0.31278933773269146,0.31842174179452903,0.11462201800214007,0.24306285080376852,0.6737312996264255,0.5484024743144038,0.2833027300147253,0.20403330778594575,2.1476523326766026,0.6556571623310236,0.20947047851960027,1.8391378425567555,0.20640080582390916,0.271326362135388,0.5341324806213379,0.4130374541882749,0.2703056121244524,0.11389601892395189,0.0,0.0,,
7.0,0.6290827612294565,0.3689583769735851,4.568,18.2528,0.0,0.3188019131019864,0.359120256459005,0.11462201800214007,0.25242354916023196,0.6832809549075475,0.5811876470355904,0.2823687477559146,0.22953260760996258,2.241268041556656,0.6556571623310236,0.20947047851960027,1.8391378425567555,0.20640080582390916,0.271326362135388,0.5341324806213379,0.4130374541882749,0.2703056121244524,0.11389601892395189,0.0,0.0,,
8.0,0.6149770772814637,0.516974953117477,4.568,18.2528,0.0,0.3239758059842329,0.3100179142628833,0.11462201800214007,0.2666297180761194,0.6932800461474707,0.5408127041608741,0.29821733135825285,0.19894724275402093,2.3693284451857766,0.6556571623310236,0.20947047851960027,1.8391378425567555,0.20640080582390916,0.271326362135388,0.5341324806213379,0.4130374541882749,0.2703056121244524,0.11389601892395189,0.0,0.0,,
9.0,0.6478372132661316,0.29560361426947585,5.4816,21.90336,0.9971592150692714,0.30382697907481315,0.35959504275825593,0.11462201800214007,0.2330958665953498,0.663146889969868,0.5378637395875601,0.2736975031471674,0.22768532269796785,2.0497495404223,0.6578356216589282,0.20962566658923418,1.8405003842074652,0.20632447296058662,0.2748616719007028,0.5325801968574524,0.4120259252094445,0.2696781399618074,0.11389601892395189,0.008912778158921933,1.2994388293009251,0.0075260417085380935,0.00997348576222256
10.0,0.6422899393861148,0.2566977181901565,5.4816,21.90336,0.0,0.31739546236849947,0.34814268287664957,0.11462201800214007,0.24897682395578238,0.677043188293335,0.5564440113992998,0.28450085941834663,0.21990546049255255,2.1968900823144764,0.6578356216589282,0.20962566658923418,1.8405003842074652,0.20632447296058662,0.2748616719007028,0.5325801968574524,0.4120259252094445,0.2696781399618074,0.11389601892395189,0.0,0.0,,
11.0,0.6296815328136305,0.31001692620686455,5.4816,21.90336,0.0,0.32427115053839095,0.3517778889081053,0.11462201800214007,0.2565556929081071,0.6851938715187393,0.5625960719910321,0.28925957123792595,0.2249113918463992,2.275828858845549,0.6578356216589282,0.20962566658923418,1.8405003842074652,0.20632447296058662,0.2748616719007028,0.5325801968574524,0.4120259252094445,0.2696781399618074,0.11389601892395189,0.0,0.0,,
12.0,0.6128321346836664,0.5162140507004541,5.4816,21.90336,0.0,0.33068829423459367,0.3377519563098573,0.11462201800214007,0.27129864540426096,0.6983279460828602,0.5908676076244509,0.29814808115179675,0.21376380105275725,2.4118185571353052,0.6578356216589282,0.20962566658923418,1.8405003842074652,0.20632447296058662,0.2748616719007028,0.5325801968574524,0.4120259252094445,0.2696781399618074,0.11389601892395189,0.0,0.0,,
13.0,0.6422676339314688,0.28612865203073734,6.3952,25.55392,0.9971592150692714,0.3059763661143296,0.34720276180114734,0.11462201800214007,0.2363338778257199,0.6650854726820831,0.5484792350045666,0.2773374615775269,0.22047790144534637,2.076941128648977,0.6576079118570684,0.21073906916762117,1.850275989965296,0.2071283846012157,0.2760125460248193,0.5335367321968079,0.41178502540138634,0.26927551329990584,0.11389601892395189,0.008936763473037002,1.3787200457882136,0.007012934220351066,0.010432670849665518
14.0,0.6408340251960862,0.349308118156402,6.3952,25.55392,0.0,0.3145769806000424,0.3106469390690495,0.11462201800214007,0.25151895396617907,0.6780468200072136,0.559632270732865,0.2898788994610681,0.19965218734603343,2.2220839302997484,0.6576079118570684,0.21073906916762117,1.850275989965296,0.2071283846012157,0.2760125460248193,0.5335367321968079,0.41178502540138634,0.26927551329990584,0.11389601892395189,0.0,0.0,,
15.0,0.6213687191174111,0.3928805117285363,6.3952,25.55392,0.0,0.327107153122607,0.3503174626340492,0.11462201800214007,0.26715656166588503,0.6920973279028406,0.5700058775539553,0.29079707032269037,0.22282535951412724,2.375138974737617,0.6576079118570684,0.21073906916762117,1.850275989965296,0.2071283846012157,0.2760125460248193,0.5335367321968079,0.41178502540138634,0.26927551329990584,0.11389601892395189,0.0,0.0,,
16.0,0.6007373235624616,0.4624078275754492,6.3952,25.55392,0.0,0.33541633041522406,0.32805111169903106,0.11462201800214007,0.27968473831258744,0.7008129398885959,0.5820502026337557,0.3033196134045694,0.20905318107373436,2.4878008178702173,0.6576079118570684,0.21073906916762117,1.850275989965296,0.2071283846012157,0.2760125460248193,0.5335367321968079,0.41178502540138634,0.26927551329990584,0.11389601892395189,0.0,0.0,,
17.0,0.6418250616307872,0.39739849024964946,7.3088,29.20448,0.9971592150692714,0.30603412838899857,0.3357070536856429,0.11462201800214007,0.24015775882951634,0.6671158121518224,0.543800329470969,0.28029829078647733,0.2133962189459718,2.1093730600964644,0.6561254827711338,0.20706392438019466,1.8180084460937196,0.20907260896025467,0.27339403136064744,0.5302266478538513,0.40873561534861674,0.26701549375793815,0.11389601892395189,0.008669838893211912,1.4262317582033575,0.006656060983593694,0.010256159372156761
18.0,0.6364551251407291,0.40688433255088646,7.3088,29.20448,0.0,0.32367213462311917,0.34187545442017275,0.11462201800214007,0.2573721025007664,0.680557430131213,0.5542173601835618,0.2922800979822354,0.21560338592916092,2.273104067415899,0.6561254827711338,0.20706392438019466,1.8180084460937196,0.20907260896025467,0.27339403136064744,0.5302266478538513,0.40873561534861674,0.26701549375793815,0.11389601892395189,0.0,0.0,,
19.0,0.6194638480286866,0.45399389291270353,7.3088,29.20448,0.0,0.3278603051668816,0.3316825665502473,0.11462201800214007,0.27255427380419006,0.6923431534735842,0.5764944578324629,0.2936919442918618,0.21019672165822562,2.4167486166635737,0.6561254827711338,0.20706392438019466,1.8180084460937196,0.20907260896025467,0.27339403136064744,0.5302266478538513,0.40873561534861674,0.26701549375793815,0.11389601892395189,0.0,0.0,,
20.0,0.6015907719204588,0.550910380772415,7.3088,29.20448,0.0,0.3412605884769872,0.3087376021600647,0.11462201800214007,0.29054927690077226,0.7043426460992172,0.5754172625374805,0.308220835131516,0.19672468866207052,2.586338649741666,0.6561254827711338,0.20706392438019466,1.8180084460937196,0.20907260896025467,0.27339403136064744,0.5302266478538513,0.40873561534861674,0.26701549375793815,0.11389601892395189,0.0,0.0,,
21.0,0.638530316999091,0.4582346062888685,8.2224,32.85504,0.9971592150692714,0.30799153896928433,0.3201354938746999,0.11462201800214007,0.24379219890643408,0.6688975509975906,0.5421529714719924,0.2869223080549386,0.20267721417235562,2.1371729452119124,0.6542449223286823,0.19904977075394037,1.747644673049068,0.2109479305740988,0.27369281045751637,0.5288730263710022,0.4066986578871819,0.2654119289981136,0.11389601892395189,0.008245421936519193,1.4380280352197587,0.006257280067693896,0.009828301163325542
22.0,0.6409797843394929,0.5161303400611316,8.2224,32.85504,0.0,0.3213149719758571,0.33379279501942977,0.11462201800214007,0.2631156710069892,0.6848790621582679,0.5586704691653809,0.29524304010643926,0.21133644957640235,2.320563411536876,0.6542449223286823,0.19904977075394037,1.747644673049068,0.2109479305740988,0.27369281045751637,0.5288730263710022,0.4066986578871819,0.2654119289981136,0.11389601892395189,0.0,0.0,,
23.0,0.620651078156726,0.4737065579677561,8.2224,32.85504,0.0,0.3300838548400692,0.3289471838744397,0.11462201800214007,0.2780273973571305,0.6965206874962968,0.558806283811104,0.2991785090584857,0.20610068948912236,2.4609508925463115,0.6542449223286823,0.19904977075394037,1.747644673049068,0.2109479305740988,0.27369281045751637,0.5288730263710022,0.4066986578871819,0.2654119289981136,0.11389601892395189,0.0,0.0,,
24.0,0.5985781267772426,0.5535090887161195,8.2224,32.85504,0.0,0.3430906612104067,0.314846394237715,0.11462201800214007,0.29482930341777375,0.7102440754692768,0.5641191070049938,0.3114754568994138,0.20027703251016354,2.621315438297265,0.6542449223286823,0.19904977075394037,1.747644673049068,0.2109479305740988,0.27369281045751637,0.5288730263710022,0.4066986578871819,0.2654119289981136,0.11389601892395189,0.0,0.0,,
25.0,0.6365344893639315,0.5085581750628538,9.136,36.5056,0.9971592150692714,0.3094946134320146,0.3336170137828049,0.11462201800214007,0.24940464855402472,0.6723997201155342,0.5386895191799275,0.28363208436827336,0.21104555331432803,2.1845588880560363,0.6526096911183363,0.19788532484968444,1.7374209100478921,0.20878606219557888,0.2718107272482861,0.5307848453521729,0.4088746987973577,0.26721330556531714,0.11389601892395189,0.006931242992488147,1.2805790855782107,0.005458662569858999,0.008120404436002425
26.0,0.6379917802085004,0.50894293973401,9.136,36.5056,0.0,0.3253885221516841,0.31992452077428285,0.11462201800214007,0.2667001061130257,0.6834299506425242,0.551076317952279,0.2947175365793908,0.20277986334214543,2.3524988045198216,0.6526096911183363,0.19788532484968444,1.7374209100478921,0.20878606219557888,0.2718107272482861,0.5307848453521729,0.4088746987973577,0.26721330556531714,0.11389601892395189,0.0,0.0,,
27.0,0.6113512199869268,0.548057532794618,9.136,36.5056,0.0,0.32776984502327966,0.3283377694187152,0.11462201800214007,0.28287672316069046,0.6961456912557636,0.5561926324604486,0.2981510656683724,0.20646767439738925,2.4997593371205986,0.6526096911183363,0.19788532484968444,1.7374209100478921,0.20878606219557888,0.2718107272482861,0.5307848453521729,0.4088746987973577,0.26721330556531714,0.11389601892395189,0.0,0.0,,
28.0,0.5925965667586992,0.6378217948315609,9.136,36.5056,0.0,0.3475272613478331,0.31304679146648695,0.11462201800214007,0.3036512813174037,0.7142773569667041,0.553526138782111,0.31792144336050604,0.19699746032692214,2.700491410127314,0.6526096911183363,0.19788532484968444,1.7374209100478921,0.20878606219557888,0.2718107272482861,0.5307848453521729,0.4088746987973577,0.26721330556531714,0.11389601892395189,0.0,0.0,,
29.0,0.6375047486597201,0.5849355463738052,10.0496,40.15616,0.9971592150692714,0.31143037192094275,0.3368630558829171,0.11462201800214007,0.25381735640510344,0.6744087086948828,0.5612883606397191,0.2826666476873707,0.21364776563667123,2.2235879321913976,0.6272946233279548,0.16501059885055475,1.4487828495632664,0.20740123199481264,0.2587401055408971,0.5281263589859009,0.40993826919931775,0.26823597053480924,0.11389601892395189,0.007283577075929216,1.4259118700865656,0.005603005921428094,0.008656231003271578
30.0,0.6348096727548913,0.6216082610502974,10.0496,40.15616,0.0,0.3242506145631742,0.3256267745369288,0.11462201800214007,0.27160501444939206,0.6863464901088573,0.5821774285735706,0.29544561564524213,0.2078170386401122,2.3926570853629077,0.6272946233279548,0.16501059885055475,1.4487828495632664,0.20740123199481264,0.2587401055408971,0.5281263589859009,0.40993826919931775,0.26823597053480924,0.11389601892395189,0.0,0.0,,
31.0,0.6151747209336091,0.6476327603572347,10.0496,40.15616,0.0,0.33732672136573527,0.3323882072731358,0.11462201800214007,0.291098351875498,0.7026647925024686,0.5672975849544767,0.3000414555991649,0.21017483685127902,2.585286659854358,0.6272946233279548,0.16501059885055475,1.4487828495632664,0.20740123199481264,0.2587401055408971,0.5281263589859009,0.40993826919931775,0.26823597053480924,0.11389601892395189,0.0,0.0,,
32.0,0.596378564502305,0.7104627356355316,10.0496,40.15616,0.0,0.34607917130539934,0.32737381503165564,0.11462201800214007,0.3032721320148253,0.7123345413920444,0.5558278528185466,0.313204338276231,0.2059333025250501,2.703770269206531,0.6272946233279548,0.16501059885055475,1.4487828495632664,0.20740123199481264,0.2587401055408971,0.5281263589859009,0.40993826919931775,0.26823597053480924,0.11389601892395189,0.0,0.0,,
33.0,0.6405217835278325,0.6747944718836231,10.9632,43.80672,0.9971592150692714,0.3136621506290533,0.335351401380151,0.11462201800214007,0.25656202482792045,0.6765830206274424,0.5519728435701365,0.2872171597350184,0.21163495327712642,2.2487283414823893,0.6355580608165508,0.17253377669703934,1.5148358856356494,0.20552747803123436,0.2588780236747298,0.5285623073577881,0.41104005622518175,0.2692138647701753,0.11389601892395189,0.007141698516827678,1.4757388343568891,0.005520753438187874,0.008493796684771798
34.0,0.6387441137730232,0.6277241180866842,10.9632,43.80672,0.0,0.3245784188769025,0.3269870602663237,0.11462201800214007,0.2740255991799656,0.6933444050874318,0.538424112812991,0.29962899233304946,0.20608725039188122,2.4159437303766227,0.6355580608165508,0.17253377669703934,1.5148358856356494,0.20552747803123436,0.2588780236747298,0.5285623073577881,0.41104005622518175,0.2692138647701753,0.11389601892395189,0.0,0.0,,
