round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1,fed_auprc,fed_brier,fed_ece,fed_prevalence,fed_f1_best,fed_f1_best_threshold,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,11.433731313120692,314.39068014833083,3.66096,3.66096,1.0,0.6663352289246768,0.2734927917156832,0.21047199672380468,0.23310182652698164,0.37268465626040903,0.10960025180988352,0.2888457826399995,0.49737219936186544,1.945125302292854,0.6609015405656762,0.21174899021569418,1.8591430342888324,0.2706030502308661,0.2743837084673097,0.48967745900154114,0.36845202468992977,0.23350967288243013,0.11389601892395189,0.021929316373381077,2.375674235952829,0.019284895214267416,0.023822857071096302,0.007822152297066263
2.0,10.231782525436033,384.7498324018751,7.32192,7.32192,1.0,0.6735783353939571,0.2736254875640764,0.2178046973742699,0.2380475926657928,0.3800996018555467,0.10960025180988352,0.2964868215052644,0.5485838125383924,2.0194348832921074,0.6636284360336123,0.21631314376869765,1.8992160201238415,0.2770083102493075,0.2794061667301104,0.5239564776420593,0.3762535553368741,0.23869959149373313,0.11389601892395189,0.014524538947562811,1.658187357501447,0.013782661768270638,0.015115667687058128,0.004615447858911654
3.0,9.691124817743106,530.1568595266162,10.98288,10.98288,1.0,0.6737830122480163,0.2740843228995514,0.21839648075327153,0.23773745075541428,0.37920323072419354,0.10960025180988352,0.2994379784003998,0.5605902140118771,2.0247313905871818,0.6650945382828304,0.2201772830057322,1.9331429235708761,0.2766685052399338,0.2813804620094629,0.5636436939239502,0.37550135031308757,0.23861851977822518,0.11389601892395189,0.010250345137990155,1.2312384442584516,0.010439367650610794,0.010182344588991843,0.004342360873972338
4.0,9.59245066109498,601.1215217612357,14.64384,14.64384,1.0,0.6750685192216768,0.2745437836463624,0.21807529601126818,0.24303448538180902,0.38596405275107404,0.10960025180988352,0.29961500570130145,0.5716986769019413,2.026786395787234,0.6658329354738816,0.21915069456184239,1.9241295405431933,0.27541881782741545,0.28325088339222615,0.5841772556304932,0.38214460035546133,0.24386208226066053,0.11389601892395189,0.008890085509628328,1.1159820900302293,0.008958344506458606,0.008900313662689865,0.0031061393247808827
5.0,9.441011421370844,592.2126911542607,18.3048,18.3048,1.0,0.6756986285338196,0.27296032137860365,0.21992972274147693,0.24585444752805619,0.3892446887260493,0.10960025180988352,0.3012498249464333,0.5882318587565071,2.041300013257199,0.6677744235045409,0.22090423711171014,1.939525535648506,0.27372334181177854,0.280907756576719,0.5542434453964233,0.38559638462277124,0.24670056546214358,0.11389601892395189,0.008444852331709189,1.1092113331287692,0.008665013624152819,0.008349495863573822,0.0022910967535557302
6.0,9.302274316239172,691.7737956189034,21.96576,21.96576,1.0,0.6777087558956832,0.27751850627159547,0.22227764210860498,0.2397838070700523,0.3817836230210925,0.10960025180988352,0.30204035653682426,0.5858231413296869,2.0673582382590765,0.6690848372554469,0.2234161162469498,1.9615796790590567,0.2761782896139902,0.2801043104770671,0.5975548028945923,0.3780772376881853,0.2409692502399156,0.11389601892395189,0.007569194878471974,1.044724281181061,0.007202618661726128,0.007885085681209325,0.0024886812162618187
7.0,9.331805172863458,563.3985729246078,25.62672,25.62672,1.0,0.6783112640321837,0.2746713938381831,0.22412542151277381,0.24088181000420494,0.38306584649390685,0.10960025180988352,0.3006965135141878,0.5765029179344472,2.082072833640682,0.6680708164557848,0.22080268408590886,1.9386339063645264,0.27369298062903563,0.28125,0.5357397794723511,0.37933481599359525,0.24191311079735814,0.11389601892395189,0.006984968062846419,1.0088471453182137,0.006658596346482808,0.007269772192586271,0.0025250269482308876
8.0,9.236896479407028,584.0790811132949,29.28768,29.28768,1.0,0.6805542695838971,0.280508945342112,0.22785106344889383,0.23799711981544583,0.37939849044303303,0.10960025180988352,0.30544741092209254,0.5743695070430622,2.1133579297426808,0.6693714416343323,0.22233350871819896,1.9520744519319022,0.2792309412027722,0.28461991750147314,0.5985748767852783,0.37560590201082006,0.23922121779485572,0.11389601892395189,0.006681690348250148,1.0090875619234794,0.006333817208384738,0.006987903373679396,0.0021583245008777864
9.0,9.243515588694871,748.5736004417212,32.94864,32.94864,1.0,0.6806884441038373,0.27791229695702396,0.22855249447870166,0.24194542530778754,0.38426657248901647,0.10960025180988352,0.30713660500157824,0.5921000091411198,2.1132858449469434,0.6692085246518167,0.22077119470188875,1.9383574315209136,0.27756970453599666,0.2804626842021867,0.6113178730010986,0.38062275258192474,0.24329585833192857,0.11389601892395189,0.006633155128713731,1.0454550235335773,0.006063183973747998,0.00711713857485983,0.0020835497323731405
10.0,9.349742421526257,640.5807537761286,36.6096,36.6096,1.0,0.682646917657338,0.2801570587176688,0.23083478768778895,0.24077588394725294,0.3830926098968385,0.10960025180988352,0.312021080830724,0.5987973707687341,2.139305381420161,0.6698631793513932,0.22277062173859324,1.9559122772090627,0.2768774494227306,0.28183315038419315,0.6009540557861328,0.3796010804218929,0.24239950113817124,0.11389601892395189,0.0064097668804885865,1.0558059959193997,0.0053360362804237785,0.007293966460641303,0.002635233395611551
