round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_auroc,fed_ece,fed_f1_best,fed_f1_best_threshold,fed_f1,fed_brier,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6890025753343301,0.10869776124235173,3.65056,3.65056,0.9971592150692714,0.15570236172416385,0.11378941406004156,0.5520780842352376,0.39179811344902093,0.23106866056578143,0.5035494471580659,0.184476487499764,0.25374874080231685,1.3674840730905455,0.4218553922659938,0.09460685493072674,0.8306423334593943,0.2045002711006687,0.2045002711006687,0.5124940872192383,0.4162468229334189,0.27445500593105865,0.11389601892395189,0.027172981051406857,2.92647315422073,0.023041701588791694,0.02991503121239589
2.0,0.6857137727745936,0.1335919183438716,5.632,5.632,0.5412350858791136,0.20234696265935462,0.11378941406004156,0.6449473679397821,0.38606515297191074,0.2767380893889045,0.5126079288965146,0.2340870740800745,0.24759238690527627,1.777953716235424,0.4339697419667069,0.09520483533944549,0.8358925644540178,0.2045002711006687,0.20451875282422052,0.5115567445755005,0.4145166694658968,0.2730003766507696,0.11389601892395189,0.024254675729915753,1.9402089430950582,,0.024254675729915753
3.0,0.6782542773267988,0.15389716483045734,7.61344,7.61344,0.5412350858791136,0.2218985754937723,0.11378941406004156,0.6717028978325525,0.37846970064868574,0.2951320213135962,0.5153137039369976,0.2597165014478524,0.24047946238006454,1.9529798738037363,0.4196624383213271,0.09291151856012843,0.815757385007155,0.2045002711006687,0.20450951154489178,0.5048952102661133,0.40981443930034633,0.2692582078915778,0.11389601892395189,0.01681456117510784,1.6370781399309635,,0.01681456117510784
4.0,0.6707906669538254,0.2188216401674478,9.59488,9.59488,0.5412350858791136,0.23164641260707813,0.11378941406004156,0.6801058515911196,0.37287993400968256,0.30240722274149695,0.5234164848667657,0.2763626624110017,0.23530479967268872,2.0401663405361687,0.3723511181988184,0.08503545231676149,0.7466060106415086,0.2039616497829233,0.20452799493876814,0.49476757645606995,0.41739209924234266,0.27623609382560355,0.11389601892395189,0.012318113984866033,1.403879048069939,,0.012318113984866033
5.0,0.6772413215776977,0.2226529819146172,11.264,11.264,0.4559241291901578,0.2150312180806725,0.11378941406004156,0.6573016355696725,0.34803991156086106,0.28677439103813385,0.49653427326752003,0.27093084208115353,0.22032299576312886,1.9093168857671874,0.35912656870029197,0.08301934084421259,0.7289046766388245,0.20273699474352003,0.2045002711006687,0.48813092708587646,0.41839711013272973,0.2775575919050096,0.11389601892395189,0.01445673621341772,0.8209049599245191,0.01445673621341772,
6.0,0.6708485005898863,0.24190790110853283,13.24544,13.24544,0.5412350858791136,0.22819015182402091,0.11378941406004156,0.6706157109874497,0.35982677845809646,0.30240372043126956,0.5110212436848647,0.2838500190073901,0.22628575203326237,2.0423787980016743,0.3548929986056555,0.08247220982532402,0.7241009001411237,0.19899543378995435,0.2045002711006687,0.46587565541267395,0.41811923480872637,0.2774995481354493,0.11389601892395189,0.009655821703823064,1.259684370830655,,0.009655821703823064
7.0,0.6599640576807959,0.32596628061150473,15.22688,15.22688,0.5412350858791136,0.23168817610833173,0.11378941406004156,0.6824870524586841,0.35703533204748694,0.30549274727360387,0.5336328317726063,0.28464238609126363,0.22444553639768786,2.041742622197527,0.3633378886169897,0.08353076301561356,0.7333949316647043,0.20214117220105243,0.2045002711006687,0.4740959703922272,0.4226188318701442,0.28133298935490914,0.11389601892395189,0.007777756144795488,1.148134989081882,,0.007777756144795488
8.0,0.6462258683114719,0.42613939175547016,17.20832,17.20832,0.5412350858791136,0.23856582028748777,0.11378941406004156,0.689928465305014,0.34201838719512084,0.31001541940871075,0.5362755999543967,0.28745904461559324,0.21341143644488367,2.1069474775925623,0.3540360341945453,0.08244476060509862,0.7238598976856846,0.20081052775374528,0.2045002711006687,0.4636659622192383,0.4323298024452652,0.2904757781636134,0.11389601892395189,0.006485413175761228,1.065108978189528,,0.006485413175761228
9.0,0.6356102598540774,0.47670884155738164,19.18976,19.18976,0.5412350858791136,0.24821975799481275,0.11378941406004156,0.6988529094566505,0.34458355502675564,0.3187687010869088,0.5515369330368436,0.2966711888001508,0.2158017125525097,2.2103037794559635,0.35067632007306393,0.08210495576546692,0.7208764322156704,0.19956080153719463,0.2045002711006687,0.4467487633228302,0.4359966153524093,0.29416422971285267,0.11389601892395189,0.005756837959320371,1.0530465735355392,,0.005756837959320371
10.0,0.6543331884359429,0.509160372105895,22.84032,22.84032,0.9971592150692714,0.21505573551514398,0.11378941406004156,0.6579639232808928,0.36903324070983806,0.2893800973072071,0.5184819909157647,0.26933741719395443,0.23399643150221894,1.8996110939252813,0.3524529961539946,0.08231397062883025,0.7227115697853417,0.19796416563032565,0.2045002711006687,0.4537378251552582,0.42808905389817825,0.2870860986763337,0.11389601892395189,0.006886833014481254,1.8588392188539729,0.011429799986697159,0.00526823287131612
