round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auprc_lift,fed_brier,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_f1,fed_f1_best,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6889075701909163,0.11369474990272059,3.65056,3.65056,0.9971592150692714,0.38895978705666145,1.6485028709145932,0.2502942774938743,0.6131341220289283,0.5114722468735174,0.18727782674964855,0.21437972528155616,0.26863481929666605,0.11381806735914382,0.640941010097339,0.17421904325696236,1.5296324217731263,0.2641471301535974,0.266151534664091,0.5007805824279785,0.3811282364496786,0.24541626788797702,0.11389601892395189,0.02765504607204396,2.9885705108754337,0.023276438323858575,0.030550926874346098
2.0,0.680826235454795,0.12964191089258661,7.30112,7.30112,0.9971592150692714,0.3656334244345657,1.8862468283386493,0.23184886013526063,0.6454560957905674,0.5030457621011712,0.21434555123016938,0.25278960756879104,0.27978769489598143,0.11381806735914382,0.6382404810275131,0.1657612581833046,1.4553735920654347,0.23833431777909037,0.2646220387299715,0.49388960003852844,0.3685018305593951,0.2353229724936388,0.11389601892395189,0.018236845277327135,2.1009453472215682,0.01513812830194525,0.020296760069059477
3.0,0.6663639829961988,0.20051060906337068,10.95168,10.95168,0.9971592150692714,0.3502331806647541,1.9562712543028267,0.2214316726780482,0.655661630418742,0.5080913110146329,0.22245621464009263,0.25845807888550604,0.285364315660348,0.11381806735914382,0.5914891299911869,0.1383467784404897,1.2146761559143129,0.16469321851453175,0.2371639831386912,0.4774642586708069,0.36584070223801757,0.23374940606362885,0.11389601892395189,0.013251751790117018,1.636039779521525,0.01207586867410711,0.014050521240530932
4.0,0.6611634351241891,0.26602661038205405,14.60224,14.60224,0.9971592150692714,0.3452875075932753,2.013832804196496,0.21812927054769451,0.6598788692299236,0.5153039212379961,0.2287720776862786,0.2660878966429637,0.28844625667770823,0.11381806735914382,0.5923430323360719,0.1412409621760208,1.2400869100642322,0.1459954233409611,0.23550087873462217,0.47466397285461426,0.35987582709176225,0.22937274107461322,0.11389601892395189,0.010732659251708212,1.4117464574519545,0.010450423004482083,0.01093030636601555
5.0,0.6491138437781885,0.2599616205966514,18.2528,18.2528,0.9971592150692714,0.3558044538244272,2.030147214402647,0.22539387280527332,0.6610503244686801,0.5175712701600418,0.23113514611865804,0.2667218953530569,0.2899595515324861,0.11381806735914382,0.552575953172273,0.12804236673012143,1.1242040585774558,0.1671763506625892,0.21898091627578226,0.470411092042923,0.36352857381271914,0.23275148388499703,0.11389601892395189,0.010093136235029347,1.4114698627963662,0.009787205988551687,0.010315226579353565
6.0,0.6491797861374687,0.4090518642753157,21.90336,21.90336,0.9971592150692714,0.341185010423216,2.05543480994245,0.2148590584638298,0.6646768610323514,0.5255843606428938,0.23427195777020943,0.27055340211727363,0.29363013098903906,0.11381806735914382,0.5799274957935493,0.13882352156295685,1.2188619310359654,0.1936193619361936,0.23000068903741472,0.47770845890045166,0.36562207894222304,0.23378254994781847,0.11389601892395189,0.009016658248994058,1.3387189623899758,0.008422937284377489,0.009462153534131608
7.0,0.6501186639018768,0.3984148129834294,25.55392,25.55392,0.9971592150692714,0.3493586151450544,2.076362869016549,0.21948380185310634,0.6664694923555999,0.5082563257344984,0.23664368619262124,0.2725491994166853,0.2935208722479193,0.11381806735914382,0.5752969739908596,0.13507426780422815,1.185943714981091,0.1897003200465522,0.22854070041002889,0.47640836238861084,0.3658597015357772,0.23403226240206854,0.11389601892395189,0.008962452015105028,1.4041332947090268,0.008687994010882891,0.00917572339467242
8.0,0.6435003785639867,0.31132884667398686,29.20448,29.20448,0.9971592150692714,0.3495493235314534,2.0971523795554186,0.22003744808233652,0.669151621844075,0.5147835294236768,0.2390698543148486,0.2781284434170264,0.29741397514038714,0.11381806735914382,0.5918629405102276,0.1426773921656393,1.2526986765086554,0.20064452851338097,0.23417018440346593,0.483506441116333,0.36652508053741684,0.23429469171753456,0.11389601892395189,0.008306661951948685,1.3795386843848974,0.007282020072034877,0.009136110278089802
9.0,0.647049029095306,0.37400497185457465,31.18592,31.18592,0.5412350858791136,0.33924446236817096,2.223892073877849,0.21245656105636793,0.6831928772578127,0.5398117018094931,0.25259288118701473,0.28753406998261755,0.3081125592075092,0.11381806735914382,0.5974662958119619,0.14472162052255264,1.2706468750166142,0.2212097049777879,0.23740671641791047,0.4872525632381439,0.3676151092608998,0.2349895724184663,0.11389601892395189,0.009313573443876838,0.8958655541064218,,0.009313573443876838
10.0,0.6369782743118368,0.3694104506701571,34.83648,34.83648,0.9971592150692714,0.3202584755047335,2.1202478842123402,0.20196073056293684,0.6717526640942202,0.5095152136230379,0.2415297230003895,0.28119811396492334,0.299673795729102,0.11381806735914382,0.617546309610335,0.15479703654368904,1.3591084043687836,0.23348300192431046,0.24794218028508336,0.49612778425216675,0.36575568086656157,0.23334854334144076,0.11389601892395189,0.00799155806971817,1.4472391186282039,0.006990209242715934,0.008784251370439531
