round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auroc,fed_f1,fed_f1_best_threshold,fed_brier,fed_ece,fed_prevalence,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6883118410083421,0.09131125412807777,3.66096,3.66096,1.0,0.2185864914365551,0.6608960700851204,0.2705862440428939,0.5217761108343387,0.23316559416476487,0.3681941726102526,0.11456628477905073,1.952418136548703,0.2938642611984441,0.6529072386191406,0.2115718301383,1.857587579769281,0.27058823529411763,0.2728602779809802,0.5107879042625427,0.3689938155200461,0.2335308332446027,0.11389601892395189,0.024412157026207672,2.6454884154504725,0.021715092107714974,0.02632660248685944,0.010897370232393356
2.0,0.6618890574382148,0.17604746263072762,7.32192,7.32192,1.0,0.22678480556023892,0.6662769700430436,0.2807381065241182,0.5286905536697536,0.21483011164177787,0.34179008811952394,0.11456628477905073,2.026874249662889,0.30040383986230734,0.6613001989991661,0.21948061383400375,1.9270262113423864,0.27730783376241264,0.28384214445271777,0.5288801789283752,0.3432826645425957,0.21573838753294175,0.11389601892395189,0.016561687699918413,1.9162180011371674,0.015942289110150637,0.017065946860014725,0.006508319814661958
3.0,0.6480295427514975,0.26753465048800257,10.98288,10.98288,1.0,0.2318925741165865,0.6696590627822394,0.27992511926433244,0.522645769201582,0.2090540543907847,0.3300114546121704,0.11456628477905073,2.073732349540579,0.3045763178117696,0.6631923927833825,0.22305252500674058,1.9583873704635124,0.2781128059595601,0.28375354318961654,0.5411785840988159,0.3315205507325781,0.21038195335338222,0.11389601892395189,0.011834163391469168,1.4634936932943674,0.012104015701402607,0.01170891454327377,0.005275286327928322
4.0,0.6442759969072483,0.3456365587851722,14.64384,14.64384,1.0,0.23500395559811857,0.6724922984782342,0.2806842999335905,0.5528100937244709,0.22398491754851654,0.3533073352509341,0.11456628477905073,2.1091491528673374,0.30997036077283263,0.6629830553788733,0.22452271404178392,1.9712955392382698,0.2751334044823906,0.283495145631068,0.5430466532707214,0.3547741756982368,0.22543967575040544,0.11389601892395189,0.010336045730756478,1.3587993235951217,0.010609217370693489,0.01018574104279027,0.005233478738199167
5.0,0.6408964296223274,0.3034111245142733,18.3048,18.3048,1.0,0.23503967863415168,0.6725185849769275,0.2804184550331132,0.552058371208138,0.22381989601207325,0.3531710841657458,0.11456628477905073,2.1091996206044485,0.3099826240507024,0.6629879998628595,0.22452331333594766,1.9713008010039523,0.2752078448092091,0.28247797510837647,0.5435686111450195,0.35464589269572566,0.22526229211414342,0.11389601892395189,0.009425497391314572,1.3117152234590321,0.009337811659234934,0.009524384123838488,0.005095717190388872
6.0,0.6454041263234431,0.2896142508438164,19.63616,19.63616,0.36366417551680436,0.2503076408893855,0.6870144965154968,0.29338977570457386,0.5538655488474999,0.21507767484549745,0.3413033629255798,0.11456628477905073,2.2471383064597537,0.3250393373428121,0.6632896886827389,0.22499797033637517,1.9754682601031543,0.2751368172550703,0.2825211176088369,0.5317677855491638,0.3518465685035354,0.22360701506762293,0.11389601892395189,0.01113789791508212,0.6085130660967479,0.01128254142251548,0.011137028854441686,0.01607820246227353
7.0,0.6251228011291927,0.35331522493938106,19.64656,19.64656,0.0028407849307285522,0.2635604788270291,0.6954042702326906,0.3055012237823383,0.5494572902155751,0.20682035379356603,0.32943242887368246,0.11456628477905073,2.3746282298358445,0.33663298998487085,0.663312252596971,0.22506303603018502,1.9760395328695297,0.27601908065915004,0.2828890799656062,0.5443389415740967,0.35053420579138256,0.2225405088275085,0.11389601892395189,0.010565888132700681,0.00331849397480255,0.010531479771754138,,0.028486906027313828
8.0,0.6436481346816928,0.3353097075053243,23.30752,23.30752,1.0,0.23795132338779915,0.6756246291504929,0.28659359536838797,0.5365934454398957,0.2151747929595948,0.33966467981654114,0.11456628477905073,2.1332753598449923,0.3114718269031831,0.6630898888615533,0.2244026317536428,1.9702412241772553,0.27750225428313796,0.28177792356896836,0.5628440976142883,0.34129907883772337,0.21698479564207002,0.11389601892395189,0.009048599226038862,1.283426278270781,0.00821635952037243,0.009675619792185538,0.00473962375651909
9.0,0.6406516811555613,0.34052595049200024,23.31792,23.31792,0.0028407849307285522,0.25606804087718366,0.692718174544572,0.30314180460341605,0.5577399215810953,0.21262801819254004,0.33724577989451276,0.11456628477905073,2.3009125331595093,0.3296621621359767,0.6631317663820167,0.22447559830853558,1.970881866015154,0.2765885912809593,0.2817947062621046,0.559740424156189,0.3422472267829991,0.21751694747170253,0.11389601892395189,0.008917384448401382,0.0031819739979255246,0.008890396506640207,,0.023727451658731014
10.0,0.6272191681942417,0.3837695586574776,24.64928,24.64928,0.36366417551680436,0.2690709981863862,0.701194046817222,0.30320961246935,0.576909165346816,0.22583199755238417,0.3585435453205306,0.11456628477905073,2.42230812716738,0.34013395188466516,0.6632129613347878,0.22473042931032672,1.973119266445816,0.2747443985207744,0.2816465490560198,0.5588668584823608,0.3482601529340618,0.22157954052012324,0.11389601892395189,0.010132206189796432,0.6136857732176395,0.007372227532442155,0.010149310553393256,0.006775956647936143
11.0,0.6129340374352752,0.413981623774524,24.66976,24.66976,0.005594161094357764,0.28052018223896524,0.7122981010843021,0.31483645697500195,0.5622626619436242,0.20830616505476318,0.3317666759203974,0.11456628477905073,2.5321234550451344,0.3513756218710732,0.6632312584354279,0.22472182746885455,1.9730437428098413,0.27455646906101255,0.281377151799687,0.5620946884155273,0.34898694550674864,0.2221269263254644,0.11389601892395189,0.009299827085049867,0.0063153638038784266,0.007684734950219007,0.01137868802461591,
12.0,0.6380813449758953,0.39176547233963654,28.31536,28.31536,0.9958043791792317,0.24198118604513655,0.6782105615416403,0.2856140786595627,0.5402905989560706,0.21581897537118996,0.340744723612425,0.11456628477905073,2.169559094363583,0.31588276515055314,0.6648076452665551,0.2271287717547278,1.9941765647347265,0.27605818659083453,0.28489666136724956,0.545899510383606,0.34433238391436677,0.21791192928843192,0.11389601892395189,0.00821510955409845,1.2583257962032803,0.007782000821198689,0.008521654195702598,0.01227800331779048
13.0,0.6400507075883071,0.39304086962175616,28.33584,28.33584,0.005594161094357764,0.2581906877599742,0.6938974070895579,0.28942229698086225,0.6041072229324204,0.23033907956369484,0.35700065501378503,0.11456628477905073,2.3193932813734786,0.33334403463155854,0.6648775833611137,0.2270794275025006,1.9937433252528431,0.27552222817354044,0.28479657387580304,0.5288301110267639,0.34599798283895433,0.2191678048717701,0.11389601892395189,0.009311059160317173,0.00683097168803215,0.008101947420016882,0.010975967662457273,
