round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_f1_best,fed_f1,fed_auprc,fed_auprc_lift,fed_ece,fed_brier,fed_auroc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6886394322812662,0.09196857476818163,3.66096,3.66096,1.0,0.11016682404784386,0.2898703321863954,0.269466656894969,0.21328857953179295,1.986671457047989,0.3688100889526826,0.23028283890941598,0.665460547947032,0.5013236318682964,0.661645785801239,0.21140511555892152,1.8561238360760988,0.2713638936049802,0.2742141579350882,0.494345486164093,0.36543068301306325,0.23078331095168275,0.11389601892395189,0.02479000042476076,2.6884469116585024,0.021940852060023056,0.026834529911893168,0.009196803826528148
2.0,0.6649821868985345,0.1743950049886728,7.32192,7.32192,1.0,0.11016682404784386,0.29879351052787045,0.27131779786466304,0.2196051734716205,2.048733820390863,0.3730757160009661,0.23358737054759443,0.6723156429065857,0.5641801845288179,0.665137030726429,0.21604897504206272,1.8968966350467273,0.27313061356995993,0.2823753227340671,0.5340569019317627,0.369910881384503,0.23446895155662373,0.11389601892395189,0.017590324126168285,2.0424144459911986,0.01703452079408734,0.018080678156249367,0.005583610505362435
3.0,0.6531388407191796,0.32187207063315004,10.98288,10.98288,1.0,0.11016682404784386,0.3009423244762866,0.2715131673117341,0.22090783552830304,2.053715421427517,0.3488481705204511,0.2190854890696493,0.6745741973195201,0.5654643701463891,0.6683274401944582,0.22037482967282757,1.9348773710867921,0.2752007136485281,0.28240011456394104,0.5534422397613525,0.34614339882522077,0.22043172811236825,0.11389601892395189,0.01121006358450057,1.39044858087982,0.01190093116986497,0.0108084267991876,0.004466750326373297
4.0,0.650410568706533,0.3615463546043075,14.64384,14.64384,1.0,0.11016682404784386,0.298442769964386,0.2743590024154967,0.22260716036097766,2.068118379072517,0.35762374873783437,0.22339167545642527,0.6763700650615391,0.5482614105776641,0.6692286665218627,0.22232048722775272,1.951960124051356,0.28042267924099534,0.2837561971420239,0.5476354956626892,0.3544872058593451,0.22436715800818996,0.11389601892395189,0.010533944796820773,1.3775717592079673,0.010918629635089737,0.010315064159387781,0.004835791304654124
5.0,0.6447457314777307,0.2804303440333617,18.3048,18.3048,1.0,0.11016682404784386,0.3011706450438373,0.2739962728577328,0.22493969630712587,2.0916381694379766,0.3519234844844298,0.2202406627757053,0.6775961581133348,0.554424753060009,0.6692852143514124,0.22236550172129138,1.9523553485198137,0.2771392081736909,0.280421686746988,0.5586789846420288,0.34903766990991897,0.22159597603137965,0.11389601892395189,0.008899471791387855,1.2317012444964348,0.008929332514841055,0.008920602996867377,0.0036705203732066882
6.0,0.6465085291479606,0.4410446464315241,21.96576,21.96576,1.0,0.11016682404784386,0.30104970159731864,0.2809163361824861,0.22421740634998769,2.0780857613453634,0.3499599530612819,0.21893219166536534,0.6772813340925359,0.5491511026380345,0.6698395110854076,0.2230933833309586,1.9587461040224552,0.2801743919229004,0.2811555663000121,0.509549617767334,0.34688859064587774,0.2200713251932834,0.11389601892395189,0.008279893894697736,1.2116105895638611,0.008289300943666816,0.008305823744291946,0.004113249002243576
7.0,0.642022145623317,0.3289970306695751,25.62672,25.62672,1.0,0.11016682404784386,0.30163879359909224,0.2831638101796794,0.22667619733672456,2.1034363499837907,0.3421452607688642,0.21222516990920554,0.6790966203245856,0.5306607603614046,0.6696895074887347,0.2231508776410812,1.9592509005084588,0.28131543293509054,0.28149435273675066,0.5009740591049194,0.3388720200195473,0.2133957720431447,0.11389601892395189,0.008063299707358173,1.246239883123053,0.007998714244992185,0.0081432462532016,0.0041565966029737346
8.0,0.6416631496788388,0.3312472475276952,29.28768,29.28768,1.0,0.11016682404784386,0.3046878329261956,0.2860741566163729,0.22907009311939908,2.119961013441568,0.3413372886820638,0.21288771477094917,0.6809977616733981,0.5202518678082961,0.6697696733864631,0.22200665668279854,1.9492047112817164,0.2790408746428128,0.28256936067551264,0.5390797853469849,0.3378668234274981,0.21432630460590185,0.11389601892395189,0.008041721078577835,1.314675246076149,0.0069638533634837,0.008951277085473993,0.004147187394497998
9.0,0.6450477703153099,0.3857575634794229,32.94864,32.94864,1.0,0.11016682404784386,0.3067008627342973,0.2824524618969592,0.23116372605723826,2.13883196791232,0.34010545920380114,0.21277103405915768,0.6824544156675596,0.562593032786934,0.6698137596104329,0.22259245909835484,1.9543480202497623,0.27871054398925454,0.28324175824175823,0.5388873815536499,0.337004257415278,0.2145575780850689,0.11389601892395189,0.008666309989625086,1.504821056709261,0.007173978843715087,0.00995081833795883,0.004112132271254386
10.0,0.6426099434926502,0.4070129361402556,36.6096,36.6096,1.0,0.11016682404784386,0.3081031853502435,0.2790834367640532,0.2324791073566497,2.151688100179487,0.3493806723110099,0.2184078347802329,0.6850240454247926,0.5579283790709202,0.6681765204878083,0.2215577864292393,1.9452636582247262,0.27854373115036624,0.28079688789343393,0.5174722075462341,0.34638366590803044,0.22052550045983366,0.11389601892395189,0.008101705851502872,1.4992212552133424,0.006583603019164919,0.009426151387143412,0.00494811320933603
