round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_auroc,fed_f1,fed_f1_best_threshold,fed_auprc,fed_brier,fed_f1_best,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6910600817453854,0.09901234730676133,3.66096,3.66096,1.0,0.11183134046570169,1.808977595950319,0.6374266890904681,0.24403160816388555,0.4914999441653395,0.20193742635786802,0.21791410257817195,0.26824001106372986,0.34905162891589886,0.6397459760057495,0.19396891374516714,1.7030350628381465,0.25089605734767023,0.2616144311196211,0.4671965539455414,0.3469623249813309,0.21839874795158168,0.11389601892395189,0.006897250610495133,0.7406800288536033,0.005807565027942959,0.007595816763847091,0.009135483629658929
2.0,0.6649123427826799,0.23775220807691536,7.32192,7.32192,1.0,0.11183134046570169,1.843305042277844,0.6462617656161498,0.25814642665636506,0.5027274212648164,0.20582129791209147,0.22271380866512366,0.2755856059990422,0.3544101945873024,0.6494947289541804,0.1982228777794348,1.740384603888462,0.26685639229422065,0.27038208809929426,0.511471688747406,0.3524196753759761,0.22323354547248941,0.11389601892395189,0.005271815548271086,0.5750402603152907,0.005197213831967882,0.0053384873380498835,0.003976626439589796
3.0,0.6543219691359436,0.30415154828875746,10.98288,10.98288,1.0,0.11183134046570169,1.8899392016308791,0.6514269937299534,0.26255278108327995,0.4879295048959753,0.21038593118822366,0.20203617577552457,0.2816028912038179,0.3229232376311243,0.6540390234739503,0.20114762401272893,1.7660636948779986,0.2668145888226321,0.2726566833056018,0.4717566967010498,0.3207186919769348,0.2026644190154283,0.11389601892395189,0.004663137294479885,0.5144692863523233,0.004722723010842131,0.004642954583747391,0.0032826202397767427
4.0,0.6516755351646166,0.34251889266722846,14.64384,14.64384,1.0,0.11183134046570169,1.9115408312500357,0.654330722622584,0.267508722010372,0.506737613471669,0.21257377707148903,0.20804410624472056,0.2853232215117879,0.33070386004586716,0.6556454411430963,0.20326482041818644,1.7846525483380231,0.2724092170346242,0.2735735406855766,0.4875955581665039,0.3284211782742785,0.20850519456043867,0.11389601892395189,0.004149823989931563,0.4621768730730764,0.00450073721106018,0.003935458478204718,0.002813053233191688
5.0,0.6503433886594955,0.36926070432478386,18.3048,18.3048,1.0,0.11183134046570169,1.9447234739684478,0.6562926799463307,0.2675317933921943,0.5227558620269377,0.21575029589135425,0.22064329339516747,0.28655720484176284,0.34955628085353974,0.6576752647645681,0.20516457657356532,1.8013322898542508,0.2729168953781974,0.2738095238095238,0.4925732910633087,0.3472777848354649,0.2210758776463931,0.11389601892395189,0.0039346832622346815,0.44168661922958563,0.004389130470374139,0.003643043432045745,0.0030463386710800513
6.0,0.6463569106258722,0.33857653976667346,21.96576,21.96576,1.0,0.11183134046570169,1.9679447648285842,0.6580126437097825,0.26752520096900795,0.5271355019904592,0.21802565138852287,0.2189626970227809,0.2869515549712261,0.3454293399749122,0.6577754219389215,0.20641358071653976,1.8122984689601982,0.2697966248377326,0.2724220623501199,0.5643082857131958,0.3430445361015296,0.2193794759123973,0.11389601892395189,0.0033678744057990657,0.3811883375810794,0.0037501361874311854,0.003118300379655995,0.002778189906466883
7.0,0.6463502638012518,0.38238347242312204,25.62672,25.62672,1.0,0.11183134046570169,1.9917526748032088,0.6595252982257255,0.2679835068464684,0.5337738308837534,0.2200194979737258,0.21936856629734522,0.2875906464849787,0.3473234075684829,0.658435661144523,0.20767933730228272,1.823411733477267,0.27073118738008956,0.2730567861457914,0.4902530908584595,0.34520790607488605,0.21985208511411847,0.11389601892395189,0.0034243551374631095,0.3910317777917953,0.0037508725963300554,0.0032064368177612853,0.0031617938523405107
8.0,0.6448141048515875,0.3888666018871479,29.28768,29.28768,1.0,0.11183134046570169,2.0039692131122018,0.6612893682886518,0.2735495114164787,0.5171793331977629,0.22169084352430288,0.21024087416466994,0.29099051428509715,0.3343021697935029,0.6591607559167276,0.20860329188429114,1.8315239975470528,0.27281213535589266,0.27417800149941096,0.4870072603225708,0.3319650821215649,0.2107976163049711,0.11389601892395189,0.0033811585083454478,0.3893880607402025,0.003683535696789702,0.0031743701817753016,0.003379176450852832
9.0,0.6438621422437978,0.37796115562606275,32.94864,32.94864,1.0,0.11183134046570169,2.005578486028062,0.6607513572960769,0.2732391904369174,0.5069748947348812,0.22188086884978953,0.20915466216331968,0.28927878660742107,0.33223971085420106,0.6590049670228016,0.20935919180615742,1.8381607520974554,0.27097083883355333,0.27451829400303096,0.4810202121734619,0.32955909810963663,0.20949871771575865,0.11389601892395189,0.0031206695549316024,0.36237971845002903,0.0034981114981372545,0.002863878440299563,0.0028546115256983507
10.0,0.6440206214077573,0.36470422324301843,36.6096,36.6096,1.0,0.11183134046570169,2.0106071903908282,0.6621404497830718,0.27595002547475733,0.5135404385340294,0.22283490630946512,0.2108482298197474,0.2932552094264202,0.3346236793630298,0.6591869340730616,0.2094445225235691,1.8389099505173638,0.27435958822121137,0.274962827404781,0.49218273162841797,0.33207040928340575,0.21128783300566573,0.11389601892395189,0.0031120370760170588,0.36481228022967116,0.003456514071920184,0.002878703239576572,0.0026292098603439094
