round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_f1_best,fed_brier,fed_ece,fed_prevalence,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.5887611352067148,128.36726961209453,23.05296,23.05296,1.0,0.898278975804512,1.0167472032218785,0.4683299254516005,0.6735762519638528,0.9128213555942238,0.2886021351746568,0.48084106689263995,0.8860759493670884,0.11072722759990068,0.6000046884523418,0.9806947693109289,1.0140758187046996,0.9832657200811359,0.9832657200811359,0.5080267786979675,0.45865733775117445,0.24219735224808095,0.9670822942643391,0.002958592363043716,1.7713769409183442,0.00069509882816147,0.003335222542670341,0.0033455969771442745
2.0,2.294191579577843,120.99921457428358,46.10592,46.10592,1.0,0.9093064294191069,1.0314094348121736,0.32679488902856524,0.7601640437579128,0.9133651905684385,0.4466151285536889,0.6166675971027163,0.8860759493670884,0.00794241747331844,0.538113210495882,0.9761200897265235,1.0093454254263434,0.9832657200811359,0.9832657200811359,0.511919379234314,0.454271724218145,0.23819486885019803,0.9670822942643391,0.0006414718491845964,0.38790376796191595,0.00015482929378791415,0.0007218580312058647,0.0005917642936316346
3.0,2.371134766707656,138.6374501629468,69.15888,69.15888,1.0,0.9134899827829664,1.0696675427657352,0.27174198470286676,0.8151779511052043,0.9187548314011174,0.5126866197749926,0.6662907252709068,0.8860759493670884,0.0,0.5167026114679544,0.974856731178243,1.008039064472603,0.9832657200811359,0.9832657200811359,0.5142418146133423,0.4514834744971886,0.23567064928480583,0.9670822942643391,0.0005072274508472874,0.30719149986703087,0.00013407059096570866,0.0005687776542572812,0.0004623987555022501
4.0,2.3891437411559466,152.24708253236415,92.21184,92.21184,1.0,0.9023423884640779,1.0467097937870813,0.2652128777674984,0.6565112771762153,0.919916995537965,0.494704132144304,0.6635195845541572,0.8860759493670884,0.0,0.5219067935674434,0.9760782665102812,1.0093021786246075,0.9832657200811359,0.9832657200811359,0.5157005190849304,0.4498511009680065,0.23419854177741956,0.9670822942643391,0.000537490393377692,0.3258517107345824,0.00014882374303916036,0.000601613425680061,0.0004257390675277211
5.0,2.4024662160401644,165.89547354522912,115.2648,115.2648,1.0,0.9195705768453726,1.1448694480100658,0.28044982210493286,0.7350909363796353,0.9302319977395819,0.42553998995752457,0.607801575135078,0.8860759493670884,0.056434599156118134,0.5389962023536031,0.9779349408238118,1.0112220507229204,0.9832657200811359,0.9832657200811359,0.517609715461731,0.4475827542326396,0.23215835526888445,0.9670822942643391,0.0005559672087343866,0.337404391390578,0.00017314896545829846,0.0006191558488524592,0.0003703940939944571
6.0,2.522600517211701,179.33527956425183,138.31776,138.31776,1.0,0.9112925532516704,1.06724852116451,0.31729873574735745,0.7399286113713442,0.9195493954868207,0.3282086030832362,0.5236949828858113,0.8860759493670884,0.25758423280642506,0.5051807398377796,0.9752299805892711,1.0084250186082975,0.9832657200811359,0.9832657200811359,0.5184370279312134,0.44635149942074626,0.231064575668188,0.9670822942643391,0.0005025374300629837,0.3053198652357878,0.00016034383390077107,0.0005589259579843603,0.0003626032558373107
7.0,2.6139651664272856,203.40298183982927,161.37072,161.37072,1.0,0.953454276801556,1.5199509910402056,0.3470835471958047,0.8329006804796037,0.9547393878449025,0.24699912909714877,0.43187794497998944,0.8860759493670884,0.5209576326551236,0.5545501429977965,0.9790608011866312,1.012386233305413,0.9832657200811359,0.9832657200811359,0.519163966178894,0.4455595853917319,0.23034651529647948,0.9670822942643391,0.0005176531815854909,0.3148731440996926,0.0001847133019910057,0.0005724514700046117,0.000382948687741776
8.0,2.4501423552081887,214.98779280158004,184.42368,184.42368,1.0,0.8995831055432476,1.017591179811706,0.6857921852089685,0.7646043486786204,0.9149433924126905,0.08409628249175939,0.16026884430571442,0.8860759493670884,0.8015977269022407,0.43909309703533533,0.9644915985902931,0.9973211218017214,0.9832657200811359,0.9832657200811359,0.5177770853042603,0.44748705967406077,0.2320853247337775,0.9670822942643391,0.0004817213641264692,0.29335745345053965,0.00017810634323567134,0.0005316786586649967,0.00032382059696492525
9.0,2.9994043884075237,206.3976431321925,207.47664,207.47664,1.0,0.9911967450346234,2.065197000341375,0.5857775215106674,0.8777222815311878,0.9803472474239132,0.08510312783519729,0.16051786924213296,0.8860759493670884,0.8015977269022407,0.5593948770844078,0.979216674883082,1.012547412656307,0.9832657200811359,0.9832657200811359,0.519878625869751,0.44519324311591735,0.23001966193480214,0.9670822942643391,0.0005113348082119228,0.3118711499270148,0.0001854175328418582,0.0005647664688341403,0.0004337702901916522
10.0,2.382116708771732,214.75934219790125,230.5296,230.5296,1.0,0.9034778353991717,1.023876675907432,0.8861710841645669,0.6834035963020253,0.9128213555942238,0.0624583971773337,0.05786239157749129,0.8860759493670884,0.9014857833906588,0.34936002625533313,0.9539828418842108,0.9864546663114196,0.9832657200811359,0.9832657200811359,0.5183218121528625,0.44694320367756024,0.23160724281495326,0.9670822942643391,0.0005493568075302897,0.335393476717627,0.00019131169299120739,0.0006080535196421661,0.00041957742489192495
11.0,3.0574387470066737,224.94722722343522,253.58256,253.58256,1.0,0.9565151464436973,1.523360529008639,0.8532008088590725,0.9212559702341613,0.9493895693776275,0.054324721704732536,0.05268391589575175,0.8860759493670884,0.9008108640900614,0.36561723475080876,0.955584376559022,0.988110714286147,0.9832657200811359,0.9832657200811359,0.5191919207572937,0.4458182919055149,0.23060354918904827,0.9670822942643391,0.00043294981929679747,0.26481455756652394,0.0001114048496799884,0.0004853081522356445,0.0005234130378408855
12.0,2.7648222563983356,232.72856709579133,276.63552,276.63552,1.0,0.9946447793641648,2.069773115232388,0.6782005391543423,0.9072862880091793,0.9854356568290057,0.051479906927357565,0.09456736603869664,0.8860759493670884,0.875015448421228,0.434748464531858,0.9632594638056402,0.9960470474111958,0.9832657200811359,0.9832657200811359,0.5191711783409119,0.4462859734632725,0.23101186905529184,0.9670822942643391,0.0006508776220337287,0.3984578688102829,0.00022130539665129954,0.0007210606322241586,0.0005435719807490336
13.0,2.267143900586467,226.52679489824217,299.68848,299.68848,1.0,0.907246135419327,1.0279094308982921,0.9652463730880478,0.8017710988619939,0.9128213555942238,0.08665674227662105,0.09251067281272338,0.8860759493670884,0.9123249545021413,0.36694953662462687,0.9544805003997416,0.9869692642091191,0.9832657200811359,0.9832657200811359,0.5178238153457642,0.4477857043320995,0.23235663814811058,0.9670822942643391,0.0005566961731369269,0.34124480353978015,0.00018395504283645232,0.0006176479744561874,0.00036032310984690193
14.0,3.185801061338785,255.81400292616246,322.74144,322.74144,1.0,0.9940311346467701,2.0684886043094,0.9494307933980403,0.95750893870842,0.9850562370795535,0.06632884014194831,0.07334279762541691,0.8860759493670884,0.9123249545021413,0.36652366887023924,0.9547642825730454,0.9872627058065786,0.9832657200811359,0.9832657200811359,0.5191805958747864,0.44601553461498156,0.23077615800986928,0.9670822942643391,0.0005005012537592717,0.30750015362514205,0.00012946909812305816,0.0005607066409345779,0.0005612172774548234
15.0,2.757803789599075,238.72572399944966,345.7944,345.7944,1.0,0.9937110161251618,2.068404905524845,0.673253045303409,0.9100909968989882,0.9786708803204811,0.047333143688054094,0.10000372285078343,0.8860759493670884,0.9493895693776273,0.334259302670855,0.9528614778398763,0.9852951330938381,0.9832657200811359,0.9832657200811359,0.5200561285018921,0.44529405169356195,0.23013661685683248,0.9670822942643391,0.0008480995892121048,0.5215997769289515,0.0002901320668743841,0.0009389609508153167,0.0006139697903593873
16.0,2.2809517360998077,228.02972708343435,368.84736,368.84736,1.0,0.8975525643443583,1.0169840629711968,0.9871108662730028,0.6250392165406653,0.9128213555942238,0.10987504821797248,0.11012107209314273,0.8860759493670884,0.9123249545021413,0.3027411818025536,0.9474947437300296,0.979745725208205,0.9832657200811359,0.9832657200811359,0.5180030465126038,0.4471536582842135,0.23179908909289085,0.9670822942643391,0.0009617009423082437,0.5924876724063779,0.00033709073788828375,0.0010635049496806874,0.000503025830579074
17.0,3.2971586849546797,230.97954266248288,391.90032,391.90032,1.0,0.9251373783753729,1.3198973640390048,0.9671360752250574,0.570873124807851,0.9470756208666509,0.10640267684799544,0.10157033662755781,0.8860759493670884,0.9123249545021413,0.30639426758560334,0.9484024827222907,0.9806843619691556,0.9832657200811359,0.9832657200811359,0.5178006291389465,0.44672072486687175,0.23141644584634016,0.9670822942643391,0.0005402023694727282,0.33390485021482164,0.00011448616681711558,0.0006089083361979859,0.0006346365621835314
18.0,2.774530276061659,231.50803892017115,414.95328,414.95328,1.0,0.9422447277247894,1.5067994293977789,0.8492350105494888,0.6204224371869637,0.9583273789538521,0.10278862879647828,0.12019216108925734,0.8860759493670884,0.9123249545021413,0.313938768812415,0.9493139288905784,0.9816268320915986,0.9832657200811359,0.9832657200811359,0.517589807510376,0.4470740507071155,0.23173000021642412,0.9670822942643391,0.0006163412526243156,0.38132530704388046,0.00011848016570163714,0.0006965588708129991,0.0007746030853770234
19.0,2.4278084720616766,236.14578906035914,438.00624,438.00624,1.0,0.9600857771290414,1.5290252269522928,0.8484606337949695,0.8504066295319915,0.9595551000494872,0.10237659500536225,0.1339995941532312,0.8860759493670884,0.9123249545021413,0.2847179895916358,0.9470430713252536,0.97927867870404,0.9832657200811359,0.9832657200811359,0.5189477205276489,0.4453323798583927,0.23018894785736171,0.9670822942643391,0.0006276121753631605,0.38879206511637676,0.00013681127617325565,0.0007068600940381045,0.0005673298516473617
20.0,2.7552775314979487,249.24988500647797,461.0592,461.0592,1.0,0.9963229799685276,2.0720681461776684,0.853807843687162,0.9109919485052929,0.985644341328602,0.10135435371651207,0.1375109550822133,0.8860759493670884,0.9123249545021413,0.3098012096207042,0.9492612250047128,0.9815723342622223,0.9832657200811359,0.9832657200811359,0.5198950171470642,0.4446786017786535,0.2295999357779516,0.9670822942643391,0.00047242692338103783,0.2932082427050773,0.00010658948633110677,0.0005313773581924847,0.0004281672624802746
21.0,2.6066372472537593,260.09225704657126,484.11216,484.11216,1.0,0.9630028290477249,1.5326563797167414,0.8319796688446012,0.899390993751982,0.9652368304147618,0.1082445381545356,0.17461478232331415,0.8860759493670884,0.9123249545021413,0.30325691156016066,0.9490004522950495,0.9813026853283003,0.9832657200811359,0.9832657200811359,0.5201622247695923,0.44429896680494196,0.2292657525675,0.9670822942643391,0.0005827827087646632,0.36218350104149977,0.0001361554094967354,0.0006547288065024256,0.0004752551636477742
