round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auroc,fed_f1,fed_f1_best_threshold,fed_prevalence,fed_ece,fed_auprc_lift,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6883151794043985,0.11771512214277464,3.65056,3.65056,0.9971592150692714,0.188021122084154,0.6156032216867232,0.21451830689291335,0.5112918224806001,0.11375511488825936,0.38895333153405276,1.6624974648409325,0.2683230563192199,0.25029019664423474,0.6412353449384974,0.17458174379927713,1.5328169100962603,0.26423921887713586,0.26647875108412833,0.5008319020271301,0.3810641458751607,0.2453637846187315,0.11389601892395189,0.02764265025817489,2.9872341225855052,0.02328871022507156,0.030522282121116087
2.0,0.6808559713812451,0.13590547751496065,7.30112,7.30112,0.9971592150692714,0.21415905166553925,0.6450356309517216,0.24812967882519849,0.5130053509020903,0.11375511488825936,0.36675113233936113,1.8754959680893961,0.2783013401105142,0.23255345743531322,0.6314508637009568,0.16042992880366388,1.4085648499337153,0.24176387642609923,0.26246719160104987,0.4944741427898407,0.36927788580026144,0.23593422775097653,0.11389601892395189,0.01842844264467675,2.1231312402524054,0.015086406269721683,0.020650280570533933
3.0,0.6669437262234365,0.20911294191390145,10.95168,10.95168,0.9971592150692714,0.22075318545861072,0.6536378619247178,0.2573082184034885,0.5093949987522867,0.11375511488825936,0.35193539336675517,1.9262839001804217,0.28328754730044364,0.2227271470734314,0.5941151278671168,0.13650840276723525,1.1985353312338476,0.1942005852620378,0.2413497283385759,0.47876614332199097,0.36555777479714413,0.23338248171424383,0.11389601892395189,0.013848221053070316,1.7121116616763175,0.01270026436031785,0.014628073409383246
4.0,0.6597370156762772,0.2517856275709764,14.60224,14.60224,0.9971592150692714,0.22759068480611233,0.6576114217764699,0.2644038736374543,0.5052614258357778,0.11375511488825936,0.34042903690038695,1.9939622812152085,0.28737714845144385,0.21535092921136145,0.6054649649677034,0.1447418972667882,1.2708249035765864,0.17788286649690796,0.24362948960302455,0.47487911581993103,0.3581497972327994,0.2278254411395604,0.11389601892395189,0.010893267771827059,1.438344827038236,0.01050908117724219,0.011162709161454605
5.0,0.6519840706198756,0.26130002150135345,18.2528,18.2528,0.9971592150692714,0.23007528419991705,0.6589435982916826,0.27031208268504175,0.5240446373824996,0.11375511488825936,0.35845783724606994,2.011728587512593,0.2888157294363785,0.2272973104782834,0.5625966401905027,0.1303185057018376,1.1441884179362842,0.18130471618186952,0.2239867869393978,0.4709377586841583,0.36494259989773414,0.23351893252053854,0.11389601892395189,0.009563037778861127,1.339342962950468,0.009334218316479822,0.009728762578969038
6.0,0.649069198672224,0.3804191455445168,18.2528,18.2528,0.0,0.2466132964405761,0.6782191800567261,0.28204160248635757,0.5271649954057843,0.11375511488825936,0.33321382800597305,2.167553900711334,0.30453685659711777,0.21027893941190087,0.5625966401905027,0.1303185057018376,1.1441884179362842,0.18130471618186952,0.2239867869393978,0.4709377586841583,0.36494259989773414,0.23351893252053854,0.11389601892395189,0.0,0.0,,
7.0,0.6410517479460563,0.34836632634686554,19.92192,19.92192,0.4559241291901578,0.24089833493275375,0.6704445694858078,0.2785414355058941,0.5027649461979156,0.11375511488825936,0.33976730461301835,2.1283651093106837,0.29859705333483627,0.21377929716120309,0.5755855862820236,0.13733119674813213,1.2057594114841526,0.1987755633711085,0.2268381594332485,0.4786882996559143,0.3670582744002348,0.23490319302062526,0.11389601892395189,0.009157645089491568,0.5821790909394622,0.009157645089491568,
8.0,0.636954473639368,0.42268477013520034,19.92192,19.92192,0.0,0.2528649673254236,0.6825423603981045,0.2894009416416943,0.529553475956291,0.11375511488825936,0.34264071486634695,2.2334803700348766,0.30828631769597714,0.21594669349165513,0.5755855862820236,0.13733119674813213,1.2057594114841526,0.1987755633711085,0.2268381594332485,0.4786882996559143,0.3670582744002348,0.23490319302062526,0.11389601892395189,0.0,0.0,,
9.0,0.6500017673958707,0.3649130480463217,23.57248,23.57248,0.9971592150692714,0.23650677570443682,0.6656958790484606,0.2749653447519413,0.5240912144743949,0.11375511488825936,0.34150063480676474,2.0685390269184047,0.29473384319739787,0.2148796321585995,0.5902262535634796,0.14274684252529218,1.2533084463698765,0.20323325635103925,0.23288062902072906,0.47795140743255615,0.36353765759928136,0.23204891091948593,0.11389601892395189,0.009366381039819972,1.43451444292441,0.007467189839030616,0.010909533513966486
10.0,0.6409210762724254,0.3392410867252488,23.57248,23.57248,0.0,0.25010223682735666,0.6804560853078895,0.2906536546730039,0.5161465315219175,0.11375511488825936,0.3082583181663227,2.1932217025335903,0.3053066017125134,0.19483138371952383,0.5902262535634796,0.14274684252529218,1.2533084463698765,0.20323325635103925,0.23288062902072906,0.47795140743255615,0.36353765759928136,0.23204891091948593,0.11389601892395189,0.0,0.0,,
11.0,0.6314309486546363,0.42154229001384314,25.55392,25.55392,0.5412350858791136,0.26176169280412276,0.6937974076708132,0.299914712034273,0.5441931226098167,0.11375511488825936,0.3381968964936038,2.2992650356627498,0.31966789637643556,0.21142659696613753,0.5910031524724755,0.1409655656604462,1.2376689456948324,0.1892057651027292,0.23502808374060835,0.474653422832489,0.35860276819055426,0.22839554156989322,0.11389601892395189,0.011026252932117765,0.9875741417054087,,0.011026252932117765
12.0,0.6197398312036196,0.5101093869875418,25.55392,25.55392,0.0,0.2714430745930103,0.7024536930105091,0.29869859258620496,0.560859131259591,0.11375511488825936,0.32873544950351274,2.3865887339720455,0.3280203760972056,0.20757394864613476,0.5910031524724755,0.1409655656604462,1.2376689456948324,0.1892057651027292,0.23502808374060835,0.474653422832489,0.35860276819055426,0.22839554156989322,0.11389601892395189,0.0,0.0,,
13.0,0.6401150482342289,0.4620570414441529,29.20448,29.20448,0.9971592150692714,0.2375375880776921,0.6681218534975648,0.2692833051861966,0.5165070696187762,0.11375511488825936,0.3437780702924594,2.076173259333333,0.29614084880164365,0.21830071695584846,0.6248068074651568,0.15458944859495843,1.357285795021312,0.23931623931623933,0.2550311978205466,0.4917701184749603,0.3616485533380588,0.23005442537404175,0.11389601892395189,0.008205370894805384,1.3857581592164934,0.006927902567343672,0.009198405294553218
14.0,0.637361029453197,0.42169747711104505,29.20448,29.20448,0.0,0.25467043262731676,0.6840618388852715,0.28283080711716335,0.5559018745525925,0.11375511488825936,0.3473937773567572,2.2415953612657584,0.3092311162516153,0.21980144389780198,0.6248068074651568,0.15458944859495843,1.357285795021312,0.23931623931623933,0.2550311978205466,0.4917701184749603,0.3616485533380588,0.23005442537404175,0.11389601892395189,0.0,0.0,,
15.0,0.624782272736364,0.48811598444989607,31.18592,31.18592,0.5412350858791136,0.26774193875578445,0.6968748722985624,0.29398476129546414,0.5673152285061958,0.11375511488825936,0.34894419990369724,2.3468045261881034,0.32561400305032356,0.2189205691550437,0.6393390474835613,0.1644928222298249,1.4442368028653958,0.2625755674689175,0.26923486219006065,0.4982888996601105,0.36204159022655513,0.2301182116259006,0.11389601892395189,0.009269995748836248,0.9207956728059798,,0.009269995748836248
16.0,0.6063297829614072,0.619541347824841,31.18592,31.18592,0.0,0.28291094996028776,0.7105887008126484,0.3100440046077629,0.5551137828699326,0.11375511488825936,0.32342158867562754,2.4885672749515,0.3329432281913541,0.20261267047168877,0.6393390474835613,0.1644928222298249,1.4442368028653958,0.2625755674689175,0.26923486219006065,0.4982888996601105,0.36204159022655513,0.2301182116259006,0.11389601892395189,0.0,0.0,,
17.0,0.6384202127685014,0.6541707458912136,34.83648,34.83648,0.9971592150692714,0.24080284756977696,0.6724758305775035,0.2712992542211769,0.5523155394668358,0.11375511488825936,0.3612245305720686,2.105896758825207,0.2997892536558849,0.22972942428925341,0.6358821002099824,0.16412650483939314,1.4410205588395504,0.26330257215786373,0.26449237243556023,0.5018691420555115,0.36704085129569336,0.23390663419879856,0.11389601892395189,0.00782429483164675,1.4326900094747543,0.006955266157281975,0.00848312952769589
18.0,0.6378730460214673,0.6052527892126214,34.83648,34.83648,0.0,0.25810600858371957,0.688011541108694,0.2841621386983089,0.5577456799512546,0.11375511488825936,0.3441275646218835,2.2714372662318034,0.31334204490421064,0.21700203151677938,0.6358821002099824,0.16412650483939314,1.4410205588395504,0.26330257215786373,0.26449237243556023,0.5018691420555115,0.36704085129569336,0.23390663419879856,0.11389601892395189,0.0,0.0,,
19.0,0.6161864701395012,0.5354023408278646,36.81792,36.81792,0.5412350858791136,0.272683006541465,0.703597510869708,0.30233418299456494,0.5569991318842582,0.11375511488825936,0.333846257086685,2.4007102625526673,0.32948017317939127,0.20908968028977343,0.62927397305452,0.1568065145712734,1.3767514971350556,0.2548355370997705,0.2606387846618468,0.4949882924556732,0.3637022345536691,0.23152107215936538,0.11389601892395189,0.008422160885759483,0.9169392462354153,,0.008422160885759483
20.0,0.6031157486096168,0.7007341160091548,36.81792,36.81792,0.0,0.28605161915751437,0.7126622224724102,0.3105416025520437,0.5542287522117261,0.11375511488825936,0.32395105247535594,2.51818068079495,0.33516483900553407,0.2036901483555422,0.62927397305452,0.1568065145712734,1.3767514971350556,0.2548355370997705,0.2606387846618468,0.4949882924556732,0.3637022345536691,0.23152107215936538,0.11389601892395189,0.0,0.0,,
21.0,0.6452313538038826,0.8665594067009239,40.46848,40.46848,0.9971592150692714,0.24383338240898356,0.6752292455361422,0.27801867174455963,0.5464948417669879,0.11375511488825936,0.34849659450584364,2.1346108023936,0.3018230979708164,0.22151492677076906,0.6317910416893288,0.15970914317223067,1.402236396680977,0.25926719520034286,0.2614275841642808,0.4973126947879791,0.3655979158690054,0.23288683466760074,0.11389601892395189,0.006976126139689883,1.3875691756838933,0.006163180071472579,0.007578312912982648
