round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_ece,fed_auprc_lift,fed_f1,fed_f1_best_threshold,fed_f1_best,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6878874045420881,0.09431781043133354,3.66096,3.66096,1.0,0.6648745010071688,0.21027833562714057,0.3691838842388365,1.9314396599740855,0.2683929369678555,0.5021730278023842,0.287236140160647,0.11004091910607489,0.2304852569769335,0.6616184781942483,0.21137908488431706,1.8558952883634536,0.271472824556463,0.274538928085159,0.4930742681026459,0.36565356221218953,0.23094488325540627,0.11389601892395189,0.02489435596566718,2.6998426954214665,0.021972961672635283,0.026986429222435965,0.009261808396150664
2.0,0.6655402045529135,0.18211114632207723,7.32192,7.32192,1.0,0.6718292759133847,0.21653948445529153,0.37309911070584423,1.9908813495746684,0.26990425563772535,0.5554452694058982,0.29572930840248335,0.11004091910607489,0.23373018537994877,0.6656086391228957,0.21642341252009215,1.900184172939333,0.27443323570886213,0.2839572192513369,0.531884491443634,0.36994105954553974,0.23455204964936466,0.11389601892395189,0.01721913482245246,1.9999537564481216,0.017064260390284216,0.017446622666079385,0.005144034442545333
3.0,0.648348956594585,0.2983386055953232,10.98288,10.98288,1.0,0.6737006723926783,0.21843930653787996,0.35006793417437554,2.0082864561702123,0.27260930465871686,0.5719859044826514,0.29883481294109987,0.11004091910607489,0.22005295897427127,0.6686573150829501,0.22080585098319938,1.9386617115268177,0.274175944117005,0.2825799629923341,0.5411736965179443,0.34735374358677235,0.2212675318329254,0.11389601892395189,0.011585905392160218,1.4379621456118912,0.011965671839839835,0.01139786124494399,0.004617000445446392
4.0,0.6523819032066223,0.40347568368349007,14.64384,14.64384,1.0,0.6757877141423887,0.2209209860213603,0.3572920240234346,2.035740460083797,0.27606077011778246,0.5642000666758833,0.2960586343803828,0.11004091910607489,0.22334739093133774,0.6692837460655585,0.22251125452810716,1.9536350491466907,0.27925292529252926,0.2838188635708105,0.5460420846939087,0.35421274276101067,0.2243005267841702,0.11389601892395189,0.010118751383078956,1.3227924095463095,0.010782147684805779,0.009705970952978005,0.004343973817443561
5.0,0.6454517869479355,0.3083657631253374,18.3048,18.3048,1.0,0.6769212344589304,0.2217968300046468,0.3524778023535703,2.0427914167752976,0.2755793685207647,0.5561959401443763,0.2965283752550297,0.11004091910607489,0.22041311444039205,0.6693197253437032,0.22251937260366506,1.953706325347866,0.27717449736587463,0.27974543442169336,0.5448277592658997,0.34964614580403436,0.2218059490307782,0.11389601892395189,0.009034119266063952,1.2462529676849954,0.008967262276268005,0.00912597434263077,0.003878000825329154
6.0,0.6445798233998612,0.383216856460068,21.96576,21.96576,1.0,0.6779642969242644,0.2233474714913546,0.349967256685567,2.056768223933635,0.2807981635139058,0.531791437197527,0.29716354162565667,0.11004091910607489,0.21910192433692827,0.6701673027649102,0.22333079068226286,1.9608305258797527,0.2779783393501805,0.280361234667745,0.5344525575637817,0.34710035577541665,0.22039843060231773,0.11389601892395189,0.008303742858203197,1.207182421867401,0.008244980663639236,0.008375693897533508,0.004842959260090524
7.0,0.6422965346772205,0.3299491644051477,25.62672,25.62672,1.0,0.6796278191263687,0.2254243598534149,0.3456089175728683,2.0754453780164175,0.2825305043692419,0.5345520002364662,0.30215741094028975,0.11004091910607489,0.21446553270935442,0.6706909913861065,0.22384147215601752,1.965314277626121,0.2799188640973631,0.2821476510067114,0.519869327545166,0.34227419526736347,0.21563654161661325,0.11389601892395189,0.008632033056901061,1.325640330494025,0.008269415939067248,0.00895100427636329,0.0041403770877757136
8.0,0.641093010423288,0.30470936354654915,29.28768,29.28768,1.0,0.681215054218767,0.2278384684114613,0.3407778316055186,2.0948276631570457,0.2834901347337435,0.5475296615466106,0.3019446539048472,0.11004091910607489,0.21257282120997523,0.6708067600784271,0.22269602057275323,1.9552572835881723,0.27997580157289775,0.2839045356860084,0.48569396138191223,0.33739086962263987,0.21394432120269186,0.11389601892395189,0.007781209857908869,1.268131631124561,0.007145429231027457,0.008323250003472983,0.004434868656411544
9.0,0.6412360868901611,0.38230723286247836,32.94864,32.94864,1.0,0.6829050554556063,0.2296037077631215,0.3401548421191539,2.1101475159223524,0.28140109639176986,0.5490742694067062,0.3036744091630963,0.11004091910607489,0.21287716931288575,0.6707704043167303,0.22274440935840323,1.9556821341326176,0.27995570321151714,0.2828282828282829,0.520846426486969,0.3373746505250232,0.21476950372403772,0.11389601892395189,0.008323907076432912,1.4350240894364106,0.00735299171211176,0.009170230738967357,0.00414158696923883
10.0,0.6434967618621577,0.4581739895349899,36.6096,36.6096,1.0,0.6849419915164456,0.23145832721827056,0.3487124328056821,2.1278113121028963,0.28316423129875357,0.5385981326569241,0.304672860257554,0.11004091910607489,0.21785429512625815,0.669481939556921,0.2220265400388381,1.9493792859176642,0.2780690257754478,0.2807659470667155,0.5222446322441101,0.3458037116479079,0.21991612264134824,0.11389601892395189,0.008530062940643358,1.566591406630323,0.006613586569884171,0.010215265797747002,0.004310536606352955
11.0,0.6414066195092119,0.4095474486618052,40.27056,40.27056,1.0,0.6858415754222731,0.2343585881267158,0.3453801807917849,2.1498407850686503,0.28312722074229746,0.5447245087456996,0.30398855759109544,0.11004091910607489,0.21572450071884225,0.6715372762137841,0.22319912680622647,1.9596745251935102,0.28109927089175546,0.2821302314973201,0.5036202073097229,0.3422323533947081,0.21769182276932278,0.11389601892395189,0.008038749793289845,1.5670898770149506,0.006292349069928134,0.009596210168317937,0.00527853172891941
12.0,0.6441608355389865,0.4685727688314019,43.93152,43.93152,1.0,0.6868427178316268,0.23684542543481527,0.345126662741752,2.17559235593229,0.28450433725214425,0.5514584615108986,0.3094713323429099,0.11004091910607489,0.2152192442414148,0.6709978882284586,0.22242275484601687,1.9528580274129514,0.28014964788732394,0.2825904121110177,0.5477635860443115,0.34208643724495497,0.2174724816346093,0.11389601892395189,0.0077181560559231085,1.5982001501215564,0.0054212148904797955,0.009799529756055036,0.005221023075958272
13.0,0.6419497214645206,0.46545143269858924,47.59248,47.59248,1.0,0.6894578492182099,0.24046046804533575,0.34819340802679877,2.206085916880242,0.28282816836670427,0.5753409764021494,0.3122815085143311,0.11004091910607489,0.21740363571914345,0.6715194308934072,0.2227144977761395,1.9554195122908156,0.28220179421862884,0.28406132484813423,0.5568907260894775,0.34499327413712655,0.21981692958020638,0.11389601892395189,0.007546983895687357,1.6572014661487628,0.005327798967238906,0.00958710927277807,0.005750815743380039
14.0,0.6427058843841046,0.5416992087318293,51.25344,51.25344,1.0,0.6914202676064609,0.24498669053929997,0.3231187418257999,2.2458261685070813,0.289079844752035,0.5674001056404282,0.31236499766637854,0.11004091910607489,0.20164329236002798,0.6709516183998856,0.2217784844441975,1.947201373142625,0.28142011834319525,0.2822248381400824,0.5445454120635986,0.3197912863280454,0.20447232366308143,0.11389601892395189,0.00764333530789107,1.7798209473185125,0.005280011928972295,0.009851982676784138,0.006198347651480447
15.0,0.6423004728517697,0.6224009315427766,54.9144,54.9144,1.0,0.6928157757258145,0.2476874355629668,0.34375651038955657,2.269455645677939,0.286319491777139,0.5568644273701352,0.3158941887600852,0.11004091910607489,0.21357189506935753,0.6706095956421074,0.22231850616401955,1.9519427304343369,0.28103746397694523,0.28423457730388424,0.5517717599868774,0.3405178688045441,0.21638027456978215,0.11389601892395189,0.006583815331004551,1.6255745619328081,0.004580356338770238,0.008490268607449093,0.005540455374424738
16.0,0.6397019022896624,0.5159924302024335,58.57536,58.57536,1.0,0.693363570161462,0.24989765159157182,0.34035223944028814,2.289777893584164,0.28646276446531077,0.567947643113504,0.3174610694181101,0.11004091910607489,0.21217610091532182,0.6708211166512199,0.2214958569345163,1.944719921092313,0.27958185053380785,0.2841436179350627,0.5800529718399048,0.33699698136890954,0.2151273352833919,0.11389601892395189,0.006439704487614594,1.6752995157257828,0.00436660404500652,0.008452477227587003,0.004263853614954904
17.0,0.6406208734545087,0.6901742370599628,62.23632,62.23632,1.0,0.695846078024448,0.2520600581367756,0.33334991779479733,2.307953050137855,0.29138396882702094,0.5468519198489257,0.32049334299574583,0.11004091910607489,0.2063206522925261,0.6707704419650855,0.2224412009702682,1.9530199832427126,0.28015755785327423,0.28630348857191956,0.5624584555625916,0.3298556857237405,0.20947371121076197,0.11389601892395189,0.00616455522646793,1.6932899424282368,0.004165314484088065,0.008116655900687308,0.004763043266489011
18.0,0.638758546584064,0.6246284183047331,65.89728,65.89728,1.0,0.6958702465301148,0.25445155768281463,0.3414794889488309,2.3250729980901723,0.28777913899249696,0.5928872335508705,0.3182667411291235,0.11004091910607489,0.21191438329551668,0.6702097575601537,0.22242702814933152,1.952895546751687,0.27903764245424195,0.28676213761788333,0.578645646572113,0.33779441994970705,0.21514204595146252,0.11389601892395189,0.006135159528743326,1.775736569386936,0.0040525114094279785,0.008185308336580602,0.00431952046885995
19.0,0.6390917024160655,0.7009172343183797,69.55824,69.55824,1.0,0.6969712121623935,0.2579254190068963,0.3279385466481535,2.359704867682971,0.29227396463630295,0.5703793005576328,0.32079147343686476,0.11004091910607489,0.2031937185432299,0.6679542445985528,0.22040648674627333,1.9351553182331882,0.2801310838694016,0.28596312962694154,0.5297837257385254,0.3241193097080448,0.20666076644638273,0.11389601892395189,0.005919520347883158,1.8039218679477926,0.00375145863532677,0.008073881173479172,0.004861023606926708
20.0,0.6456203267702592,0.9106187579220943,73.2192,73.2192,1.0,0.6988644714862094,0.25874011830317534,0.34660508482417096,2.366939274901313,0.28876831550323495,0.6046663487580424,0.3224222585729378,0.11004091910607489,0.21679974437907668,0.6665546042457605,0.21891894867326475,1.9220948259783903,0.2768231349538977,0.28281604844814534,0.5720216035842896,0.34306879725080913,0.2205690220072054,0.11389601892395189,0.006239312869760124,1.9992475775461571,0.0036439642412690355,0.008838094803566508,0.005731260245751241
21.0,0.6453601670608252,0.9467617978813208,76.88016,76.88016,1.0,0.7011343227207647,0.26027231144772256,0.35368583817380866,2.3783833922711506,0.29276069479872013,0.5617418835476056,0.3250097181869517,0.11004091910607489,0.2191643800593245,0.6675250533489744,0.22131705075255595,1.9431500138765063,0.27673096220314414,0.2849061455386989,0.5256199240684509,0.34960068421197127,0.22264650124172286,0.11389601892395189,0.005599477035466705,1.8878463632827334,0.003426082119805237,0.007789277032927349,0.0054381287942101425
22.0,0.6422719551242981,0.7062522314172212,80.54112,80.54112,1.0,0.7024503063872488,0.26415244539821026,0.34066837947495543,2.4094821889507103,0.2969399734796223,0.581258040576526,0.32761906454737655,0.11004091910607489,0.2104467807253273,0.6670053931017873,0.2221435139571812,1.9504063096841509,0.27881396461023433,0.2870509607351713,0.5673468708992004,0.33654993603969624,0.214230442553318,0.11389601892395189,0.004785184852165728,1.687313505457496,0.0029944139771977425,0.006595668712810428,0.004453841970260084
23.0,0.636962219340892,0.8508443697848846,84.20208,84.20208,1.0,0.7045693422011924,0.26868361626743015,0.34529808705246384,2.4512609336221516,0.29010011549144105,0.5897259635616857,0.33227640779646117,0.11004091910607489,0.21468367635278718,0.66825476631942,0.22093099394848636,1.9397604590200952,0.2794415432164553,0.2872521246458924,0.553633451461792,0.3418025444443831,0.21897906614697485,0.11389601892395189,0.004724093965222969,1.7422913577956933,0.00285790030858899,0.006620786822007752,0.0036193786108519367
24.0,0.6410193596309314,0.9227573036050206,87.86304,87.86304,1.0,0.7056457457930294,0.2702592826996634,0.3336517573559119,2.46763591965927,0.29490988020551395,0.5701956361278934,0.3318252137255486,0.11004091910607489,0.20647083567971497,0.6675964095315797,0.22102461192210268,1.940582419036791,0.28129428436466697,0.2857598978288633,0.5588827133178711,0.32981232704652014,0.2109488451347318,0.11389601892395189,0.004794678005242548,1.842081103077362,0.0028092088344401933,0.006820842161471102,0.004223322924726541
25.0,0.6466840344330993,1.0236055276313611,91.524,91.524,1.0,0.7085751350427747,0.2748206086953316,0.34302842811067785,2.5110111370793575,0.2971344263083466,0.5912010530405613,0.33480921931537666,0.11004091910607489,0.2119360882076075,0.6646433603937999,0.22125898706020392,1.942640218249753,0.27812142038946164,0.2839299314546839,0.5569757223129272,0.33896474966319906,0.21680968039492002,0.11389601892395189,0.004354036326047489,1.747692559065399,0.002608357282600852,0.006143865774812837,0.003974548524791336
