round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_brier,fed_auroc,fed_f1_best,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_prevalence,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6883494911762906,0.09599305265766975,3.66096,3.66096,1.0,0.36820131297714875,0.23026092024335407,0.6681618188958028,0.2933577928358924,0.5015789754048511,0.2749674907728259,1.9685442239392539,0.11092225369845767,0.21560216672323218,0.6616136843036828,0.21138368553748982,1.855935681813692,0.2714305888998729,0.27440306816775945,0.4929496943950653,0.36552923626031913,0.23085260382372208,0.11389601892395189,0.024861067516421077,2.696210266320122,0.021960243960032374,0.026939498027443186,0.009261891556794705
2.0,0.6644817211260006,0.17715912446168913,7.32192,7.32192,1.0,0.37589602298919683,0.23592694659671376,0.675074328017081,0.3007057386077678,0.5606635984813112,0.27561399446002444,2.024895734008117,0.11092225369845767,0.22167649416587912,0.6653363034706412,0.21649751546586893,1.9008347922188906,0.2724569972393289,0.28328252032520324,0.5267854928970337,0.3735040940898936,0.23699271532776311,0.11389601892395189,0.017790070257661595,2.065833046917305,0.017192780677047725,0.018306666136404928,0.00581560868501213
3.0,0.6502432932566999,0.29733544071680257,10.98288,10.98288,1.0,0.3482719174919543,0.21930650797365425,0.6773840462800328,0.30156836878117704,0.5660284585779405,0.27806277687080866,2.0404264338764206,0.11092225369845767,0.22337013559025878,0.6683580232083537,0.22089941848015182,1.9394832283615273,0.27346081574002434,0.2830691541590686,0.5517285466194153,0.34640825871951725,0.22092139058367688,0.11389601892395189,0.011380433168051202,1.4142843789786639,0.01172237265406203,0.011212266415505613,0.00499252960718521
4.0,0.6483506420275006,0.41191269222882426,14.64384,14.64384,1.0,0.35484669662831453,0.22198070236308237,0.6794692202258859,0.299814276391953,0.5638689766093024,0.28093547646983513,2.0627854613423136,0.11092225369845767,0.22533644468625208,0.6690137571607798,0.222457943614236,1.9531669826209699,0.2793079899840656,0.28294149808638597,0.5344081521034241,0.3525844047723404,0.22326501079855066,0.11389601892395189,0.009989066525996952,1.3091161112633927,0.010465281993667863,0.009707628876313344,0.004369906022911618
5.0,0.6462488438498454,0.328186957753167,18.3048,18.3048,1.0,0.35328541953195214,0.22136801815972035,0.680267411101992,0.30033990874440436,0.5518361270052478,0.2802507176920466,2.0672166119625355,0.11092225369845767,0.22612121120063705,0.6688059507893831,0.22239512718459709,1.952615458254865,0.2770656037918776,0.28053056868425064,0.5590918660163879,0.35123889151010207,0.22294722446939522,0.11389601892395189,0.00933085561152592,1.2911517005004498,0.009159872756162802,0.009500632576602733,0.0038370449531909606
6.0,0.6494460419753603,0.4320578351540935,21.96576,21.96576,1.0,0.35235564615278453,0.22082572365561118,0.6799939244312047,0.30146043647246445,0.5436242671162218,0.2866876574153313,2.072037319679216,0.11092225369845767,0.22667089722795755,0.6698692909343915,0.22359333272588378,1.9631356287806383,0.2796736757439963,0.28086039183449785,0.5355774164199829,0.3499611828023771,0.22210640989826466,0.11389601892395189,0.009130992189286362,1.3344153785401431,0.008482828698791293,0.009658397621129342,0.004191924272129418
7.0,0.6424389337873836,0.31304249863936234,25.62672,25.62672,1.0,0.3450284093215025,0.21437187354119847,0.6820697798958044,0.3016617784884741,0.5107886623034209,0.2871004944784193,2.1030486580182983,0.11092225369845767,0.2298308088732672,0.6708929497129914,0.2242533221035481,1.9689302946864327,0.27967125936669085,0.28350442975671497,0.5250999927520752,0.3424248676166793,0.21562298245831252,0.11389601892395189,0.008207712958436432,1.2696626447941526,0.00805002755488284,0.008357676751342935,0.004579338895363895
8.0,0.64292144760394,0.3142896630659732,29.28768,29.28768,1.0,0.3397134841548447,0.21243810704425414,0.6836802090030002,0.30546711584358927,0.53452845524796,0.28805009275833376,2.125810867229079,0.11092225369845767,0.23246776667737568,0.6708954847022435,0.223207464593776,1.9597477304523796,0.2804570054119062,0.2832794593006171,0.5413032174110413,0.3372030798727352,0.21400909526136258,0.11389601892395189,0.007461320167855735,1.2201524617994437,0.006984911245172324,0.007870743024597626,0.004277479082628126
9.0,0.6423974172447483,0.40405142798513943,32.94864,32.94864,1.0,0.34024715026876334,0.212926798124322,0.6860452801455594,0.31055125383733595,0.5376595810801497,0.28767642025772683,2.1344556915147694,0.11092225369845767,0.2337953861504915,0.6709965203382188,0.22315554034078344,1.9592918387233875,0.27991617955222237,0.28438797947715616,0.5191587805747986,0.3377345452826015,0.21481291505934685,0.11389601892395189,0.008518823786745327,1.4721559773734043,0.007100521352083589,0.009736846316974697,0.004982124508497527
10.0,0.6439135851157685,0.44117828769359135,36.6096,36.6096,1.0,0.35337844341946434,0.22113440312143165,0.687385939091611,0.3107196260150081,0.543269022964328,0.28430863903613796,2.1296531972508603,0.11092225369845767,0.23348336899031683,0.6700295223342342,0.22286424625177348,1.956734294642725,0.2786299642782097,0.28223445368310107,0.5202516913414001,0.35104373685246515,0.22308834516158374,0.11389601892395189,0.00795225784291107,1.4648654649699893,0.006207702577781762,0.009477644643093482,0.004365661616262881
