round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_brier,fed_auprc,fed_f1_best_threshold,fed_f1,fed_auroc,fed_prevalence,fed_auprc_lift,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6897500106635612,0.08624097346734463,3.66096,3.66096,1.0,0.38187949435859603,0.24341152904492877,0.2127914897952952,0.5212714359339633,0.2602988829059623,0.647773999302119,0.11443318436457478,1.882786332741826,0.2848791416940398,0.6498589767909937,0.20853799070546988,1.8309506572368452,0.25663635528612105,0.2677966101694915,0.5120133757591248,0.3813859653917484,0.2431495475797327,0.11389601892395189,0.025454306460602538,2.7400229331724404,0.023180778145048507,0.02711373570614194,0.011393058914594802
2.0,0.6602239064268901,0.16246345089109432,7.32192,7.32192,1.0,0.34376499421208434,0.21768538864137468,0.2193006045334132,0.5285259172983493,0.27385376531581657,0.6535709637900972,0.11443318436457478,1.9389126699729184,0.29393417477279543,0.65525293194096,0.21289995869974196,1.8692484663743583,0.26795580110497236,0.2713062389560963,0.5224672555923462,0.3429435544254807,0.21699393368198008,0.11389601892395189,0.01812461065960623,2.097412144565169,0.016685497226027038,0.019202745081980537,0.006107094329954598
3.0,0.6435569975589354,0.31681689676258484,10.98288,10.98288,1.0,0.3556470138416451,0.22540645379864493,0.2268365463047466,0.5422468107593976,0.2715698288471074,0.6595021922855927,0.11443318436457478,2.007142669271629,0.2988408515043741,0.6583766159740766,0.21556469861748961,1.8926447179986305,0.2688778330569375,0.27252690263192014,0.5195499062538147,0.35462649926229,0.2248275290484621,0.11389601892395189,0.012694861346547489,1.590533591062922,0.012884914052798891,0.012636504959965766,0.004883074336444393
4.0,0.6453492497473898,0.33039987525067527,14.64384,14.64384,1.0,0.3395730963927305,0.21608489799678907,0.2305262267854303,0.5377761211180361,0.2753649022357725,0.6609026857370534,0.11443318436457478,2.037588106759519,0.30328704300050885,0.6585096778108976,0.21480669257578666,1.8859894718463566,0.27249236551562134,0.27376320177876595,0.5269479155540466,0.3384765636411549,0.2155936616657592,0.11389601892395189,0.009766086109700952,1.301755147476797,0.01005357366223902,0.009606916490453761,0.004529554360074717
5.0,0.6431453380337833,0.3804352653257203,18.3048,18.3048,1.0,0.33475274934660315,0.21137947624861447,0.23330245380319092,0.5369964537828694,0.27884049795708105,0.6634892883436782,0.11443318436457478,2.0653425869628457,0.3087604623098524,0.6590875549647162,0.21410956127664868,1.8798687021678004,0.27374018738921246,0.2749422928956143,0.5018186569213867,0.3336303005914359,0.2111610921982076,0.11389601892395189,0.00931218230183727,1.3137100858621125,0.00968206764404752,0.009078772432348718,0.004509291780673864
6.0,0.6432784243552908,0.36192380210080016,21.96576,21.96576,1.0,0.3285489305248867,0.2093816177933586,0.23840536476205657,0.5351706446380184,0.27932713743838894,0.665705718507185,0.11443318436457478,2.105087657555336,0.3070029445467104,0.6598610906206452,0.21416707171329466,1.8803736402436817,0.27429675238440177,0.2757158006362672,0.49438750743865967,0.3273705863389859,0.20943270180041385,0.11389601892395189,0.008067021239208655,1.2051296529753017,0.007991916345669793,0.008150236050132044,0.004586052232138148
7.0,0.6404409352120084,0.43565194246341277,25.62672,25.62672,1.0,0.37135438738099913,0.2372341924622867,0.23937513626684578,0.5656968923668403,0.27013835907655476,0.6673789186140758,0.11443318436457478,2.1142682340718806,0.3065594697089088,0.6605456757626265,0.21527032045643568,1.8900600959562175,0.269482151835093,0.27723290179155224,0.5512368679046631,0.3705805280775085,0.2374306770286879,0.11389601892395189,0.008452720796726392,1.3320140036666999,0.007948157834339624,0.008884469347655459,0.004209670325682259
8.0,0.6392863077648795,0.337372721016691,29.28768,29.28768,1.0,0.32642554273451224,0.2077114604175938,0.24468694437972155,0.551483462705046,0.2807017023827993,0.6694484566836081,0.11443318436457478,2.1634828195089626,0.3076658636336289,0.6601803486729633,0.21479235035486258,1.8858635480339214,0.2736892736892737,0.27604871447902574,0.5047904849052429,0.3252961115485151,0.208096592820969,0.11389601892395189,0.00785631231658326,1.3150917887287505,0.007270259546488615,0.008362952459642362,0.004043724954216968
9.0,0.6462165099049596,0.48325649918384234,32.94864,32.94864,1.0,0.3565665615443849,0.22539042832507059,0.25029098364520863,0.5523760011878661,0.27729191366566736,0.6732808496527828,0.11443318436457478,2.215357908460228,0.3139089814291537,0.6609583268348088,0.21595444301868072,1.8960666497296363,0.27409507195813343,0.2783018867924528,0.5240455269813538,0.3557705584368076,0.22616973284491532,0.11389601892395189,0.008092124406164351,1.440739171452151,0.007119842110892131,0.008942501239701249,0.0038342667747014035
10.0,0.6406638341849242,0.34025952680178323,36.6096,36.6096,1.0,0.3527094580332987,0.2224591070257853,0.2534563315896336,0.5615600536083749,0.2797748644840728,0.6739992654324872,0.11443318436457478,2.238555463286876,0.31537918557952055,0.6593846506852578,0.2138839856218085,1.8778881618734922,0.2758861127251598,0.27649222736442386,0.5046833157539368,0.35178587105519105,0.2236294658633153,0.11389601892395189,0.008382821434008108,1.5851222985456843,0.006467953689253634,0.010083454211208036,0.0036404538094223678
11.0,0.6406882218803823,0.3897227776324881,40.27056,40.27056,1.0,0.3487873156864812,0.2210022018584615,0.2536393132801712,0.5651710800038204,0.2846188996481016,0.6760107036022295,0.11443318436457478,2.2406362659368098,0.3162736599572742,0.6590705128092506,0.2159881997059538,1.8963630313555437,0.27474184940248286,0.27861211807353703,0.5241475105285645,0.3479859615582406,0.22241049820878184,0.11389601892395189,0.007353196339747414,1.4835192305254168,0.00582428104948292,0.008738236610537754,0.0037032092552174135
12.0,0.640924601259513,0.45958162403750924,43.93152,43.93152,1.0,0.3475018458259993,0.21892308756132683,0.25663995189642447,0.5680237584021931,0.2848669819157433,0.6774493464821226,0.11443318436457478,2.26753131982056,0.31438392698311035,0.657619846385675,0.21346669499779802,1.8742243760102735,0.2717671908002816,0.274963435713336,0.5216944813728333,0.3464085107785572,0.22044122901968902,0.11389601892395189,0.007259547563679612,1.5526952456639265,0.005653739876459835,0.008741139447482863,0.004341402085436149
13.0,0.6419093585454833,0.46598332965674605,47.59248,47.59248,1.0,0.3377989505843765,0.21359740345252648,0.26037421075584616,0.5728165048641832,0.2848862733080783,0.6787013729710726,0.11443318436457478,2.2907254844112734,0.31508566260818355,0.6554740281817516,0.2111897463095257,1.8542329073901749,0.2707535121328225,0.2746235667909932,0.5330948829650879,0.336471298609297,0.21548558056598116,0.11389601892395189,0.007410915618106473,1.6811896967119537,0.005598430106650625,0.009110762403830418,0.004317334205946046
14.0,0.6408652956642766,0.529200016927493,51.25344,51.25344,1.0,0.31320631021790024,0.19912129420926186,0.26313268636829773,0.5518687147171838,0.2902332307224251,0.6802096870249665,0.11443318436457478,2.3242776736747834,0.3195674320940691,0.6562473379475493,0.21158471522194006,1.8577007100065077,0.27387028507406946,0.276078431372549,0.5099586844444275,0.31166345452535166,0.20108611578418153,0.11389601892395189,0.0074716725903289935,1.799944712965953,0.0055116327587017445,0.009331171991054574,0.004809239197162999
15.0,0.6438683017447205,0.7056021240157448,54.9144,54.9144,1.0,0.34495825818813397,0.2181868749256941,0.2654015012889081,0.5476248435244173,0.28627681913082015,0.6850085086266526,0.11443318436457478,2.3558434775128916,0.3207956868461235,0.6565297382601009,0.21240393073192068,1.8648933715035492,0.272757585861954,0.27651515151515144,0.5112298727035522,0.3439112533109061,0.22075971897910954,0.11389601892395189,0.006797116773335594,1.7422191185542033,0.0049413800159231296,0.00857585885228137,0.0036370209565080346
16.0,0.637740736460395,0.5711239118577786,58.57536,58.57536,1.0,0.3362924305952734,0.21288491786021252,0.26691116315506414,0.5498186855215763,0.2829806631644426,0.6851361386403929,0.11443318436457478,2.3688848708180683,0.3211198377179093,0.6566761150652203,0.21079305090755368,1.850749946302335,0.27233947013920073,0.27571337983513,0.5214207768440247,0.33533046398936395,0.21562460982700699,0.11389601892395189,0.006319827053804996,1.7119834462901053,0.0046631566248244265,0.007916966316706861,0.004037768595089433
