round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_auroc,fed_auprc_lift,fed_auprc,fed_prevalence,fed_f1_best_threshold,fed_ece,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,11.373524566072785,382.1004678763401,3.66096,3.66096,1.0,0.2809395184219351,0.24406838356498178,0.6433574678420324,1.847975623506547,0.21192342566954936,0.11438463959710417,0.5040208569348215,0.3815141968393912,0.25982328844437164,0.654710544636668,0.209038351951894,1.83534379802571,0.2719643046850101,0.2772461456671983,0.5153940916061401,0.3821093807526327,0.24401697793205623,0.11389601892395189,0.022422290494501423,2.438714929696289,0.01988966440803675,0.024214357119741448,0.01031773984773398
2.0,10.205535917483758,415.25960639315065,7.32192,7.32192,1.0,0.2830591294872196,0.24293596606645682,0.6509180717561751,1.8995061954663854,0.21784439594848257,0.11438463959710417,0.5236420154721624,0.3808150006233614,0.2604706418494385,0.6598330927938088,0.2141389136173132,1.8801264139029588,0.2725609756097561,0.279797010012344,0.5548292994499207,0.38157701390613585,0.2429161763503091,0.11389601892395189,0.014819263273452694,1.698029258475799,0.014514973470780509,0.015101096984215757,0.006222288856358342
3.0,9.689343724145113,553.9935332473161,10.98288,10.98288,1.0,0.28514941986494646,0.24461523980785405,0.6524171999569985,1.9449434384317066,0.22305577847494565,0.11438463959710417,0.5330641045842787,0.3822616887666686,0.2624795959067094,0.6588166374005086,0.21542261849379976,1.8913972633023894,0.26972477064220185,0.27951433738052184,0.5657806396484375,0.38300476160945324,0.2445104367516896,0.11389601892395189,0.009928027663677496,1.2046443961594377,0.01047876747903191,0.009606720725304744,0.0035861363532022086
4.0,9.511215567039592,609.3872854961646,14.64384,14.64384,1.0,0.291103854556932,0.23940518897686708,0.6567727941421762,1.9872530268056023,0.22802369878963646,0.11438463959710417,0.5348347276327255,0.37567349983004605,0.2703521527818221,0.6620544712466712,0.21937830257192753,1.926127924790821,0.27710311327003756,0.28209959623149394,0.5599043369293213,0.3765384664703636,0.239486975539695,0.11389601892395189,0.008891770815808992,1.1306603520592944,0.00901695830575131,0.008852827886561889,0.0033177836701581633
5.0,9.40840958715767,545.5677135175947,18.3048,18.3048,1.0,0.2896036520464692,0.24088201056930178,0.6563975051401145,1.9868715428015258,0.2280617888049574,0.11438463959710417,0.5302354307380307,0.3771212592941431,0.26819701936108414,0.6600987772366399,0.22058701958416632,1.936740385381264,0.275734494015234,0.28032942667089006,0.5996347069740295,0.3778187758060771,0.2407259133310684,0.11389601892395189,0.008079117088091987,1.0782556125850533,0.008055243826492538,0.008143025383909633,0.0027848173160745296
6.0,9.348435634857413,592.2935283861018,21.96576,21.96576,1.0,0.29477033595527885,0.24403391304918717,0.6586257743678052,2.006408535334545,0.23070630291161387,0.11438463959710417,0.5582554585985466,0.3808992662443318,0.2682756400943159,0.6610390825567689,0.22315096062741813,1.959251629123363,0.27046054561454974,0.28222730739893204,0.5951319932937622,0.3819347296968141,0.24440110667908418,0.11389601892395189,0.00754825292853109,1.0595991099994535,0.007617220909278009,0.007539474549426728,0.002663168353262477
7.0,9.305736598256969,640.938739685548,25.62672,25.62672,1.0,0.29600452299849156,0.2421945683706257,0.659178373882435,2.0254117904349735,0.2326072470988565,0.11438463959710417,0.5552462699993398,0.3786041340851956,0.2664691657269153,0.6611490157540296,0.22325803998270433,1.960191779238335,0.2733429099117587,0.2806638780191607,0.5948101282119751,0.37984414255050875,0.24260204614960884,0.11389601892395189,0.00712347418383356,1.0487834973696408,0.006829171568136177,0.007386984027640185,0.0024312223561311743
8.0,9.255116473743909,681.903433663992,29.28768,29.28768,1.0,0.2926051247004706,0.23840155607351088,0.6589320769752511,2.0172708920470654,0.23205355285338222,0.11438463959710417,0.5760072767378063,0.37387419747863515,0.27050965806314553,0.6602665634064312,0.2229730339576725,1.9576894439703911,0.2770611329220415,0.2836071936861172,0.5575657486915588,0.3747847514883538,0.23846636190830972,0.11389601892395189,0.006567847695742374,1.0116467474790625,0.006535427449137324,0.006627585079862327,0.0023552010229484213
9.0,9.41831411795268,744.2366318149827,32.94864,32.94864,1.0,0.29466264848069407,0.23874389161486312,0.6609869105870657,2.0190164154877546,0.2326795667719383,0.11438463959710417,0.5838970297344233,0.3746199262134677,0.2728627566993108,0.661207571495858,0.2244157019716982,1.9703559798831953,0.28104575163398693,0.28155981493721083,0.5535557866096497,0.3754364061987966,0.23889667560666838,0.11389601892395189,0.007054986159641735,1.1383389874181375,0.0064535895630149194,0.007569742173475994,0.002543328490344291
10.0,9.18750416326348,702.2541711640476,36.6096,36.6096,1.0,0.2979425971653384,0.2335839563391765,0.6618198681579552,2.0324043321107954,0.23400790588966514,0.11438463959710417,0.5738716776692947,0.36755523192533585,0.27169575557793557,0.6606533124102181,0.22385947635098385,1.9654723533440999,0.2791411042944785,0.28173509357319015,0.58562171459198,0.36824976168417284,0.2337149415629579,0.11389601892395189,0.006872468875688996,1.1613377030635093,0.006485402913286219,0.007219802034986885,0.002496360353561817
11.0,9.43534316873087,881.1628844082079,40.27056,40.27056,1.0,0.2993755167017055,0.24212060020483586,0.6638031422825024,2.0371850953073123,0.23480121059841608,0.11438463959710417,0.5770053213990481,0.3789797205744129,0.2742129115520423,0.6614440910128407,0.22194071182060887,1.9486257194713554,0.275531914893617,0.28356336260978665,0.5691700577735901,0.37968316413242803,0.24239076789697905,0.11389601892395189,0.006663124668795861,1.1790987640260937,0.00574464094957254,0.007456343050321965,0.0020970920747802758
