round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_f1,fed_ece,fed_auroc,fed_auprc_lift,fed_auprc,fed_prevalence,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6259760811806285,0.11822598038358659,3.66096,3.66096,1.0,0.26241743964802433,0.0,0.10833760217879784,0.663104214829172,2.116231337952721,0.23806202202885404,0.11486656596173211,0.3007570574695121,0.10851954579701094,0.6619388029499645,0.21481686673496314,1.886078800334504,0.0,0.28127613812880875,0.23858670890331268,0.10706551971818752,0.10838631817285906,0.11389601892395189,0.019947929126689763,2.183331946376711,0.01879623924164424,0.02081369385781004,0.009169738724384426
2.0,0.6310545375702732,0.5183991811972061,7.32192,7.32192,1.0,0.24628629030477847,0.0010652745111546296,0.08034731996501726,0.6680095290119993,2.1421217411951186,0.2413185182009161,0.11486656596173211,0.3086709858360589,0.10272236015955047,0.6648798171635236,0.21999380483681122,1.9315319965985869,0.0,0.2827050997782705,0.22918471693992615,0.07742065362355909,0.10267397882322592,0.11389601892395189,0.013685359070593456,1.5815124398213811,0.013624379347330857,0.013783802803068105,0.006674816363687975
3.0,0.6406747196798543,0.5869452467618401,10.98288,10.98288,1.0,0.23505391167197284,0.004928239129821258,0.07808206244353073,0.6705047669045362,2.160474036126797,0.24409586547925757,0.11486656596173211,0.3084346201324432,0.10205758059001589,0.667851577533851,0.2246573800103276,1.9724778981110025,0.003527336860670194,0.28571428571428575,0.21932390332221985,0.07454503796414584,0.10199461883130469,0.11389601892395189,0.01043215807850785,1.2745452389644925,0.011166556852952259,0.009966248562395062,0.0054006551642053
4.0,0.6386877580748753,0.569470709907961,14.64384,14.64384,1.0,0.21861474958322533,0.008131986776203384,0.06638840874230295,0.6722971364625557,2.1913422367936013,0.2476551471755024,0.11486656596173211,0.30991355317015357,0.10028072192855679,0.6685132097285961,0.22671794046390636,1.9905694914173024,0.0061592608886933565,0.28674025801303366,0.2073691338300705,0.06255198204741307,0.10022155783860277,0.11389601892395189,0.010419457056020275,1.3418951004277915,0.00968492081477277,0.01097583838869857,0.006986921084513982
5.0,0.6412955865176635,0.6597209023939435,18.3048,18.3048,1.0,0.20693505491427366,0.01985038221217058,0.0532597029541337,0.6742652595083284,2.217923559745971,0.25109133525504335,0.11486656596173211,0.31109294306378193,0.09854083764031978,0.6686054983967072,0.2260447102118507,1.9846585714534961,0.015693112467306015,0.28599801390268126,0.19808712601661682,0.04808012438076774,0.09859351602849374,0.11389601892395189,0.01005684811157807,1.3762710446608253,0.00889511533429197,0.010938222678768062,0.008404523614052825
6.0,0.6436211150195924,0.7096652122199603,21.96576,21.96576,1.0,0.2118722938802112,0.02185127629706241,0.06746388752691539,0.6759435489979975,2.2388645998014054,0.25359133407787565,0.11486656596173211,0.31031631420985367,0.10014602639180249,0.6685440437315262,0.22619509726236575,1.9859789604533562,0.02080624187256177,0.2872635561160151,0.20151397585868835,0.06394612780341902,0.10035060595404607,0.11389601892395189,0.009436174995395029,1.3706485540024005,0.008305399030196966,0.010332860040571023,0.006895937656730312
7.0,0.6390542419315592,0.6649886934760261,25.62672,25.62672,1.0,0.22700373282654196,0.028739664393258393,0.06960160634832126,0.6786991672489071,2.256508758441957,0.2554462008077916,0.11486656596173211,0.3127199774875686,0.10030821951486714,0.6689559041882489,0.2253115660213664,1.9782216108168489,0.02330599913681485,0.28693853427895977,0.2138209193944931,0.06643069286484941,0.10069555305581333,0.11389601892395189,0.008881109372775043,1.371826724964194,0.0078054984563166166,0.009750541437872184,0.00755734502967373
8.0,0.6357895634527303,0.6714571862921421,29.28768,29.28768,1.0,0.21691735466981585,0.04570929977548663,0.074530032310965,0.6804980138186372,2.2846133658690917,0.25857730810588425,0.11486656596173211,0.3142963056553964,0.10082727355929265,0.6695589304433587,0.2247429589627999,1.9732292760193861,0.03904923599320883,0.28822021319659963,0.20970141887664795,0.07184825118878052,0.10155323587072644,0.11389601892395189,0.008272101447298761,1.352752621518448,0.006843292923890582,0.009465492014494018,0.0066050037218309
9.0,0.6362225583119423,0.7044901232149471,32.94864,32.94864,1.0,0.20494474532140824,0.06231138325913042,0.0675682518471779,0.6815056577948082,2.296432667737305,0.26050759748106417,0.11486656596173211,0.3135435012847392,0.09973203361522404,0.6694907618214957,0.22394756155811613,1.9662457360133492,0.0500208420175073,0.28829337094499297,0.2002698928117752,0.06418830037643485,0.10057863257683258,0.11389601892395189,0.008013543252887266,1.3879364278691355,0.006786351173580865,0.009082559901269202,0.005068968295447055
10.0,0.6342110724690431,0.8790976460496063,36.6096,36.6096,1.0,0.20122723231956832,0.0652404262983328,0.06439452707647438,0.6834752858300072,2.327503176039052,0.2640418131525326,0.11486656596173211,0.3163768018670224,0.0990340478048627,0.6692629516240222,0.2234388711333018,1.9617794655535012,0.058629232039636665,0.2876872964169381,0.18863894045352936,0.0596306185648719,0.10001805502365177,0.11389601892395189,0.008296276999743517,1.5206644133722875,0.006425788838461476,0.009957397059087053,0.005368352478936544
11.0,0.6394565049931588,0.9050807674801865,40.27056,40.27056,1.0,0.19915124016212749,0.05762488716916864,0.047886676488918783,0.6846370389966985,2.3480541429778423,0.26641736650556297,0.11486656596173211,0.3146499206427838,0.09723098770991251,0.6688134930098801,0.22335167753321677,1.9610139111389677,0.05409904286308781,0.28660159716060335,0.1838284134864807,0.04191671708580264,0.09840268430496753,0.11389601892395189,0.007707111262706965,1.4907053774804808,0.005786861540638334,0.009446623506711391,0.00578351369624513
12.0,0.658634282900683,1.2016948905664597,43.93152,43.93152,1.0,0.21431783599214405,0.06884065609265017,0.0668896164631139,0.6869405861001836,2.348465723974824,0.26639460577181656,0.11486656596173211,0.3194576540209575,0.09953844160286436,0.6680831776657509,0.22152450972061172,1.9449714907816325,0.060655737704918035,0.28585644980718994,0.1919625997543335,0.06431347542534768,0.10090611431886996,0.11389601892395189,0.0070055968373841995,1.4306566523155198,0.005590464783777109,0.008334760616362992,0.0038818365292860387
13.0,0.632396713621747,0.9721853560834635,47.59248,47.59248,1.0,0.20451652551255559,0.08506974074673702,0.06609819287013106,0.6876659610371434,2.3441225879837084,0.2675259629362412,0.11486656596173211,0.32076588160805736,0.09942634915957985,0.6662462014691994,0.22113503970853648,1.941551968170089,0.08688783570300158,0.2853894258101194,0.19798262417316437,0.06374082545172788,0.1011811140893345,0.11389601892395189,0.00634422813104364,1.3687015847535804,0.005143174661381291,0.007487523417196586,0.0042201206967718684
14.0,0.6371150355922993,1.198074498743344,51.25344,51.25344,1.0,0.2261028184948446,0.06721288893870805,0.06532785057677343,0.6893510724523774,2.364242161618436,0.26993622182810384,0.11486656596173211,0.322110759518792,0.09885340343398714,0.667004916222621,0.22072860562790847,1.9379835020861305,0.059186189889025895,0.28551799945039846,0.19977988302707672,0.06107917009561322,0.10058686490649564,0.11389601892395189,0.00672199536407748,1.5312086136691505,0.005293231493114108,0.008111469236990914,0.0031532394593879807
15.0,0.6442032058190603,1.351753789168781,54.9144,54.9144,1.0,0.22427861205201827,0.05917149061695319,0.06519308444468938,0.6908927487561242,2.41855855120765,0.2741837131720567,0.11486656596173211,0.32289008641773814,0.09854011219431442,0.6651227118019913,0.21801103821671175,1.9141234283375368,0.045283018867924525,0.2834847128054241,0.19173961877822876,0.059582963416829005,0.10043082047508058,0.11389601892395189,0.0061269252045988605,1.4731323899904964,0.00475784338509021,0.007461321704637219,0.004532542886845524
16.0,0.6488737500302276,1.1838327959343908,58.57536,58.57536,1.0,0.24124513080855692,0.06266517806528664,0.07187083205405138,0.6925075230720582,2.433894167298726,0.27577297446565235,0.11486656596173211,0.3255892640967435,0.09938039163751633,0.6653767378041542,0.21848352699174456,1.91827185055191,0.05291442744935924,0.284816247582205,0.19201400876045227,0.06766683697174398,0.10146621354801454,0.11389601892395189,0.005784251766148318,1.4592055316752521,0.004454349365642192,0.007102229320468151,0.004108976613536507
17.0,0.6341606312393537,1.2937784419345952,62.23632,62.23632,1.0,0.2221605696453744,0.07683425273590404,0.056979542691213685,0.6961177169586331,2.4686325667019204,0.2796598814076157,0.11486656596173211,0.3289455284529373,0.09739526337423508,0.665042545904263,0.2210301814225505,1.9406313189061668,0.06401313089864588,0.2849354035794714,0.17558921873569489,0.05274465518897496,0.0997509120836997,0.11389601892395189,0.005699702744473808,1.5132483096967917,0.004036098600698487,0.007365368967253946,0.003889244025091444
18.0,0.6501041088211599,1.282032802058438,65.89728,65.89728,1.0,0.24282672173134454,0.08603896616088548,0.06106182365783295,0.6960273490022881,2.4748172571635187,0.28065025214548356,0.11486656596173211,0.3309948051903444,0.09782767332985372,0.6645279054377727,0.21902579983066023,1.923032972529999,0.0757453666398066,0.28620520373097696,0.18166178464889526,0.0568236312547016,0.10055341666147521,0.11389601892395189,0.0055577869622370005,1.549189178069355,0.0039952464700919775,0.007141421473868928,0.002974831771754479
19.0,0.6464676792918591,1.747927886492351,69.55824,69.55824,1.0,0.21940990985809167,0.07919515652606629,0.05657484994843427,0.6968756083045969,2.4833834789600204,0.2815783480752902,0.11486656596173211,0.3282899872349232,0.09715511014345994,0.6619536113030201,0.21691399460584376,1.9044914533024788,0.06710310965630115,0.28074074074074074,0.17916475236415863,0.051755631403277845,0.10009897663422185,0.11389601892395189,0.005611605842079955,1.6432320627791341,0.003798355995279056,0.007446078650783139,0.003930184158098213
20.0,0.6551457842697598,1.739666284934615,73.2192,73.2192,1.0,0.22425089298005615,0.09538590726413591,0.06777348589751878,0.6986761223254138,2.4996078159643016,0.28372488799041146,0.11486656596173211,0.32950155155274397,0.09848190959791223,0.6611875802192329,0.21784129171676914,1.9126330645693708,0.08498808578236695,0.28253238106766737,0.18970805406570435,0.06456921565937442,0.1015675304701587,0.11389601892395189,0.005111841757560078,1.5657273037359118,0.0035182902881937873,0.006732617890779204,0.0036906166425870225
21.0,0.6351983935546274,1.7223514742408699,76.88016,76.88016,1.0,0.2320197509369116,0.10716739670356695,0.05193522612319008,0.7005955344910624,2.5238762228744007,0.286224595729035,0.11486656596173211,0.3370161693712821,0.09672043823024995,0.6631209613040667,0.21996435148332596,1.9312733979771115,0.09996125532739249,0.28445330296127563,0.188654825091362,0.04886024160323,0.10010329632165414,0.11389601892395189,0.004997033862410479,1.5995745634718332,0.0032932275760824683,0.006740700727471151,0.0035958504155119988
22.0,0.6536439021850002,2.05678091071288,80.54112,80.54112,1.0,0.21622010137255548,0.09490807249204108,0.047862178647933136,0.7028796866131574,2.5636488294639452,0.2906384922903533,0.11486656596173211,0.3375855424190978,0.09584218408767906,0.6619573384901875,0.21776960791456135,1.912003685220689,0.08171360571201904,0.2808666144609762,0.1731342226266861,0.042628409830544264,0.09952198054695584,0.11389601892395189,0.004774243082515007,1.5976214467955288,0.003111692507463817,0.0064861299951146185,0.0034500369535720495
