round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_ece,fed_brier,fed_prevalence,fed_f1_best_threshold,fed_auprc_lift,fed_auprc,fed_f1,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6875375426890564,0.10727698332121822,3.65056,3.65056,0.9971592150692714,0.6107384392747012,0.38147714516487485,0.24437937717610894,0.11398539778449145,0.5143839862977959,1.7570212803509968,0.20239905151930354,0.21749465899085044,0.27646997931028316,0.5329174880073674,0.12519239267932372,1.0991814627244731,0.0,0.20907206999769748,0.4720146358013153,0.35797259962410555,0.22905853818834498,0.11389601892395189,0.027865860289455372,3.0100778653286397,0.023061902598817335,0.031077747756886535
2.0,0.680688106619365,0.12903164528178884,7.30112,7.30112,0.9971592150692714,0.6462726276016488,0.372847739019978,0.23657150780184244,0.11398539778449145,0.547311203008422,1.9498145475339952,0.2234665086547712,0.24927116402167993,0.29511209566386315,0.41303644074658397,0.09582929746558164,0.8413753032892803,0.0,0.20451875282422052,0.40303289890289307,0.3619564699460074,0.23237619840392307,0.11389601892395189,0.01978881361435273,2.275365927722305,0.015441742041704797,0.022720363424794686
3.0,0.6712708203624899,0.18632456049386498,10.95168,10.95168,0.9971592150692714,0.6582516779163595,0.36585289838162044,0.23087545356982353,0.11398539778449145,0.5490541907059253,2.0118140165543426,0.23157438878509318,0.2711091071233417,0.2976626969360474,0.4445018693412326,0.10516952176430543,0.9233818948011421,0.0,0.20451875282422052,0.38114649057388306,0.3595806816346729,0.23066906698242984,0.11389601892395189,0.014179975229738743,1.7564729566220194,0.01255297481547625,0.015294801089739702
4.0,0.6660876021681668,0.2642255061780471,14.60224,14.60224,0.9971592150692714,0.6638715610610492,0.3499637912482413,0.22022818857262347,0.11398539778449145,0.5478082004210499,2.068356204004143,0.23722457114672607,0.2699726798030367,0.3016975691190458,0.39255382798687366,0.09183828245271031,0.8063344383795409,0.0,0.20450951154489178,0.3880246579647064,0.35951276179846486,0.23113560798036756,0.11389601892395189,0.011096899942632854,1.4611873300746083,0.010360935126600782,0.011617419196971195
5.0,0.6563843637978438,0.271313981664441,18.2528,18.2528,0.9971592150692714,0.6683711876792409,0.3380732495714756,0.21204199819938124,0.11398539778449145,0.5232695503439847,2.1016181560632208,0.24063104125199147,0.28248492120495106,0.3033603970734627,0.3466588264385223,0.08220587908360175,0.7217625327052952,0.0,0.2045002711006687,0.4009828567504883,0.36289936290592945,0.23382835597902782,0.11389601892395189,0.010066541349910096,1.4096934057306498,0.009646066910926501,0.010376491575559792
6.0,0.6515873579338192,0.2927919305998107,21.90336,21.90336,0.9971592150692714,0.6706834435032727,0.36057372417672345,0.22723285519798864,0.11398539778449145,0.547793162444537,2.1216996565852018,0.24238114157863389,0.2743123647423658,0.30729340864018506,0.34413244611052085,0.08172553517631434,0.7175451429156825,0.0,0.20450951154489178,0.4515066146850586,0.3642849062039164,0.23434948527435276,0.11389601892395189,0.009213838622818438,1.3686739788390696,0.008745444050630666,0.009572436659638469
7.0,0.6466599592507446,0.26440729021169035,25.55392,25.55392,0.9971592150692714,0.674822883378763,0.34759879510939756,0.21821076465437586,0.11398539778449145,0.5447929365370959,2.1641144925285825,0.24632006729379147,0.2826201218291922,0.3093829759019876,0.3541247337194582,0.08275935415401044,0.7266220095828694,0.0017436791630340018,0.20450951154489178,0.45879486203193665,0.366384326996168,0.2357661464701568,0.11389601892395189,0.008404558042557303,1.325733682489954,0.007697800166175058,0.008966328887265116
8.0,0.6443327401137254,0.3038362029067167,29.20448,29.20448,0.9971592150692714,0.6761064758793771,0.3530832690609786,0.22219337051072693,0.11398539778449145,0.5468566974255463,2.1856837442164307,0.2486898484556312,0.28369077417648036,0.31109119940513813,0.3728696740942521,0.08482344439545976,0.7447445942083031,0.02753195673549656,0.20450951154489178,0.45992136001586914,0.36789472485963765,0.23702827626498685,0.11389601892395189,0.008508254497011866,1.4187296497402713,0.007701500627408496,0.009166600721310718
9.0,0.6428307545688499,0.3382032524168224,32.85504,32.85504,0.9971592150692714,0.6784978122108195,0.36134362718501223,0.22773671331369352,0.11398539778449145,0.5533603650498067,2.2251730002807757,0.25247259767657765,0.27818922701399423,0.3118430254411918,0.43757545044123625,0.09961748803747589,0.8746353821549308,0.010273972602739725,0.20471441523118766,0.4736235737800598,0.3680452424630682,0.23659977332678425,0.11389601892395189,0.008753115926814742,1.5538171369116753,0.007423707154539456,0.009866020193709035
10.0,0.6404222086570834,0.3390127550225067,36.5056,36.5056,0.9971592150692714,0.679250916141763,0.3534233374357007,0.2223610896220913,0.11398539778449145,0.5765167963930217,2.2397820045719663,0.2544153229577476,0.27957514790358606,0.31417495140499424,0.47160937532393266,0.11454329037123939,1.0056830032638777,0.03357903357903358,0.20467598245376023,0.4739796817302704,0.3688065020545715,0.23703677969484016,0.11389601892395189,0.00845995747492565,1.5957178488606587,0.0073849610279895185,0.009385481246859693
11.0,0.6395650864668989,0.3773482837291059,40.15616,40.15616,0.9971592150692714,0.6804447128906309,0.33110653754128644,0.20872884260398178,0.11398539778449145,0.5861851376146529,2.2613825954498683,0.2570935385432167,0.28898733939540655,0.31616249905637467,0.4636247992024974,0.12028819375579114,1.056122899573051,0.027598102630444158,0.20453209100366368,0.4710424840450287,0.36721067675869096,0.2358370388314424,0.11389601892395189,0.007916939287430633,1.5814356978517026,0.006370234428941791,0.00928451073310607
12.0,0.6410591252888838,0.4439225189736116,43.80672,43.80672,0.9971592150692714,0.6822380958849577,0.3377070493240206,0.21307371657961238,0.11398539778449145,0.5867028672938411,2.2717279585395302,0.25809024522715296,0.28528827858770134,0.31374132786148595,0.495830582702669,0.127816759286905,1.1222232391831708,0.06155015197568389,0.20514285714285715,0.47756025195121765,0.36958426050063714,0.23748143368808425,0.11389601892395189,0.008164033197368208,1.7315093580400571,0.006392224677124959,0.009762042296393068
13.0,0.6394931318451215,0.5055802777436071,47.45728,47.45728,0.9971592150692714,0.6849520930058871,0.3472035625116658,0.21874514392118857,0.11398539778449145,0.5770204070794197,2.284024042474547,0.2595178608914408,0.28764055829350577,0.31442011852479457,0.4200057034748277,0.09547386579547606,0.838254635214456,0.008557980316645272,0.20450951154489178,0.44026580452919006,0.36669254714112265,0.23572600941592903,0.11389601892395189,0.007246371704880506,1.6309415380237624,0.005717965190987258,0.008648876279016032
14.0,0.6406848991414213,0.4549768007601064,51.10784,51.10784,0.9971592150692714,0.6866059020780462,0.3429770394460995,0.21663270994379616,0.11398539778449145,0.5888740606831098,2.3089294950369816,0.2622662030354685,0.2873809872330472,0.31904251273333006,0.437882460228654,0.09917960089683237,0.8707907601498728,0.02112676056338028,0.20450951154489178,0.44415950775146484,0.3682244220904444,0.23677835393845645,0.11389601892395189,0.007081471813401691,1.6828201476018876,0.005147953508818457,0.00889455198883286
