round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_auprc_lift,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_ece,fed_auprc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6901979903273806,0.09851423358520414,3.65056,3.65056,0.9971592150692714,0.20404639122971618,0.2632739914573741,1.6539177009225507,0.11283826305852734,0.5958861221638991,0.4836219778670088,0.3701169824960322,0.18793821777101175,0.23609402866801818,0.44388667011793326,0.10746150648805268,0.9435053788825093,0.05594855305466238,0.20452799493876814,0.4668104350566864,0.3683803860026689,0.23694845604683237,0.11389601892395189,0.028685755666534186,3.0553847001865506,0.023903329909768744,0.03187819882697577
2.0,0.6842132057643071,0.14507754359208738,7.30112,7.30112,0.9971592150692714,0.2388411123808255,0.28337102010644505,1.852071308352753,0.11283826305852734,0.6379632882276088,0.5153225783190687,0.3792134682193651,0.20811724861862813,0.24111055867287914,0.45618598618787265,0.10697139531462985,0.9392022331004773,0.10617791120240164,0.20465453228289415,0.47088658809661865,0.3748673142754586,0.24203190448900522,0.11389601892395189,0.020401188484958907,2.3068097124341875,0.016955029817034988,0.022719777801520426
3.0,0.6757341348885111,0.15597694562791162,10.95168,10.95168,0.9971592150692714,0.2674867425177884,0.2929407422272444,1.935127320719127,0.11283826305852734,0.657116106681808,0.5077373294934601,0.35094137674348763,0.21713216489627765,0.22062248278983546,0.424382174176451,0.09352011991119082,0.8211008672184933,0.10767386091127099,0.2047488584474886,0.47085869312286377,0.3794584398592081,0.24649781112371452,0.11389601892395189,0.015114790131750983,1.8392660145182163,0.012820265652457589,0.01670580901933164
4.0,0.6628789830252436,0.21540902140766383,14.60224,14.60224,0.9971592150692714,0.2777470076334701,0.3018568130554375,2.02947969466988,0.11283826305852734,0.6645505285605986,0.5059335367682596,0.34485235106483647,0.22601245191747363,0.21639894604380083,0.42494351115287343,0.09279485259180932,0.8147330650228278,0.11076162660076387,0.20487184148336665,0.47082194685935974,0.3809690650401955,0.2478380148761724,0.11389601892395189,0.011568439749860793,1.516326900338754,0.010335058589782127,0.012456275740404843
5.0,0.6564544155289249,0.26408685850338887,18.2528,18.2528,0.9971592150692714,0.2794157584271552,0.29943628111590664,2.074482273175729,0.11283826305852734,0.6660630065505033,0.5113128473655165,0.35729993401720045,0.22994207474864695,0.22472366609509378,0.4368029689392536,0.0981192324191468,0.8614807905152575,0.11700356718192628,0.20453723788864786,0.46705764532089233,0.37910932965148797,0.2459572667785237,0.11389601892395189,0.01001349480565153,1.396637505153194,0.009495004459446944,0.010404916074966948
6.0,0.6521167062435012,0.2587592315868843,21.90336,21.90336,0.9971592150692714,0.2803360596105881,0.29734237085126297,2.0841380495369566,0.11283826305852734,0.6685629145334064,0.5224347147703771,0.35012533515316646,0.23151766053481257,0.22102384271320577,0.4663717863426726,0.11122959051908324,0.9765889235632633,0.142333984375,0.20453928926666065,0.46757376194000244,0.37899412909753555,0.24527075657444702,0.11389601892395189,0.009029140663499222,1.3374245420563966,0.008315687884644407,0.009595090945893453
7.0,0.6483432160648255,0.32541677147420106,25.55392,25.55392,0.9971592150692714,0.2844624935829086,0.30053384516888176,2.0925398455460176,0.11283826305852734,0.6706245037890493,0.5211393785971825,0.35047572089665113,0.23283971038430434,0.22127381468535773,0.45061926273577346,0.10045151267673429,0.8819580668908676,0.13923240938166312,0.20458153776366522,0.47108194231987,0.383719228562426,0.24961993330072899,0.11389601892395189,0.008858781648360474,1.3931856508133933,0.007911762758066224,0.00964123393673141
8.0,0.6443271328516967,0.3615602187833634,29.20448,29.20448,0.9971592150692714,0.2880985921142709,0.302916136414443,2.0954907421530766,0.11283826305852734,0.6722949846301829,0.5193760943232729,0.3409391853984157,0.2336712167210608,0.21477415462651483,0.41680233042314896,0.09053091148164716,0.7948558021338256,0.1272203106109923,0.2047407943544739,0.46792280673980713,0.39128878729303457,0.25727165633880006,0.11389601892395189,0.00804944678745197,1.3458950786152855,0.007184071470771687,0.008797749143125741
9.0,0.6470568414218963,0.3928749776794588,31.18592,31.18592,0.5412350858791136,0.29199383437899823,0.3112370821270272,2.202006761824888,0.11283826305852734,0.6827415089114747,0.5182103727338747,0.3360387314085205,0.24459160574440234,0.2104284350861201,0.41635397616076025,0.09057586181853139,0.7952504633108264,0.12861736334405144,0.2046082114888416,0.4671838581562042,0.39052280114829685,0.25637869255700135,0.11389601892395189,0.00894105633311328,0.8372641012538224,,0.00894105633311328
10.0,0.6413570044935176,0.3833468179334284,34.83648,34.83648,0.9971592150692714,0.2902086289187573,0.30499420685169104,2.1132109001188675,0.11283826305852734,0.6734490473163892,0.508331892473882,0.33539868455082456,0.2361688526890176,0.21071539905876754,0.41311442303970913,0.09040001696081067,0.7937065563386421,0.13825363825363826,0.20462971335563795,0.4692702293395996,0.3925922240198897,0.25792759589945263,0.11389601892395189,0.007907350202409916,1.4374849152518436,0.006948185768785611,0.008733046042248005
11.0,0.6462115354134678,0.4331727576041128,36.81792,36.81792,0.5412350858791136,0.29338814965334953,0.31342136985725005,2.213519965705915,0.11283826305852734,0.6821096955215904,0.536315377974675,0.32472952230897345,0.245710805664147,0.20486178284045561,0.4020716835727024,0.08824876733415479,0.7748187177031911,0.1338752488387525,0.20472227248055003,0.46755480766296387,0.3949794151191533,0.2604541248974868,0.11389601892395189,0.009143249326343932,0.9344861623831093,,0.009143249326343932
12.0,0.6282258131619581,0.43773150131300753,38.79936,38.79936,0.5412350858791136,0.29948879477849916,0.3298608843578426,2.3541487525941056,0.11283826305852734,0.6958216374852856,0.5587440687129149,0.3392260871377472,0.2598202278425453,0.2126235519934477,0.40469888619599964,0.08900546260055522,0.7814624553293997,0.137363532670686,0.20456703594845127,0.4670089781284332,0.396212191001609,0.2615295302018647,0.11389601892395189,0.009438194868115729,1.0141074411803856,,0.009438194868115729
13.0,0.6093799084138992,0.48682937705546364,40.7808,40.7808,0.5412350858791136,0.30645065655585085,0.33528361750445024,2.494417825385777,0.11283826305852734,0.7051960288246134,0.5688867829482159,0.32601618757477296,0.27330625372020617,0.20397208936933636,0.40973360074039755,0.0899351139118211,0.7896247363296391,0.14355367276796419,0.20454648167397296,0.4646209478378296,0.3974633260836173,0.26239495593617546,0.11389601892395189,0.008569510110791276,0.9726867506979033,,0.008569510110791276
14.0,0.590552188997419,0.5600493618755662,42.76224,42.76224,0.5412350858791136,0.31852773018335623,0.3457310640278687,2.641918598354011,0.11283826305852734,0.7165766211425985,0.561519835528298,0.33506433998344165,0.2879717686448777,0.2076554455521014,0.4197172417770847,0.09169213508403312,0.8050512735239302,0.14309679583962423,0.2045433975925423,0.4630921483039856,0.39421688369190544,0.25950448587042435,0.11389601892395189,0.009618900163364415,1.156785306171514,,0.009618900163364415
15.0,0.6386378330330842,0.6324908957914228,44.43136,44.43136,0.4559241291901578,0.2931085137073709,0.3087936674757216,2.1706878258631956,0.11283826305852734,0.6796126572335522,0.5175974501162073,0.32473837722953264,0.24300358319858764,0.20464716551013593,0.4154376779418136,0.09087473219225885,0.7978745267026032,0.1431458403502863,0.20462971335563795,0.4616638123989105,0.39390385897579916,0.25918797065600774,0.11389601892395189,0.006639267330980292,0.6035353681072593,0.006639267330980292,
