round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_auprc,fed_f1,fed_brier,fed_auroc,fed_f1_best,fed_auprc_lift,fed_ece,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6901889304213747,0.09956170432542824,3.65056,3.65056,0.9971592150692714,0.4840904312305587,0.18765849494704112,0.2044025349217825,0.23602000128004674,0.5983905724049876,0.2619602157922896,1.7922526302989685,0.37100070314335326,0.11202013845185647,0.4442426227671451,0.10762041407305632,0.9449005776480583,0.05582603050957481,0.20452799493876814,0.4668775200843811,0.3683037843865138,0.23688645555584287,0.11389601892395189,0.028702195127671,3.057101416401565,0.02392966622409119,0.03188799141330304
2.0,0.6833106847516872,0.13457924988443432,7.30112,7.30112,0.9971592150692714,0.5136486437821102,0.20433593394730368,0.24166604275503262,0.2409342266396905,0.6359240526126961,0.2785347992060108,1.881836769103995,0.37974451304494833,0.11202013845185647,0.45771331721214026,0.10984325734957098,0.964417004100144,0.102681721947777,0.20450951154489178,0.4665881395339966,0.3725223315443688,0.24020154611544273,0.11389601892395189,0.020114420848057913,2.274129533674568,0.01668803960439936,0.022420874135792482
3.0,0.675440803576496,0.16604571519394057,10.95168,10.95168,0.9971592150692714,0.4896405535197392,0.21336785369422218,0.2624611816341687,0.21797433208313274,0.6548850861967785,0.2882151456061253,1.9165181904959199,0.3478284931824295,0.11202013845185647,0.42291211884993407,0.0949786029693409,0.8339062582403156,0.11927788523533205,0.20483135824977214,0.4699820578098297,0.3815990428306825,0.24821847629305724,0.11389601892395189,0.014969212821778247,1.8183689063880593,0.012871827801796014,0.016425415518700304
4.0,0.665378749972562,0.2365658031749449,14.60224,14.60224,0.9971592150692714,0.5002233574662739,0.2207192803216908,0.2719574583129787,0.2138644560681903,0.6604012734240688,0.294778346563068,1.9793148999420664,0.34130810261747974,0.11202013845185647,0.43196821735891366,0.09546874105241249,0.8382096402873989,0.12479096989966555,0.2047707418639388,0.46519798040390015,0.38225732892609204,0.2489566639554149,0.11389601892395189,0.010973024502098085,1.434179515345022,0.009892046240471877,0.01175198314259929
5.0,0.6552969781334375,0.27521850247933555,18.2528,18.2528,0.9971592150692714,0.5104632958254024,0.22464925823008547,0.2797483105460704,0.22389392709025308,0.6628422165590562,0.2947336901136133,2.015050310179687,0.35669055229522956,0.11202013845185647,0.43785699739106937,0.0988095731738895,0.8675419396341186,0.1271393643031785,0.20465957928070572,0.46415868401527405,0.3802391174119278,0.2470179299731771,0.11389601892395189,0.010201731161391074,1.419860263587907,0.009480203953415894,0.010745997021568084
6.0,0.6528290050953728,0.26433084086015085,18.2528,18.2528,0.0,0.5643149049665434,0.2364135093921446,0.2840374517038493,0.22012838401687546,0.6761668655880783,0.30482847223991455,2.132316425128924,0.3477273874073901,0.11202013845185647,0.43785699739106937,0.0988095731738895,0.8675419396341186,0.1271393643031785,0.20465957928070572,0.46415868401527405,0.3802391174119278,0.2470179299731771,0.11389601892395189,0.0,0.0,,
7.0,0.6366407233656826,0.4619815917318231,18.2528,18.2528,0.0,0.5515959550180548,0.245877406666378,0.2925955161612397,0.21390153396787273,0.6847023996421997,0.31523681941584164,2.2217305132569236,0.3391628669618228,0.11202013845185647,0.43785699739106937,0.0988095731738895,0.8675419396341186,0.1271393643031785,0.20465957928070572,0.46415868401527405,0.3802391174119278,0.2470179299731771,0.11389601892395189,0.0,0.0,,
8.0,0.6167864319238764,0.5606576330893461,18.2528,18.2528,0.0,0.5481306121437859,0.2555259465057524,0.29950594494150123,0.20524715819656214,0.6953804990209942,0.3228500930565068,2.3178255293917522,0.3255985607909444,0.11202013845185647,0.43785699739106937,0.0988095731738895,0.8675419396341186,0.1271393643031785,0.20465957928070572,0.46415868401527405,0.3802391174119278,0.2470179299731771,0.11389601892395189,0.0,0.0,,
9.0,0.6476002305824908,0.25620428994451394,21.90336,21.90336,0.9971592150692714,0.5035437718587074,0.22782814192499248,0.2777811299714991,0.21566513490637765,0.6637436707920089,0.2939310300737593,2.0440592983393278,0.3437692303128441,0.11202013845185647,0.42200760456617326,0.09209563332233575,0.8085939630938971,0.11573558869352325,0.20457835685848716,0.46267905831336975,0.38030636784408667,0.24751774552471897,0.11389601892395189,0.009046341847860592,1.3359493151074275,0.007419793852069974,0.010331553631760523
10.0,0.6465409123167839,0.31612637157800894,21.90336,21.90336,0.0,0.5146031693608748,0.2387650441337838,0.28324126148841644,0.2110020798455755,0.6767606975199462,0.3056273196568732,2.1563668456552274,0.33529442798620573,0.11202013845185647,0.42200760456617326,0.09209563332233575,0.8085939630938971,0.11573558869352325,0.20457835685848716,0.46267905831336975,0.38030636784408667,0.24751774552471897,0.11389601892395189,0.0,0.0,,
