round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_ece,fed_f1,fed_brier,fed_f1_best_threshold,fed_auprc,fed_f1_best,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6870726375531385,0.10262833675463263,3.66096,3.66096,1.0,0.6503601448775986,1.8912972901144391,0.34073128062760477,0.2574992041075334,0.21208740017021135,0.472129110240801,0.20923228313473627,0.2799310502731974,0.11208307111390807,0.6493787218222767,0.1986513160053135,1.7441462650064399,0.25768357305071915,0.27054708968273794,0.48250430822372437,0.33894277350028634,0.21258220514907428,0.11389601892395189,0.02449987645791026,2.6348337259696564,0.021646376068966265,0.02657586351532349,0.009001731891178531
2.0,0.6583131976456451,0.2203706572024314,7.32192,7.32192,1.0,0.6580397875293215,1.9625102381332697,0.35757374706284806,0.2669073936100494,0.22488186963846268,0.5240044597787178,0.216421327135933,0.29200590858101744,0.11208307111390807,0.6581168297735642,0.2051838166628766,1.80150121664812,0.27521953309059755,0.27611940298507465,0.5068720579147339,0.3557894450035217,0.22528575418542862,0.11389601892395189,0.017095254216460957,1.9669418787379982,0.01658045703976708,0.0175551683754197,0.006347409179001023
3.0,0.6460376356047971,0.2628473011641682,10.98288,10.98288,1.0,0.6607222754239597,2.0146585285935443,0.31958822335853293,0.27373907482491405,0.19966828583063226,0.4896274399277247,0.2216100116139781,0.2955923432984138,0.11208307111390807,0.6596907945605054,0.2078213170409906,1.8246583067995767,0.270010205569325,0.27794629816874505,0.46284201741218567,0.317568709046463,0.20034937977225292,0.11389601892395189,0.011897904848205555,1.4689389349132398,0.012656183542583004,0.011464292095035834,0.00404779207778347
4.0,0.6447107808403592,0.3116296189215842,14.64384,14.64384,1.0,0.6639260057211899,2.0423668033752955,0.33257549778705425,0.2833191256302344,0.2082818125675225,0.49931818777056425,0.22455073486860688,0.29904412874368,0.11208307111390807,0.6607727831908025,0.21044948687997292,1.8477334753946892,0.2760272246029745,0.2772592278319898,0.47364526987075806,0.33057735339868327,0.20882957556828002,0.11389601892395189,0.010202299734058458,1.3426731260387896,0.010427044373300338,0.010098324889494916,0.004521010509567075
5.0,0.6479899012743827,0.3420843007761706,18.3048,18.3048,1.0,0.6650577686548529,2.054650913161801,0.346128634806509,0.2807035415049282,0.21747315829841576,0.5151480417513411,0.2267271004839505,0.299620196282271,0.11208307111390807,0.6606899568093048,0.21089828977909264,1.8516739370838673,0.27319402985074626,0.27529291900152825,0.4719230532646179,0.34408064599131727,0.21816065048004663,0.11389601892395189,0.009209053903069362,1.28513364439641,0.009003657792082322,0.009406675432110467,0.004013776457196712
6.0,0.6479920520535952,0.34458322303838235,21.96576,21.96576,1.0,0.6683059213514241,2.066053676590878,0.3440981430282301,0.2781218451547153,0.21694420364193692,0.5255838090383907,0.22810415588167204,0.2962721834135407,0.11208307111390807,0.6601536810880113,0.2114384434818224,1.8564164531773437,0.2726759290635943,0.27377377377377377,0.5194682478904724,0.34179524653459736,0.21768534698047792,0.11389601892395189,0.008726178202457881,1.290487030641998,0.008162254366685615,0.009197966269990938,0.004471658472011957
7.0,0.6433510758969978,0.3580588521245437,25.62672,25.62672,1.0,0.670871914442097,2.071386220579293,0.346802061866521,0.28101907984788277,0.21772524375308985,0.5357519751190762,0.2295150160839558,0.2978893520881218,0.11208307111390807,0.6600130142834346,0.21104865360860953,1.8529941222048,0.27224300124674145,0.2745048247841544,0.5192579627037048,0.34457625972783046,0.21867949235939685,0.11389601892395189,0.009037386242741733,1.4188322348436486,0.007837263458799645,0.010027260852298757,0.006195310208474665
8.0,0.6396404117936949,0.37814776395944255,29.28768,29.28768,1.0,0.6728910212258153,2.0912915104579675,0.32942568532058164,0.28616461663713644,0.2066407118974458,0.5268175231296359,0.2314655690565463,0.3001939132368889,0.11208307111390807,0.6595529639320223,0.21062877811680972,1.8493076413623033,0.27382807816808535,0.27666340508806264,0.5041947960853577,0.3269444819326231,0.20789670525803083,0.11389601892395189,0.007812317483801279,1.3028643968391407,0.006608356096421044,0.008847682299377388,0.004472267921207173
9.0,0.6390892743932808,0.37107655225510083,32.94864,32.94864,1.0,0.67298783796474,2.1168342902737476,0.3294658404633712,0.289802054489587,0.20683699178970133,0.5200444365369213,0.23402479089456069,0.3023199148610311,0.11208307111390807,0.6594983863663961,0.21076673801024495,1.850518920691806,0.2732888559426736,0.27447833065810595,0.483620822429657,0.32701748287130583,0.20816004535483418,0.11389601892395189,0.00771183576027815,1.367671942245579,0.0068512487189754095,0.008481034406487375,0.004699951814431496
10.0,0.6399189430695625,0.42037057147125756,36.6096,36.6096,1.0,0.6752725511119467,2.1360948571917677,0.3300752373612699,0.29039543513901744,0.20729192677224037,0.5232290874681357,0.23699888732466595,0.30739445471728255,0.11208307111390807,0.6593815886190327,0.20983071449407156,1.8423006921266936,0.2720970537261698,0.2730987514188422,0.4785950183868408,0.32766262119836276,0.20909198306211077,0.11389601892395189,0.007265164585730136,1.3737587943214749,0.006105502207616744,0.008335198935459706,0.0036834936534898663
