round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_prevalence,fed_auprc_lift,fed_f1_best,fed_auroc,fed_brier,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6901937063790025,0.1001379667133903,0.45728,3.65056,0.9971592150692714,0.18602178279553153,0.370901897305809,0.11183134046570165,1.6533689021107678,0.26146054881369357,0.5957496947703681,0.23595248668532118,0.20316767953119083,0.48261716718790726,0.4419550836046985,0.10634020582333839,0.9336604284153383,0.047619047619047616,0.20453723788864786,0.4664425849914551,0.36775572196371376,0.23650105523170864,0.11389601892395189,0.035810450470460525,3.815895655658096,0.03176806408894437,0.03850767579817272
2.0,0.6838750410352926,0.14696573807891902,0.7056,5.632,0.5412350858791136,0.21288194602136798,0.381385200600567,0.11183134046570165,1.9208163155310833,0.28659628730111686,0.6483145272347254,0.24166903719661934,0.24286844596326154,0.5168992335125662,0.4607637375459869,0.11392307452144361,1.0002375464721887,0.11026200873362445,0.20504186385147433,0.4721924364566803,0.3740969754992113,0.24120461578553817,0.11389601892395189,0.031657764645373725,2.1502419277094305,,0.031657764645373725
3.0,0.6709782284665599,0.17590361471068403,0.95392,7.61344,0.5412350858791136,0.228391233462618,0.34571088783728987,0.11183134046570165,2.0646535044991654,0.29605354856591864,0.6673900376200398,0.21565475902437625,0.26781726432953396,0.4934772942034682,0.43152174551428635,0.09860665475815847,0.8657603284975035,0.11047619047619048,0.2045002711006687,0.46686476469039917,0.3783302940148893,0.24501189374767812,0.11389601892395189,0.02814840994454724,2.0399706293828785,,0.02814840994454724
4.0,0.65808377095935,0.2557182881162775,1.20224,9.59488,0.5412350858791136,0.23644890813943603,0.3417070103871364,0.11183134046570165,2.1453125196477933,0.30748397680682343,0.6805659371006323,0.21284054257530824,0.2816753290180797,0.5134619352425923,0.4523456155152185,0.10611136408229627,0.9316512120862326,0.11616092269669093,0.20468579731202324,0.46676105260849,0.3759388522710862,0.2430095748105027,0.11389601892395189,0.0247887692712504,1.9241622963454574,,0.0247887692712504
5.0,0.6588725401205757,0.2551463315396329,1.4112,11.264,0.4559241291901578,0.22355252253186517,0.3552559091309243,0.11183134046570165,2.0459351373700922,0.2948642095887163,0.6604822712680857,0.2236214879505016,0.2715885700628169,0.5130134554236394,0.4498123204393072,0.10409025601025106,0.9139060082490845,0.11403864342656397,0.20458346517199294,0.46528324484825134,0.3756864728526348,0.24301512442541182,0.11389601892395189,0.034743674603769176,1.6027690591290593,0.034743674603769176,
6.0,0.6548973021439252,0.2656884827723733,1.65952,13.24544,0.5412350858791136,0.23339886899956472,0.351637555037076,0.11183134046570165,2.1316767021965544,0.3008910790202552,0.6713374874635385,0.22097154945948816,0.27721131080806893,0.5492212754964377,0.4777516668307299,0.12053807671766256,1.058316856519327,0.14583063994828702,0.20479144966260585,0.46514764428138733,0.37646743987141656,0.2430687937324454,0.11389601892395189,0.02106900211907268,1.7187029663473368,,0.02106900211907268
7.0,0.6351253533771639,0.35773644084721556,1.90784,15.22688,0.5412350858791136,0.24307705225687082,0.3492386897229938,0.11183134046570165,2.2282773736329133,0.30891848510558617,0.6809378065341926,0.2187818690628723,0.2845271149639329,0.546298774788033,0.46859006508095474,0.11349480141471835,0.996477335090163,0.15196351095783736,0.2047422586933853,0.4700026512145996,0.381321449333543,0.2470965095283442,0.11389601892395189,0.020053528782424827,1.7142619150690734,,0.020053528782424827
8.0,0.624725865340882,0.516417547902163,2.15616,17.20832,0.5412350858791136,0.25229136512317824,0.3359269243080692,0.11183134046570165,2.320770023276924,0.31750027234059286,0.6897982121153853,0.2106929291150568,0.2887624095767061,0.559561275869439,0.43473337610521146,0.09630751963431808,0.8455740643456765,0.14937256598874946,0.2045002711006687,0.46969956159591675,0.3926398158193421,0.25749062361198577,0.11389601892395189,0.020985809194796236,1.8597526799421757,,0.020985809194796236
9.0,0.6116754818727133,0.615829235270205,2.40448,19.18976,0.5412350858791136,0.2583829135096529,0.33232230566760856,0.11183134046570165,2.3796482877006047,0.3217295471859626,0.6970954528801384,0.20686130185743382,0.29862454637466823,0.532182496127803,0.4443294524237484,0.10104058932881718,0.8871301234530572,0.156236512731981,0.2045002711006687,0.4691556990146637,0.3908515980696785,0.25554682550604846,0.11389601892395189,0.022189736651156085,2.009411785984412,,0.022189736651156085
10.0,0.6466509792009721,0.45784806020903435,2.86176,22.84032,0.9971592150692714,0.2277659282847373,0.3431361104048145,0.11183134046570165,2.079898085673562,0.29635564724729974,0.662514081595507,0.21558241283577786,0.2765862733562823,0.5175271536060064,0.4429126067726179,0.10091274119169427,0.8860076247184151,0.1573474258438459,0.20450951154489178,0.4729037880897522,0.39247960640137486,0.2569107336589084,0.11389601892395189,0.029463398282358486,4.376045035663992,0.041128024634313615,0.023546740757493235
11.0,0.64589588809735,0.4419847651301402,3.11008,24.82176,0.5412350858791136,0.2401308953318098,0.32578808231697726,0.11183134046570165,2.2079143422550382,0.30397020078936543,0.6729027669623308,0.20469246254168294,0.28699643617377113,0.49967318491000956,0.4297604174128361,0.09536436409657911,0.8372932170724394,0.14781501909206618,0.20451875282422052,0.47203049063682556,0.39351289750879437,0.258181945111615,0.11389601892395189,0.020738633670461498,2.103038085391745,,0.020738633670461498
12.0,0.6298647962255662,0.4985139411558439,3.3584,26.8032,0.5412350858791136,0.25172401652277737,0.34211182176710436,0.11183134046570165,2.3132823771970727,0.31742285838103845,0.6870186560988768,0.21440358245735283,0.29293788915307817,0.5408601398022389,0.4415274359376842,0.09955763344590224,0.8741098625438053,0.16076227705839238,0.20457421804375336,0.47604072093963623,0.3956884731418552,0.2596346795315889,0.11389601892395189,0.019567362061728145,2.0659292959608138,,0.019567362061728145
13.0,0.6088800994369089,0.5288416952915058,3.60672,28.78464,0.5412350858791136,0.2602904750122401,0.3329750390388095,0.11183134046570165,2.397914000984027,0.3245034127646912,0.6955033509448417,0.20837673260510672,0.2954564201291306,0.5737663227068394,0.4477914069285724,0.10288623946877198,0.9033348175011182,0.16666666666666666,0.20451875282422052,0.47567519545555115,0.3983554940313931,0.26164920727170754,0.11389601892395189,0.02275271347557967,2.528991418192163,,0.02275271347557967
14.0,0.5991979566793512,0.7070041409832176,3.85504,30.76608,0.5412350858791136,0.27163593973052214,0.33934911507140203,0.11183134046570165,2.5157110798636775,0.3328277499891581,0.7077509396401307,0.21150374534393807,0.30669328703742693,0.5781635689765421,0.4691740287188681,0.11183392753112101,0.9818949651417779,0.16898148148148148,0.20453824901490106,0.4732024669647217,0.3935530272891017,0.2570760518095901,0.11389601892395189,0.02133013731227846,2.490660020383075,,0.02133013731227846
15.0,0.6380996134111283,0.6246016139128702,4.064,32.4352,0.4559241291901578,0.23365561785324218,0.32855930116995835,0.11183134046570165,2.1301146345166075,0.29902740741519296,0.668734754614973,0.20703714407293233,0.2822070938152538,0.532032698392868,0.4499216387134322,0.10529811134015643,0.9245109033219479,0.16801444610190783,0.20454648167397296,0.47214052081108093,0.3960784385312191,0.25954074180231407,0.11389601892395189,0.029300246721565146,1.6585818147286773,0.029300246721565146,
16.0,0.6408379379332684,0.622623265588395,4.31232,34.41664,0.5412350858791136,0.24566691799400844,0.35879464904989283,0.11183134046570165,2.249805788553821,0.305669512774035,0.6793685744037145,0.2256866295818619,0.28112317401157205,0.5595463277353588,0.44674277474100565,0.09967480455584767,0.8751386176403612,0.1640193947500418,0.20455572629485672,0.46876585483551025,0.39324168047719454,0.2575703001843303,0.11389601892395189,0.02014761450929032,2.412037545349449,,0.02014761450929032
17.0,0.6199735689386515,0.5206330386734052,4.56064,36.39808,0.5412350858791136,0.25912225789059384,0.34305476759911474,0.11183134046570165,2.3931847496082197,0.3200565925963775,0.691182185789934,0.21453123764235163,0.29046613254247255,0.5502170954731892,0.43726545388430377,0.09531535571894788,0.8368629265487297,0.1598169785113163,0.20453723788864786,0.4716340899467468,0.39646600976318597,0.2605982496477685,0.11389601892395189,0.022730296894692102,2.8270128371659666,,0.022730296894692102
18.0,0.6054761464252186,0.6772233414187749,4.80896,38.37952,0.5412350858791136,0.2696377107471674,0.3379060545881132,0.11183134046570165,2.496077443593582,0.32987987135406754,0.7002919827711911,0.21102150231161787,0.3004523845193491,0.5580335926641976,0.4548949864388115,0.10304737529145971,0.9047495800556841,0.1674434087882823,0.20459271313624447,0.470350056886673,0.39356448094752056,0.2575714796133635,0.11389601892395189,0.018299914614095053,2.4000263458583504,,0.018299914614095053
19.0,0.5865368561693055,0.7243780314536029,5.05728,40.36096,0.5412350858791136,0.2805348521677194,0.3091248597907543,0.11183134046570165,2.6132190337932975,0.33810302076519716,0.7095456237476796,0.1932031352613537,0.3114104103402303,0.5381554681936699,0.4696752914698013,0.11122729400771177,0.9765687603354949,0.16788194444444443,0.20450951154489178,0.46591609716415405,0.39042500770951777,0.25452654823533194,0.11389601892395189,0.020876804498119097,2.9151575819123536,,0.020876804498119097
20.0,0.6447013293396273,0.8797268062056626,5.51456,44.01152,0.9971592150692714,0.23534719047596184,0.363896502833872,0.11183134046570165,2.1441918823199275,0.2982719286601887,0.6705345044383326,0.22948795737989472,0.27881147057295413,0.557873403388348,0.5011129481277448,0.12079637672601334,1.0605847146129734,0.16287156477846326,0.20637938318546684,0.47900131344795227,0.3825524288434809,0.24767901520540522,0.11389601892395189,0.018801088500246404,3.9894364320207387,0.022957733887083564,0.016976833149206373
21.0,0.6375552260674792,0.5524649300178253,5.76288,45.99296,0.5412350858791136,0.2500185908397026,0.3406141466323387,0.11183134046570165,2.2992108007255423,0.31311918781727976,0.6835574345503737,0.21356453507230402,0.2892383505903444,0.5249812514583895,0.5080379740385979,0.12427577191685758,1.0911335891365634,0.17011494252873563,0.20718087882266986,0.48008474707603455,0.38368009031643907,0.2483262845216762,0.11389601892395189,0.017369067979549267,2.6229062175843865,,0.017369067979549267
22.0,0.6167623175994323,0.6503356079538113,6.0112,47.9744,0.5412350858791136,0.26078987784424523,0.33286911456818147,0.11183134046570165,2.405887111233002,0.3201922986757915,0.6923802660866822,0.209297608547651,0.2947084974126117,0.5540757713995317,0.481672943818765,0.10668895382774829,0.9367224143188382,0.15924320063066613,0.20665553932818692,0.4837166666984558,0.3884718959539944,0.2528345856388945,0.11389601892395189,0.01339125618518976,2.1780736157670617,,0.01339125618518976
23.0,0.6050675218883028,0.8205915863595873,6.25952,49.95584,0.5412350858791136,0.2767499432322244,0.35476879143279766,0.11183134046570165,2.5705035093078528,0.3341597209458158,0.7063718418338668,0.22220588515299483,0.2925836080180225,0.5850530509756673,0.5086152488187327,0.12044903199365418,1.057535049351266,0.17626252701906073,0.20777759018515393,0.4858280122280121,0.3876778845626495,0.2516213461421322,0.11389601892395189,0.0178540683923082,2.991482229437679,,0.0178540683923082
24.0,0.5900393235796272,0.8894406385849314,6.50784,51.93728,0.5412350858791136,0.2871034786273286,0.32106867743711126,0.11183134046570165,2.6801778061394703,0.338983415712796,0.7123852586241802,0.20003655020486452,0.3090652455222196,0.5640594934445644,0.49311317462024984,0.10891754168301937,0.956289277817018,0.16900866217516844,0.2070727309156482,0.48336535692214966,0.3901853337625209,0.25415909848190643,0.11389601892395189,0.014658063143117512,2.58302538190037,,0.014658063143117512
25.0,0.6413687424675728,1.1632998138778405,6.7168,53.6064,0.4559241291901578,0.2339866927451688,0.3391952995532072,0.11183134046570165,2.129549473788374,0.3029099826851618,0.6728159897565905,0.21474747323269835,0.28354210198997276,0.5437923447995008,0.48031449076659033,0.10854249510420821,0.9529963920572306,0.17055204090475778,0.2050713153724247,0.48651209473609924,0.39197857691961,0.2555677202096311,0.11389601892395189,0.027612103525757208,2.031663266941905,0.027612103525757208,
26.0,0.6349592602774635,0.9220498682867261,6.96512,55.58784,0.5412350858791136,0.25070155327615,0.3543078715308721,0.11183134046570165,2.2960634287310073,0.3130811032909213,0.687344525604864,0.22274062888041216,0.28682970246373296,0.5793341115032673,0.5021048191450822,0.11936418939352841,1.048010198435712,0.17027961043041157,0.2064035132512894,0.48160335421562195,0.3851142142438056,0.24953369297200298,0.11389601892395189,0.017820588794247295,3.246594431111589,,0.017820588794247295
27.0,0.6114887324365429,1.0552935648820663,7.21344,57.56928,0.5412350858791136,0.26378362277030765,0.33936161662987024,0.11183134046570165,2.4377211422712812,0.32515446489072186,0.7016055832340689,0.21219415845766323,0.29987795440303544,0.5808806453788707,0.49453416159045527,0.11478111362251606,1.0077710766972034,0.17134805072804132,0.2063516029996477,0.48239314556121826,0.3885163495564498,0.2524420450289998,0.11389601892395189,0.02190709828036923,4.0892515713348985,,0.02190709828036923
28.0,0.5950299807600758,0.9082214103603201,7.46176,59.55072,0.5412350858791136,0.275013385333261,0.31977329674816307,0.11183134046570165,2.55932147880653,0.3369241770205084,0.7094604422791392,0.20006044993400224,0.30643478928780615,0.5692158069191974,0.48685687134437605,0.11218548586319885,0.9849816255483419,0.17187227359972082,0.20585390684652585,0.48676127195358276,0.39200219304393985,0.25536859705970333,0.11389601892395189,0.01701237195193139,3.340912095736712,,0.01701237195193139
29.0,0.5780197734712,1.171324708202633,7.71008,61.53216,0.5412350858791136,0.2916148162175188,0.32216285687098783,0.11183134046570165,2.7271519813119642,0.34420647406924215,0.7188749032472875,0.200890155031952,0.3113385425235008,0.5594347892316202,0.4884813100262238,0.11104362039479115,0.9749561173769798,0.17736486486486486,0.2069104259920535,0.4871806204319,0.3935281345862148,0.2566201403842953,0.11389601892395189,0.01630031880662536,3.2578470048028976,,0.01630031880662536
