round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_f1,fed_brier,fed_prevalence,fed_auprc,fed_f1_best_threshold,fed_ece,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6882469866977279,0.11668838985248345,3.66096,3.66096,1.0,0.6470224522538041,1.9141442604097223,0.2583832368912105,0.23453400280083572,0.1132514951211835,0.2152411670624148,0.5029327823318773,0.37139298717743735,0.2822851835780403,0.6541618700570534,0.2078731942173556,1.8251137851986912,0.2700290113813881,0.2758702625638588,0.5038251876831055,0.3705693173479906,0.23477420650138175,0.11389601892395189,0.02498670989791211,2.720946717033712,0.022337618097380052,0.02687144169120795,0.011166437370743354
2.0,0.6638779889938187,0.21102020048940848,7.32192,7.32192,1.0,0.6524312688026546,1.955646642523174,0.26268523471287314,0.22006761380108092,0.1132514951211835,0.21993552998049745,0.5038978579042842,0.34896331172076495,0.282513257710304,0.6605469809056076,0.21373033959984,1.8765391593058864,0.2766242464835901,0.28013029315960913,0.5285333395004272,0.3487713535529233,0.22044113020831163,0.11389601892395189,0.015703744470921776,1.8329614253434556,0.01585551409190119,0.015699664127420937,0.005499976103149285
3.0,0.64545836071954,0.3210992651671718,10.98288,10.98288,1.0,0.6555474544605726,1.9813633673123676,0.26311114848628603,0.21871369808626534,0.1132514951211835,0.22318249618895117,0.5134451176578382,0.3455159625308785,0.28483483628341677,0.660411609969666,0.21695486006292647,1.9048502494875323,0.27458215758628174,0.2784952274003369,0.5369113087654114,0.34518826336255043,0.21907413874406093,0.11389601892395189,0.012063276511327076,1.5035672410513143,0.012944871057710606,0.011526554782631458,0.0048794448787602964
4.0,0.6462713891298575,0.39830572647394,14.64384,14.64384,1.0,0.6582083086612147,2.014177916231828,0.2669328842325809,0.2149318196829424,0.1132514951211835,0.227100699873758,0.5099851629739293,0.3385897646094404,0.2884890839296003,0.6627096906715759,0.22033606440626977,1.9345370144446195,0.27906976744186046,0.2820773930753564,0.5145038366317749,0.33833770567475413,0.2154209796108826,0.11389601892395189,0.009564952845415304,1.2671425018966147,0.010308702646703107,0.009084462454237678,0.004205304363856557
5.0,0.6404095287958521,0.3413367818616787,18.3048,18.3048,1.0,0.6606663710366967,2.0342371329366964,0.2632232052307833,0.2278666455132171,0.1132514951211835,0.22989047799576467,0.530094649968449,0.3587973337138566,0.29176755944626587,0.6629795540818372,0.22158051431804615,1.9454632076823946,0.2766656074568372,0.2817835646726446,0.5259166359901428,0.35822536332062244,0.2282333771707034,0.11389601892395189,0.008746361455614707,1.2265874639560934,0.009321333603066362,0.008357910977414331,0.004247551820067535
6.0,0.6455989132185852,0.42145445427268474,21.96576,21.96576,1.0,0.6630362192204268,2.0460573699989295,0.2672567194909968,0.21840795566214521,0.1132514951211835,0.2316875465065866,0.5337344225469084,0.3449567641595042,0.2944302573152319,0.6652992700385504,0.22319347961082747,1.9596249431672694,0.2858788297627275,0.2861418047882136,0.4999454915523529,0.3442818767303633,0.21885768404026246,0.11389601892395189,0.008306882688302212,1.2315845673419972,0.00789209212657392,0.008648481960348344,0.004985786423712783
7.0,0.644607890876899,0.43269761861094846,25.62672,25.62672,1.0,0.6660958861006612,2.0720663987654193,0.27227060956923316,0.21842057881533125,0.1132514951211835,0.23467628774549892,0.5238690693103782,0.34805270442243713,0.2975778536018971,0.6656187414315481,0.2247764175694951,1.9735230405162607,0.28826045627376423,0.28879412461502013,0.4997329115867615,0.3474233345826958,0.21908259289642942,0.11389601892395189,0.00847948062056388,1.3326412231490394,0.008006643096633357,0.008882071346340593,0.004379077392809789
8.0,0.6412303103863384,0.36788771884507004,29.28768,29.28768,1.0,0.6680429387490028,2.1022485290123574,0.27361911729535066,0.22248999946187017,0.1132514951211835,0.23756575738954686,0.5454868416141555,0.3533491963864799,0.29632168934650227,0.6642099148800806,0.2243525818695028,1.9698017892908313,0.28414172686618505,0.2849229287090559,0.5079116225242615,0.35284204900600724,0.2234398595728549,0.11389601892395189,0.00814116656900874,1.3622887850824554,0.007438142616809202,0.008738658553856095,0.005110740798180378
9.0,0.6457533426861787,0.4433383934077577,32.94864,32.94864,1.0,0.669678128933753,2.120987214346848,0.2759970130686031,0.21449909426452923,0.1132514951211835,0.23996872789244744,0.5231141250464464,0.3410473765865752,0.30026068354207897,0.6635992334594085,0.2252386716760112,1.9775816029742228,0.2804288912454342,0.2809040590405904,0.4964214861392975,0.3403013126108198,0.21549678251777943,0.11389601892395189,0.008451101762766656,1.504162292683759,0.007078465530045586,0.009638904993923843,0.005236209465370251
10.0,0.6398667614534077,0.4521813090746883,36.6096,36.6096,1.0,0.6709984686109773,2.130680276726857,0.2782318232440203,0.20039266288835503,0.1132514951211835,0.24165866871811367,0.5228981087633301,0.3175687340930982,0.2974572681791611,0.6635462622236052,0.2260779858801842,1.9849507297628723,0.27976343533041914,0.2814723926380368,0.4919854998588562,0.31662989230822275,0.20148518966542572,0.11389601892395189,0.007338588068659177,1.3936156742784078,0.00640671212901164,0.008163371507885145,0.005470594438866075
11.0,0.638514531794492,0.4763476308213942,40.27056,40.27056,1.0,0.6753056201960318,2.138025292798261,0.2755365387300795,0.21170748644696782,0.1132514951211835,0.24322181420582478,0.5568159954668704,0.33635492289886176,0.30421693552843165,0.6647860853084623,0.22739206135905216,1.9964882311723406,0.28274087932647335,0.2836981222341825,0.5040509104728699,0.3354554714689294,0.21300668704763,0.11389601892395189,0.007824367748043605,1.5724044006292388,0.006207161090480278,0.009304184329764341,0.004487813648460918
12.0,0.6429994858635955,0.5485123636290078,43.93152,43.93152,1.0,0.6757384117185018,2.150785677472472,0.2728493818771125,0.21832858299353772,0.1132514951211835,0.2441416131047278,0.5431467585568162,0.34504793557799535,0.301389219968167,0.6632030472679116,0.22566943932145747,1.981363716251895,0.27597955706984667,0.2829856747926615,0.5302186012268066,0.3441101060932275,0.21973286890227375,0.11389601892395189,0.00795228688442131,1.6981309193160996,0.005716843322327069,0.010048684397265915,0.004576981333097604
13.0,0.6404954232887216,0.6140540440888824,47.59248,47.59248,1.0,0.6773139276875101,2.166871585762074,0.27742411595643646,0.2159466764986875,0.1132514951211835,0.24671347022274254,0.5978745016617937,0.34024227778041816,0.3080362318606099,0.6630040631610894,0.22761085746693677,1.9984092474637942,0.2793539938891314,0.28286755771567434,0.5231336355209351,0.3393238911007628,0.21760702876413784,0.11389601892395189,0.006973929516212832,1.5775033571171662,0.005264325423939019,0.008604395075667836,0.0055516209170967
14.0,0.641511762708449,0.752276077822378,51.25344,51.25344,1.0,0.6795493329412253,2.1849591906486445,0.2722397641315179,0.21778503725007095,0.1132514951211835,0.24893767653961063,0.577331293105779,0.34372757403851306,0.3051994388739959,0.662262566255458,0.22776480422667672,1.9997608904904285,0.27602240304343234,0.28273267807304936,0.5273057222366333,0.3429767997348843,0.21980937958518273,0.11389601892395189,0.006847576057370319,1.6393303455970454,0.005169089193699535,0.00847631770997371,0.004310822896535941
