round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_f1,fed_f1_best,fed_auprc_lift,fed_ece,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6877708881246349,0.10166283312317544,3.65056,3.65056,0.9971592150692714,0.24952314783434618,0.2425569173238308,0.27767940044881845,1.7869220230665777,0.38757371429957954,0.5142394947366412,0.6417360381637147,0.11486656596173213,0.2034545781596932,0.44203297805166153,0.10150108895203037,0.8911732816561606,0.013704151551793631,0.2045002711006687,0.4163542091846466,0.3750007850029813,0.24221186827359717,0.11389601892395189,0.029122661091841417,3.1348256848286837,0.023721227763126462,0.03279863808748029
2.0,0.6775159530285064,0.13505398886448988,7.30112,7.30112,0.9971592150692714,0.23375023444656298,0.26907690276495344,0.2907677152668118,1.853254550558589,0.368082953206182,0.5096964645354229,0.6573673884620961,0.11486656596173213,0.21225815926073438,0.4658284578295,0.10925644717803215,0.959264847096916,0.10094012864918357,0.2045002711006687,0.37668952345848083,0.37258399551627175,0.24049362188280507,0.11389601892395189,0.018773060264784442,2.167453006375581,0.015676714404714052,0.02088448525817545
3.0,0.6674859265459699,0.17278693847643176,10.95168,10.95168,0.9971592150692714,0.21935125508485806,0.2768797897653798,0.29153577418778526,1.9158627148685023,0.3475769020950896,0.5101275456617216,0.6611204580743523,0.11486656596173213,0.21931329461991758,0.4528124049222162,0.10713313046396078,0.9406222577058934,0.10377358490566038,0.2045002711006687,0.35776621103286743,0.3742452096303712,0.241774545005382,0.11389601892395189,0.012989287275999848,1.6096583183389157,0.011337531577646194,0.014140649966711334
4.0,0.6588242412551011,0.20201182398441295,14.60224,14.60224,0.9971592150692714,0.22750273738052598,0.27823562367917576,0.2992321084518959,1.9835797434462872,0.3598592453078186,0.5262147424309276,0.6683358688406559,0.11486656596173213,0.22721624506073362,0.42062120388496893,0.09993385178105109,0.8774130362517473,0.15232276414199936,0.2045002711006687,0.38307416439056396,0.37924369022784904,0.24601459703749984,0.11389601892395189,0.010317896743675888,1.3635732168331742,0.00977276039334013,0.010711125263425684
5.0,0.6547756261287467,0.22465444983739818,18.2528,18.2528,0.9971592150692714,0.22747961248578963,0.28204689271177624,0.30035061357175014,2.02887168129591,0.35993090562601204,0.5298194043518372,0.6724190401642688,0.11486656596173213,0.23287017960697648,0.42689363320633117,0.10134673305210418,0.8898180464040025,0.13719922283664623,0.2045002711006687,0.32148098945617676,0.37619653516197565,0.24348077218913247,0.11389601892395189,0.00881364991658664,1.2326033266726881,0.00842186284719663,0.009108042523445953
6.0,0.6494825132582721,0.212050937203549,18.2528,18.2528,0.0,0.22594257831265094,0.28906252238233776,0.30996895316692336,2.1996375702574427,0.3562985957437922,0.5494896336144433,0.6867269126665897,0.11486656596173213,0.25037429124543414,0.42689363320633117,0.10134673305210418,0.8898180464040025,0.13719922283664623,0.2045002711006687,0.32148098945617676,0.37619653516197565,0.24348077218913247,0.11389601892395189,0.0,0.0,,
7.0,0.6360920097918289,0.35239794245793765,18.2528,18.2528,0.0,0.2056874315790448,0.29450406188282496,0.320094886252556,2.307941691068752,0.326240008970777,0.5624432295170675,0.6955316435437419,0.11486656596173213,0.26152801570354967,0.42689363320633117,0.10134673305210418,0.8898180464040025,0.13719922283664623,0.2045002711006687,0.32148098945617676,0.37619653516197565,0.24348077218913247,0.11389601892395189,0.0,0.0,,
8.0,0.6225928958976815,0.39437129775320146,18.2528,18.2528,0.0,0.21943731825797527,0.3000494256300092,0.33468026031046405,2.4252159014202417,0.34580295104373987,0.5779822902849613,0.7050166583738344,0.11486656596173213,0.2746323490961436,0.42689363320633117,0.10134673305210418,0.8898180464040025,0.13719922283664623,0.2045002711006687,0.32148098945617676,0.37619653516197565,0.24348077218913247,0.11389601892395189,0.0,0.0,,
9.0,0.6473059523058944,0.24624234215906093,21.90336,21.90336,0.9971592150692714,0.21753157706318238,0.2836716222265081,0.3020620781987243,2.068766437092068,0.3453550905613875,0.5302598143384716,0.6736016860422408,0.11486656596173213,0.2371291390613045,0.4720011315589647,0.10885253715301299,0.955718542065053,0.12394797245600613,0.2045002711006687,0.3634219467639923,0.3736803315430272,0.241095148328157,0.11389601892395189,0.00942851460068346,1.3925824869656935,0.0076890774349737,0.010785405251940846
10.0,0.6455041858445166,0.2811686048582199,21.90336,21.90336,0.0,0.21045244227585264,0.29840900946441157,0.3151177025336455,2.1766391023013525,0.33387502774967626,0.5388668350451453,0.6885830588458264,0.11486656596173213,0.24841930129761566,0.4720011315589647,0.10885253715301299,0.955718542065053,0.12394797245600613,0.2045002711006687,0.3634219467639923,0.3736803315430272,0.241095148328157,0.11389601892395189,0.0,0.0,,
11.0,0.6294300804909589,0.34047204556971056,21.90336,21.90336,0.0,0.1984328409050397,0.30274998265665215,0.32635818398531957,2.3274659447222295,0.3150386725930349,0.5412548777515073,0.7007374118443488,0.11486656596173213,0.26413528535895453,0.4720011315589647,0.10885253715301299,0.955718542065053,0.12394797245600613,0.2045002711006687,0.3634219467639923,0.3736803315430272,0.241095148328157,0.11389601892395189,0.0,0.0,,
12.0,0.6203356922211472,0.431943076772826,21.90336,21.90336,0.0,0.20663376364751787,0.3089997363903352,0.3369302401132815,2.431482787482579,0.3257261389762835,0.5610023131715989,0.712599690546438,0.11486656596173213,0.27478330913512944,0.4720011315589647,0.10885253715301299,0.955718542065053,0.12394797245600613,0.2045002711006687,0.3634219467639923,0.3736803315430272,0.241095148328157,0.11389601892395189,0.0,0.0,,
