round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_f1_best,fed_ece,fed_auprc_lift,fed_prevalence,fed_brier,fed_auprc,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.681308270968594,0.12052984267106473,1.83048,1.83048,1.0,0.265997358263875,0.2782518940269201,0.3678738312893052,1.9286463945955576,0.11139081183134045,0.23041757940683272,0.21351119857656933,0.5005367152547596,0.6546142411620482,0.6564496100107277,0.20914112367631815,1.8362461274082038,0.2786174575278266,0.2804987787633372,0.506930947303772,0.36559299546193086,0.23093878541667395,0.11389601892395189,0.04440205971900411,4.886316130548948,0.042070053465527966,0.046192587485362445,0.019074528237194917
2.0,0.6569584183471209,0.23874380265523323,3.66096,3.66096,1.0,0.26943937105362153,0.2831702187130916,0.35964749222228626,1.9962296127335122,0.11139081183134045,0.2264368623939977,0.22094362181413774,0.5052330433759695,0.6604643598015902,0.6601991477516729,0.21345977234679714,1.874163595562754,0.27663956639566395,0.2814855420035631,0.54147869348526,0.3581699217950952,0.22755508345857464,0.11389601892395189,0.03294504417979531,3.902838700923894,0.033530151849517985,0.03276639815279902,0.011043938770765534
3.0,0.6500893520003135,0.2596916582939146,5.49144,5.49144,1.0,0.2718165410243476,0.2868216024778025,0.34966040418405364,2.044926546922752,0.11139081183134045,0.21949472625118488,0.2265964413011422,0.5163858940497819,0.6642112841636703,0.6606225913523535,0.2172064002383582,1.907058756666345,0.2783633684687748,0.283078545071165,0.5284854769706726,0.34770485107357185,0.2206371567627281,0.11389601892395189,0.024660457861241544,3.12305518796893,0.026545555092096947,0.02349040221567393,0.008737719634139315
4.0,0.6476272180019799,0.25351725795649094,7.32192,7.32192,1.0,0.2722148165754379,0.28636536570078247,0.3458655974188265,2.0832910651500134,0.11139081183134045,0.2173116323866155,0.23097325898584636,0.5081224812134922,0.6671340258781778,0.6634198264973039,0.2209627625337912,1.9400393852337152,0.28185237423601317,0.2859420674993356,0.5213331580162048,0.34422625817433117,0.21858780078994214,0.11389601892395189,0.020214941288248044,2.7238619417166774,0.02107926904561971,0.01969172423605428,0.007948653364941395
5.0,0.6476324099481783,0.26379991920015483,9.1524,9.1524,1.0,0.26922613965602993,0.2870841778357206,0.3545423246305869,2.096510919017436,0.11139081183134045,0.22275184274862117,0.23264858107127134,0.5295437275781957,0.6676357485284569,0.6635238363533421,0.22255499463509984,1.9540190845801142,0.2816995650719304,0.2842663523865645,0.5092589259147644,0.3528355236331016,0.22397997806605527,0.11389601892395189,0.016942645034422197,2.4256819478832767,0.01807146092892935,0.016163229681729764,0.007973262852609983
6.0,0.6466332065404673,0.2461573861275112,10.64744,10.64744,0.8167475197762336,0.27321101739078046,0.29200075828345606,0.3396205455880633,2.127748606714258,0.11139081183134045,0.21328673805246506,0.2361960514886967,0.530584043855184,0.6711707995311111,0.6656668058317202,0.224125669373068,1.9678095116100256,0.28480938416422286,0.28730259001895136,0.5124989151954651,0.34467760387580654,0.21833709852996272,0.11389601892395189,0.018153980799757517,2.207759511191398,0.01546617091023514,0.021371798706560623,
7.0,0.6461135049346142,0.2817823362711201,11.482,11.482,0.4559241291901578,0.2759388780492095,0.2945373937941366,0.34649144673475013,2.1778935012463276,0.11139081183134045,0.21693991671525878,0.2417376893602731,0.5369644263673683,0.6763713298068194,0.6657495318176038,0.2247163034142275,1.97299524195196,0.2827711116142178,0.2867431315017338,0.5219033360481262,0.3507184429886633,0.22180734656834844,0.11389601892395189,0.014913125062654858,1.0714058871380985,0.014913125062654858,,
8.0,0.6435508318826564,0.27127308530873606,13.31248,13.31248,1.0,0.27471812722302213,0.29515811983314016,0.3563063402889359,2.150326233268286,0.11139081183134045,0.22323133287226646,0.2388812526795656,0.5300191786452013,0.6748340609981361,0.6656381177850379,0.2244373121942549,1.9705457163003315,0.281877705027189,0.2866504854368932,0.5134963989257812,0.3547448717941545,0.2249954928590119,0.11389601892395189,0.015663160215816,2.5580751513771247,0.012825212383363913,0.018326786397046782,0.006033130866834351
9.0,0.6450088686823158,0.2946154926043697,14.14704,14.14704,0.4559241291901578,0.27743212144068147,0.2972357001737217,0.34312669545402685,2.1983225707451193,0.11139081183134045,0.21502103813987894,0.24417887120704232,0.5202076768353722,0.6790315737640277,0.6638407100098292,0.22456469956213235,1.9716641695095039,0.2812394366197183,0.2837606837606838,0.5115195512771606,0.3512492436262975,0.22257657154470747,0.11389601892395189,0.012596707734118836,1.0538523294962943,0.012596707734118836,,
10.0,0.6431697430091623,0.3083009691071007,15.64208,15.64208,0.8167475197762336,0.2762578890953332,0.29518012670100674,0.3311002448154291,2.1863428344370455,0.11139081183134045,0.20806759195320285,0.24290809461791354,0.5190328679270831,0.6775744308328892,0.6638231407773904,0.22494487623239334,1.975002097154849,0.2803210127726913,0.2833153412498501,0.5091682076454163,0.34837524124519953,0.22080175921512993,0.11389601892395189,0.015381715812176055,2.344043050892651,0.011876159647304143,0.020474474784341824,
