round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_auprc_lift,fed_prevalence,fed_f1_best,fed_auprc,fed_brier,fed_ece,fed_auroc,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885208686084189,0.1032721731586556,3.65056,3.65056,0.9971592150692714,0.19754786458905374,1.7714486527512403,0.11373363544813696,0.2677276525597757,0.1989830754127558,0.24934108002493113,0.3876447947517652,0.6214573794157762,0.5109454002831608,0.5861654015731692,0.18998969384433229,1.6680977582823853,0.19039198349543177,0.24654415352089767,0.4932812452316284,0.37697607791653587,0.24251308623472626,0.11389601892395189,0.026688253563324018,2.8655513892881572,0.02335851190093462,0.028930982172971208
2.0,0.681934278680615,0.12594778588848557,7.30112,7.30112,0.9971592150692714,0.23249903791144294,1.8899953232855378,0.11373363544813696,0.28724817716200857,0.21093449019853197,0.22317864221061443,0.35415503972989376,0.6479109961449372,0.4999181889560287,0.6116440389175566,0.2077393878222158,1.823938973327267,0.256071580741372,0.28023218316672044,0.4924909770488739,0.377102900578251,0.2420419844171489,0.11389601892395189,0.018062897065002574,2.052892377600074,0.015603242977655392,0.019743093832696068
3.0,0.672242949256238,0.18761446066275875,10.95168,10.95168,0.9971592150692714,0.2557287592017039,1.952127029521908,0.11373363544813696,0.29367165529707817,0.21851134353867033,0.22892762280914242,0.36245827088535787,0.6568498971646277,0.5383344088218663,0.6556611405072259,0.22036878995974352,1.9348243427795597,0.26955307262569833,0.2825764321757198,0.49477437138557434,0.37653466333614105,0.2409703455008312,0.11389601892395189,0.01277476012217226,1.5631456549745053,0.012369371075637835,0.013060427307097498
4.0,0.6632346452665085,0.2035684245875319,14.60224,14.60224,0.9971592150692714,0.26941625211430525,1.9829047478964796,0.11373363544813696,0.29542160691926544,0.22221919212776184,0.2195587456429292,0.3482959652591537,0.6616160769319052,0.5310985884363768,0.6628276178695961,0.2223906411198793,1.9525760708841722,0.27368070584318294,0.2805993900013261,0.4900233745574951,0.3742273283989322,0.23887963052152297,0.11389601892395189,0.010787129592392704,1.4060609303414822,0.010408944402974966,0.011065670585220636
5.0,0.6600782151307101,0.2510224213908553,18.2528,18.2528,0.9971592150692714,0.2735327935996283,2.00497650530486,0.11373363544813696,0.2970117195967918,0.22452428027033858,0.21354299303549273,0.33884481661498167,0.663554850382287,0.5198688402468075,0.6597728679748985,0.22260783165083775,1.9544829903095426,0.2773502843760455,0.2831511073731427,0.4921167492866516,0.3759913629881718,0.24030032315228303,0.11389601892395189,0.00884194413641097,1.227160437265411,0.008869795084357979,0.008820494281264581
6.0,0.6563579135610278,0.26265254780129255,18.2528,18.2528,0.0,0.28663298224861933,2.1486233711683513,0.11373363544813696,0.30623735118807643,0.24039232674392882,0.21762917779359964,0.34507378364358876,0.6778000745938629,0.5300508261792369,0.6597728679748985,0.22260783165083775,1.9544829903095426,0.2773502843760455,0.2831511073731427,0.4921167492866516,0.3759913629881718,0.24030032315228303,0.11389601892395189,0.0,0.0,,
7.0,0.6378165599504755,0.3481985308107004,18.2528,18.2528,0.0,0.2922323399387653,2.2685758792804505,0.11373363544813696,0.31568018678508886,0.2522579486564935,0.21628645857866313,0.34370903569120775,0.684784500498599,0.5469782479925218,0.6597728679748985,0.22260783165083775,1.9544829903095426,0.2773502843760455,0.2831511073731427,0.4921167492866516,0.3759913629881718,0.24030032315228303,0.11389601892395189,0.0,0.0,,
8.0,0.6248259650187586,0.4188361838738285,18.2528,18.2528,0.0,0.3041147860802704,2.3892152977841272,0.11373363544813696,0.32423695956002274,0.2649435350836201,0.1940223026041131,0.3065081806890928,0.6978325371898996,0.5635961822842784,0.6597728679748985,0.22260783165083775,1.9544829903095426,0.2773502843760455,0.2831511073731427,0.4921167492866516,0.3759913629881718,0.24030032315228303,0.11389601892395189,0.0,0.0,,
9.0,0.6517175764029366,0.2900713319495073,21.90336,21.90336,0.9971592150692714,0.2748408904584731,2.0191936797764587,0.11373363544813696,0.2979597514799565,0.2264704800776591,0.21960900099195999,0.34775351837731355,0.6658749817226944,0.5345729512292872,0.6252489748478366,0.2151074623595837,1.8886302119410376,0.2777688474521781,0.2828282828282828,0.49591687321662903,0.3808747428857516,0.24426907735829675,0.11389601892395189,0.00895584131003835,1.3103623880306259,0.0075263777493382355,0.010108708846562014
10.0,0.6517290229914747,0.3048372889374554,21.90336,21.90336,0.0,0.2869533945721967,2.16246123725612,0.11373363544813696,0.31041526890023685,0.24170049026676727,0.2188349022332281,0.34817837350668845,0.6777653963880927,0.5629552134124174,0.6252489748478366,0.2151074623595837,1.8886302119410376,0.2777688474521781,0.2828282828282828,0.49591687321662903,0.3808747428857516,0.24426907735829675,0.11389601892395189,0.0,0.0,,
11.0,0.6385838307137945,0.3543615154417075,21.90336,21.90336,0.0,0.29300906394847964,2.294541658871609,0.11373363544813696,0.32081813371459356,0.2559002135736608,0.21777082445005572,0.3466278810024989,0.69052305190966,0.5619331543452939,0.6252489748478366,0.2151074623595837,1.8886302119410376,0.2777688474521781,0.2828282828282828,0.49591687321662903,0.3808747428857516,0.24426907735829675,0.11389601892395189,0.0,0.0,,
12.0,0.6218055895210461,0.4380131341479558,21.90336,21.90336,0.0,0.29858532244726116,2.4492150290593173,0.11373363544813696,0.332538715636536,0.2722314806967663,0.2168106744054125,0.3461039237352605,0.7025597229477241,0.5646464562067932,0.6252489748478366,0.2151074623595837,1.8886302119410376,0.2777688474521781,0.2828282828282828,0.49591687321662903,0.3808747428857516,0.24426907735829675,0.11389601892395189,0.0,0.0,,
13.0,0.6464321135205637,0.32331438268400653,25.55392,25.55392,0.9971592150692714,0.2722121332485395,2.0431644412273386,0.11373363544813696,0.2977698844447955,0.22955201667100375,0.2153044990201828,0.3402803316557628,0.6667079615040468,0.5302025724356207,0.6407835270274279,0.2181269233338437,1.915140892496748,0.28110161443494774,0.28147946695675824,0.5000832676887512,0.38243841099579484,0.24543658265945567,0.11389601892395189,0.008166461578340608,1.2716027868445963,0.006415964471200378,0.009610053175637753
14.0,0.6462712810553626,0.3481934255856348,25.55392,25.55392,0.0,0.2906741245429444,2.1767433091077497,0.11373363544813696,0.30877615472644315,0.24323391702318306,0.19323849418599787,0.30422986290733683,0.678266941202068,0.51864797854374,0.6407835270274279,0.2181269233338437,1.915140892496748,0.28110161443494774,0.28147946695675824,0.5000832676887512,0.38243841099579484,0.24543658265945567,0.11389601892395189,0.0,0.0,,
15.0,0.6308218158866296,0.36992110752019813,25.55392,25.55392,0.0,0.2917237813425866,2.324627472554247,0.11373363544813696,0.32134239593048575,0.2588766837731776,0.21221461876244044,0.3374429710599999,0.6916333197659196,0.5770216073356905,0.6407835270274279,0.2181269233338437,1.915140892496748,0.28110161443494774,0.28147946695675824,0.5000832676887512,0.38243841099579484,0.24543658265945567,0.11389601892395189,0.0,0.0,,
16.0,0.614033350551421,0.4259291010519225,25.55392,25.55392,0.0,0.30478913718785955,2.479524395380389,0.11373363544813696,0.3354140004352449,0.27501059639119985,0.20186156839760638,0.32013006241966796,0.7021820297489877,0.5732481323092545,0.6407835270274279,0.2181269233338437,1.915140892496748,0.28110161443494774,0.28147946695675824,0.5000832676887512,0.38243841099579484,0.24543658265945567,0.11389601892395189,0.0,0.0,,
17.0,0.6420082740770159,0.35795681389259437,29.20448,29.20448,0.9971592150692714,0.2785388227855584,2.071883740750834,0.11373363544813696,0.3003516520026414,0.23249258529489072,0.2175091848483516,0.3416164125712571,0.6710747417145506,0.5602447168370718,0.6691787824511881,0.22410140415857205,1.9675964645279134,0.27939284795472086,0.2813838550247117,0.5078396797180176,0.376859185624431,0.24054627155904293,0.11389601892395189,0.00822994343254164,1.3532541700406,0.006506692951547204,0.009681556472638372
18.0,0.6436103808502731,0.4733754015208014,29.20448,29.20448,0.0,0.2947362417521327,2.242350839968921,0.11373363544813696,0.3184040647865529,0.25095814070675276,0.2100763231161736,0.33393780939578294,0.6854804481084393,0.5616461584852842,0.6691787824511881,0.22410140415857205,1.9675964645279134,0.27939284795472086,0.2813838550247117,0.5078396797180176,0.376859185624431,0.24054627155904293,0.11389601892395189,0.0,0.0,,
19.0,0.6243321831065823,0.3996204653788603,29.20448,29.20448,0.0,0.29558955653627894,2.3989014614332858,0.11373363544813696,0.33038550328971694,0.26740537368265455,0.21414736443926266,0.33937733508913787,0.6972458051287995,0.5676273019104626,0.6691787824511881,0.22410140415857205,1.9675964645279134,0.27939284795472086,0.2813838550247117,0.5078396797180176,0.376859185624431,0.24054627155904293,0.11389601892395189,0.0,0.0,,
20.0,0.6126982163658892,0.5505221535973236,29.20448,29.20448,0.0,0.30472841547660245,2.5088248224184384,0.11373363544813696,0.33646425971021926,0.2792232064505076,0.20498937730466332,0.3261126182928366,0.7066572679633061,0.5776220598846133,0.6691787824511881,0.22410140415857205,1.9675964645279134,0.27939284795472086,0.2813838550247117,0.5078396797180176,0.376859185624431,0.24054627155904293,0.11389601892395189,0.0,0.0,,
21.0,0.6401967719455595,0.44110740156296285,32.85504,32.85504,0.9971592150692714,0.27429085398554814,2.079344955202262,0.11373363544813696,0.2992286402971441,0.23373867619163372,0.22144673755987757,0.3479960235056147,0.6722326484713609,0.5737289120832388,0.667759477107516,0.22250212238368575,1.9535548694836289,0.2771849898093754,0.2823990848177807,0.5078830718994141,0.3763329453158496,0.24028625691051583,0.11389601892395189,0.00792530278526309,1.377793949097395,0.006068923473677972,0.009519782720410722
22.0,0.6430861890050781,0.4477920941321697,32.85504,32.85504,0.0,0.29518600302781917,2.270173662542362,0.11373363544813696,0.3183601975250012,0.254110356591646,0.21373502777792563,0.33909809914270317,0.6859957292828882,0.5586318511924773,0.667759477107516,0.22250212238368575,1.9535548694836289,0.2771849898093754,0.2823990848177807,0.5078830718994141,0.3763329453158496,0.24028625691051583,0.11389601892395189,0.0,0.0,,
