round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1,fed_ece,fed_brier,fed_auroc,fed_prevalence,fed_auprc_lift,fed_f1_best_threshold,fed_f1_best,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6889134781765811,0.09531565892191228,3.66096,3.66096,1.0,0.2599657712202317,0.3692800598566056,0.23397664135510254,0.6482515828780561,0.11417421953675731,1.8627707714671917,0.5079577576991805,0.28181388834943233,0.21076103362833562,0.6587486068226149,0.21520269077507,1.8894663115377224,0.2758053138960734,0.27881959587149296,0.5123289227485657,0.3680944412255229,0.23277239456775803,0.11389601892395189,0.02538310857182466,2.7492676412566652,0.02227968022323607,0.027637725909676576,0.010138791312074721
2.0,0.6634584912358447,0.188018245660193,7.32192,7.32192,1.0,0.2667552160025131,0.3275478515053713,0.20526134109592487,0.6566646531364979,0.11417421953675731,1.924096997094411,0.5002391295449401,0.28976325261975766,0.21726237019829958,0.6629511797714484,0.22094647034612186,1.939896340833891,0.27862705509085667,0.2812876570838354,0.527564525604248,0.3256569751598099,0.20362023272113658,0.11389601892395189,0.0156020842442839,1.813902082196364,0.015679892375740783,0.01565032112500189,0.006071301757836629
3.0,0.655648482773266,0.3132888446584644,10.98288,10.98288,1.0,0.26861582015919505,0.3515728983525393,0.221897869583315,0.6597436341489477,0.11417421953675731,1.9613231102239836,0.5351147917057092,0.29344111280417773,0.22182345676676155,0.6653665727482431,0.22359562821270865,1.963155783012951,0.2781253689056782,0.2824844720496894,0.5087026357650757,0.3496028222981742,0.2201932959583097,0.11389601892395189,0.011862570483788911,1.4731521844205417,0.012178480454550151,0.01172293493036808,0.0038961754926540725
4.0,0.6507505045935841,0.304416198987154,14.64384,14.64384,1.0,0.27184889215268926,0.34359962175424835,0.21683299285174948,0.6623574374355867,0.11417421953675731,1.9839486195221603,0.532897611635419,0.2931802313603179,0.22458353270082448,0.6655426666550878,0.22375562430638796,1.964560538817332,0.27800072966070777,0.28070175438596495,0.5285746455192566,0.34150676897853177,0.2153927447606663,0.11389601892395189,0.009257093885889977,1.2221673432823081,0.009916705292633625,0.008835094502028561,0.003682567109155523
5.0,0.6467514738328508,0.32335124170953977,18.3048,18.3048,1.0,0.27216607426543354,0.33144665508993415,0.20881289569958073,0.6652881415829687,0.11417421953675731,2.0024308734106833,0.5319514380259606,0.29569896540777113,0.2271144026660953,0.6672361022226134,0.22456781288341973,1.9716915042778023,0.2811560088923761,0.2824489795918367,0.5082212090492249,0.3293673718312804,0.207462955082489,0.11389601892395189,0.008200762974009776,1.1451835308707814,0.00850358270467725,0.008005154967956122,0.0047045648348206836
6.0,0.6497569763155845,0.3182256206717462,21.96576,21.96576,1.0,0.2743729206068093,0.3422974654776301,0.21600805424016428,0.6671970498324293,0.11417421953675731,2.0178227502096955,0.547907373600631,0.2950132924441164,0.2288643638547273,0.6676582155814095,0.2239902406187762,1.966620455525614,0.2797878609310548,0.28448275862068967,0.5248167514801025,0.3404655530550045,0.21497128179118027,0.11389601892395189,0.008363594038168292,1.2293265612988762,0.008123100009282977,0.008595142753978754,0.003395124903925489
7.0,0.6456529683538255,0.36380623082554636,25.62672,25.62672,1.0,0.27868202207391585,0.35163739679919603,0.22167599693301598,0.6682763854505203,0.11417421953675731,2.01293579319144,0.545642415237916,0.29686787335650094,0.22902497869374738,0.6670071500250311,0.22411219055285192,1.9676911684023928,0.27842669845053636,0.2816866879137043,0.5052328705787659,0.3501137438440631,0.2209125011777405,0.11389601892395189,0.008880327671998785,1.3825964079223922,0.007943579087567538,0.009682273123523611,0.00402559366813595
8.0,0.6469118493919551,0.3043176768887882,29.28768,29.28768,1.0,0.2764603726680721,0.32988948210950064,0.20926691349488993,0.669375330295329,0.11417421953675731,2.024480010769426,0.5387565928313428,0.29634885493197943,0.2306403141916875,0.6672592810599809,0.2241836934433734,1.9683189593576607,0.27869054972205065,0.2806199423947332,0.5219433903694153,0.3278036453532934,0.20841822952745775,0.11389601892395189,0.007653119371491402,1.2693064545310335,0.006671975563022824,0.008506235792200235,0.004077223879823178
9.0,0.6464416959059192,0.42697321790123344,32.94864,32.94864,1.0,0.2801383623093443,0.34001882605382194,0.21425151385021984,0.6725380470059993,0.11417421953675731,2.049445404186214,0.5566473368251431,0.30046103204586866,0.233367407596403,0.6674427289455463,0.22494502338514386,1.9750033891468948,0.2793406865782625,0.2839168490153173,0.5175237059593201,0.33816608834506057,0.21368577435063837,0.11389601892395189,0.007932347394902716,1.3912847770516237,0.007012811604290742,0.008766064222100694,0.0032212602178616524
10.0,0.6501183808146586,0.3846238954984142,36.6096,36.6096,1.0,0.2773698500510969,0.3505509702201786,0.2216452146034216,0.6749291402015546,0.11417421953675731,2.0876759739318254,0.5697694151847056,0.3042299107890196,0.2378341278054807,0.6682794008931896,0.22352931906761406,1.9625735928212211,0.2799029238414423,0.2845969471426769,0.5175431370735168,0.34887455098341846,0.22137952970503041,0.11389601892395189,0.007554783786272903,1.4088624111027457,0.006437498283405444,0.00858426500522146,0.0034089549356640853
11.0,0.6458653195892227,0.39289273256004337,40.27056,40.27056,1.0,0.28055813965314846,0.34470930555788476,0.21767298156173726,0.6773866340346093,0.11417421953675731,2.0973026639360994,0.5517968410421593,0.30659547138441884,0.23946999473722266,0.6679747253037959,0.22246901374878061,1.9532641777174202,0.2758777929776562,0.2839459391183529,0.5198513865470886,0.3428489676972413,0.2176069856317487,0.11389601892395189,0.006949678616900001,1.3765788723903825,0.005926040712344084,0.007916498284669024,0.003008870426883514
12.0,0.6466696824319086,0.42211753116053685,43.93152,43.93152,1.0,0.2810588369732973,0.34942042456671585,0.22036512733259966,0.6792025641471608,0.11417421953675731,2.1307048751955695,0.5528562918984428,0.30815642394308324,0.24352420347377043,0.6667401227908635,0.22105358965032665,1.9408368416978965,0.27561464598501634,0.28201634877384196,0.5423414707183838,0.34747045854388436,0.22053819911597172,0.11389601892395189,0.00676417109960749,1.4211510561672185,0.005621520013880492,0.00786565341022655,0.0032867105498670226
13.0,0.6434805317292066,0.41740132315967216,47.59248,47.59248,1.0,0.2813142482604396,0.3385445955753409,0.21410663854473314,0.6798589112992797,0.11417421953675731,2.1341602198035496,0.5495353323151428,0.3072631683711244,0.24371509559663165,0.6669212490278567,0.22197920937570148,1.9489637256234258,0.27277604893228885,0.281927023945268,0.5441536903381348,0.33650523822232825,0.21435166343699222,0.11389601892395189,0.006915448298333135,1.5359783050244005,0.005184586616270365,0.008616178562640237,0.003216060889797368
