round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_brier,fed_f1_best_threshold,fed_prevalence,fed_f1_best,fed_f1,fed_auprc_lift,fed_auroc,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6342699151526825,0.1511817688109688,3.65056,3.65056,0.9971592150692714,0.26515215891155475,0.17906141699657588,0.39106844749005304,0.11492950654582075,0.28153279794807606,0.036112350383089076,1.7855819177325727,0.631775806075834,0.2017086781063318,0.6022394170347966,0.16136018520205847,1.4167324435615112,0.020477815699658702,0.24027838190517614,0.48753637075424194,0.3734767891643236,0.24015216974472944,0.11389601892395189,0.026781400769489174,2.875098269432783,0.021525720745054298,0.030263566807385074
2.0,0.6188091871006697,0.26470604641112877,7.30112,7.30112,0.9971592150692714,0.1578390665046593,0.1338528811513637,0.3037547731438177,0.11492950654582075,0.29763776154982213,0.008858349600487153,1.9520519721209197,0.6599798203203159,0.22096972626300915,0.4608521860818649,0.10105276245487212,0.8872370027467318,0.13274447949526813,0.20485715587551828,0.4914866089820862,0.38452383890696273,0.24888394304669417,0.11389601892395189,0.01837798861645277,2.0666044927202165,0.013564459702711766,0.021635581568861535
3.0,0.6055752244430755,0.38911268157141954,10.95168,10.95168,0.9971592150692714,0.11864689240876439,0.120807480196151,0.2782713946982963,0.11492950654582075,0.304897688878236,0.00390930961172653,2.0387364569777344,0.6663485903506116,0.2319614384727999,0.6574584604362721,0.21186298795331499,1.8601439273726978,0.01297016861219196,0.286875,0.48058244585990906,0.3615844282664041,0.23086785242308552,0.11389601892395189,0.012596098792311196,1.4990339560899884,0.011070075032562972,0.013658890963674461
4.0,0.6054279345929613,0.37744872890279596,14.60224,14.60224,0.9971592150692714,0.09531931454573231,0.11435201470020762,0.24899429792757746,0.11492950654582075,0.30403207310985536,0.015765674955846246,2.0735701537403366,0.6686028167412874,0.2362474829593909,0.5874147496918984,0.17101909154969736,1.501537043747652,0.007819287576020852,0.23298385754701284,0.4859154224395752,0.3688272022956198,0.2366817613066032,0.11389601892395189,0.011115398728286959,1.400071814423427,0.009941356298881212,0.011963378104811209
5.0,0.5971179121723383,0.409401227053948,18.2528,18.2528,0.9971592150692714,0.07268857342061612,0.10951642972748328,0.23448396536211175,0.11492950654582075,0.3042289169851826,0.017459835812101986,2.1104021660538166,0.6710024142847137,0.24046061823114862,0.6606345760787671,0.20705898511411833,1.8179650796431361,0.015517241379310345,0.2876589187106716,0.4747792184352875,0.3564506169428996,0.22694003169211568,0.11389601892395189,0.009748274955924114,1.309519397560507,0.008938314873819247,0.010351418250669452
6.0,0.6001975058171735,0.5266781335578218,18.2528,18.2528,0.0,0.06841367496369119,0.10674472107574276,0.23742875134739327,0.11492950654582075,0.31593118571225776,0.04879224958651929,2.2820926261347942,0.6841018978702542,0.2595633121657894,0.6606345760787671,0.20705898511411833,1.8179650796431361,0.015517241379310345,0.2876589187106716,0.4747792184352875,0.3564506169428996,0.22694003169211568,0.11389601892395189,0.0,0.0,,
7.0,0.5892003280229595,0.5251254665671106,18.2528,18.2528,0.0,0.07502225325803938,0.10689361397949967,0.24888907381767653,0.11492950654582075,0.32890178716250085,0.09031558274516649,2.4182729669385172,0.6972456411391105,0.27452961144780824,0.6606345760787671,0.20705898511411833,1.8179650796431361,0.015517241379310345,0.2876589187106716,0.4747792184352875,0.3564506169428996,0.22694003169211568,0.11389601892395189,0.0,0.0,,
8.0,0.566840197677628,0.4777087165671488,18.2528,18.2528,0.0,0.06431381640938104,0.10475957384978006,0.23958691869827675,0.11492950654582075,0.3385827613054627,0.09820392942084044,2.5254904276441996,0.7073642750012713,0.2854251226768619,0.6606345760787671,0.20705898511411833,1.8179650796431361,0.015517241379310345,0.2876589187106716,0.4747792184352875,0.3564506169428996,0.22694003169211568,0.11389601892395189,0.0,0.0,,
9.0,0.5985572579479984,0.4744182337264654,21.90336,21.90336,0.9971592150692714,0.0749091591905476,0.10954406423603566,0.23652656159709767,0.11492950654582075,0.3046727328225246,0.04929958288797741,2.142928261537351,0.672575536569123,0.24444231605611066,0.6362675817191433,0.1911711320537271,1.6784707126714553,0.020330368487928845,0.27380015735641233,0.4821763038635254,0.36537933649747517,0.23379220199023631,0.11389601892395189,0.008463466903262589,1.206806417205371,0.007205610151435236,0.00943233878687106
10.0,0.5919587353938325,0.37952068596769545,21.90336,21.90336,0.0,0.07311113717300351,0.10750998009745197,0.24089948164087166,0.11492950654582075,0.32008248962792135,0.079623801429689,2.337574499242154,0.686845047758215,0.26544462469150226,0.6362675817191433,0.1911711320537271,1.6784707126714553,0.020330368487928845,0.27380015735641233,0.4821763038635254,0.36537933649747517,0.23379220199023631,0.11389601892395189,0.0,0.0,,
11.0,0.5781704542182501,0.4107704762302452,21.90336,21.90336,0.0,0.07568214221389484,0.10608319694802736,0.2530497216796812,0.11492950654582075,0.32779262638097745,0.10779300771681972,2.4714915681218117,0.6972028966373368,0.27991405087954124,0.6362675817191433,0.1911711320537271,1.6784707126714553,0.020330368487928845,0.27380015735641233,0.4821763038635254,0.36537933649747517,0.23379220199023631,0.11389601892395189,0.0,0.0,,
12.0,0.5653650830630272,0.4439613428727863,21.90336,21.90336,0.0,0.07088576522950048,0.10429519127845462,0.25248730143162634,0.11492950654582075,0.34404924889975746,0.11159690606654912,2.5845477526491747,0.7101103999955997,0.29219390382902166,0.6362675817191433,0.1911711320537271,1.6784707126714553,0.020330368487928845,0.27380015735641233,0.4821763038635254,0.36537933649747517,0.23379220199023631,0.11389601892395189,0.0,0.0,,
13.0,0.5941151962803207,0.4516487748758811,25.55392,25.55392,0.9971592150692714,0.0717073740404332,0.10829622908677415,0.2233477248974362,0.11492950654582075,0.3079214025799538,0.059008572643172844,2.206276140543403,0.6747337290536819,0.2516670618110619,0.6403585272947314,0.18752577117580657,1.6464646696827665,0.0129926375054136,0.2736786329315141,0.4830506145954132,0.36498821068496434,0.2334714740657958,0.11389601892395189,0.0076937909012066265,1.16223942511715,0.006507580294442521,0.008631105250429073
