round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_brier,fed_ece,fed_f1,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_auprc,fed_auprc_lift,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885611495665183,0.1106272541021895,3.65056,3.65056,0.9971592150692714,0.24989968305225446,0.2488360026405683,0.3864677900957097,0.2082459692052816,0.11422997041978729,0.5658847523738155,0.49720929507994954,0.17257828892560487,1.4985807027446951,0.39491397827709984,0.08904820302806088,0.7818377136387722,0.2045002711006687,0.20450951154489178,0.5218484401702881,0.4216190830223321,0.27915631509532446,0.11389601892395189,0.027168776273912593,2.926237427163869,0.02300031597830259,0.029935598084181274
2.0,0.6810238849163747,0.13964363477124778,5.632,5.632,0.5412350858791136,0.29039169384109126,0.23569336586461004,0.371025649553219,0.25735115391724855,0.11422997041978729,0.6579003059670748,0.5189946322303355,0.21937734397746594,1.9146735268878288,0.3514302032875648,0.08208230424897366,0.7206775533021906,0.2045002711006687,0.20451875282422052,0.5098430514335632,0.42143313755680206,0.27984359949709303,0.11389601892395189,0.022617617424041375,1.5443656428251415,,0.022617617424041375
3.0,0.6712932608692229,0.20328096189455108,7.61344,7.61344,0.5412350858791136,0.30177127690541744,0.2369933731218072,0.3737860420039215,0.26874851043700376,0.11422997041978729,0.6778143174344226,0.5367351610613738,0.23069144491378835,2.0254732246982696,0.3542958705928647,0.08238092912901696,0.723299461274608,0.2045002711006687,0.20450951154489178,0.5110575556755066,0.42376010681867804,0.2819141218002404,0.11389601892395189,0.015991390571366965,1.1618884352501482,,0.015991390571366965
4.0,0.6556824127850087,0.27472893271997884,9.59488,9.59488,0.5412350858791136,0.30916412230833445,0.22823786865750884,0.36220353820774265,0.2828743301277982,0.11422997041978729,0.6880768503849478,0.5539332932219182,0.23990631611048263,2.11227812984855,0.3465634757041861,0.08154182422228509,0.7159321721045437,0.2045002711006687,0.20451875282422052,0.5043507814407349,0.4241157668070894,0.28279007538443124,0.11389601892395189,0.012229306066785944,0.938284250209108,,0.012229306066785944
5.0,0.6628630956569312,0.3435608802710054,11.264,11.264,0.4559241291901578,0.29239731940703423,0.2017450566218436,0.31668807935951815,0.27859041994622746,0.11422997041978729,0.6639011234417654,0.4981224342896495,0.223009691488151,1.9600200608392466,0.34177900977697667,0.0809542317825416,0.7107731468348737,0.20441914057204827,0.2045002711006687,0.4993143081665039,0.42911813279403965,0.28755354757405405,0.11389601892395189,0.016973862647710208,0.7747201682068408,0.016973862647710208,
6.0,0.6542990353455903,0.2813448955848428,13.24544,13.24544,0.5412350858791136,0.30435119476435385,0.21541793669473747,0.34337506410016083,0.28778360864664476,0.11422997041978729,0.6778811012725816,0.5093232643496243,0.23372436960887438,2.0597312614872507,0.3405404039889386,0.08090985760103148,0.7103835442664138,0.20109805345070103,0.2045002711006687,0.46597564220428467,0.4258262863594283,0.2849100254295505,0.11389601892395189,0.00978741440009623,0.7838917599292472,,0.00978741440009623
7.0,0.6412861324630892,0.3273874167866069,15.22688,15.22688,0.5412350858791136,0.3123935429699286,0.22949927871011436,0.3616113735209201,0.2869623637032222,0.11422997041978729,0.686699722024749,0.579952700098403,0.2416065677361841,2.1333546129367127,0.3422396123042656,0.08104555063086452,0.7115749206737283,0.2041129943502825,0.2045002711006687,0.48541373014450073,0.42759901066480155,0.28633781998729385,0.11389601892395189,0.009054981686572447,0.755435477825813,,0.009054981686572447
8.0,0.6235938782477766,0.4415397370950166,17.20832,17.20832,0.5412350858791136,0.3225942967119281,0.21184728831641955,0.33759235896662976,0.295057096316132,0.11422997041978729,0.6968353344350106,0.5508720171077188,0.25198767806412775,2.2215575462705615,0.3424689284359483,0.08110243763432831,0.7120743850448383,0.20374389582202931,0.2045002711006687,0.47992295026779175,0.4288035326451851,0.2874338437097331,0.11389601892395189,0.010258450525221069,0.8913484578952193,,0.010258450525221069
9.0,0.6161874502373579,0.6845484120175593,19.18976,19.18976,0.5412350858791136,0.3267187832995897,0.21306633112751502,0.34040059564910996,0.2969347827647305,0.11422997041978729,0.7055578247229795,0.5566662351077811,0.2619249848017022,2.3113448710055855,0.3591164036443809,0.08277009725628376,0.7267163333562094,0.2045002711006687,0.20450951154489178,0.5085647106170654,0.43084943456518743,0.2888246311723971,0.11389601892395189,0.009425567009877966,0.8608946476597339,,0.009425567009877966
10.0,0.6414675551387863,0.5698205320590443,22.84032,22.84032,0.9971592150692714,0.298173375990587,0.22435669674023032,0.3557438600433955,0.2820779007092506,0.11422997041978729,0.6684271995588644,0.5258020205647496,0.227624098721491,1.9995310462327496,0.34490453857949943,0.08142141818549327,0.7148750145504046,0.20360906336212745,0.2045002711006687,0.4804070293903351,0.42100986120469125,0.27996868345290665,0.11389601892395189,0.009662937903895236,1.3991352214943618,0.013946778387845296,0.00742238890267897
11.0,0.6398473560283972,0.37777269237919003,24.82176,24.82176,0.5412350858791136,0.3050986449229839,0.21858347190716815,0.3476259079285563,0.2868343203354165,0.11422997041978729,0.6818596349689128,0.5294333550045314,0.24187558640291393,2.1346815723477426,0.3516406826921827,0.08207121238208037,0.7205801673970635,0.2045002711006687,0.20452799493876814,0.5093082785606384,0.42636171027862757,0.2848726745612672,0.11389601892395189,0.007626345162358283,0.743940626969561,,0.007626345162358283
