round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc_lift,fed_f1_best,fed_prevalence,fed_ece,fed_auprc,fed_brier,fed_f1,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6879139004997015,0.11512159016605084,0.087525,3.66096,1.0,0.6468377621878915,1.8890887994199126,0.2786615234211458,0.11331444759206798,0.40686486861898646,0.2119524052472243,0.2659718716149779,0.20313285697400257,0.5201473067907706,0.6521734721757824,0.20632772179240366,1.8115446329179268,0.2045002711006687,0.273687097216509,0.5201905369758606,0.40628606707984133,0.2659508047412161,0.11389601892395189,0.8937498849057257,8.215936603870887,0.6255804940168992,1.1232272022921066,0.7160811722919485
2.0,0.6919103567040745,0.05858429393376301,0.17505,7.32192,1.0,0.6471224048076769,1.914503892169738,0.2801110437338498,0.11331444759206798,0.3967105842139461,0.2149487712621945,0.25720290702716475,0.20313285697400257,0.5105448493651337,0.6615474984951952,0.21196241353333456,1.861016877814328,0.2045002711006687,0.2812341932220536,0.5105445981025696,0.395885922629314,0.25719359944685133,0.11389601892395189,0.12154472377372795,1.1927372695863596,0.07231860314670639,0.15952446973726475,0.10912113382670134
3.0,0.685606038677244,0.08592918713161668,0.262575,10.98288,1.0,0.6489181496588341,1.92784831074835,0.2798061369490454,0.11331444759206798,0.38861322455485725,0.2166170868021231,0.2505317098406352,0.25073604376141123,0.5031032138663265,0.661606380522769,0.21277924811426413,1.868188634901597,0.25605867346938777,0.28178225916337374,0.5045287609100342,0.3878263176114494,0.2505310076800318,0.11389601892395189,0.11359211942150639,1.1794632232940785,0.0793889943271017,0.14434096874970842,0.047120177918418535
4.0,0.6809494252264789,0.08739950234842289,0.3501,14.64384,1.0,0.6500173763022687,1.9377642215619728,0.28234458851198235,0.11331444759206798,0.38753627353319403,0.2177130796956827,0.2491349288451703,0.257217285820216,0.502819743875366,0.6618703958885185,0.21333183382417176,1.8730403032489917,0.2666542957877157,0.2817813765182186,0.5040034055709839,0.3863330155804531,0.2491331274622554,0.11389601892395189,0.09594588154163744,1.1683776017871423,0.05840898145044452,0.12957134058405045,0.17902762313407844
5.0,0.6778162282112208,0.09758008341260882,0.437625,18.3048,1.0,0.6508007230942053,1.9481193740412603,0.2813123198471212,0.11331444759206798,0.3846359617724372,0.21876835855851923,0.24695450606223712,0.25909517148891203,0.503359114519635,0.6619402335874631,0.21413387219736543,1.8800821505477037,0.27392627663172137,0.2829935622317597,0.5027532577514648,0.3838334446812775,0.24694375324310966,0.11389601892395189,0.0691733487215203,1.0133652712570438,0.03673443884411234,0.10179255607835946,0.041454364805563665
6.0,0.6752667668365495,0.10785506764239279,0.52515,21.96576,1.0,0.6508058479282647,1.949938916335282,0.2814968002430182,0.11331444759206798,0.3761817652322903,0.2189212917478556,0.24030517384593064,0.2564265392056105,0.49394918987501096,0.6617819222537369,0.2139942017686762,1.8788558528244927,0.26547725245316683,0.2831982107911658,0.49594846367836,0.3752995599041564,0.24030268893834394,0.11389601892395189,0.04959249249251028,0.852242692967593,0.03200364470759235,0.06714465210655536,0.06912188934668251
7.0,0.6738284482036824,0.09685373240552561,0.612675,25.62672,1.0,0.6513329419555098,1.955752051700957,0.2821417579361955,0.11331444759206798,0.37447510331840983,0.2196134341480634,0.23899835718431944,0.257344686592268,0.49242593717342437,0.6620334383655513,0.21462516442018031,1.8843956658703325,0.2650469353948095,0.28279042951859323,0.4956446886062622,0.37367606798249803,0.23900006036232008,0.11389601892395189,0.04061264007761391,0.7981351822418219,0.025628600641560202,0.05598353067348538,0.07196125145945485
8.0,0.6738651388024678,0.10886589708324601,0.7002,29.28768,1.0,0.651632499957644,1.955012820197703,0.281542591442853,0.11331444759206798,0.37130840688259076,0.21953798537789404,0.23641947041565067,0.2555464152678544,0.491440464553872,0.6620698694239586,0.21447292174496152,1.8830589846003714,0.2619988706945229,0.28414274215186475,0.4916990399360657,0.3705380209271409,0.2364252969854497,0.11389601892395189,0.02978877773114901,0.6764730455433892,0.015264472752224359,0.04648542794899181,0.0022769190933742468
9.0,0.673591840410873,0.10701755207128452,0.787725,32.94864,1.0,0.6515081736670949,1.9542048595021424,0.28102008539414214,0.11331444759206798,0.367267565998147,0.21941916071038287,0.2327472456849911,0.2565297067286132,0.4891386953378047,0.6618715378886271,0.21460995814405714,1.884262155706704,0.2625812441968431,0.2843691148775894,0.489700585603714,0.3661441573937565,0.2327532319472759,0.11389601892395189,0.023397054527212163,0.6024476618649715,0.008971234661631881,0.040914600809459786,0.0013327188565472896
10.0,0.669509329057263,0.12343980753274908,0.87525,36.6096,1.0,0.6516097684663441,1.9574935671264742,0.28169313209759134,0.11331444759206798,0.3627921699727148,0.21978490478098953,0.22916190212690946,0.2561052536408793,0.4869249414320745,0.6619399198511695,0.21458996387560775,1.8840866072666593,0.264554163596168,0.2842033898305084,0.48825904726982117,0.3617357727436614,0.2291707361711005,0.11389601892395189,0.018331485960297697,0.540359092046856,0.007132749787081629,0.03241299674379149,0.0013774808044010108
11.0,0.6678441252849192,0.1296189171155474,0.962775,40.27056,1.0,0.6517115210786518,1.9574109975507523,0.28271426513860626,0.11331444759206798,0.35917320012070675,0.2198564782407328,0.22641335217097452,0.25775983199033903,0.4869774687372741,0.6619812200968527,0.21451823072509488,1.8834567946429122,0.265528514347984,0.283982217432305,0.486690878868103,0.358310316351029,0.2264280461033779,0.11389601892395189,0.014367563901145991,0.47497784550796496,0.004931898437729594,0.026850962429533044,0.0009662165465243676
12.0,0.6671839648053595,0.1514035506543608,1.0503,43.93152,1.0,0.6517718993397222,1.958871500854957,0.282193972134673,0.11331444759206798,0.3576601679140492,0.22003755113159174,0.225042810913885,0.25702795151253727,0.48579610724061933,0.6620534421916282,0.2147564424428221,1.8855482787876412,0.2670184696569921,0.28364417013283244,0.48675525188446045,0.35673078945013187,0.2250598085090082,0.11389601892395189,0.010256661390509715,0.3791278294065705,0.0032014816514668925,0.019986621037193012,0.0004417732343300591
13.0,0.6665192680773784,0.15406892235876163,1.137825,47.59248,1.0,0.6517213906141786,1.9610583258341066,0.2821560911500967,0.11331444759206798,0.35490969663939087,0.22024867058081754,0.22283537700366424,0.25656834634465,0.4872906831588842,0.6620070719674414,0.21481491976685665,1.8860617060749778,0.2702516373664254,0.2837074783087729,0.48875415325164795,0.3540201078118097,0.22285528923468376,0.11389601892395189,0.008955995878637778,0.36353815447728266,0.0034815153845570673,0.016801404310062124,0.0003583490251048338
