round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_auprc,fed_brier,fed_auprc_lift,fed_auroc,fed_f1_best,fed_prevalence,fed_f1_best_threshold,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.688393497086865,0.10109111163938156,3.65056,3.65056,0.9971592150692714,0.3806356470356625,0.20518929133883113,0.24441282174998816,1.7673306971087435,0.6136467438134015,0.2779039267819683,0.11492950654582076,0.5146344629944513,0.217587194111023,0.5325312158827468,0.12508871713886965,1.0982711978931512,0.0,0.20831429876656007,0.47197145223617554,0.3579903473623194,0.22907317223781806,0.11389601892395189,0.02786193106973719,3.009663606295362,0.02306731869741402,0.03106751285411714
2.0,0.6809607100707928,0.13430538557493504,7.30112,7.30112,0.9971592150692714,0.3713954219393889,0.22565627864827623,0.23591865829675326,1.957387978054629,0.6492623504184752,0.2966639805140438,0.11492950654582076,0.5478258682949485,0.2500020323706456,0.4469842763903299,0.10470942207277611,0.9193422479734815,0.0,0.20451875282422052,0.4020034968852997,0.36047867191888416,0.2311625670527022,0.11389601892395189,0.01969734826036885,2.264452380128205,0.015032985288675277,0.022842629871056466
3.0,0.6723063529965054,0.18434869187789962,10.95168,10.95168,0.9971592150692714,0.36504589740565846,0.2346059823494683,0.23091820490275966,2.0257649420794803,0.6628666299313966,0.2989056062326512,0.11492950654582076,0.5493389982467543,0.2684729965990918,0.47566988847904607,0.11176861389671716,0.9813215154723257,0.0,0.20451875282422052,0.4058307409286499,0.36173164156040144,0.23197988942466852,0.11389601892395189,0.014384216178300081,1.778098727343604,0.012485369451863165,0.015683086182355907
4.0,0.6642516103362347,0.21222522754634005,14.60224,14.60224,0.9971592150692714,0.35393289765221153,0.2394417450976797,0.22364732422769115,2.073632825430135,0.6670452862135483,0.30258357598505575,0.11492950654582076,0.5310450977245337,0.2702896072973517,0.4182087976776888,0.10155941542046676,0.8916853844406778,0.0,0.20452799493876814,0.3991149663925171,0.36017155585480276,0.23132549629749793,0.11389601892395189,0.011945991205264267,1.567270367173478,0.01080597536526612,0.012749836868320645
5.0,0.6551604768735207,0.2851218409854854,18.2528,18.2528,0.9971592150692714,0.34029518414667664,0.24233892292384257,0.21416657551632498,2.0976721200895074,0.6699611183496301,0.3053719977702018,0.11492950654582076,0.5072872751867933,0.28317713264668803,0.40758056660172237,0.09688631261270715,0.8506558308890315,0.0,0.20451875282422052,0.41676536202430725,0.3631518490526635,0.23316317933262504,0.11389601892395189,0.009767688402899611,1.364416794385761,0.009354145429024685,0.010071457828546652
6.0,0.6514822659033215,0.30734841683970743,18.2528,18.2528,0.0,0.3496154831095869,0.2565196273437715,0.21980661366817805,2.239006202918094,0.6849619986206825,0.3176746885047387,0.11492950654582076,0.5461518452254247,0.28611179579354534,0.40758056660172237,0.09688631261270715,0.8506558308890315,0.0,0.20451875282422052,0.41676536202430725,0.3631518490526635,0.23316317933262504,0.11389601892395189,0.0,0.0,,
7.0,0.6487410706699365,0.2961126054330583,21.90336,21.90336,0.9971592150692714,0.3485609401572657,0.2445389566904046,0.21951949718220534,2.1318500860704384,0.6720791089977117,0.30759446759274733,0.11492950654582076,0.5529053231132894,0.28062213793593166,0.3910939251668161,0.09117639789545798,0.8005231329142088,0.0,0.20451875282422052,0.4349193871021271,0.3636843190050862,0.23343899638153165,0.11389601892395189,0.008722393978125006,1.288691047928296,0.008190523337073517,0.009128449213816113
8.0,0.6417834808842344,0.2974505245701186,21.90336,21.90336,0.0,0.34867578407154914,0.2587192713954544,0.22014458273417264,2.261164042861846,0.6863445702055673,0.31857057593656574,0.11492950654582076,0.5504292446992399,0.29097793555116575,0.3910939251668161,0.09117639789545798,0.8005231329142088,0.0,0.20451875282422052,0.4349193871021271,0.3636843190050862,0.23343899638153165,0.11389601892395189,0.0,0.0,,
9.0,0.6425395747731593,0.33534841313746283,25.55392,25.55392,0.9971592150692714,0.3661896718332069,0.24725438749225997,0.232510598937008,2.1568043016044838,0.6737798250884617,0.3122199309132569,0.11492950654582076,0.5763058640918163,0.2735185173341099,0.5701731583390931,0.1711491283189523,1.502678758537014,0.00176522506619594,0.21622061335719514,0.4793528914451599,0.36564775053733267,0.23446538622312113,0.11389601892395189,0.00857619160204965,1.3433548451866955,0.0078736084807228,0.00912414589863774
10.0,0.640203415588797,0.34663073897955476,25.55392,25.55392,0.0,0.3457091529750474,0.2636971362282384,0.2179895868638818,2.3048999879825836,0.6875112765977442,0.3223848933029514,0.11492950654582076,0.5626456576314157,0.29291667754867196,0.5701731583390931,0.1711491283189523,1.502678758537014,0.00176522506619594,0.21622061335719514,0.4793528914451599,0.36564775053733267,0.23446538622312113,0.11389601892395189,0.0,0.0,,
