round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc,fed_auprc_lift,fed_prevalence,fed_ece,fed_brier,fed_f1_best_threshold,fed_auroc,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6884093357839409,0.10026847090751749,3.66096,3.66096,1.0,0.29452604818655387,0.2199438417020511,1.967740053906059,0.11450333627093039,0.3681768237977909,0.23298044659186767,0.5219278826842482,0.66282420873465,0.27143017672020125,0.6529149188836068,0.21159312079578985,1.8577745104248997,0.2705598151454679,0.27301509985387235,0.5106424689292908,0.36900453800985655,0.23353795164452518,0.11389601892395189,0.02439196180739128,2.6436304484213906,0.021702248077668317,0.026301054441770142,0.010885563790066806
2.0,0.661030192843582,0.17904213094434615,7.32192,7.32192,1.0,0.3008487853570098,0.22684325683303777,2.0303094157289325,0.11450333627093039,0.33849235761868,0.2128807347344457,0.5118126257077793,0.6678057066751869,0.2801328679927242,0.6611586662824191,0.2192891594756054,1.925345253919931,0.2777369581190301,0.28314109653973774,0.539669930934906,0.34025538737601463,0.2140364511407127,0.11389601892395189,0.015991112970972384,1.8503160157979437,0.015856473586071715,0.016165609020754233,0.006860081177166103
3.0,0.6478461788583251,0.2802571932945991,10.98288,10.98288,1.0,0.30556992265363037,0.23195169149224615,2.075089389831275,0.11450333627093039,0.32454673837095094,0.2053840247454758,0.5197523059291772,0.6715190732489146,0.2813616150089096,0.6632264519954105,0.22312006715702273,1.9589803863645092,0.2775039076590117,0.28304959289415244,0.53509521484375,0.326206732445889,0.2069346208991811,0.11389601892395189,0.01215101647134563,1.500004698414159,0.012583525012878216,0.011917069217986333,0.0052845355067852725
4.0,0.646155447840034,0.329593153346564,14.64384,14.64384,1.0,0.30837174145115315,0.23394930781862508,2.0904350577100654,0.11450333627093039,0.3517327572515835,0.2226797048739768,0.5464048932271174,0.6743356928413039,0.28179416828748255,0.6630283212513068,0.22425267916992897,1.9689246497690316,0.2782271109673245,0.2832153269471054,0.5419737100601196,0.35346539147418315,0.22448169307190838,0.11389601892395189,0.009865760947371937,1.2948827174477628,0.010692829813439858,0.009316489143786926,0.005137127484041966
5.0,0.6426234997602297,0.27311805448166177,18.3048,18.3048,1.0,0.30870707128495173,0.23644090368700266,2.1190025260960135,0.11450333627093039,0.34958514378429667,0.2207642681369286,0.535440880665022,0.676054283536817,0.28172452926958025,0.6629934337754638,0.22444003575409263,1.9705696289872145,0.27965540092776675,0.28196564885496184,0.5122187733650208,0.3512993348324879,0.2226024660288473,0.11389601892395189,0.008841466636806626,1.2269833885256958,0.0089925176691254,0.008760371001494035,0.004810852403608779
6.0,0.6420539493723902,0.28557938431159197,21.96576,21.96576,1.0,0.31320966476257,0.24016404181762513,2.1530284779958597,0.11450333627093039,0.34163583595323027,0.21571850318187977,0.5535081877101958,0.6781223335365792,0.2855935578663589,0.6641316690484689,0.22551503953610008,1.980008095688366,0.28010825439783493,0.2835526315789474,0.5612123608589172,0.34339409909560814,0.2177876421352732,0.11389601892395189,0.008875885109999912,1.3090847388866678,0.008570611283698654,0.009149972104925803,0.003962525903544839
7.0,0.6406614381472127,0.37191644341540947,25.62672,25.62672,1.0,0.3150838311277065,0.2417760536501157,2.165689564630442,0.11450333627093039,0.3350513569338111,0.21050791514587647,0.5240978319350319,0.6794642803835325,0.2922156217484931,0.6627478786532269,0.22561746128391902,1.9809073522979173,0.27807992433199336,0.28316743425939683,0.5352181196212769,0.3367401141431649,0.21259093083203792,0.11389601892395189,0.008402165108328424,1.3194967138551874,0.0076594083390232786,0.009033997480593917,0.003733168697527471
8.0,0.643191277588876,0.3342760250363551,29.28768,29.28768,1.0,0.31534999661390245,0.24331124824639513,2.178223907911003,0.11450333627093039,0.3369782678299867,0.2131928888135053,0.5593045420731761,0.6814816293936246,0.28768653777517095,0.6624120176762542,0.22528579015485423,1.9779953003034902,0.2769852858586993,0.2826563507414571,0.5289509296417236,0.33881212254584275,0.21586888902420018,0.11389601892395189,0.007880867629571207,1.3116692901949136,0.007046261644979215,0.008600032429131002,0.004588463147480832
9.0,0.6405256001390078,0.4061547507412957,32.94864,32.94864,1.0,0.3203503100059061,0.24698257905376383,2.20625520263861,0.11450333627093039,0.33583358298069305,0.212470326860054,0.5593840793745053,0.6849456130467876,0.29203677307020337,0.6633071198712085,0.22620598472203451,1.9860745516756975,0.2745608327911516,0.28493855387253497,0.5464928150177002,0.3377932161325249,0.2154355203470611,0.11389601892395189,0.007853683703009925,1.3915274611863424,0.007075880852727769,0.008553003763372072,0.0034464167620281397
10.0,0.6409608238843738,0.4220472084278623,36.6096,36.6096,1.0,0.32158732364258613,0.24837635676724165,2.2098150129817435,0.11450333627093039,0.3587239633898102,0.22647225645565278,0.5793554304634522,0.685780140272473,0.29079733801253566,0.6629912501708608,0.22658058396375888,1.9893635098435374,0.2732932362561992,0.28525683789192796,0.5461033582687378,0.3604813490371002,0.22937359110607974,0.11389601892395189,0.008051794334341281,1.5183785188355614,0.006944546826984817,0.009059890500319818,0.004411502298794306
11.0,0.6422092790359997,0.37213665613376545,40.27056,40.27056,1.0,0.3210802731832543,0.2506386050181711,2.2298983050478514,0.11450333627093039,0.3418906171268328,0.21570803142749168,0.545314403232288,0.6878195885706366,0.29651281218943937,0.6624419104703037,0.22426737291340382,1.9690536599277155,0.27380317731101395,0.2816584680252987,0.5483050346374512,0.34411083792181,0.21929276661137662,0.11389601892395189,0.007289022548127549,1.459486712286889,0.005870721646861391,0.008608599730170354,0.0038363059640913527
12.0,0.6388876395000931,0.4817107140730161,43.93152,43.93152,1.0,0.3226684056661706,0.253680850156149,2.2540788168268047,0.11450333627093039,0.3426673725466876,0.21606078120982436,0.5476750312742381,0.6900482761115864,0.29253388270020125,0.6619376985982112,0.2261787476180026,1.985835411587315,0.27383557361675526,0.2829954489035995,0.5427063703536987,0.3443669613711943,0.21950496188804092,0.11389601892395189,0.007750661739265789,1.649406058412751,0.006069215647556161,0.009333816372272605,0.004529944121902179
13.0,0.6411365770237685,0.5008571599604933,47.59248,47.59248,1.0,0.3255627805886948,0.254911796248768,2.265494013256568,0.11450333627093039,0.3479958427130771,0.2224348888186701,0.5772425835223098,0.6917240393588112,0.29010404487943,0.6620248545405597,0.22697103271825297,1.9927916257529688,0.269390114654591,0.28269484808454426,0.5622828006744385,0.35039060175676845,0.22706821024635707,0.11389601892395189,0.007491199105223602,1.6966016247806692,0.005634998541877945,0.009270804012435895,0.004432975790853877
14.0,0.6426704920232195,0.5918876894876132,51.25344,51.25344,1.0,0.32751235888311864,0.2556479891333459,2.2693846263214073,0.11450333627093039,0.32969927945647154,0.20929993591673357,0.5561264040832418,0.6907802809701611,0.2990565043563785,0.6628874662049539,0.22789761822115184,2.000926989145411,0.2791515551159468,0.28538516918646506,0.5521007180213928,0.3319933145354862,0.21361352078105947,0.11389601892395189,0.0069537664018434345,1.6669168715670821,0.005040042194266375,0.008822852827493396,0.004446757601643784
15.0,0.6409633583235903,0.5748389398617186,54.9144,54.9144,1.0,0.3284494932402023,0.26069250076830486,2.3125281016845816,0.11450333627093039,0.3382828580441867,0.212216056929288,0.5545954805945743,0.6950700228450531,0.30021951235966243,0.6621396694745479,0.22673992009154414,1.9907624711881973,0.27353071144498453,0.2829910055040945,0.5333099365234375,0.34045674199254083,0.21650625171539106,0.11389601892395189,0.006573366560702503,1.6611967328763058,0.004740945322633865,0.008398466441599067,0.003929579799369582
16.0,0.6409808073404881,0.5483364109608361,58.57536,58.57536,1.0,0.3287475228776446,0.26211813174181314,2.317556476487764,0.11450333627093039,0.3359238038625815,0.212603831143765,0.5732898222763021,0.6948382465203077,0.2979688666538954,0.6634454273788578,0.2294471502046262,2.014531784098859,0.27334900619790553,0.2864996945632254,0.5733889937400818,0.33859905585210903,0.21758550766581206,0.11389601892395189,0.00612471262658094,1.6356215560617784,0.004106427633345305,0.008156152889613924,0.005991980442910137
17.0,0.6373648030692193,0.6771877494472164,62.23632,62.23632,1.0,0.33423498562859927,0.26609919411833016,2.354742087261181,0.11450333627093039,0.34292294415766655,0.21565283728632392,0.5700343495503819,0.6990266408732206,0.29666228316261434,0.6620503801254031,0.2270409871593797,1.9934058214183452,0.27177700348432055,0.28512090194333184,0.563550591468811,0.3452622317495053,0.2205010229376822,0.11389601892395189,0.00606122364035268,1.7027148158522323,0.0040526470973234726,0.008118464166965725,0.003805968519353936
18.0,0.6386790270118019,0.6106718720211857,65.89728,65.89728,1.0,0.33882281211720944,0.26851174443314196,2.376548655125697,0.11450333627093039,0.34007953698441423,0.21465630072444822,0.5728321008784757,0.7000454697202463,0.2978231604963262,0.6605557780712787,0.22549984189373173,1.9798746613285707,0.2716690916649345,0.2833084340622029,0.5495405197143555,0.3423616080910734,0.2201955232597217,0.11389601892395189,0.005808440868546047,1.7136597676799283,0.003886531010595193,0.007800258494316373,0.004618759705211604
19.0,0.6385160581656881,0.7379061462509309,69.55824,69.55824,1.0,0.34043483679359654,0.27218702811090284,2.4079150466107833,0.11450333627093039,0.33368808981024145,0.20943663667090845,0.5617339876734249,0.7021003132621589,0.2994313509898082,0.658669733518416,0.22239363151571198,1.9526023263745829,0.27208824483616306,0.2801630434782609,0.534635066986084,0.3361710652439393,0.2151359325575121,0.11389601892395189,0.00601701244100979,1.8679184888242162,0.0038142017169097847,0.008317079478614611,0.003873783401721266
20.0,0.6369785156078145,0.7272213977486759,73.2192,73.2192,1.0,0.34163848489263526,0.27432549614753843,2.424814973419914,0.11450333627093039,0.3409707496029712,0.21625873954396674,0.5920108857734758,0.7038316888926043,0.2951215275988776,0.6617727486045135,0.2272326613977323,1.9950887093731962,0.2706449668474985,0.28327383987761345,0.5514429807662964,0.34369379699993663,0.22263391798641616,0.11389601892395189,0.005755481801203772,1.8826629136292468,0.003429683398339601,0.008197826487598254,0.004593597400110723
21.0,0.6435154547424395,1.1043185163645424,76.88016,76.88016,1.0,0.34131503220996967,0.2776601092387146,2.4564304117743507,0.11450333627093039,0.318015992561484,0.20103968736343975,0.5711957223166542,0.7062701079269089,0.30724635261464506,0.6615930781039225,0.22711280468239625,1.9940363748274552,0.276171262048868,0.28277556033159346,0.5617374777793884,0.3206125322590229,0.20779516150158756,0.11389601892395189,0.005392277045705721,1.8523051161319017,0.0032865626708942575,0.007614056119245308,0.004891027912665521
22.0,0.6383539829532311,0.9828642540925465,80.54112,80.54112,1.0,0.343735777631832,0.27926212583801663,2.471352491783245,0.11450333627093039,0.3375964495626009,0.21208656495043354,0.5671360837498496,0.7077901223970261,0.3028084166020922,0.6603761452190429,0.2225014485221698,1.9535489530212071,0.2707922334129374,0.2825940407172711,0.5448498725891113,0.3399146291468984,0.21843609984072446,0.11389601892395189,0.005026005623919774,1.8050868119389634,0.0031337112333750788,0.007034546487241763,0.004418748426902219
23.0,0.6419156326880835,0.8806355185222963,84.20208,84.20208,1.0,0.3443616712333174,0.28196404891961974,2.489146238213857,0.11450333627093039,0.33571999729625635,0.21025421405104147,0.5566489341973988,0.7092554191736841,0.30759703870708716,0.6612914520313019,0.2257807931805204,1.9823413962455854,0.27681285280069473,0.28571428571428575,0.5609629154205322,0.3384363774333584,0.2168943176088223,0.11389601892395189,0.004427806453657524,1.6592595915208221,0.00274925063419015,0.00622411272793818,0.003776778981124781
24.0,0.6395055944821881,1.1401480459381508,87.86304,87.86304,1.0,0.344990129524899,0.28541086920012054,2.5274407222506925,0.11450333627093039,0.3453519823428055,0.21701030698247487,0.5890911751965289,0.711039659098553,0.29879762946607136,0.6605299011017867,0.22258650878510022,1.9542957768675016,0.2711097397922452,0.28230980751604035,0.5746824145317078,0.3482447603548796,0.2242151369294773,0.11389601892395189,0.004463946228107307,1.7420929536078802,0.00267558134182201,0.006382294218058304,0.0044520270158721585
25.0,0.6406935704193123,0.8989211993786116,91.524,91.524,1.0,0.3469736624248711,0.28623519163845906,2.530582442159046,0.11450333627093039,0.327117042281083,0.20422223412437632,0.5701151174685074,0.7121842192916582,0.3061708268073762,0.6582984956369823,0.22205406969345898,1.9496209945821195,0.2717305301232056,0.2797322318758012,0.5399354696273804,0.3298770571824538,0.21167788318657152,0.11389601892395189,0.004242012813779032,1.7245985542049311,0.002570209812534043,0.006040825048847109,0.003971484626640331
26.0,0.6415674739782993,1.2142272157315976,95.18496,95.18496,1.0,0.3489516385615358,0.28682711987630655,2.5467011565457582,0.11450333627093039,0.3193958019607339,0.20060330978002028,0.5597862255193569,0.7142305204673117,0.31305191829403733,0.6579628354512373,0.22374987491430073,1.964510059510491,0.2734553775743707,0.2814042786615469,0.5341178178787231,0.32246711483682755,0.20887519930916643,0.11389601892395189,0.004217844230520314,1.7855914760421001,0.002527740388962919,0.0060400205770366686,0.004482807647177858
27.0,0.6441727948791034,1.23486885631078,98.84592,98.84592,1.0,0.3489348117933721,0.2881538923968499,2.5500017468010316,0.11450333627093039,0.3082096137965397,0.19369420167019127,0.540029043205346,0.7164639902729526,0.312746994857569,0.6570205598671847,0.22255192012352812,1.9539920905587185,0.27461079246166453,0.2801963993453355,0.5515028834342957,0.31058711094954583,0.20116568008946845,0.11389601892395189,0.004121103317759782,1.8175467469154682,0.00240900020843334,0.005969007971692552,0.003807085784923877
