round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_f1_best,fed_f1,fed_prevalence,fed_brier,fed_auroc,fed_f1_best_threshold,fed_ece,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6870448216221301,0.09484907857955233,3.66096,3.66096,1.0,2.0839674197547513,0.2993087714742436,0.2776780715677718,0.11367069486404835,0.21583487611380925,0.6587871130358147,0.5026470963268242,0.3452782319691727,0.22865110307459743,0.659817795012135,0.21440066346488662,1.8824245613715564,0.2725090036014406,0.2757015388594336,0.49099817872047424,0.3448024098064611,0.21617757328797668,0.11389601892395189,0.026113144671232286,2.842810085934616,0.022555104846094336,0.028604043093722817,0.013934213713172293
2.0,0.663156847143825,0.21950579144570756,7.32192,7.32192,1.0,2.132842847133403,0.3063360683139886,0.2720703761877584,0.11367069486404835,0.2234850320541724,0.6648880732382612,0.5550253139067841,0.3542438416618925,0.23418855770221045,0.6658342782652179,0.21973676618541574,1.9292752131409745,0.2748199979718081,0.2827239363871143,0.5362293720245361,0.35429769951576995,0.2241951402390523,0.11389601892395189,0.017689627732681394,2.070043063283265,0.01680785405994036,0.018388932622146265,0.005773448728873617
3.0,0.6499484458443889,0.3205264922983482,10.98288,10.98288,1.0,2.165646688469982,0.3056688389332909,0.28078800002652887,0.11367069486404835,0.22239646498428917,0.6671915822199728,0.5522942392423764,0.35271911813867207,0.23804539075299064,0.6675028533688426,0.22314026139256068,1.9591576905032206,0.2788784237306485,0.2881815938810757,0.517849326133728,0.35289369930759135,0.2233948009836081,0.11389601892395189,0.011535401509528385,1.4481210781514164,0.011687767150896571,0.011486750784270274,0.004907132769362364
4.0,0.6501762684599615,0.42871253601913095,14.64384,14.64384,1.0,2.1885183138891056,0.3075477944038546,0.2817568086585243,0.11367069486404835,0.2190639288765675,0.6688116584157855,0.5450586648929906,0.3483277542876738,0.2406248349225041,0.6676938560243568,0.22313749255895635,1.9591333803154678,0.2821605435909248,0.2864096323811964,0.5158774852752686,0.34867036200351476,0.2202867267154124,0.11389601892395189,0.010147623392513624,1.344311313810067,0.009900593687702462,0.010355610333328385,0.006013725524801135
5.0,0.6491315457984213,0.3769074658454744,18.3048,18.3048,1.0,2.2158553544810866,0.3075091197154103,0.2896795103588642,0.11367069486404835,0.21227063642658497,0.6707258764516734,0.5181277313467568,0.3383730196751363,0.24366046051595827,0.6689060326670261,0.22347305606449305,1.9620796071345172,0.28646222887060585,0.28960774325012734,0.5032822489738464,0.33911692512908936,0.21374903561836728,0.11389601892395189,0.008858950241670919,1.2422266875610148,0.008847889197644126,0.008894050115039907,0.005225293905019771
6.0,0.6446852292363985,0.35217363522834216,21.96576,21.96576,1.0,2.2242639899931955,0.31056470492484123,0.2804455666980108,0.11367069486404835,0.227226884926843,0.6724103301245763,0.5300445152636082,0.3609531138351137,0.2453798605069847,0.6682833414210366,0.2240467518102372,1.967116620290589,0.27861863142187165,0.285132382892057,0.5324896574020386,0.3615297557094916,0.22888968013782304,0.11389601892395189,0.008182449848392942,1.2099694947055468,0.008007429405661404,0.008343219095903142,0.0042774966479662375
7.0,0.640784026762496,0.32265240831044284,25.62672,25.62672,1.0,2.242929897473342,0.3107294152960626,0.28634270131228623,0.11367069486404835,0.21911246236903797,0.6743311027031795,0.5371717921883048,0.34846197873023826,0.2473722289689919,0.668707625834984,0.22317306937326503,1.959445742544146,0.28135937676414136,0.2864190763327395,0.5301038026809692,0.34911071883470557,0.22103016010682836,0.11389601892395189,0.007638869123285835,1.196632083157965,0.007501502551723391,0.007771238960709044,0.004044589401628448
8.0,0.6387527727115195,0.378795370516495,29.28768,29.28768,1.0,2.2583836885359583,0.3136499545402285,0.28719620900478415,0.11367069486404835,0.22434913571693088,0.6748020764000705,0.5577264000030473,0.3556594530998355,0.2491457616334413,0.6689832745424984,0.22460451829925693,1.9720137755580802,0.2788440326494595,0.28808123997862106,0.533880352973938,0.35650396649133953,0.22649082917964575,0.11389601892395189,0.008407029869689784,1.3931426814551742,0.007663343653479656,0.009035309085087434,0.004469803210522323
9.0,0.6388969181728628,0.3847081789310054,32.94864,32.94864,1.0,2.3001758274259902,0.31300483525927947,0.28218319290463945,0.11367069486404835,0.22765587642904325,0.6774977179744359,0.5679249301035058,0.36034610799409655,0.2530284231061459,0.6687858214687888,0.22382093462684782,1.9651339593905608,0.2764451019761175,0.28908554572271383,0.5679984092712402,0.36110409580231484,0.230078470810258,0.11389601892395189,0.0077507750581473946,1.3651003592676716,0.006600373032071618,0.008722150296363437,0.00510299275450719
10.0,0.6377181797868794,0.42883506098266233,36.6096,36.6096,1.0,2.348288427472198,0.31844827404906917,0.289160177390069,0.11367069486404835,0.21710514026650268,0.6795437098833089,0.5554853581709923,0.34652552946329057,0.2565954525189692,0.6683971649483371,0.22248019206096822,1.9533623226068835,0.28138627495983476,0.2875283446712018,0.5470430850982666,0.3471137518353332,0.2195036214722232,0.11389601892395189,0.008225345169637376,1.530635269396953,0.006985719762234705,0.00930660674980154,0.004583151283417372
