round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_ece,fed_brier,fed_f1_best,fed_f1,fed_auprc_lift,fed_auprc,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6889330202930299,0.09687396013956658,0.526995,3.65056,0.9971592150692714,0.5709918202259071,0.5256000544684037,0.411755909723733,0.2715188427778164,0.2626151792734005,0.18090946476825084,1.5087706725863232,0.17253424928037372,0.11494397582777288,0.6541736288933356,0.21000298569596837,1.8438132226218273,0.21470500447716645,0.27610405323653964,0.5021833777427673,0.3877731339084561,0.2511002136195631,0.11389601892395189,0.4903103886492577,10.379884253256023,0.3069414024195341,0.6394602384030553
2.0,0.6881204140486058,0.06833004903232871,1.05399,7.30112,0.9971592150692714,0.5826438837312584,0.5160198736502963,0.3967361647457946,0.25844501348303556,0.263392037748538,0.1953166134319218,1.5559935030257264,0.17736537070839506,0.11494397582777288,0.6587021111039105,0.21669957932075218,1.9026089003641293,0.2668379519177831,0.2786053882725832,0.5020946860313416,0.3855846668487886,0.24920894976562652,0.11389601892395189,0.06791563969006095,1.386636231211014,0.057968235128266515,0.07571566535016662
3.0,0.6821511270974818,0.08285298521886476,1.580985,10.95168,0.9971592150692714,0.6481853579387358,0.5144604280033837,0.3834550303452624,0.24715709428147273,0.28616373651728794,0.23271664540138529,1.8147666070820985,0.20528091737976695,0.11494397582777288,0.6607772633450746,0.21892643761869504,1.9221605784559663,0.2675566934893928,0.27967064168086314,0.5030637979507446,0.3849721759478227,0.2486200310969134,0.11389601892395189,0.03881173548130511,0.901849529298488,0.031079109202184603,0.045524971764687845
4.0,0.6754041977352501,0.1061432251980158,2.10798,14.60224,0.9971592150692714,0.6579023445911795,0.5146211292188984,0.3810058604720917,0.24451099981583738,0.2913450645967772,0.24533513798198014,1.8790909123582518,0.21395183190562425,0.11494397582777288,0.6600085466786145,0.2184321449636184,1.9178207195237003,0.25936743720270383,0.2816394350595403,0.5027933120727539,0.3857263276741869,0.24928738441470724,0.11389601892395189,0.030048425034213375,0.8067090438562445,0.02328791606747088,0.03649842968056463
5.0,0.6702389946428695,0.11642411294055881,2.634975,18.2528,0.9971592150692714,0.6653540156258225,0.5147631118463567,0.3725790065586244,0.2375119264665907,0.3016937150825744,0.2645587806151137,1.992808924184488,0.22506254544630477,0.11494397582777288,0.6590617658413862,0.2150355311069853,1.887998659993235,0.2640106241699867,0.27893026743314175,0.5030592083930969,0.3842743926406105,0.24802942790565463,0.11389601892395189,0.02398294783648488,0.735158515337389,0.017421650919978222,0.030757149652272702
6.0,0.664306283974607,0.1282490144827081,2.634975,18.2528,0.0,0.6800827477695671,0.5339389037353541,0.33271579536332996,0.21154408290867885,0.31719762898632037,0.28670161921216114,2.153617575703608,0.24222750486820896,0.11494397582777288,0.6590617658413862,0.2150355311069853,1.887998659993235,0.2640106241699867,0.27893026743314175,0.5030592083930969,0.3842743926406105,0.24802942790565463,0.11389601892395189,0.0,0.0,,
7.0,0.6428787647890787,0.27311228256054504,2.634975,18.2528,0.0,0.6881354879304958,0.546807536939057,0.3287194630328809,0.20756288732749364,0.3250554068410843,0.3023449317499746,2.2341606743508122,0.25075160160205506,0.11494397582777288,0.6590617658413862,0.2150355311069853,1.887998659993235,0.2640106241699867,0.27893026743314175,0.5030592083930969,0.3842743926406105,0.24802942790565463,0.11389601892395189,0.0,0.0,,
8.0,0.6260924679539944,0.40073072380082647,2.634975,18.2528,0.0,0.6980962986139542,0.5572297926867892,0.32592707493483275,0.20616033782949555,0.33664405997913455,0.3047865585133533,2.334008551208848,0.2614105531743086,0.11494397582777288,0.6590617658413862,0.2150355311069853,1.887998659993235,0.2640106241699867,0.27893026743314175,0.5030592083930969,0.3842743926406105,0.24802942790565463,0.11389601892395189,0.0,0.0,,
9.0,0.6660386603873348,0.11871364207768623,3.16197,21.90336,0.9971592150692714,0.6663753463208256,0.5154789057457672,0.3667370565371626,0.2326373761332624,0.30084379701744013,0.2714168766679668,2.013788301456999,0.2273173485054982,0.11494397582777288,0.6602445516680756,0.22016880209972262,1.9330684617407814,0.2739988045427376,0.2790226977013156,0.5012624263763428,0.37775496617795784,0.24261691509630273,0.11389601892395189,0.0206365401742605,0.7087619317462668,0.013688357990817884,0.0283562749725492
10.0,0.6601815549156187,0.1512306710514713,3.16197,21.90336,0.0,0.6785639086903392,0.5505592209441407,0.35740745159145804,0.22654887079730648,0.3146810771921516,0.2870695758977299,2.147320964091996,0.24158882674496346,0.11494397582777288,0.6602445516680756,0.22016880209972262,1.9330684617407814,0.2739988045427376,0.2790226977013156,0.5012624263763428,0.37775496617795784,0.24261691509630273,0.11389601892395189,0.0,0.0,,
