round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_ece,fed_prevalence,fed_f1,fed_auprc_lift,fed_f1_best,fed_f1_best_threshold,fed_auroc,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
4.0,0.42325034051912785,59.649462258173166,78.309888,78.309888,0.9991046702896288,0.9583311378500963,0.5573979997357656,0.9069767441860465,0.0,1.0527693405348642,0.9558529065817651,0.31960914315179334,0.7914101397169252,0.39854215871956883,0.329387219278916,0.9568291564009663,0.989397864148498,0.0,0.9832657200811359,0.48584574460983276,0.4811231072704096,0.2633149050812514,0.9670822942643391,0.0003912806341522081,0.23579127351393936,7.708420235988882e-05,0.00044351144518861086
5.0,0.40151438836619535,57.174637687016435,97.88736,97.88736,0.9991046702896288,0.9603301562581091,0.5687487462232279,0.9069767441860465,0.0,1.054634811238386,0.9512336604188513,0.2891463679629703,0.8210540663541619,0.4132032448667983,0.3334622657727351,0.9558147528997019,0.9883489322144932,0.0,0.9832657200811359,0.48590102791786194,0.48108589748789243,0.26327897581852655,0.9670822942643391,0.0003344278417967445,0.20162386461808524,6.534079281535317e-05,0.0003791355613966748
6.0,0.3565682133025739,55.07762405328377,117.464832,117.464832,0.9991046702896288,0.9614061383282997,0.5279181799223256,0.9069767441860465,0.1540827397518751,1.0549279103148528,0.953568124860019,0.29783293334550637,0.8644652983206661,0.36541948152099246,0.34034647662806505,0.9553086542048603,0.9878256068492755,0.0,0.9832657200811359,0.4859403371810913,0.48105831085297823,0.26325224527173113,0.9670822942643391,0.0002996579283319306,0.18074477822989365,5.6308340500346475e-05,0.00034006783172479624
7.0,0.2873582322326383,40.17860299828833,137.042304,137.042304,0.9991046702896288,0.9617414001956719,0.5011993172556853,0.9069767441860465,0.30955574245076,1.0547891841831383,0.9578136081375321,0.30206005143564796,0.8720363628089016,0.33707986215580416,0.339979214527951,0.9549521422745111,0.9874569599073723,0.0,0.9832657200811359,0.4860248565673828,0.48099007770010355,0.2631864973951508,0.9670822942643391,0.0002926369417470751,0.17658549964568238,6.051287291773383e-05,0.0003311635986392024
8.0,0.2695801300104497,37.67962646626909,156.619776,156.619776,0.9991046702896288,0.962360659152151,0.47934452212134065,0.9069767441860465,0.41005974929617234,1.0552811096909167,0.9601679004143049,0.305709953017013,0.8842154007190641,0.3198891258066703,0.33602919342991544,0.953995754644353,0.9864680185982093,0.0,0.9832657200811359,0.48611438274383545,0.4808991521225308,0.26309907253531545,0.9670822942643391,0.0002593883940633805,0.1565907162425333,5.863634941222152e-05,0.00029269171714117455
9.0,0.23501916835637587,31.301446846768012,176.197248,176.197248,0.9991046702896288,0.965567066143479,0.45470144156106673,0.9069767441860465,0.5799133007947139,1.0600257512740998,0.9628373207216728,0.3210288268882175,0.8992633231693441,0.2932633174056411,0.3297349461609389,0.9534157492994711,0.9858682709362763,0.0,0.9832657200811359,0.4861997365951538,0.48081394381951215,0.2630171558512196,0.9670822942643391,0.0002394406421624575,0.14461167100895977,5.516609674601988e-05,0.00026999574084152233
10.0,0.19742443820593136,22.943913682381105,195.77472,195.77472,0.9991046702896288,0.9712206932625822,0.41294656378585237,0.9069767441860465,0.6243532305408707,1.0690115363422827,0.9654704223854029,0.3463309418323428,0.9136661357120102,0.25557172664263994,0.3285198555956679,0.9532600159526152,0.9857072367122195,0.0,0.9832657200811359,0.4862484335899353,0.4807647965346786,0.2629698170932855,0.9670822942643391,0.000224065790215186,0.1353849682436703,4.7200351233184656e-05,0.0002533782500085149
11.0,0.15940826826566076,14.302486116742783,196.473216,196.473216,0.035646615445478584,0.9774936907766303,0.2419333236811812,0.9069767441860465,0.8613428715445713,1.0802560877143812,0.9651689136003165,0.14584078116039204,0.9310120147453693,0.1618407186770302,0.325960742025724,0.9529508490520784,0.9853875463380182,0.0,0.9832657200811359,0.4862551689147949,0.4807607976129822,0.2629659311836155,0.9670822942643391,4.783670530687635e-05,0.0041093893490824485,4.783670530687635e-05,
12.0,0.15874984359373143,15.455038002422892,216.050688,216.050688,0.9991046702896288,0.9748728951944261,0.3515412962713906,0.9069767441860465,0.7670102373054707,1.0748628869437136,0.9678378973710325,0.37195210851902183,0.9270034587903335,0.19542949259038445,0.35689280635129017,0.9570013840418313,0.9895759541020485,0.0,0.9832657200811359,0.48631927371025085,0.48069796994737257,0.2629053135794579,0.9670822942643391,0.00020280841703391894,0.12259435034800958,5.2987419532691044e-05,0.00022762748197096145
13.0,0.14789953907074735,13.206200930503147,216.749184,216.749184,0.035646615445478584,0.9852337626660748,0.229770500290879,0.9069767441860465,0.8663810872686224,1.0929080634785826,0.9703184038943272,0.12821787183367928,0.946556501160515,0.15005984688526744,0.3641442793067342,0.9580253825588493,0.9906348076485265,0.0,0.9832657200811359,0.4863218665122986,0.4806966418488661,0.26290399440500223,0.9670822942643391,4.468485589424917e-05,0.003838807641727726,4.468485589424917e-05,
14.0,0.13332415537353384,11.35659467762744,236.326656,236.326656,0.9991046702896288,0.9838012676008868,0.325159028172493,0.9069767441860465,0.7703776076793482,1.09001745782455,0.9676228300463307,0.43124478202919625,0.9456540299458424,0.17348753854027416,0.3751230718739744,0.9591761888481274,0.9918247852710137,0.0,0.9832657200811359,0.4864235520362854,0.48059672744494125,0.26280785061116274,0.9670822942643391,0.00019546353654440737,0.1182068237602607,4.847902357391151e-05,0.00021980148282825664
15.0,0.12656941882534364,9.986854226959947,237.025152,237.025152,0.035646615445478584,0.9841450156201981,0.13480545722467954,0.9069767441860465,0.9282368070739513,1.0923802776021962,0.9653550181860506,0.18421670498196469,0.9280438265143586,0.09578966561599327,0.3773461796927501,0.9592390766607868,0.9918898136693541,0.0,0.9832657200811359,0.48643192648887634,0.4805905820871529,0.2628019155518868,0.9670822942643391,5.013756193893221e-05,0.004307486214656819,5.013756193893221e-05,
