round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1_best,fed_auprc,fed_auprc_lift,fed_prevalence,fed_auroc,fed_f1_best_threshold,fed_f1,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6875088544562036,0.09419704897812217,3.65056,3.65056,0.9971592150692714,0.3886950252369451,0.2799009605938082,0.2027325663099401,1.8188410850214822,0.11373363544813696,0.6448600214260537,0.5145382099378807,0.23930031247048789,0.24950078681535592,0.4429650760303514,0.10167492435892263,0.8926995457743852,0.013704151551793631,0.2045002711006687,0.41660943627357483,0.3750144710351899,0.24221608149725057,0.11389601892395189,0.029108921471317085,3.132806859444827,0.023757958296875277,0.03275018765077702
2.0,0.6776394933801526,0.1350072200865491,5.632,5.632,0.5412350858791136,0.3649963809145392,0.3022019012762786,0.22509803551557017,2.015406410145424,0.11373363544813696,0.668879890859339,0.5129281004978961,0.2759796640679473,0.23067944278375277,0.4586806791502255,0.1064488504330372,0.9346143213672188,0.04149085794655415,0.2045002711006687,0.39870685338974,0.373673204172659,0.24132085800963748,0.11389601892395189,0.020859381038162712,1.4321375535801053,,0.020859381038162712
3.0,0.6648789810477178,0.17824301883761,7.61344,7.61344,0.5412350858791136,0.3487189779150011,0.3093980204523982,0.23696824957096263,2.138281531859135,0.11373363544813696,0.6796879067571364,0.5136374005802119,0.2882636837566675,0.21827784135018083,0.44704475219827494,0.10445755198177362,0.9171308441563676,0.13465413028878442,0.2045002711006687,0.4052168130874634,0.3776246187920191,0.24443564990428995,0.11389601892395189,0.014732152440414484,1.0782553546596318,,0.014732152440414484
4.0,0.6520490970900188,0.2350566144140475,9.59488,9.59488,0.5412350858791136,0.36064456019940727,0.31549470037987976,0.2464887122804647,2.218854995708042,0.11373363544813696,0.6915393848058922,0.5472079953150627,0.2871010135144955,0.22633845040884162,0.44414771126361985,0.10506997002295093,0.9225078366707963,0.16661754592789074,0.20450951154489178,0.4249846041202545,0.38123174785601727,0.2471082212369879,0.11389601892395189,0.012270730407356743,0.9480088314739987,,0.012270730407356743
5.0,0.6581435409042251,0.24383327767003324,11.264,11.264,0.4559241291901578,0.35892531892129065,0.2935158791400251,0.22371757978912546,1.9844026856790213,0.11373363544813696,0.6666943641611113,0.5086487884551648,0.2792453906222767,0.22714127361073796,0.43256868352586786,0.10333274789685791,0.9072551338765664,0.15466666666666667,0.2045002711006687,0.4136054515838623,0.38020181810077697,0.2464293419198606,0.11389601892395189,0.01624682694618396,0.761150339152664,0.01624682694618396,
6.0,0.6525248781356382,0.2272241975628122,13.24544,13.24544,0.5412350858791136,0.3578693475761832,0.3068859974809054,0.23638005928999506,2.1003934595464293,0.11373363544813696,0.6795575338271832,0.5362617256868281,0.2830448163958051,0.22512644211948224,0.4615934194490098,0.10629645395753037,0.9332762897402435,0.12773591675636886,0.2045002711006687,0.4233842194080353,0.3769481336517287,0.24352474863798895,0.11389601892395189,0.010340467762995029,0.837680478580296,,0.010340467762995029
7.0,0.640141177695807,0.33144412716738103,15.22688,15.22688,0.5412350858791136,0.3386921261077088,0.3137276070929215,0.25118385472069477,2.2415435657489593,0.11373363544813696,0.6897918302055873,0.5211023677136721,0.2933209606354865,0.21172351124691294,0.46993674674739544,0.10945568580901044,0.9610141499510509,0.03223330775134305,0.2045002711006687,0.4023551046848297,0.37078258767030314,0.23899620965658389,0.11389601892395189,0.009281881977671538,0.7910948755452409,,0.009281881977671538
8.0,0.6274365465721565,0.4030395672628765,17.20832,17.20832,0.5412350858791136,0.3516439033760375,0.3247840765778207,0.26488659733044295,2.3746950716394717,0.11373363544813696,0.6989204908990956,0.5664816681231857,0.29662935220589026,0.22130760157208793,0.4641193856451038,0.10752749389632899,0.9440847442448788,0.10049307349142991,0.2045002711006687,0.39650794863700867,0.37252468493037694,0.24032790098640958,0.11389601892395189,0.009894651232124567,0.8845664412947372,,0.009894651232124567
9.0,0.6099851863487231,0.4597301586740169,19.18976,19.18976,0.5412350858791136,0.3348241368292719,0.3322749622066324,0.27551611265248727,2.478152418163332,0.11373363544813696,0.7093038084475765,0.5662619093956365,0.3052658918263027,0.2085929553858519,0.4744692196836243,0.10966293008973371,0.9628337419146792,0.10690216128282594,0.2045002711006687,0.4040943682193756,0.37260413251457614,0.24032040086735348,0.11389601892395189,0.009459017542793487,0.8913337379926816,,0.009459017542793487
10.0,0.6426685361749327,0.4589544382696005,22.84032,22.84032,0.9971592150692714,0.3325846242710896,0.2962223678014515,0.22872498532260133,2.0180822412952013,0.11373363544813696,0.669206093499309,0.521401724869091,0.28103339545598144,0.21011881207624697,0.472122748295797,0.10934503910932324,0.9600426787729311,0.0531271015467384,0.2045002711006687,0.3727758228778839,0.37016501930046886,0.23860229718797885,0.11389601892395189,0.009707626067733488,1.4504357636906207,0.01377241423350704,0.007600516467478538
