round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_auprc,fed_auroc,fed_prevalence,fed_f1,fed_brier,fed_f1_best_threshold,fed_f1_best,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.688625217777035,0.11238557220258534,3.65056,3.65056,0.9971592150692714,1.7020745333165188,0.19371844217638726,0.6207911419934884,0.11379657603222558,0.2450345820715463,0.24504151956086825,0.5127372194160328,0.2729485344332629,0.38152610645455953,0.3706692155774437,0.0851780939620591,0.7478583954627274,0.14533666509083543,0.2045002711006687,0.4696636497974396,0.38695376988289804,0.2511000297637719,0.11389601892395189,0.027863922110526303,2.9897085062693805,0.023489222775674327,0.03075336781428972
2.0,0.682549704069465,0.1330772328516296,7.30112,7.30112,0.9971592150692714,1.897779795910337,0.2144139418659675,0.6462697173945906,0.11379657603222558,0.2542734514195329,0.23520049397663853,0.5332025088508654,0.28488757100410483,0.36913592041229076,0.33365838504920564,0.07992171010541757,0.7017076703864523,0.14509345794392522,0.2045002711006687,0.4273037314414978,0.39477247079087474,0.2581111267056473,0.11389601892395189,0.018453463593650923,2.1002033837139606,0.016074908657511645,0.02003725200603215
3.0,0.6740765628452369,0.19682843535217798,10.95168,10.95168,0.9971592150692714,1.9790514001299546,0.22228060012220593,0.6596795178804946,0.11379657603222558,0.26039186618191346,0.23950926657664426,0.5641874677266209,0.2946811832051027,0.37606369883519825,0.328631149978046,0.07923015743673513,0.6956358807381751,0.13102738845313103,0.2045002711006687,0.35556483268737793,0.3906761169361596,0.2561422899456011,0.11389601892395189,0.013066968241557939,1.5915157310664654,0.012651537079503202,0.013351741028594053
4.0,0.6654805488252535,0.20367765532906779,14.60224,14.60224,0.9971592150692714,1.9793900744389359,0.2238235514471987,0.6632611413585272,0.11379657603222558,0.26919126028527784,0.2278300317669278,0.5360105978165568,0.2965900859622652,0.3610714057015868,0.32904715175384364,0.07923838221497687,0.6957080937823135,0.1307962072996493,0.2045002711006687,0.29893258213996887,0.3854432685760159,0.25160834925116626,0.11389601892395189,0.010419679332104286,1.3535963285248727,0.010406201228139749,0.010429324767581459
5.0,0.6593780965605681,0.22484467979415795,18.2528,18.2528,0.9971592150692714,2.021575293521788,0.22802749039115405,0.668156777148405,0.11379657603222558,0.27776196527353103,0.21407183105072222,0.5368767831219436,0.2979238047210347,0.3401321049775903,0.3310393144706373,0.07950844655897121,0.6980792420151122,0.13747417041448887,0.2045002711006687,0.33885565400123596,0.38604271083108743,0.2517702582965731,0.11389601892395189,0.009013603858291749,1.2409330978989601,0.009183302888644215,0.008886330370427435
6.0,0.6547682824200731,0.2794363831794077,21.90336,21.90336,0.9971592150692714,2.075061178170046,0.2337337705337069,0.6720426944308099,0.11379657603222558,0.2746658466817429,0.2211269809571093,0.5530999118794218,0.3021327882067072,0.349620227225515,0.36207358155178393,0.08686097067759807,0.7626339489143596,0.1316487287474653,0.2045002711006687,0.3097814917564392,0.38122111896400857,0.247893765655135,0.11389601892395189,0.00877312414698124,1.2790884615387768,0.008523555542167457,0.008969054275155855
7.0,0.6527656305661018,0.27097286556537614,25.55392,25.55392,0.9971592150692714,2.110972180840646,0.23793701673779863,0.6741538773330894,0.11379657603222558,0.27694280673819166,0.22200281531020302,0.5475009074575321,0.30684267221986006,0.352804869354289,0.38623857993616745,0.09374371088915592,0.82306398217262,0.06016847172081829,0.2045002711006687,0.3035939633846283,0.3767305414241923,0.24429497887610846,0.11389601892395189,0.008157335486315946,1.2597015651408583,0.00814190788409389,0.008169902363656315
8.0,0.6503352740477364,0.26556801537707525,29.20448,29.20448,0.9971592150692714,2.125714535459783,0.23938274229646792,0.6759630175371483,0.11379657603222558,0.28263362159998323,0.20939089819745887,0.5617540256314407,0.31218411862429857,0.3329626547931417,0.3925239979400828,0.09630091169530376,0.8455160470499294,0.11734593423902343,0.2045002711006687,0.279142290353775,0.3773740660283891,0.24483282796701225,0.11389601892395189,0.00736714774966062,1.2025257906643674,0.007409693501997649,0.007330959594236941
9.0,0.64977409191344,0.333168058814582,32.85504,32.85504,0.9971592150692714,2.1679598238482973,0.24426012406368727,0.6778208056932756,0.11379657603222558,0.2820452914067335,0.21207722625308925,0.5702775003424164,0.3146948887293919,0.33511068022454465,0.3761814618595306,0.09341415877696468,0.8201705350152502,0.11578746905351361,0.2045002711006687,0.26959842443466187,0.37716646868441367,0.244797717524121,0.11389601892395189,0.007636191346407724,1.32297331339214,0.007169626518703339,0.00804950259285406
10.0,0.6414939980361951,0.35407359947251027,36.5056,36.5056,0.9971592150692714,2.2314918020288514,0.2501447557371503,0.6798124153272828,0.11379657603222558,0.2864306872881025,0.20731630727878297,0.5611179258021614,0.31647622172540846,0.33014918192620846,0.4102818109902978,0.09888981950948011,0.8682464974961822,0.03900709219858156,0.2045002711006687,0.2884999215602875,0.3740842856466396,0.24208282291425431,0.11389601892395189,0.008180366631599816,1.5028485661605373,0.006816522638221336,0.009436203477491368
11.0,0.6455788107112503,0.3855313410369247,40.15616,40.15616,0.9971592150692714,2.2385214704617504,0.25125523500841196,0.6823910270915713,0.11379657603222558,0.27863656275230525,0.22383212100528244,0.5702026839661604,0.3166479911328366,0.3547394288298632,0.38103430974928254,0.09241737685914461,0.8114188514424853,0.06904109589041096,0.2045002711006687,0.26302963495254517,0.3740037376789209,0.24254802504219888,0.11389601892395189,0.00795508533462727,1.5515838875435293,0.006142018123693094,0.009675967568741539
12.0,0.6401332931539802,0.35667897035418394,43.80672,43.80672,0.9971592150692714,2.273371028031544,0.25445982341610474,0.6834026141901505,0.11379657603222558,0.2816099572816784,0.21737883990208579,0.5790709126628149,0.3195577966966545,0.34344253230845595,0.3753578538911508,0.09136900252550491,0.8022141896505776,0.08250904704463209,0.2045002711006687,0.2890479862689972,0.3760949555098054,0.24389316227178795,0.11389601892395189,0.00732854584772091,1.5210413120221347,0.005672283473747216,0.008946512559306874
13.0,0.6410158359100536,0.41588908246236206,47.45728,47.45728,0.9971592150692714,2.3119977528844813,0.25866979041507626,0.6847736142621396,0.11379657603222558,0.29130323399408714,0.19937485295494572,0.545647498724789,0.3190375863965029,0.31560073999269733,0.3819188578553218,0.09371800736646711,0.822838306833555,0.0921723019916628,0.2045002711006687,0.2907790243625641,0.3769593316962479,0.24478480812609954,0.11389601892395189,0.006341629995827743,1.3930600358871743,0.005134510403856307,0.007551661621823534
14.0,0.6439400492730657,0.4885731319415406,51.10784,51.10784,0.9971592150692714,2.311415929197984,0.25984047076772393,0.6879420921778803,0.11379657603222558,0.2876230274391226,0.21550807695437282,0.5645167340092129,0.32127780701634434,0.3438233896379039,0.36579090485010707,0.08988773681749682,0.7892087683724455,0.09185051778478164,0.2045002711006687,0.28623026609420776,0.3772241100777653,0.24493022935073486,0.11389601892395189,0.00703147501528508,1.6292364618275315,0.00523224474476199,0.008874992227480652
15.0,0.6389399941051491,0.47381251287087134,54.7584,54.7584,0.9971592150692714,2.325674080187733,0.26150951526046395,0.6903397789744935,0.11379657603222558,0.28701045921381213,0.21847198755764194,0.5717397433070679,0.3218377141541265,0.34611858403842904,0.37272019757455244,0.09165885952544854,0.8047591161781428,0.06636415201361316,0.2045002711006687,0.2845757305622101,0.37569717309682416,0.24356189283214333,0.11389601892395189,0.005906417596282377,1.4474974221084267,0.004578525088369217,0.007297091338461095
16.0,0.6397953530412452,0.539341488875659,58.40896,58.40896,0.9971592150692714,2.3408056904061216,0.2630600956521179,0.6904802187266126,0.11379657603222558,0.298774503974305,0.2019459973152849,0.5426120766685208,0.3238620333450615,0.3236561919940487,0.38917320647879,0.09498686281265445,0.8339787791536152,0.05415860735009671,0.2045002711006687,0.2574199140071869,0.3764304831767275,0.24387371776826056,0.11389601892395189,0.006611834755960203,1.7042794482549652,0.004359000349898142,0.009016268010434937
