round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_ece,fed_f1,fed_brier,fed_auprc,fed_auprc_lift,fed_auroc,fed_prevalence,fed_f1_best,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6891605822361472,0.09710624787845454,0.087525,3.66096,1.0,0.3664444591793769,0.0,0.23536389868106214,0.20483500900833315,1.8202764773419249,0.6354991266206368,0.1141742195367573,0.2734641644936717,0.4808592672074309,0.6527835261238675,0.21143402712348247,1.8563776778243364,0.0,0.2744282744282744,0.4807860255241394,0.36671451719899534,0.2353422132614102,0.11389601892395189,0.8908615221765721,8.183065654595339,0.6592867762097703,1.0775177421399988,1.1214386692200724
2.0,0.6890922704144257,0.05334186879908966,0.17505,7.32192,1.0,0.3622553129281852,0.003174246754307177,0.23203027684868918,0.21030897932668519,1.869134834580597,0.644175527747332,0.1141742195367573,0.2818734067677845,0.47803631572714983,0.6605003847912894,0.21847525427883266,1.9181992166443331,0.0017660044150110375,0.28157226124645046,0.47758209705352783,0.36250148998202464,0.23196345645348232,0.11389601892395189,0.12480203522854727,1.2259821607185586,0.07050703190791582,0.16657737765338096,0.15608711567910497
3.0,0.6847404510001176,0.06736439805382187,0.262575,10.98288,1.0,0.36099917083145805,0.034303897619269275,0.23088314896176748,0.2117348420791577,1.8842333077607558,0.6450683369655519,0.1141742195367573,0.28096124386399657,0.4773826150604395,0.6613874678865804,0.21987812683002667,1.930516350855413,0.03333333333333333,0.2813927839924374,0.47752001881599426,0.36122943317022,0.23078191009870794,0.11389601892395189,0.124875504130653,1.2638819857766066,0.08619286277483783,0.15851896536137886,0.0944411781974491
4.0,0.6819149679591155,0.06735478986769643,0.3501,14.64384,1.0,0.36321712407393214,0.09141823585099565,0.23223710297585692,0.21385664635672988,1.9068556785708337,0.6467974318622592,0.1141742195367573,0.2831711295649701,0.4798153378369525,0.6623054100837054,0.2205946969004735,1.9368077917434856,0.10729448089540718,0.28038636973437076,0.47754624485969543,0.3635669385347712,0.23212391360041837,0.11389601892395189,0.11423254211645963,1.3162622950312652,0.05590834225279403,0.17149536390050274,0.1966453377035376
5.0,0.6809392557468039,0.06827011016805014,0.437625,18.3048,1.0,0.35892761135164347,0.09009018012398631,0.2289310884174156,0.21312293305889754,1.8937652441143646,0.6476533279205825,0.1141742195367573,0.2813727107358313,0.47510407542226474,0.662600849276617,0.22053213595844545,1.9362585105427983,0.1039162466072121,0.2803359397625253,0.47422242164611816,0.3591133084020111,0.2288029564822866,0.11389601892395189,0.06589088841593588,0.9203385026121396,0.03587235733310553,0.09574993260762439,0.18071476025311148
6.0,0.6794600884787595,0.07817628257124057,0.52515,21.96576,1.0,0.3560987126029661,0.0968633127786702,0.2269151665378552,0.2135064474423473,1.9004402184176086,0.6474077991847184,0.1141742195367573,0.28053357656305794,0.47189647171455024,0.6626705991293993,0.22050358161255884,1.936007805152422,0.10615384615384615,0.28019906499773783,0.47221502661705017,0.35653971408830504,0.2267680910846529,0.11389601892395189,0.0483548234656781,0.8106978044488642,0.027907574421481923,0.06962704238545475,0.09612342704859458
7.0,0.6790539662723825,0.07863816915149777,0.612675,25.62672,1.0,0.3569297956364662,0.14755823939255888,0.22711398601872784,0.2107675889682016,1.874595981483855,0.6406773456140904,0.1141742195367573,0.27947742716539953,0.4725846547787222,0.6579928035419974,0.21777443674876593,1.9120460820862704,0.15027700831024932,0.28178063331803577,0.47262150049209595,0.3568432914397156,0.22694541572077268,0.11389601892395189,0.0390379979178111,0.7584012169518246,0.02098380296922905,0.0593286697120668,0.0036687473772252367
8.0,0.6769895272216915,0.0889325897994781,0.7002,29.28768,1.0,0.35784467765714406,0.184982716129825,0.22734100055733286,0.20737382457334919,1.8435366833093967,0.6348051271326521,0.1141742195367573,0.2799329129733323,0.4768968173016655,0.6532854665451948,0.21445412791171894,1.8828939759071779,0.18655360387643852,0.2825552825552826,0.47401654720306396,0.3576792236335973,0.2271261223128732,0.11389601892395189,0.029717209200916667,0.664679701611476,0.01311624555336562,0.04871156661932556,0.002102222771117643
9.0,0.6758987667808676,0.10169580327065482,0.787725,32.94864,1.0,0.35843222409726877,0.213499801209238,0.22755949291077193,0.21030425828077898,1.8666705024798527,0.6402486537904903,0.1141742195367573,0.2809582052892951,0.47529620527170696,0.6599971517764327,0.21834060589197316,1.9170170121376997,0.2245961438249088,0.2809470840616558,0.4759734869003296,0.3582586569298051,0.22729782526186673,0.11389601892395189,0.021440146655119945,0.5539748600654093,0.009995665651154163,0.035006812470023595,0.0007691741148331061
10.0,0.6745563319714349,0.09994840445605352,0.87525,36.6096,1.0,0.3598212160597755,0.23391682032270222,0.2282821074557169,0.21233439523955616,1.8859788558454211,0.6416394830894314,0.1141742195367573,0.28059537488319986,0.4776054898170006,0.6604412643241325,0.2206749453954629,1.937512368564937,0.2446958981612447,0.28148825861543153,0.4764876365661621,0.35970162059437727,0.2279706237300699,0.11389601892395189,0.02036351874933586,0.5947146522466937,0.01023389808237519,0.03295865484088097,0.00046545474422277923
