round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_auprc,fed_prevalence,fed_brier,fed_ece,fed_f1,fed_f1_best,fed_f1_best_threshold,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6899570220199027,0.09020872306275543,0.526995,3.65056,0.9971592150692714,1.6857130380478205,0.18526596748679458,0.10953729933899906,0.24953853294503184,0.3896341953838176,0.12599017027002055,0.25405929634825924,0.5003708911253515,0.6048747710099639,0.641597635060839,0.20647018595347036,1.8127954594385782,0.02905982905982906,0.2746380196170014,0.49055323004722595,0.3763257286420099,0.2423666008198044,0.11389601892395189,0.4895570857013249,10.38343014754355,0.31922668928935777,0.6249817806884546
2.0,0.686868564146587,0.07072622581329907,1.05399,7.30112,0.9971592150692714,1.8534703186356616,0.20282662679852498,0.10953729933899906,0.24506968404475865,0.38551365282687905,0.17581881654640472,0.2843800409339274,0.5022773337262887,0.6434846580598398,0.5912241483176531,0.19889381058386865,1.7462753524042802,0.22461862177801156,0.27935287522024665,0.4946245849132538,0.38025480879439677,0.24487412563069097,0.11389601892395189,0.07071898056746638,1.4606830584816635,0.06429825749950056,0.07558234249718432
3.0,0.6812284748641461,0.08834325410223022,1.580985,10.95168,0.9971592150692714,1.9337945981810247,0.20995473301732487,0.10953729933899906,0.23830208070406977,0.3783114872621897,0.2060827331553168,0.29029542507390704,0.5106586393579808,0.6566944395837856,0.6581652079100299,0.21801464807039214,1.9141551226295277,0.2649379932356257,0.28339575530586764,0.49670225381851196,0.3806474825817408,0.24478466909591787,0.11389601892395189,0.045575685866367455,1.0696160004881676,0.03568054425034821,0.05396411606542792
4.0,0.6751726061229684,0.11233749063392713,2.10798,14.60224,0.9971592150692714,1.9469074708571577,0.21205788155860217,0.10953729933899906,0.2335729463541769,0.3727306181111724,0.2405205063949714,0.29169008440754557,0.5102941364340713,0.665124759204186,0.6309742229743416,0.21363846955888488,1.8757325460298204,0.25984251968503935,0.2823269048371799,0.4953441619873047,0.3801546211547224,0.24453410341041573,0.11389601892395189,0.030823325877552314,0.8444793747621588,0.02409473875239293,0.03692927141001021
5.0,0.6703717113990266,0.1300289379485077,2.634975,18.2528,0.9971592150692714,1.9974004217406862,0.21576641367051408,0.10953729933899906,0.22766118289064036,0.36563048165363077,0.2583775963873426,0.29327080125988303,0.5106975437430116,0.6710590034769567,0.6504954849833511,0.2183559310737051,1.9171515662852172,0.2645337495122903,0.2826666666666666,0.4933811128139496,0.38040360279643387,0.24459757143201113,0.11389601892395189,0.022854941918386114,0.7138448418700136,0.01832270133166591,0.027219127506988124
6.0,0.6668879580342291,0.15215074671356782,2.634975,18.2528,0.0,2.1059051551454266,0.22502132458035254,0.10953729933899906,0.2149608803506588,0.34342839732170466,0.2832695732746958,0.304141242545378,0.5232361521929513,0.6812494824906103,0.6504954849833511,0.2183559310737051,1.9171515662852172,0.2645337495122903,0.2826666666666666,0.4933811128139496,0.38040360279643387,0.24459757143201113,0.11389601892395189,0.0,0.0,,
7.0,0.6451135438934846,0.2695018986910978,2.634975,18.2528,0.0,2.175056224923439,0.23248067134750972,0.10953729933899906,0.2116062003076626,0.3409444440701471,0.2883091062556995,0.31036244918416217,0.5277275916743586,0.691449646614318,0.6504954849833511,0.2183559310737051,1.9171515662852172,0.2645337495122903,0.2826666666666666,0.4933811128139496,0.38040360279643387,0.24459757143201113,0.11389601892395189,0.0,0.0,,
8.0,0.624121138264669,0.3973943455237881,2.634975,18.2528,0.0,2.260144813132118,0.24048143105175893,0.10953729933899906,0.2103987815708091,0.3361882838257874,0.2930535016896618,0.32319045644850386,0.5695735285351176,0.6977972345140221,0.6504954849833511,0.2183559310737051,1.9171515662852172,0.2645337495122903,0.2826666666666666,0.4933811128139496,0.38040360279643387,0.24459757143201113,0.11389601892395189,0.0,0.0,,
9.0,0.6652450012559823,0.14042837010993903,3.16197,21.90336,0.9971592150692714,2.026672095052711,0.21713874077836492,0.10953729933899906,0.21881669258101627,0.35418630064115386,0.27219575819716074,0.2944595669485758,0.5109337849252285,0.67198095215102,0.6625918262208145,0.22084097223007498,1.9389700739016171,0.275813044250933,0.28390545863815414,0.495576947927475,0.3817123731475356,0.24545990753648766,0.11389601892395189,0.01733272306040981,0.6054535779694561,0.014229768800110103,0.02044224273288733
10.0,0.6624061230358652,0.168709432317956,3.16197,21.90336,0.0,2.10832033344151,0.2257479287204971,0.10953729933899906,0.2162339556475367,0.34654108490495894,0.28317512798314876,0.30649583504336625,0.5608719661208044,0.6827882396849161,0.6625918262208145,0.22084097223007498,1.9389700739016171,0.275813044250933,0.28390545863815414,0.495576947927475,0.3817123731475356,0.24545990753648766,0.11389601892395189,0.0,0.0,,
11.0,0.6453422260253983,0.27313591984283225,3.16197,21.90336,0.0,2.1849830874365392,0.23297916253179277,0.10953729933899906,0.213629699068931,0.33924545702044606,0.29151564774624794,0.31218275082383123,0.5412111197547563,0.6906161451889378,0.6625918262208145,0.22084097223007498,1.9389700739016171,0.275813044250933,0.28390545863815414,0.495576947927475,0.3817123731475356,0.24545990753648766,0.11389601892395189,0.0,0.0,,
12.0,0.6343739916597664,0.4156276370362928,3.16197,21.90336,0.0,2.2331380296622956,0.2370667270538474,0.10953729933899906,0.21841493226450218,0.34802986274786746,0.29119260973699906,0.3185512719730398,0.560616034327493,0.6947374535873593,0.6625918262208145,0.22084097223007498,1.9389700739016171,0.275813044250933,0.28390545863815414,0.495576947927475,0.3817123731475356,0.24545990753648766,0.11389601892395189,0.0,0.0,,
13.0,0.6579954107046724,0.1744756036626493,3.688965,25.55392,0.9971592150692714,2.0326316116056837,0.21783698882553726,0.10953729933899906,0.22117957193583193,0.3578491447573755,0.27343774911237,0.29381405903537977,0.5139358711422783,0.6726928346112859,0.6053749101020025,0.2078700999257918,1.8250866175101887,0.2760989010989011,0.28213844252163167,0.49781620502471924,0.38394681192967134,0.24724736535878525,0.11389601892395189,0.01654799765386031,0.6413858406740474,0.011816655609216683,0.02151731908809001
14.0,0.6542828218769312,0.18758019650394325,3.688965,25.55392,0.0,2.1132275728448855,0.22601068111920916,0.10953729933899906,0.20692897751392325,0.3296991221843592,0.27351623619788223,0.302751216896805,0.5436112918210623,0.679502172737576,0.6053749101020025,0.2078700999257918,1.8250866175101887,0.2760989010989011,0.28213844252163167,0.49781620502471924,0.38394681192967134,0.24724736535878525,0.11389601892395189,0.0,0.0,,
