round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_f1,fed_f1_best,fed_brier,fed_prevalence,fed_auroc,fed_auprc_lift,fed_f1_best_threshold,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,11.427374348733942,310.0294079442275,3.65056,3.65056,0.9971592150692714,0.2015850234108735,0.20621231139134164,0.2735397372999718,0.25119878870259443,0.11524420946626386,0.6071063521993891,1.7405675193569061,0.5145987876299826,0.38778209655704154,0.48521032052855884,0.11744077420435653,1.0311227320664427,0.0,0.20450951154489178,0.43609434366226196,0.36457119237207264,0.23395119057797914,0.11389601892395189,0.024044492714174873,2.594811223447323,0.019308753473023563,0.027211681028778946
2.0,11.0301880875347,325.18438930817535,5.632,5.632,0.5412350858791136,0.22754741780868298,0.24910975735980273,0.29928770467900584,0.24659931631031698,0.11524420946626386,0.6521062514354382,1.9664616700944015,0.543145522722845,0.3840672803718188,0.4508079939405223,0.11043388819486263,0.9696027063825566,0.0,0.2045002711006687,0.445383757352829,0.36419134520339624,0.23353333301694837,0.11389601892395189,0.019306650403765765,1.2997773080132902,,0.019306650403765765
3.0,10.711987247270446,375.0279601081347,7.61344,7.61344,0.5412350858791136,0.24701331719785072,0.26430107438604916,0.31314403526369594,0.2437405960040066,0.11524420946626386,0.6767214941179464,2.1239640854988404,0.553590777559883,0.38179825865340017,0.40092248007887477,0.0945442692909019,0.8300928354135793,0.0,0.2045002711006687,0.4395855963230133,0.36366091605833284,0.23352025717209227,0.11389601892395189,0.013310804463831864,0.9405491515062749,,0.013310804463831864
4.0,10.327870490946422,384.2320339151211,9.59488,9.59488,0.5412350858791136,0.2559425096044583,0.2812382674343109,0.3212510849398311,0.24084568419910557,0.11524420946626386,0.6875721312334369,2.2167692486568153,0.5580491395920425,0.37872838047178314,0.40106959730164704,0.09571599141845916,0.8403804832051988,0.0,0.2045002711006687,0.43229934573173523,0.36167527458419246,0.23214417230760356,0.11389601892395189,0.012017017543564264,0.8860712102614343,,0.012017017543564264
5.0,10.429646027350335,470.70059654623526,11.264,11.264,0.4559241291901578,0.23627408686811233,0.2772467764825912,0.3036982641539596,0.23307291533017313,0.11524420946626386,0.6618933380573337,2.0534280376028833,0.5464185731990071,0.36720666832178983,0.40108428016018516,0.09364203089235962,0.8221712380911591,0.0,0.2045002711006687,0.42907577753067017,0.36105736575181124,0.23173542259111582,0.11389601892395189,0.01591133875907954,0.7238173587247729,0.01591133875907954,
6.0,10.060014938891138,429.30022509315756,13.24544,13.24544,0.5412350858791136,0.24582426020064105,0.2808276660984423,0.3114030482168406,0.24243816211517422,0.11524420946626386,0.6729628316369926,2.12634962420527,0.5728711245538365,0.38036812446103585,0.38788492996075685,0.09088955406048721,0.7980046617886966,0.0,0.2045002711006687,0.43428605794906616,0.3612968511202596,0.2319066710473127,0.11389601892395189,0.009552241228006653,0.7379161157878116,,0.009552241228006653
7.0,9.654725369289979,454.1124359333592,15.22688,15.22688,0.5412350858791136,0.2557805281642548,0.2963923146584874,0.32289721710610564,0.23505230498920368,0.11524420946626386,0.683140105615398,2.2363923261216154,0.5507390913999033,0.3716532556717129,0.37144847378336704,0.08624448752353556,0.7572212649602863,0.0,0.20450951154489178,0.43565043807029724,0.3622682806940826,0.2326737540772593,0.11389601892395189,0.008472672589078415,0.6785521326819435,,0.008472672589078415
8.0,9.278750136296154,479.8766859864353,17.20832,17.20832,0.5412350858791136,0.26331366967823555,0.29543558379401264,0.33318848524551925,0.24150280762060888,0.11524420946626386,0.6915850596414811,2.307552448228525,0.5771965848700278,0.38016596591439616,0.3614286903256628,0.08378035665811692,0.7355863484048277,0.0,0.20450951154489178,0.4450409412384033,0.36371120077337693,0.2336593370857069,0.11389601892395189,0.00834872649812264,0.6917997577693313,,0.00834872649812264
9.0,9.122387840399067,509.1867481998803,19.18976,19.18976,0.5412350858791136,0.26024764446963017,0.2975974781299414,0.3386562951704572,0.24432446881296355,0.11524420946626386,0.6949152865742452,2.279421785145083,0.5893858684056175,0.3839872874514634,0.38228373316472225,0.08730503078399923,0.7665327691768805,0.0,0.2045002711006687,0.44615504145622253,0.36440913578909456,0.23409648393226332,0.11389601892395189,0.0080036383209626,0.6901914327172562,,0.0080036383209626
10.0,9.776246488818618,627.3741021703402,22.84032,22.84032,0.9971592150692714,0.2383755745059097,0.2729632639647848,0.30452373092449886,0.24692792496139576,0.11524420946626386,0.6655459634531091,2.06069865613716,0.5840226614084338,0.38494991701310144,0.3498241621019709,0.08244816695227732,0.7238898052031807,0.0,0.20451875282422052,0.45008912682533264,0.36380324932516017,0.2338054140606137,0.11389601892395189,0.009343992745657097,1.2906045988202095,0.013186516709368698,0.007242476991152596
