round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_f1_best,fed_f1,fed_auprc_lift,fed_auroc,fed_ece,fed_brier,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6899719938938798,0.08788041821778286,3.65056,3.65056,0.9971592150692714,0.19484984749447806,0.10997796663519042,0.27127581287044433,0.2157685188978303,1.7590811256954604,0.6205332984500087,0.3833025481365446,0.2434567637369592,0.49621743406745145,0.4173482064750252,0.1128031672151992,0.9904048296061834,0.19581786202853235,0.20475435816164816,0.49593260884284973,0.39453060588195177,0.25676659777813243,0.11389601892395189,0.027107344620007412,2.917177481111139,0.02293853012693735,0.02986007739758509
2.0,0.6846189482862296,0.11444455736040118,5.632,5.632,0.5412350858791136,0.21766967217167357,0.10997796663519042,0.29832684544673366,0.26154190505587827,1.9985620673618871,0.6641540907332871,0.390276823446816,0.24667305197189304,0.5395758038239544,0.4558631640912598,0.13211110677206478,1.1599273444340057,0.20451972283863956,0.20466721147734498,0.5006402134895325,0.4020155451217243,0.26244436593996456,0.11389601892395189,0.023258009005647555,1.5968184366356581,,0.023258009005647555
3.0,0.6728219960139075,0.15924305747728554,7.61344,7.61344,0.5412350858791136,0.22649399068504378,0.10997796663519042,0.3021343313101743,0.27264104849564047,2.089476512322973,0.6795491289462735,0.3685177257320286,0.23055285989105292,0.5511727618278105,0.4588453028581778,0.1389536551223819,1.220004495637033,0.20170109356014582,0.20454853732423023,0.49610671401023865,0.39934784475153556,0.26026933906038324,0.11389601892395189,0.016632532353695637,1.2183186360634863,,0.016632532353695637
4.0,0.6605689228334081,0.22371911446539378,9.59488,9.59488,0.5412350858791136,0.23342904282145016,0.10997796663519042,0.3117619648246252,0.28241407773934735,2.1637412304514845,0.6899539004928242,0.3616609077249865,0.22479554746327127,0.5554469197941608,0.4557372177935765,0.1372796744945563,1.2053070492851696,0.19501423103346746,0.20450951154489178,0.49213725328445435,0.3962940188882528,0.25781574297827226,0.11389601892395189,0.01218995617997359,0.9417776064947248,,0.01218995617997359
5.0,0.668332028434627,0.23103440758430377,11.264,11.264,0.4559241291901578,0.22065550844350043,0.10997796663519042,0.2980118245307052,0.2712833172304788,2.0416741462925345,0.6723666137490062,0.3571789912553489,0.2241960389081113,0.5486949787674215,0.4877984441591313,0.15095446609769803,1.3253708735727627,0.19765444820648706,0.20462971335563795,0.4943544864654541,0.39718951747542125,0.2583044567678847,0.11389601892395189,0.01731266935578146,0.7898895745165646,0.01731266935578146,
6.0,0.660648389594103,0.27166705863507445,13.24544,13.24544,0.5412350858791136,0.22504997603725518,0.10997796663519042,0.3070112627282431,0.27887990645433147,2.0803405959994428,0.6795062227143556,0.35176581676590923,0.2192472126574649,0.5252034789329434,0.4936652752001901,0.15362443418537136,1.3488130282055428,0.20363230990756653,0.2046204620462046,0.49645259976387024,0.4001203103042452,0.26059469431757604,0.11389601892395189,0.010956670795210788,0.8810679176822305,,0.010956670795210788
7.0,0.6418282235162294,0.3141098443596386,15.22688,15.22688,0.5412350858791136,0.23583919525921118,0.10997796663519042,0.3146831136085188,0.2849356808361787,2.197727492471304,0.693623981214039,0.3481434982561975,0.21525598116762482,0.5264062294785167,0.5641995314637094,0.18843487435103595,1.6544465393198113,0.2055585723453621,0.26081802015411976,0.5150534510612488,0.3959873550533019,0.25648958566558494,0.11389601892395189,0.009865135716330499,0.8289429051801562,,0.009865135716330499
8.0,0.6277345190707095,0.3883225377822125,17.20832,17.20832,0.5412350858791136,0.24652854629428217,0.10997796663519042,0.32377541567100315,0.295317059876998,2.296953173231494,0.7013890269944347,0.34588033561159465,0.215128009341575,0.5738576964139563,0.5417346575046299,0.17923485186144258,1.5736709110185605,0.20222334512379989,0.24837511606313833,0.5220824480056763,0.3976944280148297,0.2580145184503617,0.11389601892395189,0.009483040489506846,0.8287558443844318,,0.009483040489506846
9.0,0.6106992894212653,0.47261416789965843,19.18976,19.18976,0.5412350858791136,0.2569132846649969,0.10997796663519042,0.3331889156206607,0.30210306684507676,2.403315123099802,0.7110286688835391,0.3435528249366969,0.213960289416187,0.5565415229743331,0.5784895294151368,0.19404718432350115,1.703722273673727,0.20590623097219404,0.2692658043359446,0.5148681402206421,0.3970693642836679,0.2569716962802398,0.11389601892395189,0.010646581497839995,0.975785338319838,,0.010646581497839995
10.0,0.6449864710591962,0.5003830520518495,22.84032,22.84032,0.9971592150692714,0.22322608555496612,0.10997796663519042,0.2971403822973784,0.27436632126051785,2.0616204438111008,0.6769168828737726,0.35751354104323624,0.2243091553344658,0.5396839383266089,0.5504551585751232,0.1861826432213597,1.63467208933504,0.20196557641308305,0.25976267529665586,0.5162410140037537,0.3953393088687713,0.2560946348799415,0.11389601892395189,0.010898627459885622,1.5876465279143304,0.014228495029818482,0.009197261964514085
