round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_f1_best_threshold,fed_f1_best,fed_auroc,fed_ece,fed_f1,fed_brier,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6899524611808566,0.09006306326586383,3.65056,3.65056,0.9971592150692714,1.7460422445312147,0.10947434686811457,0.4965876951189884,0.26958059913504084,0.6203660251443129,0.38376256641555145,0.21496551370413214,0.2434210479957693,0.19388580617760046,0.41692925557806815,0.11264342248664738,0.9890022807720711,0.19646250548165473,0.2047450873856742,0.4959675371646881,0.3945906520477808,0.2568170360009769,0.11389601892395189,0.027089178912051568,2.9155197062063962,0.022931412029168072,0.029834596419360704
2.0,0.6837462855570351,0.1162250974661897,7.30112,7.30112,0.9971592150692714,1.9216820854260819,0.10947434686811457,0.5377040187893029,0.29093663169489753,0.6562576536190733,0.390220414802343,0.2531456197160046,0.24662984297471682,0.20960232824492653,0.4944059061936514,0.1506405733612833,1.322614914765947,0.2036821253786996,0.20455778621812265,0.49647194147109985,0.40256141042234167,0.26258039549304224,0.11389601892395189,0.020529244491551277,2.3459851765073836,0.016397113481962232,0.023274736053668584
3.0,0.673991040843428,0.15714141894185454,10.95168,10.95168,0.9971592150692714,2.039833358062748,0.10947434686811457,0.5542181140940483,0.2973762367905391,0.6686281643939727,0.3680718033830437,0.2659014172221663,0.23069186055258226,0.21902235000561565,0.4920596857948589,0.14952371967832678,1.3128090085234974,0.19923882017126546,0.20466591166477918,0.49648305773735046,0.404128112228511,0.2639769301825433,0.11389601892395189,0.014522253740078058,1.781776990974322,0.011633206179005122,0.016467231467896096
4.0,0.6651902109708521,0.24579566256114133,14.60224,14.60224,0.9971592150692714,2.0368472481259743,0.10947434686811457,0.5550692284805129,0.29892851378828095,0.6725130510510096,0.36257395921618,0.2699004259215224,0.22630751966641402,0.21988382177636412,0.4715223448761015,0.14543560097081576,1.2769155791821203,0.19486133372189032,0.20453723788864786,0.49529486894607544,0.40055409665556263,0.2612808053393465,0.11389601892395189,0.01183834111859772,1.5447621492203325,0.011097450878471131,0.012348053379011148
5.0,0.6610508352754019,0.23959835497982387,18.2528,18.2528,0.9971592150692714,2.0663923692214357,0.10947434686811457,0.5604567170011798,0.2982438456554743,0.6750586469724459,0.35890013969822576,0.2740107339297302,0.22447394835338733,0.22264428047230772,0.468741072633767,0.12612873480562461,1.1074024886667941,0.2044468546637744,0.20450951154489178,0.49877387285232544,0.4152662794317248,0.27383105473445996,0.11389601892395189,0.00998176719495571,1.3796468586660922,0.00954083908327815,0.010295978222187398
6.0,0.653674200305811,0.3007797093489651,21.90336,21.90336,0.9971592150692714,2.0990247457682263,0.10947434686811457,0.5493658952361049,0.30016120576701205,0.6792410161722606,0.35489458925963424,0.27145002630592,0.22175396759677563,0.22531443748984345,0.46681745502238847,0.12842430156085052,1.1275574227629426,0.20443761579827377,0.20450951154489178,0.49955102801322937,0.4170037044079196,0.2753086457103941,0.11389601892395189,0.00883595523194101,1.2843298725783825,0.008453317612784969,0.0091182944827229
7.0,0.648765358968317,0.27470398811472957,25.55392,25.55392,0.9971592150692714,2.1160048043493664,0.10947434686811457,0.5321350732669915,0.30181535849391294,0.6816799127026026,0.34621974034226083,0.2789704612026192,0.21416296148292582,0.22763676793347531,0.48833618816627866,0.1494699095809644,1.3123365591976057,0.20451875282422052,0.20461329715061058,0.5025340914726257,0.4108502950559259,0.26942807206994074,0.11389601892395189,0.008583814501220685,1.317815494723618,0.008132764464620542,0.008928576398654686
8.0,0.644977460786629,0.27526781806260703,29.20448,29.20448,0.9971592150692714,2.13514110112654,0.10947434686811457,0.5439269991989665,0.30244670434702525,0.6827475274397234,0.3491869283390375,0.2808285182600439,0.2174632006525557,0.22945065654696498,0.4958520422651479,0.15160311393025067,1.3310659614141185,0.2046019619366213,0.20500704257349264,0.5041297078132629,0.4106973719390471,0.26917951490664754,0.11389601892395189,0.00857845231005816,1.3913142657838762,0.007631565877692739,0.009327600129709847
9.0,0.6438307977004749,0.31434465239389897,32.85504,32.85504,0.9971592150692714,2.166334861928379,0.10947434686811457,0.5529423773044829,0.3064310859581155,0.6849848297299899,0.3384712964507404,0.2828412250102142,0.21100745735812512,0.23262496238962813,0.5167016637410549,0.16744221456304484,1.4701322850875553,0.20462971335563795,0.20716404289299567,0.5408029556274414,0.40962958682212786,0.26788757647586064,0.11389601892395189,0.008744070171987918,1.5053755720146,0.007467359691220588,0.009783514911953955
10.0,0.6444623644477173,0.3753442937938309,36.5056,36.5056,0.9971592150692714,2.1708314369548627,0.10947434686811457,0.5499604063811525,0.3068074932819918,0.687459684553865,0.3470881834340089,0.28225563849280816,0.21589083988879032,0.23368739162691982,0.49637137622658967,0.15023898921886003,1.3190890308393857,0.20422982663156938,0.20463180749050114,0.49600860476493835,0.4066304139422809,0.2657919601334271,0.11389601892395189,0.008208162922557488,1.503833412192762,0.00658750641451718,0.00955601693398871
