round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc_lift,fed_prevalence,fed_ece,fed_f1_best_threshold,fed_f1,fed_auprc,fed_f1_best,fed_brier,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.688392757829806,0.11531978500748177,0.08724,3.65056,0.9971592150692714,1.7322965128358137,0.11318854265029901,0.3962444337257845,0.5095390048385754,0.18467160926022003,0.19502337872074302,0.2647212411375185,0.25744928278048074,0.6073580881950654,0.6518950625888846,0.1817906541778503,1.5961106972424692,0.2045002711006687,0.2787947697555429,0.5141832232475281,0.39989367415557125,0.260781470120697,0.11389601892395189,1.01113477565757,8.710543968714774,0.6564613219600474,1.3339405385427459
2.0,0.6888950410393389,0.06915605172541246,0.13276,5.632,0.5412350858791136,1.845497917488192,0.11318854265029901,0.3816273088270589,0.49749681750182884,0.2093513523424654,0.20801922515030155,0.2727176878077684,0.2450448170171233,0.6282115785015454,0.6594453900316894,0.20957475517275378,1.840053385120391,0.2045002711006687,0.27868852459016397,0.5132551789283752,0.3981996589520778,0.25931258444051175,0.11389601892395189,0.13043291183645223,0.696378315333277,,0.13043291183645223
3.0,0.6829501499336311,0.09664264980326379,0.17828,7.61344,0.5412350858791136,1.9579298068167856,0.11318854265029901,0.3798860144832805,0.5005886638243318,0.22323811717763156,0.2191093102417649,0.28206594941179586,0.2434292749206931,0.6474208100916033,0.6591351048373668,0.20985400666696347,1.8425051959637193,0.2045002711006687,0.27696045350249693,0.5147374272346497,0.39931151025026107,0.2601203455926418,0.11389601892395189,0.1832502383790862,0.853128737420775,,0.1832502383790862
4.0,0.6778745869989756,0.11003974872000064,0.2238,9.59488,0.5412350858791136,2.069583225369153,0.11318854265029901,0.377005988470143,0.49930649396005133,0.2349381860029402,0.23130805880081923,0.2942441467507215,0.2407614019519918,0.6652027593501703,0.6555514457495484,0.19184616772668941,1.6843974841191303,0.2045002711006687,0.27543114221444637,0.5138274431228638,0.3986597489810289,0.25968911383783483,0.11389601892395189,0.16721725974020313,0.8311643825609281,,0.16721725974020313
5.0,0.6825630889430381,0.0930239260782024,0.26552,11.264,0.4559241291901578,1.9851318636830033,0.11318854265029901,0.3638299288523058,0.4836467665098057,0.2516114288236853,0.21943493449129892,0.2838410611061886,0.2295137281428982,0.6507595805345225,0.6605760328863904,0.20782936498094434,1.8247289672144864,0.2045002711006687,0.28038643001572683,0.5136853456497192,0.39860231597744294,0.25962143714197256,0.11389601892395189,0.0938985318557733,0.38779006540426053,0.0938985318557733,
6.0,0.6797216066473256,0.13576977556311678,0.31104,13.24544,0.5412350858791136,2.0230294127978974,0.11318854265029901,0.37236560754592896,0.49194395105944594,0.22822393110992467,0.22759119859680874,0.2900957771334799,0.23743852573744867,0.6634449384959508,0.6619634626226376,0.21415009118616835,1.880224552266009,0.2045002711006687,0.28076016090997363,0.5133224725723267,0.3980291699527992,0.2591373198189549,0.11389601892395189,0.1314294345764999,0.7093638079559241,,0.1314294345764999
7.0,0.6733110089035866,0.1283809180445856,0.35656,15.22688,0.5412350858791136,2.08423727683716,0.11318854265029901,0.3721519310012118,0.4942628576408815,0.2475748593779787,0.2353620708928475,0.2977054872454738,0.23628951544513543,0.6704836624168758,0.6612339629928716,0.2150739762472709,1.8883362059465423,0.2045002711006687,0.28108388435109555,0.5147902965545654,0.399450205104857,0.26025688579362477,0.11389601892395189,0.12222741630631774,0.6862875424590129,,0.12222741630631774
8.0,0.6670722180447716,0.1546688755584859,0.40208,17.20832,0.5412350858791136,2.163510851192403,0.11318854265029901,0.371767605786283,0.4976627648195681,0.26062962811271256,0.24260571864892194,0.30539304287343155,0.23591912367226828,0.6755411737308353,0.6610061025975908,0.21476412187078256,1.885615703690048,0.2045002711006687,0.28096795291039894,0.5146992206573486,0.3991615638662593,0.26002124720126774,0.11389601892395189,0.09656350775405798,0.5849069448877344,,0.09656350775405798
9.0,0.6594282889446383,0.18000074127808058,0.4476,19.18976,0.5412350858791136,2.2159268356540593,0.11318854265029901,0.36792114173274093,0.4991878892871092,0.26231248833386894,0.24818082412374642,0.3096343696704438,0.23246144271695332,0.6815725288572908,0.6612530758078746,0.2149820514273229,1.8875291117143078,0.2045002711006687,0.28,0.5145086646080017,0.3988293428366782,0.2597077788362319,0.11389601892395189,0.08827367527767599,0.5882280142686795,,0.08827367527767599
10.0,0.6737490380360266,0.17183472587217893,0.53484,22.84032,0.9971592150692714,1.9680897232552883,0.11318854265029901,0.3674273211156042,0.48649292004194733,0.20631271819505986,0.22111358808028506,0.2832694542775391,0.2336391440785488,0.6506850196138778,0.6629077084706139,0.2175324201951878,1.9099211917181556,0.2045002711006687,0.2818221766515307,0.5143768787384033,0.39798895559983366,0.2590197662367452,0.11389601892395189,0.08708052664886481,1.0608803566428833,0.107421868934087,0.0740164848937655
11.0,0.6724889369035107,0.1591282034999732,0.58036,24.82176,0.5412350858791136,2.1095882017504426,0.11318854265029901,0.3645747052505026,0.4877302160794382,0.2568055455595625,0.23670019752720614,0.29381312988110947,0.23034960420189182,0.6671912788112926,0.6629343886050175,0.2176018729977253,1.9105309830277524,0.2045002711006687,0.2814548258578589,0.5134925842285156,0.3977309261356388,0.25884545642527623,0.11389601892395189,0.0687719749583586,0.5410837389645167,,0.0687719749583586
12.0,0.6639454221456749,0.2410594934126104,0.62588,26.8032,0.5412350858791136,2.173680411984223,0.11318854265029901,0.36563124851231904,0.4942541934387992,0.2716826478001323,0.24290207699705682,0.30082602953143894,0.23056941553924828,0.673641679327211,0.6620304892443919,0.20963073774770236,1.8405449086650898,0.2045002711006687,0.2817229336437719,0.5133833289146423,0.3974007525281557,0.25860306544892897,0.11389601892395189,0.05969812346293954,0.503428369644098,,0.05969812346293954
13.0,0.6523608175156185,0.28005048006844796,0.6714,28.78464,0.5412350858791136,2.234112928841327,0.11318854265029901,0.35983024406515657,0.49610167406886335,0.2866877002868337,0.24969282725186506,0.3079653702420714,0.22536673247054195,0.6789853934619585,0.6628947950847712,0.21679695047083708,1.90346381303803,0.2045002711006687,0.28133453561767363,0.5130795836448669,0.3967614145810269,0.258013822120453,0.11389601892395189,0.05236117451356094,0.4775990362977609,,0.05236117451356094
14.0,0.6411664775590673,0.32678478493717306,0.71692,30.76608,0.5412350858791136,2.2735621530517434,0.11318854265029901,0.3608823339688467,0.5012225539101944,0.29135258281679327,0.2544783481915853,0.3156399004080623,0.22559764756124656,0.6848887383913784,0.6627202698593944,0.21609044788487047,1.8972607640408712,0.2045002711006687,0.2813786008230453,0.5124002695083618,0.3963522213929324,0.2576750059767257,0.11389601892395189,0.03914188636047893,0.38976290525170043,,0.03914188636047893
15.0,0.6681190261066872,0.23762341061291722,0.75864,32.4352,0.4559241291901578,1.9894818998954047,0.11318854265029901,0.3516728229930952,0.5140771503263876,0.2626699287887478,0.22353817975738355,0.2849331690700665,0.22038780851694736,0.6522390456411796,0.6628204772315548,0.21754944536339174,1.910070671641728,0.2045002711006687,0.2814673394245193,0.5127358436584473,0.39609272182782734,0.2574406875807181,0.11389601892395189,0.06772960573542366,0.4090338523965329,0.06772960573542366,
16.0,0.6635519313739817,0.20529528917825995,0.80416,34.41664,0.5412350858791136,2.112134622062474,0.11318854265029901,0.35895507421401973,0.4916189186352396,0.27111651561331573,0.23682458173635162,0.29608161542825306,0.22541005386738677,0.6699351661920402,0.662033551310617,0.21478984264298887,1.8858415304788094,0.2045002711006687,0.28143550998381,0.5133253335952759,0.3966744471504678,0.25793284576204983,0.11389601892395189,0.037953634862070554,0.3931765780434944,,0.037953634862070554
17.0,0.652918458332162,0.27590198843996255,0.84968,36.39808,0.5412350858791136,2.191734607743775,0.11318854265029901,0.3616996693112094,0.5050022157926323,0.28607350836734263,0.24561846374083054,0.3031479477615953,0.22658323641980443,0.6770151669256206,0.6621431707715839,0.21564016123198385,1.8933072750854119,0.2045002711006687,0.28067796610169493,0.513681948184967,0.39663942882318587,0.2578834203500724,0.11389601892395189,0.0279488038608217,0.30970337946200743,,0.0279488038608217
18.0,0.6412501907022962,0.3533526889280506,0.8952,38.37952,0.5412350858791136,2.238499311273525,0.11318854265029901,0.3626643336997455,0.5063645855825879,0.2876264090883301,0.2505381699145561,0.30630945537733223,0.22666742544330967,0.6825020166071726,0.6603618513935087,0.2096229328716413,1.8404763823361205,0.2045002711006687,0.2788706008296535,0.5135186910629272,0.3964263534706692,0.25772465342013967,0.11389601892395189,0.025905250235629822,0.3035330394632183,,0.025905250235629822
19.0,0.6292371039939659,0.38348760814446636,0.94072,40.36096,0.5412350858791136,2.30835731062959,0.11318854265029901,0.36056038605686547,0.5111789632507717,0.29466393947107505,0.2581678912543545,0.31624640479146515,0.22479627413876363,0.689276493608833,0.661115420871716,0.2116084081251691,1.8579087322311023,0.2045002711006687,0.2800950369588173,0.5130512714385986,0.3960356439502089,0.2573952799253619,0.11389601892395189,0.0234195341545834,0.2926291150834004,,0.0234195341545834
