round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_auprc,fed_f1,fed_auprc_lift,fed_f1_best_threshold,fed_prevalence,fed_f1_best,fed_ece,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.688618605725418,0.11822271758685325,0.9136,3.65056,0.9971592150692714,0.6188924580149197,0.19287363192121687,0.2443961025366228,1.6897976385320435,0.5130573676398245,0.11373363544813697,0.27202036612686226,0.381585534922741,0.24502652670560615,0.3716858341136164,0.08535925926193622,0.7494490155878969,0.14553099145530993,0.2045002711006687,0.4695787727832794,0.38689027119099245,0.2510456214183147,0.11389601892395189,0.027872382306326764,2.990484352922067,0.02350917875128517,0.030754665342270344
2.0,0.6827875857673498,0.1393435320673025,1.8272,7.30112,0.9971592150692714,0.6461723863260196,0.2135168176043732,0.25510749289369516,1.8937975855984226,0.5362317779205538,0.11373363544813697,0.2877430853717145,0.3704752674746474,0.23606151378517481,0.33426284194181377,0.08013475512787045,0.703578192503605,0.13608657793257867,0.2045002711006687,0.40696272253990173,0.3906959258389284,0.25457158340548297,0.11389601892395189,0.01854357353076723,2.110209722770378,0.016299154816421423,0.020038841589283266
3.0,0.6731097967485706,0.2020521571879204,2.7408,10.95168,0.9971592150692714,0.6622623351439609,0.22267649396931846,0.26222956475675036,1.9862886319884594,0.5632632228790633,0.11373363544813697,0.2968329712324767,0.3717093892219174,0.2363725686074566,0.3279827449054371,0.0791040360959962,0.6945285431689564,0.1311985480002593,0.20450951154489178,0.34981679916381836,0.3885820399932505,0.2543885519528705,0.11389601892395189,0.012184836679607838,1.4839562966953963,0.011735468023248811,0.012494272931961386
4.0,0.6669650050972459,0.20544842596912988,3.6544,14.60224,0.9971592150692714,0.6649357082589336,0.22501128040727209,0.2690783237688619,1.999786070180804,0.5298993203316301,0.11373363544813697,0.2967787988074614,0.3595857526638057,0.22671720756546435,0.3274850587482504,0.07902893667005664,0.6938691748552167,0.1217354969008984,0.20450951154489178,0.2866349220275879,0.3845928422516069,0.2511413429032756,0.11389601892395189,0.010188720128924229,1.3198584334459156,0.009936440779170521,0.010370363070097713
5.0,0.6581313654911225,0.2114604630715117,4.568,18.2528,0.9971592150692714,0.669115160384182,0.22944886863182234,0.280761396491243,2.0373448637239457,0.5181689166725583,0.11373363544813697,0.29885266215445133,0.3374113858971006,0.2122372241286837,0.3265267073165161,0.07889596733190996,0.6927017122924078,0.13446313706086097,0.2045002711006687,0.32669275999069214,0.38635174394391836,0.2522311931870174,0.11389601892395189,0.009705701092585246,1.3304574843496084,0.009349752155907264,0.009973886135973957
6.0,0.6544767228562263,0.28458964636659345,4.568,18.2528,0.0,0.6837716521328611,0.24633706922903667,0.28869474080792196,2.1949849188457824,0.5593272575363892,0.11373363544813697,0.31250858626552397,0.3425460233731047,0.21602621505229794,0.3265267073165161,0.07889596733190996,0.6927017122924078,0.13446313706086097,0.2045002711006687,0.32669275999069214,0.38635174394391836,0.2522311931870174,0.11389601892395189,0.0,0.0,,
7.0,0.6432117372334766,0.4683350560007349,4.568,18.2528,0.0,0.6962401803775972,0.26078083021903314,0.2962151109390033,2.3341054851094323,0.5534272240953142,0.11373363544813697,0.3280807648966261,0.34215434620950336,0.21498226228681036,0.3265267073165161,0.07889596733190996,0.6927017122924078,0.13446313706086097,0.2045002711006687,0.32669275999069214,0.38635174394391836,0.2522311931870174,0.11389601892395189,0.0,0.0,,
8.0,0.6255471228494867,0.407100206312076,4.568,18.2528,0.0,0.7049543575259805,0.26984805385655203,0.30922130305795154,2.4197086679942634,0.5455894188267018,0.11373363544813697,0.3366163052505341,0.32189198353499915,0.20163937721507688,0.3265267073165161,0.07889596733190996,0.6927017122924078,0.13446313706086097,0.2045002711006687,0.32669275999069214,0.38635174394391836,0.2522311931870174,0.11389601892395189,0.0,0.0,,
9.0,0.6524592463199121,0.2804548718813209,5.4816,21.90336,0.9971592150692714,0.6723778292694844,0.23476901501451936,0.2810200669200118,2.0856811250375658,0.5392598403281975,0.11373363544813697,0.30410675153016065,0.3378880939062795,0.21337422006376425,0.32470960945152416,0.07875875567167141,0.6914970024040827,0.1290910273928037,0.2045002711006687,0.2907877266407013,0.38740984028518105,0.25388463223807156,0.11389601892395189,0.00901674295160669,1.3124886052682996,0.007740180908590349,0.01001718912281469
10.0,0.6472556183998617,0.2755779783515292,5.4816,21.90336,0.0,0.685619106118168,0.25207598631791134,0.29241216572985484,2.2476133619664505,0.5659625993934643,0.11373363544813697,0.31598592377098433,0.3299134188912685,0.20747262271746872,0.32470960945152416,0.07875875567167141,0.6914970024040827,0.1290910273928037,0.2045002711006687,0.2907877266407013,0.38740984028518105,0.25388463223807156,0.11389601892395189,0.0,0.0,,
11.0,0.6310930506444772,0.3828942800579944,5.4816,21.90336,0.0,0.6970762826832547,0.2627846741950042,0.28855618741682565,2.3510574368201564,0.5778987201630379,0.11373363544813697,0.3252665139810763,0.35436782611005024,0.2240960218838386,0.32470960945152416,0.07875875567167141,0.6914970024040827,0.1290910273928037,0.2045002711006687,0.2907877266407013,0.38740984028518105,0.25388463223807156,0.11389601892395189,0.0,0.0,,
12.0,0.6158257566750167,0.45989396038957214,5.4816,21.90336,0.0,0.7072087503983525,0.27608937570932796,0.3003490006510263,2.48352865999736,0.5931500875994129,0.11373363544813697,0.339473622238086,0.33846010778672336,0.21382461815945653,0.32470960945152416,0.07875875567167141,0.6914970024040827,0.1290910273928037,0.2045002711006687,0.2907877266407013,0.38740984028518105,0.25388463223807156,0.11389601892395189,0.0,0.0,,
13.0,0.6464767874812261,0.34610042728664825,6.3952,25.55392,0.9971592150692714,0.6737811465090425,0.23934218104881297,0.28409870964769174,2.128343215092702,0.5473688049720223,0.11373363544813697,0.3108559622876449,0.31929996008970674,0.20202693966797466,0.3249186707680952,0.07873415596844631,0.6912810185316216,0.12985179957657023,0.2045002711006687,0.2899898886680603,0.3915889983964594,0.25771122304678157,0.11389601892395189,0.008308798870717757,1.281196974683553,0.006759585245432511,0.00956132267027244
14.0,0.6423468161454481,0.3858927819813973,6.3952,25.55392,0.0,0.6888511275722333,0.25656845825313296,0.29403515752195997,2.297681234672182,0.5553910190113872,0.11373363544813697,0.3215233714930732,0.3382891145987813,0.21213232010672303,0.3249186707680952,0.07873415596844631,0.6912810185316216,0.12985179957657023,0.2045002711006687,0.2899898886680603,0.3915889983964594,0.25771122304678157,0.11389601892395189,0.0,0.0,,
15.0,0.6268461833411926,0.46633815266641954,6.3952,25.55392,0.0,0.7029549834720826,0.2720312885544612,0.2961071196297606,2.4421091312544045,0.5918288809028784,0.11373363544813697,0.33184973459959055,0.3501385525628654,0.2217113156982743,0.3249186707680952,0.07873415596844631,0.6912810185316216,0.12985179957657023,0.2045002711006687,0.2899898886680603,0.3915889983964594,0.25771122304678157,0.11389601892395189,0.0,0.0,,
16.0,0.6127303190652409,0.503712813352063,6.3952,25.55392,0.0,0.7105401482157797,0.27917491318280613,0.3159357219976344,2.5143846273174364,0.5367268238700589,0.11373363544813697,0.34355797116737813,0.3020121695760783,0.18871180699371184,0.3249186707680952,0.07873415596844631,0.6912810185316216,0.12985179957657023,0.2045002711006687,0.2899898886680603,0.3915889983964594,0.25771122304678157,0.11389601892395189,0.0,0.0,,
17.0,0.6441720016123362,0.418525344647992,7.3088,29.20448,0.9971592150692714,0.6770657145922675,0.24395704834770776,0.28198009931559576,2.1779686246237904,0.558009417631925,0.11373363544813697,0.31181880274988616,0.3398031462124604,0.2141879214988875,0.3249966907095756,0.07874562525069365,0.6913817181202085,0.12588534010423627,0.2045002711006687,0.3251909911632538,0.3918299984590559,0.2576187307805202,0.11389601892395189,0.007967701256850685,1.3016737768193707,0.006294406828695209,0.009351977449995157
18.0,0.6431283174155736,0.36907302306947065,7.3088,29.20448,0.0,0.6923916165181044,0.2596140452427215,0.29242477248203946,2.3271665434848856,0.5867800639355171,0.11373363544813697,0.3259409198158201,0.352753762291765,0.22338226706920575,0.3249966907095756,0.07874562525069365,0.6913817181202085,0.12588534010423627,0.2045002711006687,0.3251909911632538,0.3918299984590559,0.2576187307805202,0.11389601892395189,0.0,0.0,,
19.0,0.6251841867158786,0.5470627906142947,7.3088,29.20448,0.0,0.7028166878194773,0.27366117598676254,0.3052184618904429,2.4612723653722366,0.5503629725520225,0.11373363544813697,0.3353114833305346,0.3219837388280481,0.20135294066342294,0.3249966907095756,0.07874562525069365,0.6913817181202085,0.12588534010423627,0.2045002711006687,0.3251909911632538,0.3918299984590559,0.2576187307805202,0.11389601892395189,0.0,0.0,,
20.0,0.6066043370335157,0.5433095010843527,7.3088,29.20448,0.0,0.7148208228517194,0.286569793680887,0.3164250295949286,2.5814091034749738,0.5626166130829704,0.11373363544813697,0.35177416560502944,0.3249074417553994,0.2022956619799081,0.3249966907095756,0.07874562525069365,0.6913817181202085,0.12588534010423627,0.2045002711006687,0.3251909911632538,0.3918299984590559,0.2576187307805202,0.11389601892395189,0.0,0.0,,
21.0,0.6458406002282375,0.47961783891396426,8.2224,32.85504,0.9971592150692714,0.6797676834808141,0.24642863085309719,0.2779263457973519,2.1995210091676647,0.5644476329148087,0.11373363544813697,0.31437282939414696,0.3529561694930912,0.22258280669124544,0.3244686348791731,0.07861135008713062,0.6902027904910288,0.12009138940454091,0.2045002711006687,0.31868115067481995,0.3875680979112715,0.25405460295591503,0.11389601892395189,0.007706908694911702,1.3331149594159797,0.005832128682481115,0.00929180397657627
22.0,0.6410004195155851,0.48618159204022204,8.2224,32.85504,0.0,0.6952228226654993,0.26366408692638116,0.2933064330120475,2.366130357745039,0.5696810069948827,0.11373363544813697,0.32518110228550223,0.34474416929489415,0.21698775218254193,0.3244686348791731,0.07861135008713062,0.6902027904910288,0.12009138940454091,0.2045002711006687,0.31868115067481995,0.3875680979112715,0.25405460295591503,0.11389601892395189,0.0,0.0,,
23.0,0.623696982560817,0.49255742812110126,8.2224,32.85504,0.0,0.7063264263803786,0.27510684883382,0.30007377565614357,2.476616234644463,0.5762152478459018,0.11373363544813697,0.3378197643416202,0.3476215781114549,0.21935232673098545,0.3244686348791731,0.07861135008713062,0.6902027904910288,0.12009138940454091,0.2045002711006687,0.31868115067481995,0.3875680979112715,0.25405460295591503,0.11389601892395189,0.0,0.0,,
24.0,0.6045402334259611,0.5443043231679671,8.2224,32.85504,0.0,0.7191353564778611,0.2929002035539852,0.31311872187061845,2.6440321703081135,0.5906801886353849,0.11373363544813697,0.351912208682825,0.3309919994060899,0.20709518179785477,0.3244686348791731,0.07861135008713062,0.6902027904910288,0.12009138940454091,0.2045002711006687,0.31868115067481995,0.3875680979112715,0.25405460295591503,0.11389601892395189,0.0,0.0,,
25.0,0.6422008094097549,0.5035464072120959,9.136,36.5056,0.9971592150692714,0.6805762933588918,0.24947582512763913,0.2838656400084894,2.2278054283509663,0.5613435435860087,0.11373363544813697,0.31891270669926847,0.33649588654508067,0.2118888310939912,0.32523250745726073,0.07876415931985184,0.6915444461008113,0.12766238048137157,0.2045002711006687,0.340069055557251,0.39165788939779267,0.2574050683250088,0.11389601892395189,0.007719858377509615,1.412777985446155,0.005430744288554093,0.009700919170491595
26.0,0.6396872158846217,0.5222328774255667,9.136,36.5056,0.0,0.6963963320397839,0.26868043381327733,0.3013841395976212,2.409006399523685,0.5591014443454965,0.11373363544813697,0.3285552100341283,0.3232666348629563,0.20222317673557402,0.32523250745726073,0.07876415931985184,0.6915444461008113,0.12766238048137157,0.2045002711006687,0.340069055557251,0.39165788939779267,0.2574050683250088,0.11389601892395189,0.0,0.0,,
27.0,0.6251729228161041,0.6023327246626521,9.136,36.5056,0.0,0.7110206482587655,0.2829931418222527,0.3143457328646314,2.5407666808189098,0.557173592001875,0.11373363544813697,0.34264475640914005,0.3290918169949721,0.2052183840456276,0.32523250745726073,0.07876415931985184,0.6915444461008113,0.12766238048137157,0.2045002711006687,0.340069055557251,0.39165788939779267,0.2574050683250088,0.11389601892395189,0.0,0.0,,
