round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_prevalence,fed_f1,fed_auprc,fed_auprc_lift,fed_ece,fed_auroc,fed_f1_best,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6889021437298699,0.12255322850143462,3.65056,3.65056,0.9971592150692714,0.5114722108855952,0.11394397230091279,0.2146733216229302,0.19050856086582382,1.6670210439810134,0.3890306437469557,0.6167129267632137,0.27020922305358286,0.25028604985838016,0.6410702443513788,0.17435531964404521,1.530828920021005,0.26414326414326417,0.26630263572403656,0.500413715839386,0.38104006684662217,0.24534648422061392,0.11389601892395189,0.027669155589563496,2.989885001210496,0.023288359654873088,0.030566801291251687
2.0,0.6802063136422751,0.13304047380254064,5.632,5.632,0.5412350858791136,0.51471702137157,0.11394397230091279,0.25824525247580954,0.22540413738257514,1.9832337018145478,0.3674289018469185,0.6589797235163212,0.28809797472397847,0.2327615299617932,0.6234629494253581,0.15754124211817572,1.3832023595430991,0.2343770998521704,0.25052720371151416,0.49310046434402466,0.37472113662003886,0.24039166749709182,0.11389601892395189,0.020398357538004924,1.4115843032486737,,0.020398357538004924
3.0,0.6684451399891365,0.23936663213367582,7.61344,7.61344,0.5412350858791136,0.5167692441046519,0.11394397230091279,0.2690567170831868,0.23528280464505602,2.063227756318123,0.35530220439758997,0.6724651325648622,0.29705452821561035,0.22393203699814318,0.583343042425831,0.1372037227333941,1.2046401975209047,0.20921117099461048,0.2302454473475851,0.4917142987251282,0.37421849313904965,0.24026731478767516,0.11389601892395189,0.01578846987658756,1.1605749947484583,,0.01578846987658756
4.0,0.6529471204944127,0.26193320958606636,9.59488,9.59488,0.5412350858791136,0.5211648290754677,0.11394397230091279,0.2879700075213674,0.24701433884435764,2.1731577952227683,0.34296045236085465,0.6833209326404888,0.31144155999540996,0.2154827656118057,0.5851643318077049,0.13920033660915676,1.2221703438300202,0.20561752452627335,0.2313476850486582,0.4833657741546631,0.3690875590333545,0.23633655420424002,0.11389601892395189,0.012860637523854074,0.9969633906148374,,0.012860637523854074
5.0,0.6587027243984149,0.3191142448354215,11.264,11.264,0.4559241291901578,0.4910409598219947,0.11394397230091279,0.2630257583314148,0.22409091533307943,1.9554436862987252,0.35061786353287927,0.6564283130967313,0.2829726802514448,0.22324010633546848,0.5784158139356039,0.13489910574348185,1.1844058029241011,0.19006419201786212,0.23081460121895275,0.4727635979652405,0.36553019966925093,0.23368111583035245,0.11389601892395189,0.01744001101438981,0.8028492624871433,0.01744001101438981,
6.0,0.6519869723469883,0.4254516450050464,13.24544,13.24544,0.5412350858791136,0.5140233639054304,0.11394397230091279,0.2794159117225217,0.2389129010633496,2.089376700365507,0.3406392795506009,0.6717027501946874,0.2990190989166507,0.21416257144531245,0.5783409188076073,0.13262652445004564,1.1644526797604757,0.19687845643357502,0.2327351821642197,0.4757705330848694,0.36559586310861836,0.23365632453621388,0.11389601892395189,0.00889499148742745,0.722388275898993,,0.00889499148742745
7.0,0.6374090690516813,0.407496078182321,15.22688,15.22688,0.5412350858791136,0.5182922528268107,0.11394397230091279,0.294142652036724,0.25172317860334453,2.205624600331701,0.3424566197688939,0.6840818876384653,0.3104698423832843,0.21397487935401063,0.5695565410277468,0.1315245389613931,1.1547773153441978,0.1900181959968807,0.2260976610586787,0.4727899730205536,0.36304667285760744,0.2320138806970047,0.11389601892395189,0.009405100250715248,0.7924769439268857,,0.009405100250715248
8.0,0.6256138992469646,0.481979059566393,17.20832,17.20832,0.5412350858791136,0.5481220080111814,0.11394397230091279,0.29728832979706776,0.25953654267033893,2.272842824110489,0.34795788510775555,0.6910855423678387,0.3180035672745738,0.21819719196538903,0.579060855755146,0.13542966797005312,1.1890641064502807,0.19171213685297153,0.22971963885683255,0.4692339301109314,0.36124396439203166,0.23057140302352766,0.11389601892395189,0.009661017467051381,0.8474929349031299,,0.009661017467051381
9.0,0.611579592272586,0.7174769932893905,19.18976,19.18976,0.5412350858791136,0.5359620402660016,0.11394397230091279,0.3027584643681438,0.2704657269647923,2.37002918979018,0.3365808958001846,0.6996843052682928,0.3218936509905265,0.21061964330832866,0.5923736529983226,0.13854975699769295,1.2164582950893332,0.20560499402311064,0.23735902606617373,0.4759441018104553,0.3596353734380748,0.22908539808731132,0.11389601892395189,0.010981829938022176,1.0105035697342828,,0.010981829938022176
10.0,0.6405608305853119,0.51803956113597,22.84032,22.84032,0.9971592150692714,0.49283799497556646,0.11394397230091279,0.2696239116434375,0.23067801459343787,2.0100280486059177,0.3224942610390088,0.6588794253636097,0.28886571564006147,0.2045138898463055,0.6111759192686741,0.1491499709497301,1.309527517808302,0.20785149117468046,0.24504422079902408,0.47459718585014343,0.354863801471504,0.2253188022507166,0.11389601892395189,0.009325821620942958,1.3694191202521324,0.013056195359893741,0.007392653758654096
11.0,0.6452413118233785,0.47292348259415434,24.82176,24.82176,0.5412350858791136,0.5171514306403873,0.11394397230091279,0.2855285714301284,0.24810483773101816,2.167996218720785,0.339785470071269,0.6766032402998857,0.3038718184425373,0.21317933689061205,0.6206066565605095,0.15352173547546627,1.3479113398860094,0.23328699608239606,0.2512976552711652,0.48919031023979187,0.3554773080018382,0.22556117778614718,0.11389601892395189,0.006934978140000345,0.6898912700125948,,0.006934978140000345
12.0,0.627589047322787,0.5384016284138974,26.8032,26.8032,0.5412350858791136,0.5483296459731268,0.11394397230091279,0.2843932334525813,0.25934415401446326,2.2689863224905684,0.34047087707425167,0.6863333002953796,0.3101301616587235,0.21452110017488382,0.6104029985358805,0.1476523710678207,1.2963786834938265,0.2175465442489161,0.24631382896166384,0.47543781995773315,0.3535126416253854,0.224312841523778,0.11389601892395189,0.007220372443307683,0.7436791121726856,,0.007220372443307683
13.0,0.6097041221600216,0.9200428018750288,28.78464,28.78464,0.5412350858791136,0.5666679761189878,0.11394397230091279,0.2994124745751706,0.27211505280222636,2.387714551029438,0.3373647016891433,0.6977168727685197,0.323154217494357,0.2118805303545283,0.6237012384150363,0.15315320878059208,1.3446756983038373,0.23520485584218512,0.2558551833535504,0.48983338475227356,0.35250753422731174,0.22334804874485345,0.11389601892395189,0.007939787385589746,0.8543384774820879,,0.007939787385589746
14.0,0.5913279911870593,0.6500532412163145,30.76608,30.76608,0.5412350858791136,0.5856762048317872,0.11394397230091279,0.2982785804841368,0.2850949659513664,2.5005141307131318,0.34611432607261344,0.7071117834670249,0.32748320037581674,0.21748328367398576,0.6274369843085169,0.15629795240040495,1.3722863527369182,0.2462364336562026,0.25773387998509134,0.49271783232688904,0.3548288465122181,0.22495164253107985,0.11389601892395189,0.007956457992396502,0.900176715804264,,0.007956457992396502
15.0,0.6450965292829605,0.7414293964594618,32.4352,32.4352,0.4559241291901578,0.5234703540802002,0.11394397230091279,0.27571895610029784,0.239065216041585,2.0781764750709977,0.3452536586802225,0.6672061476542214,0.294379745265795,0.21849797301657764,0.626792908796759,0.15767230041336178,1.38435304326694,0.2486928847465333,0.2536149329594251,0.49272075295448303,0.36077320532965806,0.22936767291369572,0.11389601892395189,0.0109422681317575,0.5944260298274457,0.0109422681317575,
16.0,0.6390941408617559,0.6671367974218777,34.41664,34.41664,0.5412350858791136,0.539276133348704,0.11394397230091279,0.28526763677374106,0.2539864678167189,2.215130156647595,0.3421251075747424,0.6811328333883953,0.3057118374597223,0.21534492079081458,0.6253521815389633,0.15532595113540262,1.3637522417628434,0.250055321973888,0.2553151982174357,0.4958813488483429,0.36011266798220476,0.22890198148779053,0.11389601892395189,0.00610215921576251,0.7161625649314374,,0.00610215921576251
17.0,0.6217277103557206,0.564359389690906,36.39808,36.39808,0.5412350858791136,0.5719477323979976,0.11394397230091279,0.28320231688034575,0.265616384256247,2.3239589166011125,0.35681533944266264,0.691355303039571,0.3142974769131208,0.2251840550350617,0.6220096601663686,0.1527133263293427,1.3408135575950995,0.24485177642000452,0.2527334647786342,0.4936066269874573,0.3587143714801493,0.2279350371169141,0.11389601892395189,0.0063115219032091096,0.7651040048804134,,0.0063115219032091096
18.0,0.602170987392591,0.6990220474561197,38.37952,38.37952,0.5412350858791136,0.549787980860271,0.11394397230091279,0.2973182251802608,0.27971166199981456,2.454788229107563,0.34324078657316986,0.7054878866728709,0.3301748614925868,0.21470865364601918,0.6100933031657899,0.1472158103874882,1.2925457077282383,0.22420319941384784,0.24383897137609062,0.4848099946975708,0.3595167357279386,0.22871416592595764,0.11389601892395189,0.00686840324244821,0.8688767356798053,,0.00686840324244821
19.0,0.5903840204119629,0.9113014740611941,40.36096,40.36096,0.5412350858791136,0.5521625554370249,0.11394397230091279,0.3098884001486767,0.2926663708230797,2.572835349317286,0.33896191424215577,0.7173095216386295,0.3366396596118629,0.2123542213963724,0.61660697059799,0.15167277687026404,1.3316775977177535,0.22916135610502167,0.24639949906073894,0.48569950461387634,0.35953559648967226,0.22864960409778495,0.11389601892395189,0.008980653051063596,1.1837833395693451,,0.008980653051063596
20.0,0.6421688853442588,0.8398216129530415,44.01152,44.01152,0.9971592150692714,0.5175844819057204,0.11394397230091279,0.2725727055706528,0.23853517678228953,2.074022638775513,0.33503164387219236,0.6657074049039557,0.2923304759418388,0.21277482337825068,0.623871157991624,0.1571961386101869,1.3801723720927102,0.24584040747028862,0.24965266645292294,0.49912551045417786,0.3633194199892468,0.23134280501878074,0.11389601892395189,0.0075094676231214205,1.4751497094985098,0.010120679904391102,0.00639598664470707
21.0,0.6411512911546933,0.7314564047311732,45.99296,45.99296,0.5412350858791136,0.5434772873979189,0.11394397230091279,0.28572255874729335,0.2547992101935237,2.2206416143343914,0.34429209558870716,0.6814851969752164,0.30442517851316875,0.21745738580524296,0.6175053356503972,0.15433447094188307,1.3550471070014471,0.2380664652567976,0.24507448342143198,0.488911896944046,0.3629978887162695,0.2312210530043603,0.11389601892395189,0.005819798046356896,0.8161855067592114,,0.005819798046356896
22.0,0.6215316208970618,0.7793816006050927,47.9744,47.9744,0.5412350858791136,0.5596951808931695,0.11394397230091279,0.291292674149229,0.27322181564676257,2.3911348128538297,0.35948655740303703,0.6975799536063414,0.3244198332015526,0.22627778644328678,0.6282381162088267,0.15912793683214677,1.3971334409712435,0.25123662717128725,0.253595045659704,0.49862784147262573,0.36612945271129904,0.23343789334936843,0.11389601892395189,0.005260717881168239,0.7622312481980771,,0.005260717881168239
23.0,0.6019872056580001,0.8010894518085323,49.95584,49.95584,0.5412350858791136,0.5389070154437113,0.11394397230091279,0.31099946476140433,0.28603979642046856,2.508386762932122,0.3249113908584553,0.7083232271789599,0.33281290126156876,0.20217080347383898,0.6336367523042926,0.16278433829532934,1.4292364196155098,0.24713271436373566,0.25872832369942195,0.4977622330188751,0.36162723669786684,0.2300495762012171,0.11389601892395189,0.006205399254538865,0.9303996938979253,,0.006205399254538865
