round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auroc,fed_f1_best_threshold,fed_brier,fed_ece,fed_f1,fed_auprc,fed_auprc_lift,fed_f1_best,fed_prevalence,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,11.281996623167933,302.92929528747743,3.66096,3.66096,1.0,0.64916314968825,0.49281724814238814,0.22918094300176425,0.3649144979356744,0.2648466799158665,0.20641153549699953,1.8661485017784063,0.28112972674945075,0.11183134046570167,0.6503280501982085,0.1989226112946861,1.7465282208635078,0.26810924924132473,0.2712079007343631,0.4969424605369568,0.3626070949471383,0.2293592417214841,0.11389601892395189,0.021585240456926964,2.317414915360132,0.01938064649959499,0.02318964366732343,0.009514462900204903
2.0,10.091090360105385,420.43585271985785,7.32192,7.32192,1.0,0.6545049087863448,0.5251590053959414,0.2367361173682733,0.3755931577962325,0.26707994845720767,0.2132552233257449,1.9357907410897743,0.2900977909646554,0.11183134046570167,0.6586364774712996,0.20507602803361935,1.8005548391515611,0.2736098852603707,0.27706890266131967,0.5159435272216797,0.3732745995326673,0.23675583710165132,0.11389601892395189,0.01434215184634352,1.6193169263870004,0.01364545679185061,0.014899286097446292,0.005424304325718015
3.0,9.586158022730611,529.250617569048,10.98288,10.98288,1.0,0.6572685103211903,0.5100380001145387,0.227505572044917,0.3628890829820764,0.27386998351738495,0.2163235374977767,1.9672699731001506,0.2912437111697984,0.11183134046570167,0.6589193797619208,0.20719398311552398,1.8191503537438558,0.2701781970649895,0.2742799393633148,0.4456731379032135,0.3605994632829207,0.22774361415261343,0.11389601892395189,0.010838021572657914,1.2955208700659568,0.010790113242831455,0.010934425577996863,0.004380479063613792
4.0,9.55219742151262,511.1723466244836,14.64384,14.64384,1.0,0.6580756072161869,0.544273243881082,0.23437070177526154,0.37224338215015607,0.277280856269826,0.22140477739299755,2.010351961608603,0.2945101169005165,0.11183134046570167,0.6600249990098482,0.210452117347596,1.8477565707376866,0.27141828653707706,0.27463181912466295,0.45452484488487244,0.3697378669770136,0.2345963008901404,0.11389601892395189,0.00886010429990346,1.1088042316437168,0.009132994229519941,0.00871788238509601,0.0038492477451375876
5.0,9.424925739858597,514.5692662278,18.3048,18.3048,1.0,0.6598203024987701,0.5526360987679173,0.2403239244024623,0.37994401285376755,0.2699465903482247,0.2238711551567395,2.0266849410340795,0.2962006218985306,0.11183134046570167,0.6601975539713018,0.2095693850591107,1.8400062358548257,0.27343924815394943,0.2759312680295999,0.5454861521720886,0.3772990676313841,0.2405214950969943,0.11389601892395189,0.008392323008030262,1.0971256871016521,0.008583817619583581,0.008304889688241708,0.003159090669069319
6.0,9.413785455936155,579.137005631233,21.96576,21.96576,1.0,0.6606007613248737,0.5572795249216956,0.23896214623074058,0.3779370906800874,0.26977198903114163,0.22609104874698696,2.0436176969054602,0.2932847322554683,0.11183134046570167,0.6608860796411298,0.21228566123188441,1.8638549726099476,0.2750921067321648,0.27638689754053164,0.49496734142303467,0.37555446958162697,0.2392362306404083,0.11389601892395189,0.00802081395795276,1.100949519624919,0.007596775289836431,0.008377698779064276,0.0034363377640726023
7.0,9.320514266501393,663.164380339635,25.62672,25.62672,1.0,0.6629703774813137,0.56174014687088,0.23839556774074155,0.3772511579691799,0.27409421770553366,0.22481099419111084,2.0365522157030957,0.2976307399387186,0.11183134046570167,0.6596975838138979,0.21173027083709306,1.8589786793027847,0.2752232142857143,0.27720972506248576,0.508935272693634,0.37499077839438355,0.2388784871646402,0.11389601892395189,0.007589852102723838,1.0911622842504585,0.007199378048662532,0.00793131076703378,0.002969992859025728
8.0,9.262492778103494,607.4338231348836,29.28768,29.28768,1.0,0.6647017425193752,0.5644082306240099,0.2333680332341195,0.3707391602483614,0.2805054696811359,0.22649306030777985,2.047821885644486,0.30003991767239885,0.11183134046570167,0.6592081175476021,0.20888203668241812,1.8339713596301217,0.27255139056831923,0.2759747331736005,0.4483027458190918,0.3683384406521022,0.23422456567248565,0.11389601892395189,0.0066024584911937596,0.9927576496811525,0.00605007759129036,0.0070766371858323384,0.002479122351101154
9.0,9.263878646279148,684.8483301297572,32.94864,32.94864,1.0,0.6657966480247608,0.5713380824214185,0.2322538892993248,0.3693550563424993,0.28287912421152306,0.2272235426576715,2.0593402124425606,0.29863429842548533,0.11183134046570167,0.6589104445522805,0.21182923887997354,1.859847612596639,0.2701960294668498,0.2746950884518185,0.443977952003479,0.36691785898912516,0.23318517356340326,0.11389601892395189,0.0070721154465396155,1.1124662260535843,0.006426342888889612,0.007635729086170027,0.0024863326709311595
10.0,9.310411285606982,636.2662951919041,36.6096,36.6096,1.0,0.6673427435793673,0.5841180123121501,0.23849044982227924,0.3776658539898819,0.27955611688598164,0.2298597382018489,2.0729505988069934,0.3021678946022098,0.11183134046570167,0.6586115919084949,0.21045787534426408,1.847807125592215,0.2703073232034731,0.27243172951885564,0.471231609582901,0.3751732747942003,0.239583442846277,0.11389601892395189,0.006188836007215474,1.0195314363736543,0.005411329847945011,0.006864866420286704,0.00288324958318893
11.0,9.259263335285961,1001.9252271204708,40.27056,40.27056,1.0,0.6663675412422393,0.5680097956639403,0.23486893900491312,0.37278166864937096,0.28037478245146646,0.22585284031115965,2.0383583353066075,0.3010306256783848,0.11183134046570167,0.659115251604711,0.21094844938145033,1.852114335289455,0.2717391304347826,0.2738298085596873,0.43717068433761597,0.3703154186140735,0.23597374554022862,0.11389601892395189,0.006188640671154322,1.0665320638790945,0.00528611200771139,0.006989355020690785,0.00266125909762414
12.0,9.372932876440187,868.7868700304795,43.93152,43.93152,1.0,0.6671865647624492,0.5921991459148496,0.23496704025101636,0.3730785409128088,0.2834744165956641,0.22946858168398726,2.071807038934806,0.3064211321005465,0.11183134046570167,0.6586058819079524,0.21100923271185962,1.852648009170101,0.27229261295720775,0.2740410735629686,0.4434005320072174,0.3706684462604996,0.2362620812567724,0.11389601892395189,0.006267048563687015,1.1310416603355407,0.0052154217234060725,0.007212214058201055,0.0028024814942443064
13.0,9.22691453578258,894.3021564462122,47.59248,47.59248,1.0,0.6678636734407198,0.5754693530935998,0.23538396404033582,0.3734713797808593,0.2796193960339803,0.2276821606671573,2.052203370709677,0.30684394719111,0.11183134046570167,0.658487917061577,0.21195539325126547,1.8609552401720697,0.27117064647641237,0.27158501440922184,0.4925534427165985,0.37113281968219625,0.23663989582487122,0.11389601892395189,0.005940362439758854,1.1196817662385001,0.004726385513305703,0.007056346857594084,0.0021239526299031246
14.0,9.247089914738156,680.555318298936,51.25344,51.25344,1.0,0.669430268560041,0.5596167257310009,0.23237903948697,0.36996889444662384,0.28661533711957515,0.22817966824083732,2.059546827614934,0.3091531044026845,0.11183134046570167,0.655220039827944,0.20867057545070514,1.8321147430976845,0.26995864143376364,0.27132125497127707,0.43748635053634644,0.36754121330683287,0.2340352382441207,0.11389601892395189,0.005574697388862057,1.0940058265314292,0.004488573937882601,0.0065814123863873674,0.0037190920059757193
15.0,9.225308120801577,864.3407563439099,54.9144,54.9144,1.0,0.670844501768095,0.5960681911269549,0.23459483690432154,0.3726112291676356,0.28440436248075646,0.2316231929160297,2.0838452123819105,0.31248582976945116,0.11183134046570167,0.6578646359913557,0.20764452129975522,1.8231060511289598,0.270263957019388,0.2719426073310167,0.47397735714912415,0.37047554075048955,0.23627911012922959,0.11389601892395189,0.005241658093148907,1.0704999602512544,0.004176723810995673,0.006252654870761097,0.002484804147684202
16.0,9.27404359791515,899.4277900099938,58.57536,58.57536,1.0,0.6710116953640569,0.5845548315382815,0.23809335520513294,0.3772920716682869,0.2824416624601635,0.23285788272695762,2.093435501521267,0.3105222210210056,0.11183134046570167,0.6554014045045203,0.20785080753904095,1.8249172315480355,0.2717687477786992,0.2724699221514508,0.49614235758781433,0.37502755460870413,0.23959613661518364,0.11389601892395189,0.005351862201304004,1.132550358811386,0.0040666901072752785,0.006590569849810997,0.0023359494914906727
17.0,9.259909567466675,813.1631778365804,62.23632,62.23632,1.0,0.6720225494357299,0.5912613466522691,0.23804818342400094,0.3771335043214715,0.28362210792600867,0.2296828532043316,2.0670586335617354,0.3093945294104658,0.11183134046570167,0.6559679369539639,0.2037016161403186,1.7884875877560715,0.2679042053397502,0.27280721037590683,0.46589183807373047,0.37469562230121456,0.2396127196702004,0.11389601892395189,0.004817899495172185,1.0604048668155883,0.003833675224390052,0.00578070558742933,0.001955036238679995
18.0,9.205674852896683,1061.8742050553387,65.89728,65.89728,1.0,0.6722222846584499,0.5861022111002643,0.23448200074160874,0.3729928216107465,0.2873328594375681,0.2348332936199455,2.106182244855145,0.31154926726734317,0.11183134046570167,0.655385077667804,0.20676078608648715,1.815346910628552,0.2684660802506326,0.27263703540311013,0.44488680362701416,0.37080986945478767,0.2365586490076948,0.11389601892395189,0.005124781114275977,1.1687286417536598,0.003961394106771213,0.0062797901525654416,0.00205198679760454
19.0,9.236131617606762,864.9344428091542,69.55824,69.55824,1.0,0.673294090356775,0.5826612050819125,0.23161756303039335,0.36920768034353124,0.2890582272321198,0.23701090880485132,2.127559117511395,0.3161913599256326,0.11183134046570167,0.6558593590974916,0.20876883170936295,1.8329774269700982,0.26732435033686236,0.2708014850404018,0.43992212414741516,0.3671678777348564,0.23402743369297432,0.11389601892395189,0.00513714279025853,1.2214142499524314,0.003965180239813113,0.00631806079718511,0.0022662303178702025
20.0,9.222084061905257,1048.0126870625822,73.2192,73.2192,1.0,0.6740195574157877,0.5865855483888003,0.2392592439771757,0.37888971969082025,0.283213604174265,0.23562831783144458,2.116349232077739,0.3167732158417437,0.11183134046570167,0.6538058797594861,0.20388200821333263,1.7900714189972187,0.2704339051463169,0.27177853454904977,0.48418211936950684,0.37686165183748077,0.24111687408139074,0.11389601892395189,0.0046393869758391115,1.1490993370298384,0.003399585742398739,0.005898204089366734,0.002110605610605549
21.0,9.367564644226839,1170.4398958285128,76.88016,76.88016,1.0,0.6763769483304783,0.5883319768123914,0.23710795407721083,0.376550823028092,0.2863613350873739,0.23910443114310018,2.1506510169991087,0.319808834409012,0.11183134046570167,0.6518253629339092,0.20494581019849498,1.799411534615067,0.26709024591128366,0.27046342825237296,0.4570998251438141,0.37419612491890997,0.23950805365081285,0.11389601892395189,0.004666788911226474,1.1965988843439845,0.003384869353935936,0.005984587299995325,0.002016690699777679
22.0,9.320301365399091,1013.8559320453763,80.54112,80.54112,1.0,0.6759655015444705,0.5864169673472548,0.2361358089993785,0.37526207171835324,0.2887133913397913,0.24045176477004587,2.158918649944613,0.3201525975852104,0.11183134046570167,0.6515802344930316,0.2045557002872611,1.7959863937284979,0.26651162790697674,0.2675401521555368,0.43985098600387573,0.372878275083076,0.23857518148741538,0.11389601892395189,0.003959463290544765,1.0550250933938514,0.0029989909549423886,0.004955087283513596,0.002292902955563933
