round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auroc,fed_f1_best,fed_brier,fed_f1,fed_auprc,fed_ece,fed_auprc_lift,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6885270964629331,0.09187606960240303,0.526995,3.65056,0.9971592150692714,0.11474790709385028,0.6186869892151516,0.267560748048791,0.2488410040305873,0.15008329402084292,0.19392484141728264,0.3839761478497067,1.705726946861942,0.5003170549209223,0.48721043959775695,0.13684611408623581,1.2015004157222358,0.2045002711006687,0.20458346517199294,0.5288506150245667,0.4162330265775697,0.2741711274080075,0.11389601892395189,0.4835873551383157,10.274203734472394,0.31440270317174396,0.6193589444844015
2.0,0.6866131915698572,0.07037110855642284,1.05399,7.30112,0.9971592150692714,0.11474790709385028,0.6363622108636988,0.27744004904511593,0.24018456312506556,0.17195419066307066,0.2027614501997217,0.3734539722420086,1.7826435200928807,0.4961504828842109,0.6537419905006674,0.21325309998465122,1.8723490250088533,0.2045002711006687,0.2682268226822682,0.5309783816337585,0.4147895897506942,0.2726773551229837,0.11389601892395189,0.06792250131851174,1.4206881389254704,0.057494364146608745,0.07617849370071267
3.0,0.6803416224509578,0.09520859732206652,1.580985,10.95168,0.9971592150692714,0.11474790709385028,0.6496029792226784,0.28616650462168,0.23480557963020351,0.2218121240589022,0.2127276392879166,0.36759485647925544,1.8720033440464487,0.4988046012921517,0.6560422673566323,0.21384163164207753,1.877516296551674,0.2045002711006687,0.2732015376166941,0.5313206911087036,0.4128786983808697,0.27088793992807186,0.11389601892395189,0.0393344275667661,0.9443896871525794,0.03220459768574631,0.045659375124290684
4.0,0.6744546262483818,0.10446587069184494,2.10798,14.60224,0.9971592150692714,0.11474790709385028,0.6536048827913101,0.29202054371666475,0.2279667772341411,0.25963594898277476,0.21972536921390903,0.3596698534382126,1.9227551469440707,0.4991796365215394,0.6559841257467112,0.21423880917489677,1.8810034907185258,0.2045002711006687,0.2722831110524231,0.5314043164253235,0.4129622863429656,0.27087150563369905,0.11389601892395189,0.026821631834217572,0.7485600708751008,0.019989287125876113,0.033351671763468066
5.0,0.6677447592692414,0.12808649127323368,2.634975,18.2528,0.9971592150692714,0.11474790709385028,0.6551309438160824,0.29428522469559465,0.22516387509952498,0.26401928596588886,0.22057702761140696,0.3564240430062762,1.9328306100910373,0.5038601969722654,0.6559298995657337,0.21207159509716694,1.8619754851902828,0.2045002711006687,0.2730579371265263,0.5311574339866638,0.41245956826842395,0.2704762064720891,0.11389601892395189,0.021163420565579877,0.6691640430653933,0.01652859872473108,0.02583728143095254
6.0,0.6632030386072868,0.15130108460469782,2.634975,18.2528,0.0,0.11474790709385028,0.6654839526018917,0.3046265245505503,0.2065263718695994,0.2797299159726483,0.2321631824560001,0.32141496256568797,2.058154140694102,0.5440791794766321,0.6559298995657337,0.21207159509716694,1.8619754851902828,0.2045002711006687,0.2730579371265263,0.5311574339866638,0.41245956826842395,0.2704762064720891,0.11389601892395189,0.0,0.0,,
7.0,0.6413574388030501,0.27003593929223546,2.634975,18.2528,0.0,0.11474790709385028,0.6751938920340924,0.3110633379591632,0.23448555979151053,0.2824394481384733,0.23969650735215398,0.3646994023917679,2.1159218013692183,0.584131094185485,0.6559298995657337,0.21207159509716694,1.8619754851902828,0.2045002711006687,0.2730579371265263,0.5311574339866638,0.41245956826842395,0.2704762064720891,0.11389601892395189,0.0,0.0,,
8.0,0.6218218600758606,0.47930896009332447,2.634975,18.2528,0.0,0.11474790709385028,0.6844065637382947,0.32091496602958214,0.20146299236476564,0.29627302040174197,0.25235143795631204,0.3135557777186242,2.2290645468353794,0.5499491742351037,0.6559298995657337,0.21207159509716694,1.8619754851902828,0.2045002711006687,0.2730579371265263,0.5311574339866638,0.41245956826842395,0.2704762064720891,0.11389601892395189,0.0,0.0,,
9.0,0.6643692446390366,0.13783495959582956,3.16197,21.90336,0.9971592150692714,0.11474790709385028,0.6565751504460701,0.29576271320623243,0.2238757581130388,0.2732259112023511,0.22163356616751517,0.3554872151884189,1.9485459097389313,0.49933635532882237,0.6558836548360643,0.21378616623591554,1.877029313716927,0.2045002711006687,0.2707814833250373,0.5311899185180664,0.4110159375292107,0.2691381814080335,0.11389601892395189,0.01816667425499709,0.6358368208166212,0.014728678816276767,0.021806645187511468
10.0,0.6596077967140707,0.14630821535363875,3.16197,21.90336,0.0,0.11474790709385028,0.6672188620767439,0.3033656189141486,0.22538184911495196,0.28020156942569313,0.23246034367700671,0.3552771647749001,2.048928918794224,0.5397159387948731,0.6558836548360643,0.21378616623591554,1.877029313716927,0.2045002711006687,0.2707814833250373,0.5311899185180664,0.4110159375292107,0.2691381814080335,0.11389601892395189,0.0,0.0,,
