round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best_threshold,fed_brier,fed_prevalence,fed_f1,fed_ece,fed_auprc_lift,fed_f1_best,fed_auprc,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
11.0,0.6431404151814252,0.4607619224623897,40.27056,40.27056,1.0,0.5118417384528452,0.2013183529529307,0.11183134046570165,0.29269248553926636,0.319998120388533,2.1313711805762217,0.30658551523281896,0.23730348537536086,0.6763637655593987,0.6601033828854291,0.21209112633944963,1.8621469682892287,0.27215434083601286,0.27424833312366337,0.49501311779022217,0.3176916156749168,0.20344828120237987,0.11389601892395189,0.007552899769733365,1.5172381645197675,0.006047748750599304,0.008970371624951855,0.003716789912330194
12.0,0.6426613875462127,0.4746994256365353,43.93152,43.93152,1.0,0.5619186127238334,0.2101259353084573,0.11183134046570165,0.2934044855654482,0.33483033458191763,2.174796794779363,0.3090519071290779,0.24231060061940793,0.6784525757776827,0.6594382117452929,0.21166151918651452,1.858375044064011,0.27055324211778703,0.27333082800952024,0.5116121172904968,0.3324458183464498,0.21249163663279236,0.11389601892395189,0.006718610756743914,1.4358068000201456,0.005381789109927007,0.008008410732998633,0.003965125700159654
13.0,0.6392898199763338,0.5017011962464639,47.59248,47.59248,1.0,0.5479356494637837,0.21102206674904797,0.11183134046570165,0.28825960313416443,0.33605686665856654,2.172083218664133,0.3121386000466151,0.24207142216947986,0.6791135030296056,0.6583242094636017,0.21211186848423613,1.8623290830372459,0.2688184438040346,0.27265705458290423,0.5265609622001648,0.33402551892248444,0.21374314681243217,0.11389601892395189,0.006560659567969221,1.4856122776491247,0.004980943174919142,0.008121200720987796,0.003881989485812281
14.0,0.640381591859639,0.5447049042739021,51.25344,51.25344,1.0,0.5521793115694167,0.21375818489907472,0.11183134046570165,0.28934319258133206,0.3416473114252314,2.2160605813016088,0.3159495160158948,0.24601958634580307,0.6814891599813333,0.6581984514076946,0.21182637358296977,1.8598224554662068,0.2692621517659401,0.27222282667827225,0.4825168251991272,0.33967347994369507,0.21660255319033409,0.11389601892395189,0.0064809015121381364,1.557312621467645,0.0045671323400853095,0.008406842346378968,0.003837783013346268
15.0,0.6372457092070312,0.5234873156989701,54.9144,54.9144,1.0,0.537764528163054,0.2025786779507344,0.11183134046570165,0.29519316163511905,0.3247012714949735,2.215444395533725,0.31486286058890534,0.24802259215944025,0.6831940731650599,0.6580474815032376,0.21132298651765977,1.8554027481747157,0.2704785581106277,0.27184689877795715,0.4827132523059845,0.32246137219122356,0.20557853090511763,0.11389601892395189,0.005962112911365072,1.5126532018184662,0.004278888334243517,0.0076974902672314535,0.002916197744600441
16.0,0.6370384528079271,0.5805216484538778,58.57536,58.57536,1.0,0.5413223539154959,0.21141474323002027,0.11183134046570165,0.293254687633258,0.33891794684081045,2.2201641172997952,0.3164818183493921,0.24822120780519766,0.685524341073009,0.655518867372826,0.21019813995725362,1.8455266649627362,0.26628421178439104,0.2705171255876427,0.5244913101196289,0.336762639384225,0.21472885979395268,0.11389601892395189,0.005527750941039651,1.4830281916056265,0.004150133673767838,0.006971015480587353,0.004122723324302012
17.0,0.6376065825564867,0.610117744452414,62.23632,62.23632,1.0,0.5463535958618544,0.2068167557776745,0.11183134046570165,0.2940759182034192,0.3306777671907891,2.2474941559769213,0.31790559053301337,0.25114102788462933,0.6859950033062537,0.6553045854843302,0.20838184120890996,1.8295796743172037,0.2686672967863894,0.27163488038804984,0.48381364345550537,0.3283668751053325,0.21048340749727976,0.11389601892395189,0.005980594727146209,1.696634408810496,0.0039149815213338915,0.008189376325806018,0.0033317068410348206
18.0,0.6403928165899104,0.7030078329306265,65.89728,65.89728,1.0,0.5375931266420962,0.2054185999074483,0.11183134046570165,0.2985818305051213,0.3286342241849968,2.2459421149861685,0.3193782582900435,0.2510465510657934,0.6856257050429101,0.655657287825541,0.2099026747533529,1.842932498751378,0.26622967351569393,0.27074045884527564,0.4661481976509094,0.3264879165532736,0.20928983752028182,0.11389601892395189,0.005565380601987798,1.6631669866164884,0.003805688176425551,0.007480935724803904,0.003342990128281839
19.0,0.6404393653393576,0.6897441436970818,69.55824,69.55824,1.0,0.5197396074716514,0.19304720875555256,0.11183134046570165,0.3011863492506015,0.3075346008484715,2.251137729940264,0.32008788156210527,0.25296221498922333,0.6877955728019268,0.6552207425972416,0.20742427742250535,1.8211723235120454,0.2657062825130052,0.27247347850362924,0.46371498703956604,0.3057625425887249,0.19752131815367802,0.11389601892395189,0.0056884695003226945,1.7940727412133128,0.0035585248031832005,0.00802910500316743,0.004844102107057381
20.0,0.6365175796726901,0.8162422881133112,73.2192,73.2192,1.0,0.5614435575231954,0.2157377956525364,0.11183134046570165,0.2910901264689044,0.34516976518384157,2.286230512428524,0.32341865544107573,0.25650762150304734,0.6903058506989638,0.6534693411121194,0.2083430601894728,1.8292391793657246,0.26977481045603713,0.27133083774364275,0.524893581867218,0.34331640697773075,0.22011597801807323,0.11389601892395189,0.005536545724685802,1.8433391158032464,0.0034000763388178246,0.0079116174692366,0.005145675286920962
