round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_prevalence,fed_ece,fed_auroc,fed_f1_best,fed_brier,fed_auprc_lift,fed_f1_best_threshold,fed_f1,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6892126943061441,0.09568800631240237,3.66096,3.66096,1.0,0.21113468075661657,0.11448892245720041,0.36890086201315014,0.6471367366739975,0.2849130384585964,0.2339998972577511,1.891232189945029,0.5145831511009856,0.26094203933687427,0.6587714342753337,0.21519962446702184,1.889439389542756,0.2764227642276423,0.2790360046457607,0.5121397972106934,0.3680242103991316,0.23272390374493626,0.11389601892395189,0.025383940521863043,2.74857792810144,0.022281854945247932,0.027637591926359395,0.010209905282796645
2.0,0.6638784477883102,0.17365701268880893,7.32192,7.32192,1.0,0.21546144265425615,0.11448892245720041,0.3251034576410179,0.6540441860470438,0.2922576770008308,0.2040342633195818,1.920420980397254,0.5011630614193424,0.26518307818211356,0.6621281867262039,0.2206047914226899,1.9368964210240502,0.27915869980879543,0.28205128205128205,0.5154568552970886,0.32361833735227263,0.20227026576889517,0.11389601892395189,0.016110195336794645,1.8725556597091781,0.016069272013876368,0.016252572698027306,0.005250594946747103
3.0,0.6541893849389381,0.30158691848324903,10.98288,10.98288,1.0,0.22117428129198996,0.11448892245720041,0.35201437569486893,0.6577278209071377,0.2950867797275602,0.22270874852131325,1.9752648144600202,0.5382596249546768,0.26980056398332775,0.6651473840241162,0.22347594892949496,1.9621050063102674,0.28,0.2810810810810811,0.5282785296440125,0.3503483711017253,0.22077447498709576,0.11389601892395189,0.011475691077048416,1.427590807692468,0.01178091445944418,0.011340286283267062,0.0038574430200479575
4.0,0.6521366530476019,0.3155367680392087,14.64384,14.64384,1.0,0.22382330120858468,0.11448892245720041,0.34165841542664543,0.6597621347213959,0.2945890629854933,0.21592423871030964,1.9869953704043584,0.535578062739092,0.2723226234837565,0.6657145690450504,0.2236859517973911,1.963948818498614,0.27736686390532544,0.2807411566535654,0.5225052237510681,0.33969614376502927,0.2140811838990311,0.11389601892395189,0.009996576330232968,1.3209784871214652,0.010356986341667979,0.009799651410650876,0.0034728413977430533
5.0,0.6466374827344769,0.3641603921885228,18.3048,18.3048,1.0,0.2254406107925136,0.11448892245720041,0.3339431006686475,0.6624786960217883,0.2964357744965445,0.2112405134868102,1.994256121487117,0.5430257680834331,0.27514770845178654,0.6678177818603097,0.22534674864991242,1.9785305121189172,0.2807418699186992,0.28296703296703296,0.5372493863105774,0.33202587358244434,0.20937650593426457,0.11389601892395189,0.008097234031682941,1.137934221769683,0.008495853143188997,0.007833436880369471,0.004323682473780015
6.0,0.647816976313413,0.338921148442295,21.96576,21.96576,1.0,0.2279102404439642,0.11448892245720041,0.3429118698736707,0.6650025867705593,0.2975098296775068,0.21702954601210162,2.0161889141659524,0.5570541260218154,0.27664621757560837,0.6676373207442589,0.22414166212368053,1.9679499269710157,0.27872070199745985,0.2845277963831212,0.5285852551460266,0.34105704532346276,0.21554845020380273,0.11389601892395189,0.008356448442865379,1.2378083702442382,0.008251223555322864,0.008483988959852475,0.003208440463462273
7.0,0.6443398016583173,0.34212017507469994,25.62672,25.62672,1.0,0.22894716089558928,0.11448892245720041,0.3513308128206976,0.6663554204028863,0.297747235722894,0.2220026472005602,2.022650591731838,0.5517440768669679,0.2785990890009239,0.6669582824599476,0.22483967423465429,1.9740784301229986,0.2771401243424199,0.2814491781281449,0.5603452324867249,0.3498764084906587,0.22082348459826617,0.11389601892395189,0.00821391532112276,1.290561501895354,0.007739993562688684,0.00863672959551599,0.003481715103323328
8.0,0.645113423607654,0.3124658784292752,29.28768,29.28768,1.0,0.23022800939398433,0.11448892245720041,0.3353434052920458,0.6675397127220766,0.29951548640859726,0.213484521795055,2.031482317425116,0.5458299132647352,0.2793131374209221,0.6670865629556549,0.2242010006632114,1.968470915677131,0.2761904761904762,0.2809422909136233,0.5116458535194397,0.33358440709537657,0.21222032697346419,0.11389601892395189,0.008450161277671944,1.412422377781695,0.007344940902149879,0.00941571092022975,0.0036065912653701366
9.0,0.6475832585144488,0.4435785697687654,32.94864,32.94864,1.0,0.23247928004578827,0.11448892245720041,0.3352944380983575,0.6705215774804052,0.30431430644389046,0.21225731619297789,2.051523878582343,0.5375258300701027,0.28356557448069836,0.6671879123279237,0.22530587289766213,1.9781716255429291,0.28041543026706234,0.28314109653973774,0.5521172881126404,0.3332694315278565,0.21122401349899136,0.11389601892395189,0.00804926510142983,1.429307222006173,0.0072104534877791395,0.008814624264909811,0.002807258634544733
10.0,0.6491593655602601,0.43479345648973267,36.6096,36.6096,1.0,0.2377843994529571,0.11448892245720041,0.3489803922402955,0.6736440659331395,0.30676285284108135,0.22060620968631356,2.098302412755791,0.5542908604636654,0.28267635443369427,0.6680986762386524,0.2236441002847762,1.9635813648069897,0.2797070635483109,0.2833932614196298,0.5249777436256409,0.3474785568378875,0.22015373553941847,0.11389601892395189,0.007891356146100804,1.486728481386308,0.006843032530274639,0.008864910422471188,0.0028538507177791306
11.0,0.6466771789675818,0.41080309546570054,40.27056,40.27056,1.0,0.24008400081159637,0.11448892245720041,0.34285747411417933,0.6762060552754345,0.3098050952700417,0.21685313650562352,2.115431933913664,0.5698190297751358,0.28308757660963274,0.6682946359276046,0.2241762640485642,1.9682537297308536,0.2792140641158221,0.28213320226099775,0.5124258399009705,0.3413029475118561,0.2165545856684167,0.11389601892395189,0.007287102352092439,1.4574853096928564,0.005724911181106876,0.008750871358649133,0.002391500806025252
12.0,0.6418986662573766,0.4197124214343594,43.93152,43.93152,1.0,0.24262726951681718,0.11448892245720041,0.3478902851241713,0.6782264320327547,0.30982350443119866,0.22009792867715366,2.130114417207138,0.5758616471454905,0.28226278121854564,0.6665147848353832,0.2219531203370506,1.948734665478064,0.2762337525097749,0.28002883922134103,0.5574378371238708,0.3462976584950369,0.2203317832457845,0.11389601892395189,0.007105555835319586,1.5105208095810667,0.005519796120672192,0.008622756728182008,0.0027972827991004515
13.0,0.6405798973275304,0.44213222862428125,47.59248,47.59248,1.0,0.24472597478173339,0.11448892245720041,0.33565525857362166,0.6786884097384355,0.3096087432314618,0.21325927116648766,2.1515756388642835,0.5780461778055804,0.28134685972846557,0.6676934293429976,0.22251427405437174,1.9536615604004914,0.2775739261817397,0.2820031750613364,0.5530077219009399,0.33378831002083353,0.21336034779086763,0.11389601892395189,0.006962992949832084,1.5669336563605611,0.005233144085065352,0.008653460880623612,0.0026431095303376755
14.0,0.6420679748104814,0.5359396923800088,51.25344,51.25344,1.0,0.24975748584666285,0.11448892245720041,0.31077267656249086,0.6805242815387605,0.3164665657061716,0.19726020187248774,2.193143151225447,0.5359356600588633,0.2873552506057123,0.6688141706802742,0.22282488082636975,1.9563886686430139,0.28247162673392184,0.284517660198241,0.5203068852424622,0.3086836656285638,0.19765541524786975,0.11389601892395189,0.006522347955113046,1.5608733378312536,0.00483130053249248,0.008189839016272857,0.003586246717515954
15.0,0.6439694602625426,0.6075449147334632,54.9144,54.9144,1.0,0.2524968130302649,0.11448892245720041,0.3412887767634438,0.6838919188584645,0.3166608710083397,0.2159679000745521,2.2171788626282343,0.5764012521326032,0.28528139552504167,0.6664116785398703,0.22165532877575472,1.9461200739926958,0.27809482001755925,0.28124040528093336,0.5615967512130737,0.33930708023452927,0.2167459207348083,0.11389601892395189,0.006451396265612294,1.628581098975701,0.004553063194416538,0.008356373563866702,0.0033586643842403122
16.0,0.6382561925162982,0.5990683370923073,58.57536,58.57536,1.0,0.2560129337723033,0.11448892245720041,0.3393205821557273,0.6861099958177744,0.3235058992917276,0.21472019855701918,2.245703040645469,0.5837785127851267,0.28665094647009487,0.6671267086517777,0.2223099786815059,1.9518678596654178,0.27600754968357943,0.28126721763085394,0.5451897382736206,0.33785447042974076,0.21619026939242703,0.11389601892395189,0.006174028229361921,1.6425021436807583,0.004275756244810838,0.008109144083402952,0.003309120319930828
17.0,0.6423725179517669,0.641481355974564,62.23632,62.23632,1.0,0.2566279967215938,0.11448892245720041,0.3367220947485181,0.6892657153681447,0.32247513547301115,0.21276904389839393,2.258658110253777,0.5549362942929055,0.29431517432892024,0.6661316626231497,0.22300290903432268,1.9579517452951645,0.2779516994633274,0.281571315581334,0.5319995284080505,0.33531589572239107,0.21437236632011636,0.11389601892395189,0.0063587360620829,1.7810383605628886,0.004053969213722375,0.008744257619223124,0.0030748140219528405
18.0,0.6409036665134773,0.7473496589862897,65.89728,65.89728,1.0,0.2604673700380451,0.11448892245720041,0.3317350067506841,0.6908935264572202,0.32237882776055504,0.20943419966004562,2.2870433942988506,0.5573094044488451,0.2912270872313523,0.6649964141196593,0.22036984062772796,1.934833567579464,0.27523560803905983,0.2811755361397935,0.5303700566291809,0.33018860564020563,0.21137213255637802,0.11389601892395189,0.00576210965921562,1.6962336805208906,0.0039082580175368595,0.007707477018988059,0.003112713089650135
