round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_brier,fed_auroc,fed_f1,fed_f1_best_threshold,fed_f1_best,fed_auprc_lift,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6884422743884531,0.11498441746959631,0.08724,3.65056,0.9971592150692714,0.11381806735914385,0.1949140075212436,0.25740491537505134,0.6097532304618387,0.18695265643081424,0.5094803249325661,0.2643723230115949,1.7057129956781083,0.3955664722901454,0.6515197963334418,0.1808135947509298,1.587532175919675,0.2045002711006687,0.2784084393991515,0.514163076877594,0.3998707844840364,0.2607635768485152,0.11389601892395189,1.006934085770586,8.692476824857295,0.6549318976059755,1.3268235634929697
2.0,0.6888527505907021,0.07026137527275067,0.17448,7.30112,0.9971592150692714,0.11381806735914385,0.2014943594653054,0.24713952171110984,0.6187319067638176,0.16501636825945976,0.49798735403061517,0.26938572682336964,1.7740481112492388,0.3829190956146641,0.6607831113895862,0.21210825305091005,1.862297339756311,0.2045002711006687,0.28047058823529414,0.5128604769706726,0.3975271120711706,0.2587152150961471,0.11389601892395189,0.10960419067449617,1.0358256606268696,0.08489964893105363,0.1285345754943326
3.0,0.6844031007701773,0.1000058366114623,0.26172,10.95168,0.9971592150692714,0.11381806735914385,0.20657348141237364,0.24455136243631623,0.6336848717724506,0.21895603255186352,0.4972596878351789,0.27228544557196527,1.8159180019492152,0.3802646982564767,0.6608471010440189,0.21227779340165978,1.8637858935473168,0.2045002711006687,0.2790143084260731,0.5128588676452637,0.3961412619378079,0.2574873814461706,0.11389601892395189,0.13832743125574934,1.2909416946349666,0.09236036946081588,0.18308404532696027
4.0,0.6810549864617267,0.10962357157689706,0.34896,14.60224,0.9971592150692714,0.11381806735914385,0.21153642740013565,0.24210496231505987,0.6449440634090154,0.21849295891527906,0.49450224495962203,0.2775803176269322,1.8621971669795188,0.3772710219377386,0.6602089614229352,0.2100074550755126,1.8438524634977287,0.2045002711006687,0.27956989247311825,0.5130111575126648,0.3961420975127909,0.2575014019511471,0.11389601892395189,0.11082391435856893,1.2080914535326883,0.06286828498967473,0.16370913178145294
5.0,0.6792295054084496,0.10378078497839667,0.4362,18.2528,0.9971592150692714,0.11381806735914385,0.2158351185675117,0.24090919408947625,0.6482233941464715,0.22555917251904747,0.4946807692438918,0.2797700461727735,1.904948314055273,0.37597509738518675,0.6350204172050172,0.15935790842260286,1.3991525773083058,0.2045002711006687,0.26390382171830706,0.5114434957504272,0.39624164977907156,0.25770199874111555,0.11389601892395189,0.08443218117626006,1.0664966459444258,0.04151285801270351,0.13748509760112068
6.0,0.6771578879879389,0.16287891563662357,0.4362,18.2528,0.0,0.11381806735914385,0.2325678622933805,0.2106458003527757,0.6680198993638172,0.26292605574313926,0.4978816095804095,0.29714774301828367,2.0560840948719092,0.33266422736746054,0.6350204172050172,0.15935790842260286,1.3991525773083058,0.2045002711006687,0.26390382171830706,0.5114434957504272,0.39624164977907156,0.25770199874111555,0.11389601892395189,0.0,0.0,,
7.0,0.6542509271794874,0.23800424081453048,0.4362,18.2528,0.0,0.11381806735914385,0.2449112738951602,0.20823991913671033,0.6792529641814103,0.28464106939923384,0.5067443601658107,0.30658793819205626,2.1723649607746025,0.33023848982588244,0.6350204172050172,0.15935790842260286,1.3991525773083058,0.2045002711006687,0.26390382171830706,0.5114434957504272,0.39624164977907156,0.25770199874111555,0.11389601892395189,0.0,0.0,,
8.0,0.6366001538395307,0.41996853540218126,0.4362,18.2528,0.0,0.11381806735914385,0.25256721253186293,0.21713625436800107,0.6860098882939276,0.2918530861184503,0.5392046923565348,0.31837931746657094,2.241819634567383,0.34286053424884605,0.6350204172050172,0.15935790842260286,1.3991525773083058,0.2045002711006687,0.26390382171830706,0.5114434957504272,0.39624164977907156,0.25770199874111555,0.11389601892395189,0.0,0.0,,
9.0,0.6787103423736731,0.11769247511460876,0.52344,21.90336,0.9971592150692714,0.11381806735914385,0.21920082431261118,0.23971410280862068,0.651731397432295,0.22325779723012304,0.49440522244751817,0.2812563730236363,1.9336643855553797,0.3744281657975839,0.6323612134797778,0.1573637927661309,1.381644365210011,0.2045002711006687,0.26507905524106967,0.5121330618858337,0.39686233335931104,0.2581906327408298,0.11389601892395189,0.06271001939406873,0.9086930812045466,0.030155308393564412,0.10779430931726518
10.0,0.6759123831978865,0.12625449769979571,0.52344,21.90336,0.0,0.11381806735914385,0.23355682030141697,0.19850821396203677,0.6639272977582543,0.26015771252358444,0.4677667170922487,0.29262602037516955,2.067413030285054,0.3137261637237637,0.6323612134797778,0.1573637927661309,1.381644365210011,0.2045002711006687,0.26507905524106967,0.5121330618858337,0.39686233335931104,0.2581906327408298,0.11389601892395189,0.0,0.0,,
