round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc_lift,fed_brier,fed_f1_best_threshold,fed_auprc,fed_f1,fed_auroc,fed_ece,fed_f1_best,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6880882092544923,0.10312537003322945,3.65056,3.65056,0.9971592150692714,0.11513282135213394,1.4891714004288898,0.2596013280246425,0.5159131067946984,0.17032800421586602,0.20545143929584672,0.5610879164399588,0.39867920391088035,0.25882184803509595,0.6437705851794288,0.2073772564985606,1.8207594827087497,0.2599009900990099,0.2656805575309344,0.5026782751083374,0.3854465762993141,0.24838588448042695,0.11389601892395189,0.025728261668318875,2.767373722512275,0.021283658665372202,0.028669214387090268
2.0,0.6810095416994104,0.11870580408369451,7.30112,7.30112,0.9971592150692714,0.11513282135213394,1.8256392547402496,0.23717585077506254,0.5231937409726706,0.20994956281392405,0.24636276117050593,0.6434597715179252,0.3710101746922248,0.2852582466794498,0.6544551507442653,0.21628994033398655,1.8990122954025535,0.2759407069555302,0.28102135284455726,0.5020654201507568,0.38493607390286305,0.24764334010673097,0.11389601892395189,0.01913390234419186,2.168909991160035,0.015273794435127448,0.02171676997976145
3.0,0.6719938883422323,0.17574466348909717,10.95168,10.95168,0.9971592150692714,0.11513282135213394,2.0075680233934925,0.22190421514566772,0.517791067056492,0.22918850137554422,0.26413761406810826,0.6682129897068299,0.35047036358631933,0.3013295014215851,0.660285061298299,0.2215728966006942,1.945396324595313,0.28118422898835416,0.2821361738880092,0.5007580518722534,0.3835273800501497,0.24602099246561807,0.11389601892395189,0.014648928634996247,1.7753167073242366,0.012503780804324861,0.016116980328676037
4.0,0.6625364258268924,0.2333875544902942,14.60224,14.60224,0.9971592150692714,0.11513282135213394,2.051785251844804,0.22853920064930897,0.5357767694485392,0.23298628844512642,0.27177995748717854,0.670982319242438,0.3601353828590417,0.30796060884456744,0.6589658629311735,0.2223625310996017,1.952329266645155,0.271985494106981,0.28109808407206177,0.5080994367599487,0.3905424679616802,0.2509342362996999,0.11389601892395189,0.011167256828900816,1.4461056445725262,0.010550477643493159,0.011605396892357775
5.0,0.6556182790697684,0.23654492155375992,18.2528,18.2528,0.9971592150692714,0.11513282135213394,2.067717405660887,0.22482558145647646,0.5338346406125188,0.2348062600010154,0.280542894885021,0.6727209066708523,0.3554732095228325,0.3098116418682287,0.6607755440701858,0.2236210830915019,1.9633792752739951,0.2701074405060749,0.28032420346562326,0.5092260837554932,0.390360668513824,0.25086989645138086,0.11389601892395189,0.009709236392560815,1.3319419380277395,0.009248717910849441,0.010051618904307828
6.0,0.6537967047365647,0.23767781759600712,21.90336,21.90336,0.9971592150692714,0.11513282135213394,2.0987430248632104,0.2196715150499797,0.5484715672403322,0.23850561919532898,0.28227995252397864,0.6754386396081747,0.3473979100607495,0.3120057266278927,0.6625087613997338,0.2251251229506364,1.9765846521900994,0.27393785668991755,0.2824875771721126,0.511121392250061,0.38971081346526915,0.2501679812196828,0.11389601892395189,0.009333647387806293,1.355117364320904,0.008876019096784971,0.009690071196309717
7.0,0.6484451991216921,0.2847308892359627,25.55392,25.55392,0.9971592150692714,0.11513282135213394,2.1069004090896275,0.21278440493179476,0.5232272884954693,0.23943262470827417,0.2874294281280747,0.6760488015797442,0.33737041147986935,0.3117070856890731,0.6618170356197113,0.22619895292522488,1.9860128129347296,0.27562541509851674,0.2820692555726903,0.5059260129928589,0.38565574467221153,0.24707289384035913,0.11389601892395189,0.008941980506164682,1.3769966897089034,0.008766190019862768,0.009085306868749336
8.0,0.647113912539351,0.3080913347081932,29.20448,29.20448,0.9971592150692714,0.11513282135213394,2.12021585660436,0.2148263003942961,0.5494819208895185,0.24093372092291385,0.286399428091301,0.6779872784907783,0.33850590339985515,0.3125516843679577,0.6621638648175067,0.2257718809308771,1.9822631472450716,0.2757628685913901,0.27975492113153433,0.5093525052070618,0.38812865081152137,0.24844193404200957,0.11389601892395189,0.007958809682447561,1.303741273470223,0.007335671720805978,0.008486048753201011
9.0,0.643362113954484,0.31537687399209463,31.18592,31.18592,0.5412350858791136,0.11513282135213394,2.3002699952623487,0.213247500468394,0.5588394455216805,0.2603963607354368,0.3061786022954844,0.6944243704096,0.33921235239706127,0.33412531785278576,0.6629955295339048,0.2262021823564872,1.9860411671414246,0.27667900581702803,0.2809089741943767,0.508133590221405,0.3849820368896763,0.24573680599972125,0.11389601892395189,0.008014534793856814,0.7431217170087621,,0.008014534793856814
10.0,0.6424707959387059,0.3798778352420037,34.83648,34.83648,0.9971592150692714,0.11513282135213394,2.1355011143417633,0.22601875540100752,0.5543410919121737,0.2430964581606612,0.2880161562638217,0.6793999780855361,0.35669738892008546,0.31606788997674884,0.6638726107161574,0.22616752275382526,1.9857368579742616,0.27232233245596277,0.2832845392443887,0.513957142829895,0.3872028767546612,0.24752337485456513,0.11389601892395189,0.00749623577630634,1.331722237286158,0.007196039771708851,0.007747788273418141
11.0,0.6421164207431997,0.3114467295281804,36.81792,36.81792,0.5412350858791136,0.11513282135213394,2.2963979740960725,0.21716600300811692,0.5485709825443648,0.2606297371728573,0.3043073366446757,0.6961195599869455,0.3455841280552792,0.3352223547539247,0.6639675849669415,0.22587720034973519,1.9831878452270828,0.275525688272274,0.2830088023472926,0.5086373090744019,0.38474631631696543,0.24575497121846887,0.11389601892395189,0.009009009294889816,0.9049900893587619,,0.009009009294889816
12.0,0.6235327627320916,0.40385846988483154,38.79936,38.79936,0.5412350858791136,0.11513282135213394,2.4491585803323384,0.2130366953781387,0.5559481033225451,0.2767820758840283,0.31303215511695753,0.7073176531944652,0.3402103961717531,0.3473214611076599,0.6640477634141215,0.22623920919938473,1.9863662605314074,0.2749533098153144,0.28284473398479915,0.510746419429779,0.3851597689827505,0.24604604240610073,0.11389601892395189,0.009897311094909838,1.0482095091138035,,0.009897311094909838
13.0,0.6041691620172978,0.4995548652172859,40.7808,40.7808,0.5412350858791136,0.11513282135213394,2.5896864618118203,0.22150970555663038,0.5984279969455042,0.29143228806492566,0.30802664154330944,0.7197161617183732,0.34975515828863857,0.36119877211133916,0.6630005242156982,0.2257191670973312,1.9818003230476684,0.2742003367003367,0.2823592927520583,0.5123521685600281,0.3834637920292737,0.24440945101329856,0.11389601892395189,0.00989894817800947,1.1095742052420974,,0.00989894817800947
14.0,0.5876029603700259,0.6869428989840257,42.76224,42.76224,0.5412350858791136,0.11513282135213394,2.706994390691276,0.2070813320766025,0.605395601272778,0.30415523968639124,0.3229190732137121,0.7290447479739878,0.32891992225550776,0.3687399975486668,0.6626229363116831,0.22584136280656283,1.9828731938151112,0.2776789684304135,0.2831454260025688,0.5129964351654053,0.3795260789425097,0.24137751809588495,0.11389601892395189,0.008734799868311681,1.0380696665961295,,0.008734799868311681
