round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_prevalence,fed_auprc,fed_ece,fed_auroc,fed_f1_best,fed_f1,fed_f1_best_threshold,fed_auprc_lift,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium,divergence_fast
1.0,0.6892017346375512,0.09621676176246288,3.66096,3.66096,1.0,0.11373363544813696,0.20892548479613612,0.3693058657941051,0.6472043509206684,0.28117052292640676,0.2595470537228362,0.5088575937169018,1.8606405837645474,0.23367136999915486,0.6587106572805469,0.21517184192143274,1.8891954605112449,0.27567439659252246,0.2788055353241078,0.5119426846504211,0.36776743287846725,0.23253843034020655,0.11389601892395189,0.02532163415051528,2.7420983579795575,0.022236031323700844,0.02756252470228,0.01029391877217613
2.0,0.6643575499823913,0.18335321625904138,7.32192,7.32192,1.0,0.11373363544813696,0.21460192621893595,0.3281993022214805,0.6543684463446134,0.2883382702759218,0.26776111930303387,0.510044776437821,1.9105970644122572,0.20529708485364426,0.6632591935150055,0.22116549090257154,1.9418193277698603,0.27909703899149807,0.2816711590296496,0.4872756600379944,0.3261657593966527,0.20378747411904855,0.11389601892395189,0.0163678883700911,1.9025129298079264,0.015904027151527916,0.016792052749160707,0.0058154575638314525
3.0,0.6543835774745951,0.30336413271862095,10.98288,10.98288,1.0,0.11373363544813696,0.2182284740030262,0.3527111294280742,0.6575902430076622,0.2886416937642229,0.26745085640153826,0.5437361957919891,1.9367088321238421,0.22252210334997227,0.6656870731962836,0.22359075368883985,1.9631129849949442,0.2785528493733743,0.2820069204152249,0.5346896648406982,0.3506248946836415,0.2208703599306457,0.11389601892395189,0.012004793224628918,1.4946884658693307,0.012307153218074737,0.011872918011097194,0.004340313657980521
4.0,0.6507642119643677,0.3144471228443112,14.64384,14.64384,1.0,0.11373363544813696,0.22113507181755784,0.3407361723261268,0.6599441409093126,0.29192848857050263,0.27036230834135033,0.5401548884681465,1.9602035555257538,0.2146708136288908,0.6660014118635188,0.2237817832816908,1.9647902130021715,0.2778761061946903,0.2821673725719293,0.5289058685302734,0.3385054127444582,0.21328727868689992,0.11389601892395189,0.009592813924146015,1.271265491853228,0.009991619936112105,0.00936110243657713,0.003965015796959095
5.0,0.6504084099996974,0.3689650692513624,18.3048,18.3048,1.0,0.11373363544813696,0.223010949174725,0.33271172416958233,0.6619683733344395,0.2952903264255842,0.272978412937848,0.5217952442947261,1.9715704259118796,0.20971001105703702,0.6675351431081749,0.2254189052753318,1.9791640428261454,0.28321358589157414,0.28537596210775606,0.527147650718689,0.3305725109105298,0.20831763323181263,0.11389601892395189,0.008055124399090887,1.1326380780265026,0.008223589954401443,0.007963830184344704,0.004323988555524269
6.0,0.6502587951761895,0.31565980833617513,21.96576,21.96576,1.0,0.11373363544813696,0.22660209487397007,0.3453316116679276,0.6652469322716814,0.2961592632001005,0.27403660846788863,0.5618305284331092,2.0071408514092,0.21801547956243067,0.667512077215873,0.2241278512252063,1.96782866813682,0.2789516222145249,0.2846363991153896,0.5228468775749207,0.3434863181711533,0.2170067051546104,0.11389601892395189,0.008423758653249144,1.2486185099187423,0.008153033535434749,0.008678244677909628,0.003255861154253573
7.0,0.6450328032092092,0.32313357192868325,25.62672,25.62672,1.0,0.11373363544813696,0.22660502280707542,0.3525763089231178,0.6657556058269134,0.2948409937755879,0.27514158901569397,0.5563587248119013,2.001420553539881,0.22237626951604936,0.6666859970055,0.2243982030649833,1.9702023405648046,0.27903188270886664,0.28169014084507044,0.5458556413650513,0.35086879696505946,0.22159527743299387,0.11389601892395189,0.008166061918222315,1.281113446495965,0.00757594052473643,0.00867717976260447,0.003830166813868286
8.0,0.6471760154411432,0.29768864660930927,29.28768,29.28768,1.0,0.11373363544813696,0.22862476153936995,0.33247550097758405,0.6680168522815341,0.29678816602685076,0.2776186505271056,0.5485665100680107,2.017746129611764,0.21057869313608277,0.6675250282500708,0.22427134930915904,1.9690885724364475,0.2811225120534059,0.28225903978715683,0.49542903900146484,0.3304446762538027,0.20974139088277308,0.11389601892395189,0.0075244054261849585,1.255820868691444,0.0067542445443310355,0.00819476065125279,0.003797485751090379
9.0,0.646234967307002,0.42728245629879247,32.94864,32.94864,1.0,0.11373363544813696,0.23001469601923785,0.3458449902005441,0.670783437640299,0.2976673870800114,0.2810870513140111,0.5359813246091927,2.030024478368773,0.218412816833225,0.6679535292798036,0.2256736718105444,1.9814008772442362,0.28138323069635246,0.2826505361561727,0.5284817814826965,0.3436350288402333,0.21776641429418653,0.11389601892395189,0.008241584280966491,1.454224148639696,0.006702523264198115,0.009605892559026618,0.0030329306361617735
10.0,0.6480256165514399,0.38955419227383353,36.6096,36.6096,1.0,0.11373363544813696,0.23441472876215605,0.35098712318197023,0.6727325444036515,0.3012305696217693,0.2754844204287825,0.5541425175357082,2.0665566253676517,0.2217752579885743,0.6682140182496136,0.22346187568251796,1.9619814440724477,0.27835051546391754,0.2837294332723949,0.5121263265609741,0.349278973343778,0.22154327737292018,0.11389601892395189,0.007833785054651618,1.4680715727190545,0.006223630332132245,0.009292896995935053,0.003166143502554234
