round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_prevalence,fed_f1_best,fed_auroc,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_auprc,fed_ece,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.687884859552945,0.1093018851828216,0.08724,3.65056,0.9971592150692714,0.25518426637690533,0.11410409717414564,0.2541178606631461,0.5719137450962094,0.5065443682917431,0.16255635684673236,1.5496454827271635,0.1798523573300746,0.39258507593544334,0.3902513298779506,0.09130593250036452,0.8016604387316583,0.2045002711006687,0.20450951154489178,0.5203856825828552,0.4074779829613437,0.26699138111612297,0.11389601892395189,1.0064009413481319,8.67073817923665,0.649896920598722,1.3319246283541277
2.0,0.6881033453731427,0.0770487248955127,0.17448,7.30112,0.9971592150692714,0.24775708906700122,0.11410409717414564,0.2748901273140792,0.6315210901865035,0.49870075468967817,0.18581497362394409,1.7778932623438843,0.2050002874720869,0.3837555683077796,0.37581855681405363,0.08518748847371345,0.7479408786938632,0.2045002711006687,0.2045002711006687,0.5215571522712708,0.4091797843721721,0.2684213688021716,0.11389601892395189,0.12908225597861944,1.1856089063248874,0.09976893919593782,0.15268804482409482
3.0,0.6848188750070258,0.08769724249598664,0.26172,10.95168,0.9971592150692714,0.24116109841666927,0.11410409717414564,0.27841150100257667,0.6388067013478751,0.49126859038244813,0.18685298882308493,1.8056017849297032,0.20694725358531182,0.3753635176658571,0.3418754774125179,0.08114786783952319,0.7124732594359197,0.2045002711006687,0.2045002711006687,0.5160074830055237,0.4113317043379656,0.27045766999467363,0.11389601892395189,0.14036046164589702,1.3325687488063522,0.07801661940741286,0.20672476033125722
4.0,0.6820594731279693,0.10128937308251018,0.34896,14.60224,0.9971592150692714,0.2399203131846205,0.11410409717414564,0.28252857530332315,0.6457816954635609,0.49028157421847685,0.19822308459849905,1.8575545046591024,0.2129129107049207,0.37417271641751915,0.3409526158303101,0.08106047910580493,0.7117059917601583,0.2045002711006687,0.2045002711006687,0.5163039565086365,0.4104870009676692,0.26982766991548035,0.11389601892395189,0.11525904310679425,1.272283968103693,0.058831291104046175,0.184971064522119
5.0,0.6803850176516102,0.11951904861656297,0.4362,18.2528,0.9971592150692714,0.2332463797005937,0.11410409717414564,0.28208251298257125,0.649641080450944,0.48438390210506277,0.17864205957444812,1.8571426223988217,0.2133412566264072,0.365198267467282,0.3415247955330377,0.0811047152041055,0.7120943819665807,0.2045002711006687,0.2045002711006687,0.5164610743522644,0.41251054939695,0.2716195471724442,0.11389601892395189,0.07626639853277567,1.0029359251302594,0.03379856065211201,0.1351471067567892
6.0,0.6770484217701466,0.1170595132114205,0.4362,18.2528,0.0,0.21111675476481218,0.11410409717414564,0.295334690276489,0.6673074609534783,0.5143080965670146,0.2689170204049911,1.9702838098353732,0.22533201831493432,0.33391896661787634,0.3415247955330377,0.0811047152041055,0.7120943819665807,0.2045002711006687,0.2045002711006687,0.5164610743522644,0.41251054939695,0.2716195471724442,0.11389601892395189,0.0,0.0,,
7.0,0.6554105687646675,0.28042059803306263,0.4362,18.2528,0.0,0.22782087478199595,0.11410409717414564,0.3077200933197347,0.6795259355611515,0.5718876997728587,0.27808705900426506,2.0782143766502488,0.2359685718360546,0.35617422317281017,0.3415247955330377,0.0811047152041055,0.7120943819665807,0.2045002711006687,0.2045002711006687,0.5164610743522644,0.41251054939695,0.2716195471724442,0.11389601892395189,0.0,0.0,,
8.0,0.6335750023867356,0.39124361929663,0.4362,18.2528,0.0,0.21090041581540098,0.11410409717414564,0.3138442816315534,0.6892112792053101,0.5430324041968708,0.28440411019020884,2.178684132149355,0.2459445752986316,0.3336407685507833,0.3415247955330377,0.0811047152041055,0.7120943819665807,0.2045002711006687,0.2045002711006687,0.5164610743522644,0.41251054939695,0.2716195471724442,0.11389601892395189,0.0,0.0,,
9.0,0.6787099317892757,0.11575670871158938,0.52344,21.90336,0.9971592150692714,0.23209984318622948,0.11410409717414564,0.28293564337298205,0.6513117893663405,0.48284041386762827,0.1877151380040063,1.8831258480654551,0.21457270506291762,0.3639312546881475,0.3413426527904534,0.08111487178960974,0.712183556158973,0.2045002711006687,0.2045002711006687,0.5176842212677002,0.41204010622209425,0.27111214427807356,0.11389601892395189,0.04861829679923944,0.7453886257876547,0.020375897523177675,0.09117942273579516
10.0,0.6766545417792031,0.13215585244149802,0.52344,21.90336,0.0,0.22623632705052973,0.11410409717414564,0.2971058968035227,0.6675637816077136,0.509002981088604,0.27045234216239594,1.9896465375920014,0.22612535348062013,0.3578443342891437,0.3413426527904534,0.08111487178960974,0.712183556158973,0.2045002711006687,0.2045002711006687,0.5176842212677002,0.41204010622209425,0.27111214427807356,0.11389601892395189,0.0,0.0,,
