round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_brier,fed_prevalence,fed_f1_best_threshold,fed_auprc_lift,fed_ece,fed_f1,fed_auroc,fed_f1_best,fed_auprc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.8026455433539132,24.858722214549733,33.45408,33.45408,0.9993834153056396,0.23090344548377745,0.11388101983002834,0.4668251296409767,1.7763498963877822,0.33706404894853037,0.1860091471801861,0.6248376885861352,0.27132883488201703,0.20162303142306626,0.630019284993481,0.1875587245916339,1.6467539986350745,0.17597193802981584,0.25583503285746656,0.46093130111694336,0.3364121130880852,0.2120683581827775,0.11389601892395189,0.005968825626940336,10.22354352439288,0.013648553207316146,0.00576970509257546
2.0,0.6856303066900138,7.058460908936138,66.90816,66.90816,0.9993834153056396,0.2242713152935828,0.11388101983002834,0.48749438645819426,1.8749746823393578,0.3402250386509537,0.20315982592529314,0.6352513546468938,0.27746990501145774,0.2138050682337885,0.6513051254119421,0.2072119234479679,1.8193078687528388,0.21492853361566966,0.2755958375293722,0.4628836512565613,0.32411017660118147,0.20291493640681244,0.11389601892395189,0.002191324133015722,3.777644107467495,0.009365521634177741,0.0019980772575675094
3.0,0.6734221260908635,5.594463147062827,100.36224,100.36224,0.9993834153056396,0.21599046084624315,0.11388101983002834,0.4908609475153665,1.9199629356673573,0.33462342341103035,0.21955550059609652,0.6452923897408287,0.2778249556903784,0.21730112722693096,0.6509248644747059,0.20538934385340446,1.8033057326660598,0.2153209109730849,0.27490774907749077,0.44752317667007446,0.3271628442087317,0.20504453781350826,0.11389601892395189,0.0015824919081336701,2.7494328902394045,0.006959266277409894,0.0014269193312784346
4.0,0.6677208725629934,4.6584444194012695,133.81632,133.81632,0.9993834153056396,0.20993028349288534,0.11388101983002834,0.49099795091703774,2.001608867338907,0.3294899510997701,0.2598621446970142,0.6579295082749838,0.28665427925272713,0.22708159116114005,0.6579448646363426,0.2113895011969178,1.8559867429436852,0.22426095820591233,0.2803809523809524,0.4294014871120453,0.3033386928034186,0.18923691291425698,0.11389601892395189,0.0013119405178266073,2.297250356466975,0.005949607802511757,0.0011666028321263154
5.0,0.6627054549361334,3.906329123331642,167.2704,167.2704,0.9993834153056396,0.20895043978980796,0.11388101983002834,0.4951135924056073,1.9877736834390072,0.3311029882524086,0.26719398716309833,0.6592214936543951,0.28681279549585625,0.22587943192760837,0.6601537061869149,0.2136947799373139,1.8762269476687978,0.23375339757845318,0.28126452812645286,0.4259210526943207,0.3005629467075608,0.18742112091063035,0.11389601892395189,0.001302237187447382,2.2985464952653274,0.005153216598801666,0.0011708502452612089
6.0,0.6562186116071418,3.4391395490259065,168.93952,168.93952,0.049862104895873664,0.1982426448233769,0.11388101983002834,0.5038423940356438,2.053196576611411,0.30745396950089554,0.267155425913526,0.6641258467577377,0.2919652336935384,0.23324373231050385,0.6604070043208767,0.21271311696687129,1.8676080075186767,0.23325808878856283,0.28343949044585987,0.43809404969215393,0.29964458746971057,0.1868859924000554,0.11389601892395189,0.004271954084159484,0.2729730831924826,0.004271954084159484,
7.0,0.6454780676500123,2.8272331683461154,170.60864,170.60864,0.049862104895873664,0.20710885983555966,0.11388101983002834,0.5142599534661957,2.1000260465494045,0.3259334442814003,0.27508622443979563,0.6716130006656954,0.29827202117059537,0.23853412831688212,0.6594602234836484,0.21187180227361951,1.8602213165596757,0.2291875626880642,0.2818906605922551,0.43608176708221436,0.29930503639926953,0.18673451315793743,0.11389601892395189,0.004495552401492837,0.3131189556734171,0.004495552401492837,
8.0,0.6425978919784301,3.708791836815162,172.27776,172.27776,0.049862104895873664,0.20556192987358582,0.11388101983002834,0.4986947038937636,2.15046803993295,0.3252429492506622,0.28255075464339074,0.6749788163502292,0.30179907654679106,0.2433237514275657,0.6585783735097337,0.21236068778428138,1.8645137010984916,0.23345543345543346,0.28141809290953546,0.42860352993011475,0.3000077087122971,0.1871575444441252,0.11389601892395189,0.004643512783213051,0.3540279869339429,0.004643512783213051,
9.0,0.6342098178420927,3.0709975480848795,173.94688,173.94688,0.049862104895873664,0.21579247998216516,0.11388101983002834,0.5701280477308124,2.230585711676683,0.3379794001518311,0.28383614907624344,0.6828968660525578,0.30691353765705903,0.25193443531957355,0.6577765262906747,0.21240659364732345,1.8649167517360448,0.2225609756097561,0.2799712849964106,0.4252179265022278,0.29835796264704784,0.18620459480167842,0.11389601892395189,0.004198067290018563,0.34971528802998364,0.004198067290018563,
10.0,0.6249077803023588,3.174193011087822,175.616,175.616,0.049862104895873664,0.1853973888353176,0.11388101983002834,0.5170878473733783,2.310727531883949,0.2909292420530079,0.290724730167557,0.6903609433962862,0.310262519403104,0.26064215671143753,0.6579803168375141,0.21120668733401715,1.8543816485371571,0.2180490349504434,0.27955454026270704,0.4341718256473541,0.2974456916791251,0.18570175364015748,0.11389601892395189,0.003930702926058791,0.3587376288487576,0.003930702926058791,
