round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_f1,fed_ece,fed_auprc,fed_auprc_lift,fed_f1_best_threshold,fed_auroc,fed_prevalence,fed_brier,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6273159269204976,91.12610361161686,22.98624,22.98624,0.9991028770524295,0.7930841071436561,0.7656533401136976,0.24145297757158543,0.7183823488314626,1.0153971110729596,0.6048655495659946,0.536845906572623,0.7020547945205481,0.22919003414898162,0.49589634012710937,0.6233777778483585,0.9974044445573735,0.0,0.7692307692307693,0.4975922703742981,0.12716148927425724,0.25054756869938527,0.625,0.0027310605016644474,1.6357722253869724,0.0005756626945955817,0.0030954501318501177
2.0,0.5137577042448862,45.5339088003049,45.97248,45.97248,0.9991028770524295,0.8096550075280087,0.7656533401136976,0.21898937756068088,0.7221324456288406,1.0343891824281977,0.6809236047508782,0.4579807264962655,0.7020547945205481,0.21891579757870439,0.5001808021038789,0.6282978213994277,1.0052765142390843,0.0,0.7692307692307693,0.497489333152771,0.1272665387831437,0.25057393198703065,0.625,0.0011233315628671455,0.6732464390211135,0.0002082939814509207,0.0012779520890560385
3.0,0.43654641175257575,40.67110260555786,68.95872,68.95872,0.9991028770524295,0.8130746184863626,0.7656533401136976,0.21383673779360238,0.7879301571599964,1.1257386003933851,0.7674461960384291,0.6016024993535918,0.7020547945205481,0.20962165531319868,0.5227043611658997,0.6425937344892199,1.0281499751827519,0.0,0.7692307692307693,0.4973677694797516,0.12737940667340386,0.2506002999126151,0.625,0.0008941144921302067,0.5361464778502523,0.00016197639261670725,0.0010177766056045155
4.0,0.4306092992307744,40.347901666506026,91.94496,91.94496,0.9991028770524295,0.8497795906153774,0.7656533401136976,0.20470660332947563,0.8378664862960824,1.1950588609316808,0.8352255098623774,0.7530538922743398,0.7020547945205481,0.21548874654510464,0.5187705456936227,0.6354976898850886,1.0167963038161418,0.0,0.7692307692307693,0.49755141139030457,0.12719675440054673,0.250554433975823,0.625,0.0007358663939427553,0.44146826223118296,0.00012060163703107664,0.000839746368868437
5.0,0.39291904625406254,38.98682055752501,114.9312,114.9312,0.9991028770524295,0.8546268549198713,0.7749933152070974,0.20114439087983682,0.8484496446118461,1.2176542878579057,0.8767448539194996,0.793329209044992,0.7020547945205481,0.2258717359135748,0.4783092263861495,0.6148577752123895,0.9837724403398231,0.0,0.7692307692307693,0.4977543354034424,0.12698882092268038,0.25050494294811376,0.625,0.0006803700066689002,0.40836980821222824,0.00011300396054549342,0.0007761268864744222
6.0,0.3813822485558745,33.44603469006738,114.9312,114.9312,0.0,0.979423775454587,0.7916718544401506,0.27464290939220415,0.9893318666864291,3.0745214918188886,0.978252824651052,0.9813392179121987,0.7020547945205481,0.27264275438405106,0.4783092263861495,0.6148577752123895,0.9837724403398231,0.0,0.7692307692307693,0.4977543354034424,0.12698882092268038,0.25050494294811376,0.625,0.0,0.0,,
7.0,0.1488101229956676,6.3285555496250225,115.70688,115.70688,0.033715132169159834,0.9739631654584102,0.7998799886674328,0.268987641272722,0.9905737069262932,3.0777378006774176,0.9887368223846776,0.9753984476985778,0.7020547945205481,0.26608597609468376,0.4869986850756081,0.6202147833262538,0.992343653322006,0.0,0.7692307692307693,0.4977421760559082,0.12700662083732778,0.2505088506301285,0.625,8.723816727909739e-05,0.007562041719666013,8.723816727909739e-05,
8.0,0.13933679127989101,14.770615185814526,115.70688,115.70688,0.0,0.9800002125248514,0.8227266888906029,0.2272960664794644,0.9916256442223346,3.0780469256103187,0.9029629485656138,0.9814797212706992,0.7020547945205481,0.21704953128052912,0.4869986850756081,0.6202147833262538,0.992343653322006,0.0,0.7692307692307693,0.4977421760559082,0.12700662083732778,0.2505088506301285,0.625,0.0,0.0,,
9.0,0.3443280891770118,32.48578759708239,138.69312,138.69312,0.9991028770524295,0.9674864723165786,0.7819185181352313,0.24537713095954025,0.9746230897997376,3.0400613599819386,0.8355996661296448,0.9634826730704841,0.7020547945205481,0.20409524237121718,0.4980221345605962,0.6289836773269284,1.0063738837230853,0.0,0.7692307692307693,0.4977968633174896,0.12695884351164866,0.25049575450210143,0.625,0.00044346881166110473,0.26629540263729723,9.698070541861469e-05,0.0005019313605858324
10.0,0.31033995407649606,27.986103518509204,138.69312,138.69312,0.0,0.9933182736613956,0.8482391869995758,0.16640389862378435,0.9978145883717713,3.0893491054741564,0.8273107087979579,0.9951466264866715,0.7020547945205481,0.13277093887991026,0.4980221345605962,0.6289836773269284,1.0063738837230853,0.0,0.7692307692307693,0.4977968633174896,0.12695884351164866,0.25049575450210143,0.625,0.0,0.0,,
