round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_auprc,fed_auprc_lift,fed_prevalence,fed_f1,fed_brier,fed_f1_best,fed_auroc,fed_ece,fed_f1_best_threshold,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6724021712660244,115.15601040409854,19.577472,19.577472,0.9991046702896288,0.9435015034110673,1.0494528459182024,0.9069767441860465,0.0,0.3364185084865158,0.9511813193983735,0.5565370682200883,0.4980219039806099,0.40851815467657043,0.3370176754653289,0.955768986604997,0.9883016081191434,0.0,0.9832657200811359,0.4857216775417328,0.48121269865523547,0.26340120883127927,0.9670822942643391,0.0038236016755042908,2.287544941435499,0.0008316729293881845,0.004324436785408084
2.0,0.5767354857360789,65.86089431242823,39.154944,39.154944,0.9991046702896288,0.9496071298725048,1.0537954112297419,0.9069767441860465,0.0,0.3660476861974095,0.9535184421405974,0.5951145951849997,0.5265264598436133,0.3776878153168878,0.32143638551580783,0.9557172821599004,0.988248143749665,0.0,0.9832657200811359,0.4860208332538605,0.48091707748367896,0.2631170401828311,0.9670822942643391,0.0009625381082139839,0.5790130602540557,0.0001592142189598821,0.0010963382534481551
3.0,0.47247080913528594,60.807420284575834,58.732416,58.732416,0.9991046702896288,0.9469054692556296,1.0409219370574538,0.9069767441860465,0.0,0.3968522987916622,0.9535184421405974,0.6488327947936103,0.5542616264764653,0.3410728573799133,0.32558175879475515,0.9558141273386211,0.9883482853604618,0.0,0.9832657200811359,0.4858284890651703,0.481122101155897,0.2633140544801309,0.9670822942643391,0.0005546449393103762,0.3339938597040373,9.355824201623294e-05,0.0006313564442300483
4.0,0.42325034051912785,59.649462258173166,78.309888,78.309888,0.9991046702896288,0.9583311378500963,1.0527693405348642,0.9069767441860465,0.0,0.39854215871956883,0.9558529065817651,0.7914101397169252,0.5573979997357656,0.31960914315179334,0.329387219278916,0.9568291564009663,0.989397864148498,0.0,0.9832657200811359,0.48584574460983276,0.4811231072704096,0.2633149050812514,0.9670822942643391,0.0003912806341522081,0.23579127351393936,7.708420235988882e-05,0.00044351144518861086
5.0,0.40151438836619535,57.174637687016435,97.88736,97.88736,0.9991046702896288,0.9603301562581091,1.054634811238386,0.9069767441860465,0.0,0.4132032448667983,0.9512336604188513,0.8210540663541619,0.5687487462232279,0.2891463679629703,0.3334622657727351,0.9558147528997019,0.9883489322144932,0.0,0.9832657200811359,0.48590102791786194,0.48108589748789243,0.26327897581852655,0.9670822942643391,0.0003344278417967445,0.20162386461808524,6.534079281535317e-05,0.0003791355613966748
6.0,0.3565682133025739,55.07762405328377,97.88736,97.88736,0.0,0.9716954759286324,1.0718522804849104,0.9069767441860465,0.8284415315760719,0.2135522746605183,0.9594755672723847,0.9061894142811631,0.30161752300986716,0.1700308322386686,0.3334622657727351,0.9558147528997019,0.9883489322144932,0.0,0.9832657200811359,0.48590102791786194,0.48108589748789243,0.26327897581852655,0.9670822942643391,0.0,0.0,,
7.0,0.1415439857651117,10.146479925550876,97.88736,97.88736,0.0,0.9753668692832366,1.077231764126293,0.9069767441860465,0.8826771232016424,0.14985730959264987,0.9636185260034175,0.9191896418331588,0.22616673240134882,0.16178935965479804,0.3334622657727351,0.9558147528997019,0.9883489322144932,0.0,0.9832657200811359,0.48590102791786194,0.48108589748789243,0.26327897581852655,0.9670822942643391,0.0,0.0,,
8.0,0.1052488570144621,3.187045176714136,97.88736,97.88736,0.0,0.9757028765463741,1.07759112817607,0.9069767441860465,0.9191149609264663,0.11839314000308972,0.9590813775782202,0.9195738406225822,0.16218968972043937,0.28360185092964835,0.3334622657727351,0.9558147528997019,0.9883489322144932,0.0,0.9832657200811359,0.48590102791786194,0.48108589748789243,0.26327897581852655,0.9670822942643391,0.0,0.0,,
9.0,0.2639751008438003,30.98588615473202,117.464832,117.464832,0.9991046702896288,0.9702712470484413,1.0684794427911763,0.9069767441860465,0.35717305949864087,0.28281265417954154,0.9628373207216728,0.8971576025121739,0.42996839271035303,0.41627546756766565,0.3311922734305406,0.9548277866429069,0.9873283714383849,0.0,0.9832657200811359,0.48593568801879883,0.48105416097248577,0.2632484508842346,0.9670822942643391,0.00019307883751611794,0.11645709134367621,4.287631810652826e-05,0.0002180227684670727
10.0,0.2253524540482303,24.958941318558825,117.464832,117.464832,0.0,0.9743640969603808,1.075446652917586,0.9069767441860465,0.8753427568254513,0.11395000895979228,0.9660169483744799,0.9217666681836798,0.18583016237893765,0.26312749884849373,0.3311922734305406,0.9548277866429069,0.9873283714383849,0.0,0.9832657200811359,0.48593568801879883,0.48105416097248577,0.2632484508842346,0.9670822942643391,0.0,0.0,,
11.0,0.09872263315495332,6.803766867609807,117.464832,117.464832,0.0,0.9764136130702251,1.07854168717426,0.9069767441860465,0.9095522118965437,0.11494274273192363,0.9665785873713009,0.9285657852819368,0.15750628127175012,0.2048397246748209,0.3311922734305406,0.9548277866429069,0.9873283714383849,0.0,0.9832657200811359,0.48593568801879883,0.48105416097248577,0.2632484508842346,0.9670822942643391,0.0,0.0,,
12.0,0.07456411807494756,1.3978233922300272,117.464832,117.464832,0.0,0.9688271513109052,1.0705635738585177,0.9069767441860465,0.9046292972164824,0.11850586829463074,0.9571130444948899,0.8531085423019159,0.14627117866347003,0.20370120776947148,0.3311922734305406,0.9548277866429069,0.9873283714383849,0.0,0.9832657200811359,0.48593568801879883,0.48105416097248577,0.2632484508842346,0.9670822942643391,0.0,0.0,,
13.0,0.1872330367315808,16.845484935875966,137.042304,137.042304,0.9991046702896288,0.972141072887605,1.0710695262695795,0.9069767441860465,0.6013303951288447,0.2231798477222423,0.963133299643179,0.9095017976607653,0.3848761450412661,0.45631987175276106,0.3385140731711129,0.9550473480576613,0.9875554063205834,0.0,0.9832657200811359,0.485991895198822,0.48100539527629077,0.26320148868535104,0.9670822942643391,0.00016908240497446898,0.10202704671392837,3.452982592005045e-05,0.00019141731726119365
14.0,0.15791479017908922,11.581701101066415,137.042304,137.042304,0.0,0.9877333122381241,1.0977929172352647,0.9069767441860465,0.883916480486529,0.09851940565863918,0.9707627194921203,0.9428743912984117,0.16320461914982906,0.25104888150858323,0.3385140731711129,0.9550473480576613,0.9875554063205834,0.0,0.9832657200811359,0.485991895198822,0.48100539527629077,0.26320148868535104,0.9670822942643391,0.0,0.0,,
