round,train_loss,grad_sq,upload_mb,download_mb,payload_fraction,fed_f1_best,fed_auprc,fed_ece,fed_brier,fed_prevalence,fed_f1_best_threshold,fed_f1,fed_auprc_lift,fed_auroc,global_auroc,global_auprc,global_auprc_lift,global_f1,global_f1_best,global_f1_best_threshold,global_ece,global_brier,global_prevalence,divergence_total,dispersion_abs,divergence_slow,divergence_medium
1.0,0.6876875667917035,0.09462546980197697,3.65056,3.65056,0.9971592150692714,0.2780838586642195,0.20380823983325677,0.38833503527726226,0.24943956002979342,0.11404833836858005,0.5143459563847904,0.2401840187735232,1.8050129673632673,0.6428012620376091,0.4425934742148172,0.101628810311674,0.8922946672923777,0.015218261914297157,0.2045002711006687,0.41662850975990295,0.37509718091848226,0.2422801763229419,0.11389601892395189,0.029139090628581214,3.1356981694698334,0.023757886167341168,0.03280196160675408
2.0,0.678056696002344,0.13683720234932922,7.30112,7.30112,0.9971592150692714,0.29383577103616493,0.2140434434649368,0.36978009458882644,0.23447494283953782,0.11404833836858005,0.5020883153084842,0.27041885185031184,1.9016905150325818,0.6580654031603896,0.48027124535588717,0.1128205179335289,0.9905571678397197,0.16007795100222716,0.2045002711006687,0.3945712745189667,0.3755584208319967,0.2425250342405293,0.11389601892395189,0.018976976418551866,2.1911777139175683,0.015816454675928786,0.021132233394970456
3.0,0.6688888311040347,0.16805922575769386,10.95168,10.95168,0.9971592150692714,0.29652985641290935,0.22417721763650156,0.35166592508636996,0.22146045634828646,0.11404833836858005,0.5089703536398281,0.28080926154557395,1.9754497252780923,0.664490732268561,0.4645875303928897,0.11123162197449561,0.9766067596161083,0.1246689753513954,0.2045002711006687,0.3813197612762451,0.3758643938302454,0.243008594256412,0.11389601892395189,0.0135436879112488,1.6788478936068714,0.011375569681903458,0.015054095480382036
4.0,0.6581463310364802,0.20673212419079393,14.60224,14.60224,0.9971592150692714,0.3023671073372159,0.2310403473746367,0.359354691311702,0.22663118344955013,0.11404833836858005,0.5316025888395364,0.2801259347745407,2.045981852998625,0.6721495324268394,0.45502640429745433,0.10663546382838913,0.9362527754336119,0.12524930195452733,0.2045002711006687,0.40882012248039246,0.37857677728332184,0.24490664177638374,0.11389601892395189,0.011147059506710582,1.4723519396502525,0.010195380843201577,0.01182953489331376
5.0,0.6521245664898535,0.22693661189415076,18.2528,18.2528,0.9971592150692714,0.3030817726646272,0.23634413035669166,0.36293710859291717,0.22871487681529337,0.11404833836858005,0.529823061296377,0.2857608970717493,2.0909931942205313,0.676727801124211,0.433058513726264,0.10164439204941905,0.8924314739858185,0.11674127126230976,0.2045002711006687,0.3804161846637726,0.3774229581879588,0.2443201875336583,0.11389601892395189,0.009077009055714794,1.271621396066621,0.008809864703622472,0.009275372801318665
6.0,0.6486296246278396,0.25449880544847187,18.2528,18.2528,0.0,0.31481003105018635,0.2537276271050832,0.3545066386982724,0.22385106024908294,0.11404833836858005,0.5416748567792884,0.29248126279551523,2.279701742656027,0.6893418118379393,0.433058513726264,0.10164439204941905,0.8924314739858185,0.11674127126230976,0.2045002711006687,0.3804161846637726,0.3774229581879588,0.2443201875336583,0.11389601892395189,0.0,0.0,,
7.0,0.6316642448105498,0.33251764126474914,18.2528,18.2528,0.0,0.319412693616001,0.2620018208721434,0.32724938872209314,0.2054860201629288,0.11404833836858005,0.5425512401325195,0.2963228930865461,2.3372684512330673,0.6966106606070221,0.433058513726264,0.10164439204941905,0.8924314739858185,0.11674127126230976,0.2045002711006687,0.3804161846637726,0.3774229581879588,0.2443201875336583,0.11389601892395189,0.0,0.0,,
8.0,0.6201634195657191,0.4384084092596193,18.2528,18.2528,0.0,0.33289199602088415,0.2772512356951075,0.34779654160596346,0.22021545176281293,0.11404833836858005,0.5833853454388161,0.30025730962585917,2.475533575545331,0.7063273944201113,0.433058513726264,0.10164439204941905,0.8924314739858185,0.11674127126230976,0.2045002711006687,0.3804161846637726,0.3774229581879588,0.2443201875336583,0.11389601892395189,0.0,0.0,,
9.0,0.6493625956161363,0.251900263632599,21.90336,21.90336,0.9971592150692714,0.30294228913377913,0.23895679594430225,0.3374695071194618,0.21182042422208597,0.11404833836858005,0.5135145064964817,0.2882538767750808,2.1092371456955394,0.6772827030907662,0.47210615792059396,0.10955961304055448,0.9619266246145721,0.13275504431453894,0.2045002711006687,0.4110874831676483,0.3771527833346782,0.24365373810778843,0.11389601892395189,0.008892220288147222,1.3143040868453681,0.007677391960367276,0.009829939144309116
10.0,0.6418444974608614,0.27731947168335574,21.90336,21.90336,0.0,0.31633559104807113,0.2508501436801804,0.3357173126478831,0.21092164847428124,0.11404833836858005,0.5152788926872601,0.2984326692524514,2.2223229202144608,0.690312957315765,0.47210615792059396,0.10955961304055448,0.9619266246145721,0.13275504431453894,0.2045002711006687,0.4110874831676483,0.3771527833346782,0.24365373810778843,0.11389601892395189,0.0,0.0,,
